"SCHOOL","STATE","CITY","NOC","PROGRAM","TYPE","DEPARTMENT","DELIVERY","DURATION","PREREQ","LINK","LOC_LAT","LOC_LONG","WORLD_RANK","COUNTRY","TEACHING","INTERNATIONAL","RESEARCH","CITATIONS","INCOME","TOTAL_SCORE","NUM_STUDENTS","STUDENT_STAFF_RATIO","INTERNATIONAL_STUDENTS","F_M_RATIO","YEAR","timesData"
"Albright College","Pennsylvania","Reading",1,"M.S. in Business Intelligence","M","Erivan K. Haub School of Business","Online","30 credits","Not Available","http://www.albright.edu/accelerated/masters-degree-articulations.html",40.3602,-75.9101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"American Sentinel University","Colorado","Aurora",1,"Master of Science Business Intelligence and Analytics (MSBIA)","M","Not Available","Online","36 credits","Not Available","http://www.americansentinel.edu/management/m-s-business-intelligence",39.6766,-104.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"American University","District of Columbia","Washington",2,"Online MBA with Analytics Concentration","M","Kogod School of Business","Online","15 months","Not Available","https://onlinebusiness.american.edu/admissions/",38.9378,-77.0901,"401-500","United States of America",42.2,"28.9",16.5,41.1,"35.9","-","11,604",12,"12%","60:40:00",2016,1
"American University","District of Columbia","Washington",2,"Master of Science in  Analytics","M","Kogod School of Business","Online","33 credit hours","Not Available","http://www.american.edu/kogod/graduate/MS-ANLT.cfm",38.9378,-77.0901,"401-500","United States of America",42.2,"28.9",16.5,41.1,"35.9","-","11,604",12,"12%","60:40:00",2016,1
"Arizona State University","Arizona","Tempe",1,"Master of Science in Business Analytics","M","W.P. Carey School of Business","Online or Campus","9 month (FT) or 16 month (online)","Not Available","https://programs.wpcarey.asu.edu/masters-programs/business-analytics",33.4219,-111.94,"146","United States of America",33.8,"28.6",35.9,83.6,"31.4","48.9","83,236",29.9,"9%","50:50:00",2014,1
"Arizona State University","Arizona","Tempe",1,"Master of Science in Business Analytics","M","W.P. Carey School of Business","Online or Campus","9 month (FT) or 16 month (online)","Not Available","https://programs.wpcarey.asu.edu/masters-programs/business-analytics",33.4219,-111.94,"161","United States of America",43,"24.1",44.1,66.9,"-","50.3","83,236",29.9,"9%","50:50:00",2011,1
"Arizona State University","Arizona","Tempe",1,"Master of Science in Business Analytics","M","W.P. Carey School of Business","Online or Campus","9 month (FT) or 16 month (online)","Not Available","https://programs.wpcarey.asu.edu/masters-programs/business-analytics",33.4219,-111.94,"148","United States of America",38.4,"27.4",45.2,79.9,"31.8","51.9","83,236",29.9,"9%","50:50:00",2013,1
"Arizona State University","Arizona","Tempe",1,"Master of Science in Business Analytics","M","W.P. Carey School of Business","Online or Campus","9 month (FT) or 16 month (online)","Not Available","https://programs.wpcarey.asu.edu/masters-programs/business-analytics",33.4219,-111.94,"127","United States of America",38.2,"26.1",39,80.3,"28.7","49.9","83,236",29.9,"9%","50:50:00",2012,1
"Arizona State University","Arizona","Tempe",1,"Master of Science in Business Analytics","M","W.P. Carey School of Business","Online or Campus","9 month (FT) or 16 month (online)","Not Available","https://programs.wpcarey.asu.edu/masters-programs/business-analytics",33.4219,-111.94,"182","United States of America",35.7,"29.5",37.5,73.1,"32.6","46.9","83,236",29.9,"9%","50:50:00",2015,1
"Arizona State University","Arizona","Tempe",1,"Master of Science in Business Analytics","M","W.P. Carey School of Business","Online or Campus","9 month (FT) or 16 month (online)","Not Available","https://programs.wpcarey.asu.edu/masters-programs/business-analytics",33.4219,-111.94,"189","United States of America",32.4,"31.9",38.1,84.6,"32","49.7","83,236",29.9,"9%","50:50:00",2016,1
"Aspen University","Colorado","Denver",1,"Master of Science in Technology and Innovation - Business Intelligence and Data Management","M","Not Available","Online","36 credits","Not Available","http://www.aspen.edu/degrees/masters-degree/master-of-science-in-technology-and-innovation-business-intelligence-and-data-management",39.7037,-104.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Auburn University","Alabama","Auburn University",1,"Online Master of Business Administration with concentration in Business Analytics","M","Raymond J. Harbert College of Business","Online","36 credit hours","Not Available","http://harbert.auburn.edu/academics/online-programs/mba-online/index.php",32.6002,-85.4924,"501-600","United States of America",30.2,"27.9",19.4,21,"37.2","-","22,386",17.6,"4%","51:49:00",2016,1
"Auburn University","Alabama","Auburn University",1,"Online Master of Business Administration with concentration in Business Analytics","M","Raymond J. Harbert College of Business","Online","36 credit hours","Not Available","http://harbert.auburn.edu/academics/online-programs/mba-online/index.php",32.6002,-85.4924,"350-400","United States of America",33.7,"22.5",18.7,10.3,"47.3","-","22,386",17.6,"4%","51:49:00",2012,1
"Aurora University","Illinois","Aurora",1,"Master of Science in Digital Marketing and Analytics","M","Dunham School of Business","Campus","30 credit hours","Not Available","http://www.aurora.edu/academics/graduate/marketing/index.html",41.7545,-88.3495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Austin Peay State University","Tennessee","Clarksville",2,"Professional Science Master's in Data Management and Analysis","M","Department of Computer Science and Information Technology","Online","2 years","Not Available","http://www.apsu.edu/admissions/apply",36.5333,-87.3541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Austin Peay State University","Tennessee","Clarksville",2,"Professional Science Master's Degree in Predictive Analytics","M","Department of Mathematics and Statistics","Online","2 years","Not Available","https://www.apsu.edu/csci/psm-information",36.5333,-87.3541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Babson College","Massachusetts","Wellesley",1,"MBA with Business Analytics Concentration","M","F.W. Olin Graduate School of Business","Campus","41-55 credits","Not Available","http://www.babson.edu/academics/graduate/mba/concentrations/pages/business-analytics.aspx",42.2965,-71.2695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Baker College","Michigan","Allen Park",1,"MBA in Business Intelligence","M","Baker College","Online","53 hours","Not Available","http://www.baker.edu/programs-degrees/business-intelligence-master-ba/",42.2745,-83.2032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Bay Path University","Massachusetts","Longmeadow",1,"MS in Applied Data Science","M","Graduate school","Campus or online","36 credits","math, statistics","http://www.baypath.edu/academics/graduate-programs/applied-data-science-ms/",42.0554,-72.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Bellevue College","Washington","Bellevue",1,"Healthcare Data Analyst Certificate","C","Bellevue College Continuing Education","Campus","227 hours","computer science, math","http://www.bellevuecollege.edu/ce/healthcare-classes/healthcare-data-analyst-certificate/",47.5848,-122.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Bellevue University","Nebraska","Bellevue",2,"Master of Professional Science in Technology Innovation with Focus in Bioinformatics","M","College of Science and Technology","Online","40 credit hours/18 months","Not Available","http://www.bellevue.edu/degrees/graduate/innovation-entrepreneurship-mps/major-requirements.aspx",41.1502,-95.9176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Bellevue University","Nebraska","Bellevue",2,"Master of Science-Business Analytics","M","College of Science and Technology","Online","36 credit hours","Not Available","http://www.bellevue.edu/degrees/master/innovation-entrepreneurship-mps/#",41.1502,-95.9176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Benedictine University","Illinois","Lisle",1,"Master of Science in Business Analytics","M","College of Business","Campus","64 quarter credit hours","Not Available","http://www.ben.edu/academic_programs/majorsheets/upload/MSBA_2013.pdf",41.7764,-88.0959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Bentley University","Massachusetts","Waltham",9,"Graduate Certificate in Marketing Analytics","C","Graduate School of Business","Campus","15 Credits","Not Available","http://www.bentley.edu/graduate/admission-financial-aid/tuition-financial-aid",42.3888,-71.2201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Bentley University","Massachusetts","Waltham",9,"Emerging Leaders MBA - Business Analytics","M","Graduate School of Business","Campus","55 Credits","Not Available","http://www.bentley.edu/graduate/concentrations/business-analytics",42.3888,-71.2201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Bentley University","Massachusetts","Waltham",9,"Emerging Leaders MBA - Information Systems and Technology","M","Graduate School of Business","Campus","55 Credits","Not Available","http://www.bentley.edu/graduate/admission-financial-aid/application-process",42.3888,-71.2201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Bentley University","Massachusetts","Waltham",9,"Graduate Certificate in Business Analytics","C","Graduate School of Business","Campus","12 credits","Not Available","http://www.bentley.edu/graduate/mba-programs/elmba/curriculum",42.3888,-71.2201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Bentley University","Massachusetts","Waltham",9,"Master of Business Analytics","M","Graduate School of Business","Campus","33 credit hours","Not Available","http://www.bentley.edu/graduate/concentrations/information-systems-technology",42.3888,-71.2201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Bentley University","Massachusetts","Waltham",9,"Master of Science In Marketing Analytics","M","Graduate School of Business","Campus","33 credit hours","Not Available","http://www.bentley.edu/graduate/admission-financial-aid/application-process",42.3888,-71.2201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Bentley University","Massachusetts","Waltham",9,"Masters of Information Technology","M","Graduate School of Business","Campus","39 Credits","Not Available","http://www.bentley.edu/graduate/mba-programs/elmba/curriculum",42.3888,-71.2201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Bentley University","Massachusetts","Waltham",9,"Part-Time Professional MBA - Business Analytics","M","Graduate School of Business","Campus","45 Credits","Not Available","http://www.bentley.edu/graduate/admission-financial-aid/tuition-financial-aid",42.3888,-71.2201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Bentley University","Massachusetts","Waltham",9,"Part-Time Professional MBA - Information Systems and Technology","M","Graduate School of Business","Campus","45 Credits","Not Available","http://www.bentley.edu/graduate/special-programs/graduate-certificate-programs",42.3888,-71.2201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Boston University","Massachusetts","Boston",6,"Applied Business Analytics Graduate Certificate","C","Department of Administrative Sciences","Online or On Campus","16 Credits","Not Available","http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/",42.3496,-71.0998,"64","United States of America",57.8,"51",49.5,97.7,"30.3","66.1","24,789",8.6,"17%","58:42:00",2016,1
"Boston University","Massachusetts","Boston",6,"Applied Business Analytics Graduate Certificate","C","Department of Administrative Sciences","Online or On Campus","16 Credits","Not Available","http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/",42.3496,-71.0998,"59","United States of America",53.6,"38.1",51.9,91.4,"29.6","64","24,789",8.6,"17%","58:42:00",2011,1
"Boston University","Massachusetts","Boston",6,"Applied Business Analytics Graduate Certificate","C","Department of Administrative Sciences","Online or On Campus","16 Credits","Not Available","http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/",42.3496,-71.0998,"50","United States of America",56.5,"44.2",46.1,95.3,"31.1","63.5","24,789",8.6,"17%","58:42:00",2014,1
"Boston University","Massachusetts","Boston",6,"Applied Business Analytics Graduate Certificate","C","Department of Administrative Sciences","Online or On Campus","16 Credits","Not Available","http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/",42.3496,-71.0998,"54","United States of America",65.4,"39.2",50.9,94.2,"30.6","66.8","24,789",8.6,"17%","58:42:00",2013,1
"Boston University","Massachusetts","Boston",6,"Applied Business Analytics Graduate Certificate","C","Department of Administrative Sciences","Online or On Campus","16 Credits","Not Available","http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/",42.3496,-71.0998,"54","United States of America",60.7,"37.2",46.2,95.6,"27.6","64.2","24,789",8.6,"17%","58:42:00",2012,1
"Boston University","Massachusetts","Boston",6,"Applied Business Analytics Graduate Certificate","C","Department of Administrative Sciences","Online or On Campus","16 Credits","Not Available","http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/",42.3496,-71.0998,"57","United States of America",56.4,"47.8",46.7,94.4,"30.3","63.6","24,789",8.6,"17%","58:42:00",2015,1
"Boston University","Massachusetts","Boston",6,"MS in Statistical Practice","M","College of Arts & Sciences","Campus","32 credits (1.0 to 1.5 years)","Not Available","http://www.bu.edu/met/admissions/apply-now/certificate-programs/",42.3496,-71.0998,"64","United States of America",57.8,"51",49.5,97.7,"30.3","66.1","24,789",8.6,"17%","58:42:00",2016,1
"Boston University","Massachusetts","Boston",6,"MS in Statistical Practice","M","College of Arts & Sciences","Campus","32 credits (1.0 to 1.5 years)","Not Available","http://www.bu.edu/met/admissions/apply-now/certificate-programs/",42.3496,-71.0998,"59","United States of America",53.6,"38.1",51.9,91.4,"29.6","64","24,789",8.6,"17%","58:42:00",2011,1
"Boston University","Massachusetts","Boston",6,"MS in Statistical Practice","M","College of Arts & Sciences","Campus","32 credits (1.0 to 1.5 years)","Not Available","http://www.bu.edu/met/admissions/apply-now/certificate-programs/",42.3496,-71.0998,"50","United States of America",56.5,"44.2",46.1,95.3,"31.1","63.5","24,789",8.6,"17%","58:42:00",2014,1
"Boston University","Massachusetts","Boston",6,"MS in Statistical Practice","M","College of Arts & Sciences","Campus","32 credits (1.0 to 1.5 years)","Not Available","http://www.bu.edu/met/admissions/apply-now/certificate-programs/",42.3496,-71.0998,"54","United States of America",65.4,"39.2",50.9,94.2,"30.6","66.8","24,789",8.6,"17%","58:42:00",2013,1
"Boston University","Massachusetts","Boston",6,"MS in Statistical Practice","M","College of Arts & Sciences","Campus","32 credits (1.0 to 1.5 years)","Not Available","http://www.bu.edu/met/admissions/apply-now/certificate-programs/",42.3496,-71.0998,"54","United States of America",60.7,"37.2",46.2,95.6,"27.6","64.2","24,789",8.6,"17%","58:42:00",2012,1
"Boston University","Massachusetts","Boston",6,"MS in Statistical Practice","M","College of Arts & Sciences","Campus","32 credits (1.0 to 1.5 years)","Not Available","http://www.bu.edu/met/admissions/apply-now/certificate-programs/",42.3496,-71.0998,"57","United States of America",56.4,"47.8",46.7,94.4,"30.3","63.6","24,789",8.6,"17%","58:42:00",2015,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Computer Science - Data Analytics Concentration","M","Department of Administrative Sciences","On Campus","40 Credits","Not Available","http://www.bu.edu/met/programs/graduate/data-analytics-certificate/",42.3496,-71.0998,"64","United States of America",57.8,"51",49.5,97.7,"30.3","66.1","24,789",8.6,"17%","58:42:00",2016,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Computer Science - Data Analytics Concentration","M","Department of Administrative Sciences","On Campus","40 Credits","Not Available","http://www.bu.edu/met/programs/graduate/data-analytics-certificate/",42.3496,-71.0998,"59","United States of America",53.6,"38.1",51.9,91.4,"29.6","64","24,789",8.6,"17%","58:42:00",2011,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Computer Science - Data Analytics Concentration","M","Department of Administrative Sciences","On Campus","40 Credits","Not Available","http://www.bu.edu/met/programs/graduate/data-analytics-certificate/",42.3496,-71.0998,"50","United States of America",56.5,"44.2",46.1,95.3,"31.1","63.5","24,789",8.6,"17%","58:42:00",2014,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Computer Science - Data Analytics Concentration","M","Department of Administrative Sciences","On Campus","40 Credits","Not Available","http://www.bu.edu/met/programs/graduate/data-analytics-certificate/",42.3496,-71.0998,"54","United States of America",65.4,"39.2",50.9,94.2,"30.6","66.8","24,789",8.6,"17%","58:42:00",2013,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Computer Science - Data Analytics Concentration","M","Department of Administrative Sciences","On Campus","40 Credits","Not Available","http://www.bu.edu/met/programs/graduate/data-analytics-certificate/",42.3496,-71.0998,"54","United States of America",60.7,"37.2",46.2,95.6,"27.6","64.2","24,789",8.6,"17%","58:42:00",2012,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Computer Science - Data Analytics Concentration","M","Department of Administrative Sciences","On Campus","40 Credits","Not Available","http://www.bu.edu/met/programs/graduate/data-analytics-certificate/",42.3496,-71.0998,"57","United States of America",56.4,"47.8",46.7,94.4,"30.3","63.6","24,789",8.6,"17%","58:42:00",2015,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Computer Information Systems - Data Analytics Concentration","M","Department of Administrative Sciences","Online or On Campus","40 Credits","Not Available","http://www.bu.edu/met/admissions/tuition-and-fees/",42.3496,-71.0998,"64","United States of America",57.8,"51",49.5,97.7,"30.3","66.1","24,789",8.6,"17%","58:42:00",2016,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Computer Information Systems - Data Analytics Concentration","M","Department of Administrative Sciences","Online or On Campus","40 Credits","Not Available","http://www.bu.edu/met/admissions/tuition-and-fees/",42.3496,-71.0998,"59","United States of America",53.6,"38.1",51.9,91.4,"29.6","64","24,789",8.6,"17%","58:42:00",2011,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Computer Information Systems - Data Analytics Concentration","M","Department of Administrative Sciences","Online or On Campus","40 Credits","Not Available","http://www.bu.edu/met/admissions/tuition-and-fees/",42.3496,-71.0998,"50","United States of America",56.5,"44.2",46.1,95.3,"31.1","63.5","24,789",8.6,"17%","58:42:00",2014,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Computer Information Systems - Data Analytics Concentration","M","Department of Administrative Sciences","Online or On Campus","40 Credits","Not Available","http://www.bu.edu/met/admissions/tuition-and-fees/",42.3496,-71.0998,"54","United States of America",65.4,"39.2",50.9,94.2,"30.6","66.8","24,789",8.6,"17%","58:42:00",2013,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Computer Information Systems - Data Analytics Concentration","M","Department of Administrative Sciences","Online or On Campus","40 Credits","Not Available","http://www.bu.edu/met/admissions/tuition-and-fees/",42.3496,-71.0998,"54","United States of America",60.7,"37.2",46.2,95.6,"27.6","64.2","24,789",8.6,"17%","58:42:00",2012,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Computer Information Systems - Data Analytics Concentration","M","Department of Administrative Sciences","Online or On Campus","40 Credits","Not Available","http://www.bu.edu/met/admissions/tuition-and-fees/",42.3496,-71.0998,"57","United States of America",56.4,"47.8",46.7,94.4,"30.3","63.6","24,789",8.6,"17%","58:42:00",2015,1
"Boston University","Massachusetts","Boston",6,"Data Analytics Graduate Certificate","C","Department of Administrative Sciences","Online or On Campus","16 Credits","Not Available","http://www.bu.edu/met/admissions/apply-now/certificate-programs/",42.3496,-71.0998,"64","United States of America",57.8,"51",49.5,97.7,"30.3","66.1","24,789",8.6,"17%","58:42:00",2016,1
"Boston University","Massachusetts","Boston",6,"Data Analytics Graduate Certificate","C","Department of Administrative Sciences","Online or On Campus","16 Credits","Not Available","http://www.bu.edu/met/admissions/apply-now/certificate-programs/",42.3496,-71.0998,"59","United States of America",53.6,"38.1",51.9,91.4,"29.6","64","24,789",8.6,"17%","58:42:00",2011,1
"Boston University","Massachusetts","Boston",6,"Data Analytics Graduate Certificate","C","Department of Administrative Sciences","Online or On Campus","16 Credits","Not Available","http://www.bu.edu/met/admissions/apply-now/certificate-programs/",42.3496,-71.0998,"50","United States of America",56.5,"44.2",46.1,95.3,"31.1","63.5","24,789",8.6,"17%","58:42:00",2014,1
"Boston University","Massachusetts","Boston",6,"Data Analytics Graduate Certificate","C","Department of Administrative Sciences","Online or On Campus","16 Credits","Not Available","http://www.bu.edu/met/admissions/apply-now/certificate-programs/",42.3496,-71.0998,"54","United States of America",65.4,"39.2",50.9,94.2,"30.6","66.8","24,789",8.6,"17%","58:42:00",2013,1
"Boston University","Massachusetts","Boston",6,"Data Analytics Graduate Certificate","C","Department of Administrative Sciences","Online or On Campus","16 Credits","Not Available","http://www.bu.edu/met/admissions/apply-now/certificate-programs/",42.3496,-71.0998,"54","United States of America",60.7,"37.2",46.2,95.6,"27.6","64.2","24,789",8.6,"17%","58:42:00",2012,1
"Boston University","Massachusetts","Boston",6,"Data Analytics Graduate Certificate","C","Department of Administrative Sciences","Online or On Campus","16 Credits","Not Available","http://www.bu.edu/met/admissions/apply-now/certificate-programs/",42.3496,-71.0998,"57","United States of America",56.4,"47.8",46.7,94.4,"30.3","63.6","24,789",8.6,"17%","58:42:00",2015,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Applied Business Analytics Management","M","Metropolitan College","Online","48 credits","Not Available","http://www.bu.edu/met/courses/graduate/analytics/",42.3496,-71.0998,"64","United States of America",57.8,"51",49.5,97.7,"30.3","66.1","24,789",8.6,"17%","58:42:00",2016,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Applied Business Analytics Management","M","Metropolitan College","Online","48 credits","Not Available","http://www.bu.edu/met/courses/graduate/analytics/",42.3496,-71.0998,"59","United States of America",53.6,"38.1",51.9,91.4,"29.6","64","24,789",8.6,"17%","58:42:00",2011,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Applied Business Analytics Management","M","Metropolitan College","Online","48 credits","Not Available","http://www.bu.edu/met/courses/graduate/analytics/",42.3496,-71.0998,"50","United States of America",56.5,"44.2",46.1,95.3,"31.1","63.5","24,789",8.6,"17%","58:42:00",2014,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Applied Business Analytics Management","M","Metropolitan College","Online","48 credits","Not Available","http://www.bu.edu/met/courses/graduate/analytics/",42.3496,-71.0998,"54","United States of America",65.4,"39.2",50.9,94.2,"30.6","66.8","24,789",8.6,"17%","58:42:00",2013,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Applied Business Analytics Management","M","Metropolitan College","Online","48 credits","Not Available","http://www.bu.edu/met/courses/graduate/analytics/",42.3496,-71.0998,"54","United States of America",60.7,"37.2",46.2,95.6,"27.6","64.2","24,789",8.6,"17%","58:42:00",2012,1
"Boston University","Massachusetts","Boston",6,"Master of Science in Applied Business Analytics Management","M","Metropolitan College","Online","48 credits","Not Available","http://www.bu.edu/met/courses/graduate/analytics/",42.3496,-71.0998,"57","United States of America",56.4,"47.8",46.7,94.4,"30.3","63.6","24,789",8.6,"17%","58:42:00",2015,1
"Bowling Green State University","Ohio","Bowling Green",2,"M.S. in Analytics","M","Graduate College","Campus","33 credit hours/12 months","Not Available","http://www.bgsu.edu/graduate/analytics.html",41.377,-83.6375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Bowling Green State University","Ohio","Bowling Green",2,"Master of Science in Applied Statistics (specialization in Business Analytics)","M","Department of Applied Statistics & Operations Research/Department of Mathematics","Campus","33-39 credit hours","Not Available","http://www.bgsu.edu/graduate/analytics.html",41.377,-83.6375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Brandeis University","Massachusetts","Waltham",2,"Master of Arts in Computational Linguistics","M","Mitchom School of Computer Science","Campus","Two years","Not Available","https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html",42.3649,-71.2547,"201-225","United States of America",27.3,"45.3",27.9,83.1,"37.4","-","5,495",12.6,"22%","55:45:00",2013,1
"Brandeis University","Massachusetts","Waltham",2,"Master of Arts in Computational Linguistics","M","Mitchom School of Computer Science","Campus","Two years","Not Available","https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html",42.3649,-71.2547,"185","United States of America",28.3,"47",25.7,97.3,"38.6","49.9","5,495",12.6,"22%","55:45:00",2016,1
"Brandeis University","Massachusetts","Waltham",2,"Master of Arts in Computational Linguistics","M","Mitchom School of Computer Science","Campus","Two years","Not Available","https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html",42.3649,-71.2547,"150","United States of America",25.3,"40.3",27.3,90.2,"33.7","46.7","5,495",12.6,"22%","55:45:00",2012,1
"Brandeis University","Massachusetts","Waltham",2,"Master of Arts in Computational Linguistics","M","Mitchom School of Computer Science","Campus","Two years","Not Available","https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html",42.3649,-71.2547,"164","United States of America",28.8,"50.6",24.3,86.5,"36.8","46.6","5,495",12.6,"22%","55:45:00",2014,1
"Brandeis University","Massachusetts","Waltham",2,"Master of Arts in Computational Linguistics","M","Mitchom School of Computer Science","Campus","Two years","Not Available","https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html",42.3649,-71.2547,"147","United States of America",25.8,"54.7",29.1,95.3,"43.9","50.3","5,495",12.6,"22%","55:45:00",2015,1
"Brandeis University","Massachusetts","Waltham",2,"M.S. in Strategic Analytics","M","Graduate Professional Studies","Online","30 credit hours","Not Available","https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html",42.3649,-71.2547,"201-225","United States of America",27.3,"45.3",27.9,83.1,"37.4","-","5,495",12.6,"22%","55:45:00",2013,1
"Brandeis University","Massachusetts","Waltham",2,"M.S. in Strategic Analytics","M","Graduate Professional Studies","Online","30 credit hours","Not Available","https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html",42.3649,-71.2547,"185","United States of America",28.3,"47",25.7,97.3,"38.6","49.9","5,495",12.6,"22%","55:45:00",2016,1
"Brandeis University","Massachusetts","Waltham",2,"M.S. in Strategic Analytics","M","Graduate Professional Studies","Online","30 credit hours","Not Available","https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html",42.3649,-71.2547,"150","United States of America",25.3,"40.3",27.3,90.2,"33.7","46.7","5,495",12.6,"22%","55:45:00",2012,1
"Brandeis University","Massachusetts","Waltham",2,"M.S. in Strategic Analytics","M","Graduate Professional Studies","Online","30 credit hours","Not Available","https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html",42.3649,-71.2547,"164","United States of America",28.8,"50.6",24.3,86.5,"36.8","46.6","5,495",12.6,"22%","55:45:00",2014,1
"Brandeis University","Massachusetts","Waltham",2,"M.S. in Strategic Analytics","M","Graduate Professional Studies","Online","30 credit hours","Not Available","https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html",42.3649,-71.2547,"147","United States of America",25.8,"54.7",29.1,95.3,"43.9","50.3","5,495",12.6,"22%","55:45:00",2015,1
"California State University-East Bay","California","Hayward",1,"Master of Science in Business Administration: Business Analytics Option","M","College of Business and Economics","Campus","45-53 units","computer science","http://www20.csueastbay.edu/cbe/msba/index.html",37.6571,-122.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"California State University-Fullerton","California","Fullerton",3,"Certificate in Data Science","C","University Extended Education","Online","5 courses","technical bachelor's degree","http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science",33.8836,-117.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"California State University-Fullerton","California","Fullerton",3,"Certificate in Health Care Analytics","C","University Extended Education","Campus","9 credits","Not Available","http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science",33.8836,-117.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"California State University-Fullerton","California","Fullerton",3,"Master of Science in Information Systems and Decision Sciences","M","Mihaylo College of Business and Economics","Campus","18 months/30 hours","Not Available","http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science",33.8836,-117.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"California State University-Long Beach","California","Long Beach",1,"Master of Science in Applied Statistics","M","Department of Mathematics and Statistics","Campus","30 units","math, statistics","http://www.csulb.edu/divisions/aa/catalog/current/cnsm/mathematics/mathms05.html",33.7828,-118.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
