ATHLETE NAME,TEAM,SPORT,EVENT,MEDAL,CONTINENT
Zac Incerti,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,G,Australia& Oceania
Jack Ireland,Australia,Aquatics - Swimming and Para Swimming,Men's 200m Freestyle S14,B,Australia& Oceania
Shayna Jack,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,G,Australia& Oceania
Shayna Jack,Australia,Aquatics - Swimming and Para Swimming,Women's 100m Freestyle,S,Australia& Oceania
Shayna Jack,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Freestyle,B,Australia& Oceania
Mitchell Larkin,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,G,Australia& Oceania
Mitchell Larkin,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,S,Australia& Oceania
Matthew Levy,Australia,Aquatics - Swimming and Para Swimming,Men's 50m Freestyle S7,G,Australia& Oceania
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,G,Australia& Oceania
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,G,Australia& Oceania
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Butterfly,G,Australia& Oceania
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Freestyle,G,Australia& Oceania
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,G,Australia& Oceania
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,G,Australia& Oceania
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Women's 100m Butterfly,S,Australia& Oceania
Emma McKeon,Australia,Aquatics - Swimming and Para Swimming,Women's 100m Freestyle,B,Australia& Oceania
Kaylee McKeown,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Individual Medley,S,Australia& Oceania
Kaylee McKeown,Australia,Aquatics - Swimming and Para Swimming,Women's 100m Backstroke,G,Australia& Oceania
Kaylee McKeown,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Backstroke,G,Australia& Oceania
Kaylee McKeown,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Backstroke,B,Australia& Oceania
Kaylee McKeown,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,G,Australia& Oceania
Kaylee McKeown,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,G,Australia& Oceania
Kiah Melverton,Australia,Aquatics - Swimming and Para Swimming,Women's 800m Freestyle,S,Australia& Oceania
Kiah Melverton,Australia,Aquatics - Swimming and Para Swimming,Women's 400m Freestyle,B,Australia& Oceania
Kiah Melverton,Australia,Aquatics - Swimming and Para Swimming,Women's 400m Individual Medley,S,Australia& Oceania
Kiah Melverton,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,G,Australia& Oceania
Mollie O'Callaghan,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,G,Australia& Oceania
Mollie O'Callaghan,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,G,Australia& Oceania
Mollie O'Callaghan,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Backstroke,S,Australia& Oceania
Mollie O'Callaghan,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Freestyle,S,Australia& Oceania
Mollie O'Callaghan,Australia,Aquatics - Swimming and Para Swimming,Women's 100m Freestyle,G,Australia& Oceania
Mollie O'Callaghan,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,G,Australia& Oceania
Mollie O'Callaghan,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,G,Australia& Oceania
Lani Pallister,Australia,Aquatics - Swimming and Para Swimming,Women's 800m Freestyle,B,Australia& Oceania
Col Pearse,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Butterfly S10,G,Australia& Oceania
Alex Perkins,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,G,Australia& Oceania
Alex Anthony Saffy,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Butterfly S10,S,Australia& Oceania
Sam Short,Australia,Aquatics - Swimming and Para Swimming,Men's 1500m Freestyle,G,Australia& Oceania
Sam Short,Australia,Aquatics - Swimming and Para Swimming,Men's 400m Freestyle,S,Australia& Oceania
Cody Simpson,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,S,Australia& Oceania
Cody Simpson,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,G,Australia& Oceania
Brendon Smith,Australia,Aquatics - Swimming and Para Swimming,Men's 400m Individual Medley,S,Australia& Oceania
Flynn Southam,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,G,Australia& Oceania
Flynn Southam,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,G,Australia& Oceania
Flynn Southam,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,G,Australia& Oceania
Keira Stephens,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Individual Medley SM10,B,Australia& Oceania
Jenna Strauch,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Breaststroke,S,Australia& Oceania
Zac Stubblety-Cook,Australia,Aquatics - Swimming and Para Swimming,Men's 200m Breaststroke,G,Australia& Oceania
Zac Stubblety-Cook,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Breaststroke,S,Australia& Oceania
Zac Stubblety-Cook,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,G,Australia& Oceania
Zac Stubblety-Cook,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,S,Australia& Oceania
Matthew Temple,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Butterfly,S,Australia& Oceania
Matthew Temple,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,G,Australia& Oceania
Matthew Temple,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,S,Australia& Oceania
Matthew Temple,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,G,Australia& Oceania
Jacob Templeton,Australia,Aquatics - Swimming and Para Swimming,Men's 50m Freestyle S13,B,Australia& Oceania
Brianna Throssell,Australia,Aquatics - Swimming and Para Swimming,Women's 100m Butterfly,B,Australia& Oceania
Brianna Throssell,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Butterfly,B,Australia& Oceania
Ariarne Titmus,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Freestyle,G,Australia& Oceania
Ariarne Titmus,Australia,Aquatics - Swimming and Para Swimming,Women's 800m Freestyle,G,Australia& Oceania
Ariarne Titmus,Australia,Aquatics - Swimming and Para Swimming,Women's 400m Freestyle,G,Australia& Oceania
Ariarne Titmus,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,G,Australia& Oceania
Sam Williamson,Australia,Aquatics - Swimming and Para Swimming,Men's 50m Breaststroke,S,Australia& Oceania
Sam Williamson,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,S,Australia& Oceania
Sam Williamson,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,G,Australia& Oceania
Sam Williamson,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Breaststroke,B,Australia& Oceania
Madison Wilson,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,G,Australia& Oceania
Madison Wilson,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,G,Australia& Oceania
Madison Wilson,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Freestyle,B,Australia& Oceania
Madison Wilson,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,G,Australia& Oceania
Madison Wilson,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,G,Australia& Oceania
Elijah Winnington,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,G,Australia& Oceania
Elijah Winnington,Australia,Aquatics - Swimming and Para Swimming,Men's 400m Freestyle,G,Australia& Oceania
Elijah Winnington,Australia,Aquatics - Swimming and Para Swimming,Men's 200m Freestyle,B,Australia& Oceania
Elijah Winnington,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,G,Australia& Oceania
Bradley Woodward,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Backstroke,B,Australia& Oceania
Bradley Woodward,Australia,Aquatics - Swimming and Para Swimming,Men's 200m Backstroke,S,Australia& Oceania
Bradley Woodward,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,S,Australia& Oceania
William Xu Yang,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,S,Australia& Oceania
William Xu Yang,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,G,Australia& Oceania
William Xu Yang,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,G,Australia& Oceania
Angela Ballard,Australia,Athletics and Para Athletics,Women's T53/54 1500m,S,Australia& Oceania
Kelsey-Lee Barber,Australia,Athletics and Para Athletics,Women's Javelin Throw,G,Australia& Oceania
Peter Bol,Australia,Athletics and Para Athletics,Men's 800m,S,Australia& Oceania
Brooke Buschkuehl,Australia,Athletics and Para Athletics,Women's Long Jump,S,Australia& Oceania
Abbey Caldwell,Australia,Athletics and Para Athletics,Women's 1500m,B,Australia& Oceania
Samuel Carter,Australia,Athletics and Para Athletics,Men's T53/54 1500m,B,Australia& Oceania
Rhiannon Clarke,Australia,Athletics and Para Athletics,Women's T37/38 100m,B,Australia& Oceania
Madison de Rozario,Australia,Athletics and Para Athletics,Women's T53/54 1500m,G,Australia& Oceania
Madison de Rozario,Australia,Athletics and Para Athletics,Women's T53/54 Marathon,G,Australia& Oceania
Matthew Denny,Australia,Athletics and Para Athletics,Men's Discus Throw,G,Australia& Oceania
Cedric Dubler,Australia,Athletics and Para Athletics,Men's Decathlon,B,Australia& Oceania
Sarah Edmiston,Australia,Athletics and Para Athletics,Women's Discus Throw F42-44/61-64,S,Australia& Oceania
Daniel Golubovic,Australia,Athletics and Para Athletics,Men's Decathlon,S,Australia& Oceania
Oliver Hoare,Australia,Athletics and Para Athletics,Men's 1500m,G,Australia& Oceania
Nina Kennedy,Australia,Athletics and Para Athletics,Women's Pole Vault,G,Australia& Oceania
Mackenzie Little,Australia,Athletics and Para Athletics,Women's Javelin Throw,S,Australia& Oceania
Kurtis Marschall,Australia,Athletics and Para Athletics,Men's Pole Vault,G,Australia& Oceania
Jemima Montag,Australia,Athletics and Para Athletics,"Women's 10,000m Race Walk",G,Australia& Oceania
Evan O’Hanlon,Australia,Athletics and Para Athletics,Men's T37/38 100m,G,Australia& Oceania
Jaydon Page,Australia,Athletics and Para Athletics,Men's T45-47 100m,S,Australia& Oceania
Eleanor Patterson,Australia,Athletics and Para Athletics,Women's High Jump,S,Australia& Oceania
Brandon Starc,Australia,Athletics and Para Athletics,Men's High Jump,S,Australia& Oceania
Jessica Stenson,Australia,Athletics and Para Athletics,Women's Marathon,G,Australia& Oceania
Declan Tingay,Australia,Athletics and Para Athletics,"Men's 10,000m Race Walk",S,Australia& Oceania
Mariafe Artacho del Solar,Australia,Beach Volleyball,Women,S,Australia& Oceania
Paul Burnett,Australia,Beach Volleyball,Men,G,Australia& Oceania
Taliqua Clancy,Australia,Beach Volleyball,Women,S,Australia& Oceania
Chris McHugh,Australia,Beach Volleyball,Men,G,Australia& Oceania
Edgardo Coumi,Australia,Boxing,Men’s Over 86kg-92kg (Heavyweight),B,Australia& Oceania
Caitlin Anne Parker,Australia,Boxing,Women’s Over 70kg-75kg (Middleweight),B,Australia& Oceania
Callum Peters,Australia,Boxing,Men’s Over 71kg-75kg (Middleweight),S,Australia& Oceania
Tina Rahimi,Australia,Boxing,Women’s Over 54kg-57kg (Featherweight),B,Australia& Oceania
Kaye Frances Scott,Australia,Boxing,Women’s Over 66kg-70kg (Light Middleweight),S,Australia& Oceania
Darcie Brown,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Nicola Carey,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Ash Gardner,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Grace Harris,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Rachael Haynes,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Alyssa Healy,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Jess Jonassen,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Alana King,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Meg Lanning,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Tahlia McGrath,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Beth Mooney,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Ellyse Perry,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Megan Schutt,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Annabel Sutherland,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Amanda-Jade Wellington,Australia,Cricket T20,Cricket T20,G,Australia& Oceania
Zoe Cuthbert,Australia,Cycling - Mountain Bike,Women's Cross-country,S,Australia& Oceania
Georgia Baker,Australia,Cycling - Road,Women's Road Race,G,Australia& Oceania
Grace Brown,Australia,Cycling - Road,Women's Individual Time Trial,G,Australia& Oceania
Rohan Dennis,Australia,Cycling - Road,Men's Individual Time Trial,G,Australia& Oceania
Sarah Roy,Australia,Cycling - Road,Women's Road Race,B,Australia& Oceania
Georgia Baker,Australia,Cycling - Track and Para Track,Women's 4000m Team Pursuit,G,Australia& Oceania
Georgia Baker,Australia,Cycling - Track and Para Track,Women's 25km Points Race,G,Australia& Oceania
Kristina Clonan,Australia,Cycling - Track and Para Track,Women's 500m Time Trial,G,Australia& Oceania
Thomas Cornish,Australia,Cycling - Track and Para Track,Men's 1000m Time Trial,S,Australia& Oceania
Joshua Duffy,Australia,Cycling - Track and Para Track,Men's 4000m Team Pursuit,B,Australia& Oceania
Sophie Edwards,Australia,Cycling - Track and Para Track,Women's 4000m Team Pursuit,G,Australia& Oceania
Graeme Frislie,Australia,Cycling - Track and Para Track,Men's 4000m Team Pursuit,B,Australia& Oceania
Jessica Gallagher,Australia,Cycling - Track and Para Track,Women's Tandem B - Sprint,G,Australia& Oceania
Jessica Gallagher,Australia,Cycling - Track and Para Track,Women's Tandem B - 1000m Time Trial,G,Australia& Oceania
Matthew Glaetzer,Australia,Cycling - Track and Para Track,Men's 1000m Time Trial,G,Australia& Oceania
Matthew Glaetzer,Australia,Cycling - Track and Para Track,Men's Team Sprint,G,Australia& Oceania
Leigh Hoffman,Australia,Cycling - Track and Para Track,Men's Team Sprint,G,Australia& Oceania
Conor Leahy,Australia,Cycling - Track and Para Track,Men's 4000m Individual Pursuit,B,Australia& Oceania
Conor Leahy,Australia,Cycling - Track and Para Track,Men's 4000m Team Pursuit,B,Australia& Oceania
Chloe Moran,Australia,Cycling - Track and Para Track,Women's 4000m Team Pursuit,G,Australia& Oceania
James Moriarty,Australia,Cycling - Track and Para Track,Men's 4000m Team Pursuit,B,Australia& Oceania
Lucas Plapp,Australia,Cycling - Track and Para Track,Men's 4000m Team Pursuit,B,Australia& Oceania
Maeve Plouffe,Australia,Cycling - Track and Para Track,Women's 3000m Individual Pursuit,S,Australia& Oceania
Maeve Plouffe,Australia,Cycling - Track and Para Track,Women's 4000m Team Pursuit,G,Australia& Oceania
Matthew Richardson,Australia,Cycling - Track and Para Track,Men's Sprint,G,Australia& Oceania
Matthew Richardson,Australia,Cycling - Track and Para Track,Men's Team Sprint,G,Australia& Oceania
Beau Wootton,Australia,Cycling - Track and Para Track,Men's Tandem B - Sprint,B,Australia& Oceania
James Bacueti,Australia,Gymnastics - Artistic,Men's Vault,B,Australia& Oceania
Romi Brown,Australia,Gymnastics - Artistic,Women's Team,S,Australia& Oceania
Tyson Bull,Australia,Gymnastics - Artistic,Men's Horizontal Bar,S,Australia& Oceania
Georgia Godwin,Australia,Gymnastics - Artistic,Women's Uneven Bars,S,Australia& Oceania
Georgia Godwin,Australia,Gymnastics - Artistic,Women's Team,S,Australia& Oceania
Georgia Godwin,Australia,Gymnastics - Artistic,Women's Balance Beam,S,Australia& Oceania
Georgia Godwin,Australia,Gymnastics - Artistic,Women's All-Around,G,Australia& Oceania
Georgia Godwin,Australia,Gymnastics - Artistic,Women's Vault,G,Australia& Oceania
Kate McDonald,Australia,Gymnastics - Artistic,Women's Team,S,Australia& Oceania
Kate McDonald,Australia,Gymnastics - Artistic,Women's Balance Beam,G,Australia& Oceania
Breanna Scott,Australia,Gymnastics - Artistic,Women's Team,S,Australia& Oceania
Emily Whitehead,Australia,Gymnastics - Artistic,Women's Team,S,Australia& Oceania
Emily Whitehead,Australia,Gymnastics - Artistic,Women's Floor Exercise,B,Australia& Oceania
Ashari Jesse Gill,Australia,Gymnastics - Rhythmic,Team,S,Australia& Oceania
Lidiia Iakovleva,Australia,Gymnastics - Rhythmic,Team,S,Australia& Oceania
Alexandra Kiroi-Bogatyreva,Australia,Gymnastics - Rhythmic,Clubs,G,Australia& Oceania
Alexandra Kiroi-Bogatyreva,Australia,Gymnastics - Rhythmic,Team,S,Australia& Oceania
Alexandra Kiroi-Bogatyreva,Australia,Gymnastics - Rhythmic,Individual All-Around,B,Australia& Oceania
Jacob Anderson,Australia,Hockey,Men,G,Australia& Oceania
Jocelyn Bartram,Australia,Hockey,Women,S,Australia& Oceania
Daniel Beale,Australia,Hockey,Men,G,Australia& Oceania
Joshua Beltz,Australia,Hockey,Men,G,Australia& Oceania
Timothy Brand,Australia,Hockey,Men,G,Australia& Oceania
Andrew Charter,Australia,Hockey,Men,G,Australia& Oceania
Jane-Anne Claxton,Australia,Hockey,Women,S,Australia& Oceania
Claire Colwill,Australia,Hockey,Women,S,Australia& Oceania
Matt Dawson,Australia,Hockey,Men,G,Australia& Oceania
Johan Durst,Australia,Hockey,Men,G,Australia& Oceania
Nathan Ephraums,Australia,Hockey,Men,G,Australia& Oceania
Maddy Fitzpatrick,Australia,Hockey,Women,S,Australia& Oceania
Blake Govers,Australia,Hockey,Men,G,Australia& Oceania
Rebecca Greiner,Australia,Hockey,Women,S,Australia& Oceania
Jake Harvie,Australia,Hockey,Men,G,Australia& Oceania
Greta Hayes,Australia,Hockey,Women,S,Australia& Oceania
Jeremy Hayward,Australia,Hockey,Men,G,Australia& Oceania
Tim Howard,Australia,Hockey,Men,G,Australia& Oceania
Stephanie Kershaw,Australia,Hockey,Women,S,Australia& Oceania
Amy Lawton,Australia,Hockey,Women,S,Australia& Oceania
Ambrosia Malone,Australia,Hockey,Women,S,Australia& Oceania
Kaitlin Nobbs,Australia,Hockey,Women,S,Australia& Oceania
Edward Ockenden,Australia,Hockey,Men,G,Australia& Oceania
Flynn Ogilvie,Australia,Hockey,Men,G,Australia& Oceania
Aleisha Power,Australia,Hockey,Women,S,Australia& Oceania
Joshua Simmonds,Australia,Hockey,Men,G,Australia& Oceania
Karri Somerville,Australia,Hockey,Women,S,Australia& Oceania
Penny Squibb,Australia,Hockey,Women,S,Australia& Oceania
Grace Stewart,Australia,Hockey,Women,S,Australia& Oceania
Renee Taylor,Australia,Hockey,Women,S,Australia& Oceania
Shanea Tonkin,Australia,Hockey,Women,S,Australia& Oceania
Jake Whetton,Australia,Hockey,Men,G,Australia& Oceania
Tom Wickham,Australia,Hockey,Men,G,Australia& Oceania
Mariah Williams,Australia,Hockey,Women,S,Australia& Oceania
Georgia Wilson,Australia,Hockey,Women,S,Australia& Oceania
Aran Zalewski,Australia,Hockey,Men,G,Australia& Oceania
Jake Bensted,Australia,Judo,Men -73 kg,B,Australia& Oceania
Harrison Cassar,Australia,Judo,Men -90 kg,B,Australia& Oceania
Aoife Coughlan,Australia,Judo,Women -70 kg,G,Australia& Oceania
Tinka Easton,Australia,Judo,Women -52 kg,G,Australia& Oceania
Katharina Haecker,Australia,Judo,Women -63 kg,B,Australia& Oceania
Nathan Katz,Australia,Judo,Men -66 kg,B,Australia& Oceania
Joshua Katz,Australia,Judo,Men -60 kg,B,Australia& Oceania
Uros Nikolic,Australia,Judo,Men -81 kg,B,Australia& Oceania
Abigail Paduch,Australia,Judo,Women +78 kg,B,Australia& Oceania
Liam Park,Australia,Judo,Men +100 kg,B,Australia& Oceania
Serena Bonnell,Australia,Lawn Bowls and Para Lawn Bowls,Para Women's Pairs B6-B8,S,Australia& Oceania
Damien Delgado,Australia,Lawn Bowls and Para Lawn Bowls,Para Men's Pairs B6-B8,S,Australia& Oceania
Chris Flavel,Australia,Lawn Bowls and Para Lawn Bowls,Para Men's Pairs B6-B8,S,Australia& Oceania
Carl Healey,Australia,Lawn Bowls and Para Lawn Bowls,Men's Triples,S,Australia& Oceania
Kristina Krstic,Australia,Lawn Bowls and Para Lawn Bowls,Women's Pairs,G,Australia& Oceania
Barry Lester,Australia,Lawn Bowls and Para Lawn Bowls,Men's Triples,S,Australia& Oceania
Cheryl Lindfield,Australia,Lawn Bowls and Para Lawn Bowls,Para Women's Pairs B6-B8,S,Australia& Oceania
Ellen Ryan,Australia,Lawn Bowls and Para Lawn Bowls,Women's Pairs,G,Australia& Oceania
Ellen Ryan,Australia,Lawn Bowls and Para Lawn Bowls,Women's Singles,G,Australia& Oceania
Ben Twist,Australia,Lawn Bowls and Para Lawn Bowls,Men's Triples,S,Australia& Oceania
Aaron Wilson,Australia,Lawn Bowls and Para Lawn Bowls,Men's Singles,G,Australia& Oceania
Sunday Aryang,Australia,Netball,Netball,G,Australia& Oceania
Kiera Austin,Australia,Netball,Netball,G,Australia& Oceania
Ashleigh Brazill,Australia,Netball,Netball,G,Australia& Oceania
Courtney Bruce,Australia,Netball,Netball,G,Australia& Oceania
Gretel Bueta,Australia,Netball,Netball,G,Australia& Oceania
