rank,song,artist,last-week,peak-rank,weeks-on-board,date
57,Bad Boy,Juice WRLD & Young Thug,22,22,2,2021-02-06
58,Down To One,Luke Bryan,70,58,5,2021-02-06
59,What's Your Country Song,Thomas Rhett,60,59,6,2021-02-06
60,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,84,60,2,2021-02-06
61,Back To The Streets,Saweetie Featuring Jhene Aiko,58,58,10,2021-02-06
62,Lo Vas A Olvidar,Billie Eilish & ROSALIA,,62,1,2021-02-06
63,Tyler Herro,Jack Harlow,69,34,14,2021-02-06
64,The Good Ones,Gabby Barrett,81,64,5,2021-02-06
65,Golden,Harry Styles,82,65,14,2021-02-06
66,Forever After All,Luke Combs,65,2,14,2021-02-06
67,Buss It,Erica Banks,83,67,3,2021-02-06
68,Long Live,Florida Georgia Line,80,68,4,2021-02-06
69,Monsters,All Time Low Featuring Demi Lovato & blackbear ,77,69,5,2021-02-06
70,Monster,Shawn Mendes & Justin Bieber,67,8,10,2021-02-06
71,Holiday,Lil Nas X,59,37,11,2021-02-06
72,Still Goin Down,Morgan Wallen,66,45,6,2021-02-06
73,Goosebumps,Travis Scott & HVME,85,73,2,2021-02-06
74,Cover Me Up,Morgan Wallen,71,52,4,2021-02-06
75,Bichota,Karol G,88,73,9,2021-02-06
76,Warning,Morgan Wallen,72,42,3,2021-02-06
77,865,Morgan Wallen,74,46,3,2021-02-06
78,Take You Dancing,Jason Derulo,78,57,8,2021-02-06
79,So Done,The Kid LAROI,87,59,12,2021-02-06
80,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,75,10,17,2021-02-06
81,Prisoner,Miley Cyrus Featuring Dua Lipa,79,54,10,2021-02-06
82,"Big, Big Plans",Chris Lane,68,42,17,2021-02-06
83,Hit Different,SZA Featuring Ty Dolla $ign,86,29,20,2021-02-06
84,Still Trappin',Lil Durk & King Von,63,53,5,2021-02-06
85,Girl Like Me,Black Eyed Peas X Shakira,91,85,3,2021-02-06
86,Lady,Brett Young,95,86,3,2021-02-06
87,Momma's House,Dustin Lynch,93,87,3,2021-02-06
88,Moonwalking In Calabasas,DDG,89,82,5,2021-02-06
89,Somebody Like That,Tenille Arts,97,89,2,2021-02-06
90,Hell Of A View,Eric Church,99,90,3,2021-02-06
91,Heat Waves,Glass Animals,,91,2,2021-02-06
92,Masterpiece,DaBaby,55,55,2,2021-02-06
93,Champagne Night,Lady A,62,33,14,2021-02-06
94,Drankin N Smokin,Future & Lil Uzi Vert,96,31,4,2021-02-06
95,You Got It,VEDO,,87,5,2021-02-06
96,One Too Many,Keith Urban Duet With P!nk,98,62,7,2021-02-06
97,Opp Stoppa,YBN Nahmir Featuring 21 Savage,,97,1,2021-02-06
98,Kacey Talk,YoungBoy Never Broke Again,,50,16,2021-02-06
99,Adderall (Corvette Corvette),Popp Hunna,90,74,6,2021-02-06
100,Antes,Anuel AA & Ozuna,,100,1,2021-02-06
1,Drivers License,Olivia Rodrigo,1,1,2,2021-01-30
2,34+35,Ariana Grande,11,2,12,2021-01-30
3,Mood,24kGoldn Featuring iann dior,2,1,24,2021-01-30
4,Blinding Lights,The Weeknd,4,1,59,2021-01-30
5,Positions,Ariana Grande,3,1,13,2021-01-30
6,Levitating,Dua Lipa Featuring DaBaby,6,6,16,2021-01-30
7,Go Crazy,Chris Brown & Young Thug,5,5,37,2021-01-30
8,Holy,Justin Bieber Featuring Chance The Rapper,7,3,18,2021-01-30
9,Bang!,AJR,8,8,29,2021-01-30
10,Good Days,SZA,10,10,4,2021-01-30
11,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,15,6,29,2021-01-30
12,I Hope,Gabby Barrett Featuring Charlie Puth,14,3,56,2021-01-30
13,Therefore I Am,Billie Eilish,17,2,11,2021-01-30
14,Lonely,Justin Bieber & benny blanco,12,12,14,2021-01-30
15,Better Together,Luke Combs,24,15,16,2021-01-30
16,Body,Megan Thee Stallion,20,12,9,2021-01-30
17,Laugh Now Cry Later,Drake Featuring Lil Durk,13,2,23,2021-01-30
18,Dakiti,Bad Bunny & Jhay Cortez,23,5,12,2021-01-30
19,Whoopty,CJ,25,19,11,2021-01-30
20,Save Your Tears,The Weeknd,21,20,6,2021-01-30
21,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,19,6,23,2021-01-30
22,Bad Boy,Juice WRLD & Young Thug,,22,1,2021-01-30
23,What You Know Bout Love,Pop Smoke,27,20,20,2021-01-30
24,Wasted On You,Morgan Wallen,9,9,2,2021-01-30
25,7 Summers,Morgan Wallen,18,6,22,2021-01-30
26,Anyone,Justin Bieber,22,6,3,2021-01-30
27,More Than My Hometown,Morgan Wallen,16,15,30,2021-01-30
28,Willow,Taylor Swift,29,1,6,2021-01-30
29,Kings & Queens,Ava Max,28,13,24,2021-01-30
30,Before You Go,Lewis Capaldi,31,9,48,2021-01-30
31,You Broke Me First.,Tate McRae,33,31,22,2021-01-30
32,You're Mines Still,Yung Bleu Featuring Drake,54,32,7,2021-01-30
33,On Me,Lil Baby,37,30,7,2021-01-30
34,My Ex's Best Friend,Machine Gun Kelly X blackbear,40,28,23,2021-01-30
35,Starting Over,Chris Stapleton,38,25,21,2021-01-30
36,Somebody's Problem,Morgan Wallen,26,25,6,2021-01-30
37,Rockstar,DaBaby Featuring Roddy Ricch,34,1,39,2021-01-30
38,I Should Probably Go To Bed,Dan + Shay,30,28,24,2021-01-30
39,Streets,Doja Cat,91,39,2,2021-01-30
40,Sand In My Boots,Morgan Wallen,32,32,2,2021-01-30
41,Afterglow,Ed Sheeran,36,29,5,2021-01-30
42,Good Time,Niko Moon,44,42,16,2021-01-30
43,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",41,2,49,2021-01-30
44,Hole In The Bottle,Kelsea Ballerini,49,44,14,2021-01-30
45,Dynamite,BTS,35,1,22,2021-01-30
46,Back In Blood,Pooh Shiesty Featuring Lil Durk,78,46,3,2021-01-30
47,Diamonds,Sam Smith,47,39,18,2021-01-30
48,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,43,1,30,2021-01-30
49,Best Friend,Saweetie Featuring Doja Cat,39,39,2,2021-01-30
50,WAP,Cardi B Featuring Megan Thee Stallion,48,1,24,2021-01-30
51,Cry Baby,Megan Thee Stallion Featuring DaBaby,51,44,7,2021-01-30
52,Without You,The Kid LAROI,57,52,7,2021-01-30
53,Damage,H.E.R.,64,53,6,2021-01-30
54,Throat Baby (Go Baby),BRS Kash,69,54,14,2021-01-30
55,Masterpiece,DaBaby,,55,1,2021-01-30
56,Love You Like I Used To,Russell Dickerson,60,31,20,2021-01-30
57,Happy Does,Kenny Chesney,70,57,10,2021-01-30
58,Back To The Streets,Saweetie Featuring Jhene Aiko,68,58,9,2021-01-30
59,Holiday,Lil Nas X,58,37,10,2021-01-30
60,What's Your Country Song,Thomas Rhett,76,60,5,2021-01-30
61,Put Your Records On,Ritt Momney,75,61,14,2021-01-30
62,Champagne Night,Lady A,53,33,13,2021-01-30
63,Still Trappin',Lil Durk & King Von,61,53,4,2021-01-30
64,Beers And Sunshine,Darius Rucker,77,64,6,2021-01-30
65,Forever After All,Luke Combs,67,2,13,2021-01-30
66,Still Goin Down,Morgan Wallen,45,45,5,2021-01-30
67,Monster,Shawn Mendes & Justin Bieber,55,8,9,2021-01-30
68,"Big, Big Plans",Chris Lane,59,42,16,2021-01-30
69,Tyler Herro,Jack Harlow,71,34,13,2021-01-30
70,Down To One,Luke Bryan,82,70,4,2021-01-30
71,Cover Me Up,Morgan Wallen,52,52,3,2021-01-30
72,Warning,Morgan Wallen,42,42,2,2021-01-30
73,Just The Way,Parmalee x Blanco Brown,87,73,4,2021-01-30
74,865,Morgan Wallen,46,46,2,2021-01-30
75,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,65,10,16,2021-01-30
76,Undivided,Tim McGraw & Tyler Hubbard,,76,1,2021-01-30
77,Monsters,All Time Low Featuring Demi Lovato & blackbear ,81,70,4,2021-01-30
78,Take You Dancing,Jason Derulo,72,57,7,2021-01-30
79,Prisoner,Miley Cyrus Featuring Dua Lipa,73,54,9,2021-01-30
80,Long Live,Florida Georgia Line,79,79,3,2021-01-30
81,The Good Ones,Gabby Barrett,89,77,4,2021-01-30
82,Golden,Harry Styles,85,65,13,2021-01-30
83,Buss It,Erica Banks,100,83,2,2021-01-30
84,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,,84,1,2021-01-30
85,Goosebumps,Travis Scott & HVME,,85,1,2021-01-30
86,Hit Different,SZA Featuring Ty Dolla $ign,80,29,19,2021-01-30
87,So Done,The Kid LAROI,94,59,11,2021-01-30
88,Bichota,Karol G,88,73,8,2021-01-30
89,Moonwalking In Calabasas,DDG,99,82,4,2021-01-30
90,Adderall (Corvette Corvette),Popp Hunna,96,74,5,2021-01-30
91,Girl Like Me,Black Eyed Peas X Shakira,,87,2,2021-01-30
92,De Una Vez,Selena Gomez,,92,1,2021-01-30
93,Momma's House,Dustin Lynch,,88,2,2021-01-30
94,Better Days,Ant Clemons Featuring Justin Timberlake,,94,1,2021-01-30
95,Lady,Brett Young,,95,2,2021-01-30
96,Drankin N Smokin,Future & Lil Uzi Vert,,31,3,2021-01-30
97,Somebody Like That,Tenille Arts,,97,1,2021-01-30
98,One Too Many,Keith Urban Duet With P!nk,,62,6,2021-01-30
99,Hell Of A View,Eric Church,,94,2,2021-01-30
100,Dangerous,Morgan Wallen,62,62,2,2021-01-30
1,Drivers License,Olivia Rodrigo,,1,1,2021-01-23
2,Mood,24kGoldn Featuring iann dior,1,1,23,2021-01-23
3,Positions,Ariana Grande,2,1,12,2021-01-23
4,Blinding Lights,The Weeknd,3,1,58,2021-01-23
5,Go Crazy,Chris Brown & Young Thug,5,5,36,2021-01-23
6,Levitating,Dua Lipa Featuring DaBaby,7,6,15,2021-01-23
7,Holy,Justin Bieber Featuring Chance The Rapper,4,3,17,2021-01-23
8,Bang!,AJR,9,8,28,2021-01-23
9,Wasted On You,Morgan Wallen,,9,1,2021-01-23
10,Good Days,SZA,23,10,3,2021-01-23
11,34+35,Ariana Grande,13,8,11,2021-01-23
12,Lonely,Justin Bieber & benny blanco,18,12,13,2021-01-23
13,Laugh Now Cry Later,Drake Featuring Lil Durk,8,2,22,2021-01-23
14,I Hope,Gabby Barrett Featuring Charlie Puth,10,3,55,2021-01-23
15,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,11,6,28,2021-01-23
16,More Than My Hometown,Morgan Wallen,27,15,29,2021-01-23
17,Therefore I Am,Billie Eilish,14,2,10,2021-01-23
18,7 Summers,Morgan Wallen,53,6,21,2021-01-23
19,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,12,6,22,2021-01-23
20,Body,Megan Thee Stallion,16,12,8,2021-01-23
21,Save Your Tears,The Weeknd,46,21,5,2021-01-23
22,Anyone,Justin Bieber,6,6,2,2021-01-23
23,Dakiti,Bad Bunny & Jhay Cortez,17,5,11,2021-01-23
24,Better Together,Luke Combs,19,19,15,2021-01-23
25,Whoopty,CJ,21,21,10,2021-01-23
26,Somebody's Problem,Morgan Wallen,81,25,5,2021-01-23
27,What You Know Bout Love,Pop Smoke,20,20,19,2021-01-23
28,Kings & Queens,Ava Max,15,13,23,2021-01-23
29,Willow,Taylor Swift,22,1,5,2021-01-23
30,I Should Probably Go To Bed,Dan + Shay,28,28,23,2021-01-23
31,Before You Go,Lewis Capaldi,24,9,47,2021-01-23
32,Sand In My Boots,Morgan Wallen,,32,1,2021-01-23
33,You Broke Me First.,Tate McRae,40,33,21,2021-01-23
34,Rockstar,DaBaby Featuring Roddy Ricch,26,1,38,2021-01-23
35,Dynamite,BTS,25,1,21,2021-01-23
36,Afterglow,Ed Sheeran,29,29,4,2021-01-23
37,On Me,Lil Baby,38,30,6,2021-01-23
38,Starting Over,Chris Stapleton,30,25,20,2021-01-23
39,Best Friend,Saweetie Featuring Doja Cat,,39,1,2021-01-23
40,My Ex's Best Friend,Machine Gun Kelly X blackbear,41,28,22,2021-01-23
41,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",34,2,48,2021-01-23
42,Warning,Morgan Wallen,,42,1,2021-01-23
43,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,31,1,29,2021-01-23
44,Good Time,Niko Moon,48,44,15,2021-01-23
45,Still Goin Down,Morgan Wallen,98,45,4,2021-01-23
46,865,Morgan Wallen,,46,1,2021-01-23
47,Diamonds,Sam Smith,39,39,17,2021-01-23
48,WAP,Cardi B Featuring Megan Thee Stallion,35,1,23,2021-01-23
49,Hole In The Bottle,Kelsea Ballerini,45,45,13,2021-01-23
50,Hawai,Maluma & The Weeknd,43,12,21,2021-01-23
51,Cry Baby,Megan Thee Stallion Featuring DaBaby,44,44,6,2021-01-23
52,Cover Me Up,Morgan Wallen,,52,2,2021-01-23
53,Champagne Night,Lady A,33,33,12,2021-01-23
54,You're Mines Still,Yung Bleu Featuring Drake,56,52,6,2021-01-23
55,Monster,Shawn Mendes & Justin Bieber,36,8,8,2021-01-23
56,B.S.,Jhene Aiko Featuring H.E.R.,52,24,23,2021-01-23
57,Without You,The Kid LAROI,54,54,6,2021-01-23
58,Holiday,Lil Nas X,47,37,9,2021-01-23
59,"Big, Big Plans",Chris Lane,49,42,15,2021-01-23
60,Love You Like I Used To,Russell Dickerson,50,31,19,2021-01-23
61,Still Trappin',Lil Durk & King Von,59,53,3,2021-01-23
62,Dangerous,Morgan Wallen,,62,1,2021-01-23
63,Neon Eyes,Morgan Wallen,,63,1,2021-01-23
64,Damage,H.E.R.,66,64,5,2021-01-23
65,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,55,10,15,2021-01-23
66,More Surprised Than Me,Morgan Wallen,,66,1,2021-01-23
67,Forever After All,Luke Combs,51,2,12,2021-01-23
68,Back To The Streets,Saweetie Featuring Jhene Aiko,63,63,8,2021-01-23
69,Throat Baby (Go Baby),BRS Kash,58,58,13,2021-01-23
70,Happy Does,Kenny Chesney,69,69,9,2021-01-23
71,Tyler Herro,Jack Harlow,61,34,12,2021-01-23
72,Take You Dancing,Jason Derulo,57,57,6,2021-01-23
73,Prisoner,Miley Cyrus Featuring Dua Lipa,60,54,8,2021-01-23
74,Livin' The Dream,Morgan Wallen,,74,2,2021-01-23
75,Put Your Records On,Ritt Momney,67,67,13,2021-01-23
76,What's Your Country Song,Thomas Rhett,68,68,4,2021-01-23
77,Beers And Sunshine,Darius Rucker,64,64,5,2021-01-23
78,Back In Blood,Pooh Shiesty Featuring Lil Durk,93,78,2,2021-01-23
79,Long Live,Florida Georgia Line,79,79,2,2021-01-23
80,Hit Different,SZA Featuring Ty Dolla $ign,62,29,18,2021-01-23
81,Monsters,All Time Low Featuring Demi Lovato & blackbear ,70,70,3,2021-01-23
82,Down To One,Luke Bryan,72,72,3,2021-01-23
83,Whiskey'd My Way,Morgan Wallen,,83,1,2021-01-23
84,Your Bartender,Morgan Wallen,,84,1,2021-01-23
85,Golden,Harry Styles,65,65,12,2021-01-23
86,Outlaw,Morgan Wallen Featuring Ben Burgess,,86,1,2021-01-23
87,Just The Way,Parmalee x Blanco Brown,75,75,3,2021-01-23
88,Bichota,Karol G,73,73,7,2021-01-23
89,The Good Ones,Gabby Barrett,77,77,3,2021-01-23
90,Only Thing That's Gone,Morgan Wallen Featuring Chris Stapleton,,90,1,2021-01-23
91,Streets,Doja Cat,,91,1,2021-01-23
92,This Bar,Morgan Wallen,,92,1,2021-01-23
93,Wonderin' Bout The Wind,Morgan Wallen,,93,1,2021-01-23
94,So Done,The Kid LAROI,80,59,10,2021-01-23
95,Pick Up Your Feelings,Jazmine Sullivan,,95,1,2021-01-23
96,Adderall (Corvette Corvette),Popp Hunna,78,74,4,2021-01-23
97,Girl Like Me,Jazmine Sullivan Featuring H.E.R.,,97,1,2021-01-23
98,Midnight Sky,Miley Cyrus,71,14,20,2021-01-23
99,Moonwalking In Calabasas,DDG,82,82,3,2021-01-23
100,Buss It,Erica Banks,,100,1,2021-01-23
1,Mood,24kGoldn Featuring iann dior,1,1,22,2021-01-16
2,Positions,Ariana Grande,2,1,11,2021-01-16
3,Blinding Lights,The Weeknd,3,1,57,2021-01-16
4,Holy,Justin Bieber Featuring Chance The Rapper,4,3,16,2021-01-16
5,Go Crazy,Chris Brown & Young Thug,6,5,35,2021-01-16
6,Anyone,Justin Bieber,,6,1,2021-01-16
7,Levitating,Dua Lipa Featuring DaBaby,10,7,14,2021-01-16
8,Laugh Now Cry Later,Drake Featuring Lil Durk,7,2,21,2021-01-16
9,Bang!,AJR,11,9,27,2021-01-16
10,I Hope,Gabby Barrett Featuring Charlie Puth,8,3,54,2021-01-16
11,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,13,6,27,2021-01-16
12,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,14,6,21,2021-01-16
13,34+35,Ariana Grande,19,8,10,2021-01-16
14,Therefore I Am,Billie Eilish,18,2,9,2021-01-16
15,Kings & Queens,Ava Max,16,13,22,2021-01-16
16,Body,Megan Thee Stallion,21,12,7,2021-01-16
17,Dakiti,Bad Bunny & Jhay Cortez,20,5,10,2021-01-16
18,Lonely,Justin Bieber & benny blanco,25,14,12,2021-01-16
19,Better Together,Luke Combs,24,19,14,2021-01-16
20,What You Know Bout Love,Pop Smoke,22,20,18,2021-01-16
21,Whoopty,CJ,27,21,9,2021-01-16
22,Willow,Taylor Swift,23,1,4,2021-01-16
23,Good Days,SZA,38,23,2,2021-01-16
24,Before You Go,Lewis Capaldi,30,9,46,2021-01-16
25,Dynamite,BTS,5,1,20,2021-01-16
26,Rockstar,DaBaby Featuring Roddy Ricch,26,1,37,2021-01-16
27,More Than My Hometown,Morgan Wallen,33,15,28,2021-01-16
28,I Should Probably Go To Bed,Dan + Shay,37,28,22,2021-01-16
29,Afterglow,Ed Sheeran,32,29,3,2021-01-16
30,Starting Over,Chris Stapleton,35,25,19,2021-01-16
31,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,31,1,28,2021-01-16
32,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,42,32,22,2021-01-16
33,Champagne Night,Lady A,52,33,11,2021-01-16
34,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",34,2,47,2021-01-16
35,WAP,Cardi B Featuring Megan Thee Stallion,36,1,22,2021-01-16
36,Monster,Shawn Mendes & Justin Bieber,45,8,7,2021-01-16
37,Pretty Heart,Parker McCollum,40,36,22,2021-01-16
38,On Me,Lil Baby,48,30,5,2021-01-16
39,Diamonds,Sam Smith,46,39,16,2021-01-16
40,You Broke Me First.,Tate McRae,51,40,20,2021-01-16
41,My Ex's Best Friend,Machine Gun Kelly X blackbear,56,28,21,2021-01-16
42,Watermelon Sugar,Harry Styles,47,1,39,2021-01-16
43,Hawai,Maluma & The Weeknd,49,12,20,2021-01-16
44,Cry Baby,Megan Thee Stallion Featuring DaBaby,57,44,5,2021-01-16
45,Hole In The Bottle,Kelsea Ballerini,58,45,12,2021-01-16
46,Save Your Tears,The Weeknd,95,41,4,2021-01-16
47,Holiday,Lil Nas X,43,37,8,2021-01-16
48,Good Time,Niko Moon,61,48,14,2021-01-16
49,"Big, Big Plans",Chris Lane,54,42,14,2021-01-16
50,Love You Like I Used To,Russell Dickerson,60,31,18,2021-01-16
51,Forever After All,Luke Combs,55,2,11,2021-01-16
52,B.S.,Jhene Aiko Featuring H.E.R.,59,24,22,2021-01-16
53,7 Summers,Morgan Wallen,63,6,20,2021-01-16
54,Without You,The Kid LAROI,65,54,5,2021-01-16
55,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,64,10,14,2021-01-16
56,You're Mines Still,Yung Bleu Featuring Drake,69,52,5,2021-01-16
57,Take You Dancing,Jason Derulo,79,57,5,2021-01-16
58,Throat Baby (Go Baby),BRS Kash,66,58,12,2021-01-16
59,Still Trappin',Lil Durk & King Von,53,53,2,2021-01-16
60,Prisoner,Miley Cyrus Featuring Dua Lipa,67,54,7,2021-01-16
61,Tyler Herro,Jack Harlow,68,34,11,2021-01-16
62,Hit Different,SZA Featuring Ty Dolla $ign,70,29,17,2021-01-16
63,Back To The Streets,Saweetie Featuring Jhene Aiko,77,63,7,2021-01-16
64,Beers And Sunshine,Darius Rucker,76,64,4,2021-01-16
65,Golden,Harry Styles,75,65,11,2021-01-16
66,Damage,H.E.R.,78,66,4,2021-01-16
67,Put Your Records On,Ritt Momney,84,67,12,2021-01-16
68,What's Your Country Song,Thomas Rhett,80,68,3,2021-01-16
69,Happy Does,Kenny Chesney,87,69,8,2021-01-16
70,Monsters,All Time Low Featuring Demi Lovato & blackbear ,88,70,2,2021-01-16
71,Midnight Sky,Miley Cyrus,81,14,19,2021-01-16
72,Down To One,Luke Bryan,91,72,2,2021-01-16
73,Bichota,Karol G,85,73,6,2021-01-16
74,Backdoor,Lil Durk,62,62,3,2021-01-16
75,Just The Way,Parmalee x Blanco Brown,97,75,2,2021-01-16
76,Ain't Always The Cowboy,Jon Pardi,83,55,18,2021-01-16
77,The Good Ones,Gabby Barrett,100,77,2,2021-01-16
78,Adderall (Corvette Corvette),Popp Hunna,74,74,3,2021-01-16
79,Long Live,Florida Georgia Line,,79,1,2021-01-16
80,So Done,The Kid LAROI,96,59,9,2021-01-16
81,Somebody's Problem,Morgan Wallen,,25,4,2021-01-16
82,Moonwalking In Calabasas,DDG,,82,2,2021-01-16
83,Way Out,Jack Harlow Featuring Big Sean,98,74,4,2021-01-16
84,Stay Down,"Lil Durk, 6LACK & Young Thug",73,73,3,2021-01-16
85,Some Girls,Jameson Rodgers,,29,17,2021-01-16
86,Took Her To The O,King Von,94,47,8,2021-01-16
87,Girl Like Me,Black Eyed Peas X Shakira,,87,1,2021-01-16
88,Momma's House,Dustin Lynch,,88,1,2021-01-16
89,One Too Many,Keith Urban Duet With P!nk,,62,5,2021-01-16
90,Kacey Talk,YoungBoy Never Broke Again,,50,15,2021-01-16
91,Wonder,Shawn Mendes,,18,11,2021-01-16
92,La Noche de Anoche,Bad Bunny & Rosalia,,53,3,2021-01-16
93,Back In Blood,Pooh Shiesty Featuring Lil Durk,,93,1,2021-01-16
94,Hell Of A View,Eric Church,,94,1,2021-01-16
95,Almost Maybes,Jordan Davis,,95,1,2021-01-16
96,Everywhere But On,Matt Stell,,48,12,2021-01-16
97,Lady,Brett Young,,97,1,2021-01-16
98,Still Goin Down,Morgan Wallen,,46,3,2021-01-16
99,Reminds Me Of You,The Kid LAROI & Juice WRLD,,89,2,2021-01-16
100,Heat Waves,Glass Animals,,100,1,2021-01-16
1,Mood,24kGoldn Featuring iann dior,7,1,21,2021-01-09
2,Positions,Ariana Grande,14,1,10,2021-01-09
3,Blinding Lights,The Weeknd,,1,56,2021-01-09
4,Holy,Justin Bieber Featuring Chance The Rapper,21,3,15,2021-01-09
5,Dynamite,BTS,44,1,19,2021-01-09
6,Go Crazy,Chris Brown & Young Thug,24,6,34,2021-01-09
7,Laugh Now Cry Later,Drake Featuring Lil Durk,25,2,20,2021-01-09
8,I Hope,Gabby Barrett Featuring Charlie Puth,30,3,53,2021-01-09
9,All I Want For Christmas Is You,Mariah Carey,1,1,44,2021-01-09
10,Levitating,Dua Lipa Featuring DaBaby,27,10,13,2021-01-09
11,Bang!,AJR,37,11,26,2021-01-09
12,Rockin' Around The Christmas Tree,Brenda Lee,2,2,39,2021-01-09
13,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,29,6,26,2021-01-09
14,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,31,6,20,2021-01-09
15,Jingle Bell Rock,Bobby Helms,3,3,36,2021-01-09
16,Kings & Queens,Ava Max,41,13,21,2021-01-09
17,A Holly Jolly Christmas,Burl Ives,4,4,20,2021-01-09
18,Therefore I Am,Billie Eilish,42,2,8,2021-01-09
19,34+35,Ariana Grande,40,8,9,2021-01-09
20,Dakiti,Bad Bunny & Jhay Cortez,34,5,9,2021-01-09
21,Body,Megan Thee Stallion,35,12,6,2021-01-09
22,What You Know Bout Love,Pop Smoke,51,22,17,2021-01-09
23,Willow,Taylor Swift,38,1,3,2021-01-09
24,Better Together,Luke Combs,57,24,13,2021-01-09
25,Lonely,Justin Bieber & benny blanco,53,14,11,2021-01-09
26,Rockstar,DaBaby Featuring Roddy Ricch,,1,36,2021-01-09
27,Whoopty,CJ,52,27,8,2021-01-09
28,It's The Most Wonderful Time Of The Year,Andy Williams,5,5,21,2021-01-09
29,Run Rudolph Run,Chuck Berry,10,10,9,2021-01-09
30,Before You Go,Lewis Capaldi,,9,45,2021-01-09
31,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,,1,27,2021-01-09
32,Afterglow,Ed Sheeran,59,32,2,2021-01-09
33,More Than My Hometown,Morgan Wallen,,15,27,2021-01-09
34,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",,2,46,2021-01-09
35,Starting Over,Chris Stapleton,66,25,18,2021-01-09
36,WAP,Cardi B Featuring Megan Thee Stallion,55,1,21,2021-01-09
37,I Should Probably Go To Bed,Dan + Shay,,37,21,2021-01-09
38,Good Days,SZA,,38,1,2021-01-09
39,Feliz Navidad,Jose Feliciano,6,6,15,2021-01-09
40,Pretty Heart,Parker McCollum,,36,21,2021-01-09
41,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,8,8,14,2021-01-09
42,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,,36,21,2021-01-09
43,Holiday,Lil Nas X,56,37,7,2021-01-09
44,The Christmas Song (Merry Christmas To You),Nat King Cole,11,11,27,2021-01-09
45,Monster,Shawn Mendes & Justin Bieber,64,8,6,2021-01-09
46,Diamonds,Sam Smith,65,40,15,2021-01-09
47,Watermelon Sugar,Harry Styles,,1,38,2021-01-09
48,On Me,Lil Baby,58,30,4,2021-01-09
49,Hawai,Maluma & The Weeknd,63,12,19,2021-01-09
50,Underneath The Tree,Kelly Clarkson,12,12,10,2021-01-09
51,You Broke Me First.,Tate McRae,68,50,19,2021-01-09
52,Champagne Night,Lady A,80,52,10,2021-01-09
53,Still Trappin',Lil Durk & King Von,,53,1,2021-01-09
54,"Big, Big Plans",Chris Lane,71,42,13,2021-01-09
55,Forever After All,Luke Combs,73,2,10,2021-01-09
56,My Ex's Best Friend,Machine Gun Kelly X blackbear,69,28,20,2021-01-09
57,Cry Baby,Megan Thee Stallion Featuring DaBaby,67,57,4,2021-01-09
58,Hole In The Bottle,Kelsea Ballerini,96,58,11,2021-01-09
59,B.S.,Jhene Aiko Featuring H.E.R.,,24,21,2021-01-09
60,Love You Like I Used To,Russell Dickerson,79,31,17,2021-01-09
61,Good Time,Niko Moon,82,61,13,2021-01-09
62,Backdoor,Lil Durk,93,62,2,2021-01-09
63,7 Summers,Morgan Wallen,83,6,19,2021-01-09
64,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,72,10,13,2021-01-09
65,Without You,The Kid LAROI,70,63,4,2021-01-09
66,Throat Baby (Go Baby),BRS Kash,74,66,11,2021-01-09
67,Prisoner,Miley Cyrus Featuring Dua Lipa,81,54,6,2021-01-09
68,Tyler Herro,Jack Harlow,76,34,10,2021-01-09
69,You're Mines Still,Yung Bleu Featuring Drake,85,52,4,2021-01-09
70,Hit Different,SZA Featuring Ty Dolla $ign,90,29,16,2021-01-09
71,Redman,Lil Durk,,71,1,2021-01-09
72,Slay3r,Playboi Carti,,72,1,2021-01-09
73,Stay Down,"Lil Durk, 6LACK & Young Thug",,73,2,2021-01-09
74,Adderall (Corvette Corvette),Popp Hunna,84,74,2,2021-01-09
75,Golden,Harry Styles,95,74,10,2021-01-09
76,Beers And Sunshine,Darius Rucker,,76,3,2021-01-09
