,date,cheveux,age,exp,salaire,sexe,diplome,specialite,note,dispo,embauche
72,2011-06-11,brun,42.0,5.0,42833.0,M,licence,geologie,67.16,non,0
73,2012-05-09,brun,29.0,7.0,42383.0,M,licence,forage,66.07,oui,0
74,2012-02-15,brun,26.0,8.0,28401.0,F,doctorat,detective,85.1,oui,0
75,2014-12-13,brun,61.0,9.0,32275.0,M,master,geologie,91.66,non,0
76,2012-01-14,chatain,22.0,15.0,27395.0,F,master,forage,87.07,non,0
77,2014-09-13,blond,33.0,12.0,38843.0,M,bac,geologie,64.6,non,0
78,2012-01-31,blond,35.0,8.0,43587.0,M,licence,geologie,47.01,oui,0
79,2014-10-11,blond,26.0,10.0,33852.0,F,bac,geologie,75.27,non,0
80,2012-02-21,brun,37.0,11.0,34451.0,F,licence,geologie,76.2,non,0
81,2012-04-17,chatain,31.0,9.0,25740.0,F,doctorat,forage,97.07,non,0
82,2013-06-23,roux,46.0,7.0,35899.0,M,licence,geologie,66.5,non,0
83,2012-10-13,blond,35.0,14.0,31201.0,M,licence,geologie,87.35,non,0
84,2013-05-17,blond,44.0,11.0,35865.0,M,master,geologie,82.39,oui,1
85,2014-06-26,blond,21.0,14.0,33632.0,M,licence,geologie,,non,0
86,2013-10-30,chatain,36.0,10.0,31450.0,F,master,detective,89.11,oui,0
87,2012-10-30,roux,37.0,12.0,27789.0,M,,geologie,81.83,non,0
88,2012-11-24,blond,30.0,3.0,34821.0,M,master,geologie,81.13,oui,0
89,2012-08-12,blond,39.0,14.0,39782.0,M,master,archeologie,54.71,oui,0
90,2013-11-17,brun,41.0,6.0,32184.0,M,doctorat,forage,91.68,oui,0
91,2010-08-23,chatain,38.0,11.0,39178.0,M,master,geologie,64.62,oui,0
92,2013-10-23,brun,45.0,3.0,36206.0,F,licence,geologie,73.93,non,0
93,2010-01-20,blond,23.0,9.0,28975.0,M,master,geologie,73.4,non,0
94,2011-10-22,chatain,35.0,3.0,31214.0,F,doctorat,forage,87.67,oui,0
95,2014-03-14,chatain,25.0,6.0,31112.0,M,doctorat,forage,87.69,oui,0
96,2011-06-22,brun,56.0,10.0,33522.0,M,doctorat,geologie,106.21,oui,0
97,2012-12-03,brun,46.0,10.0,29724.0,F,master,geologie,75.23,non,0
98,2012-11-01,roux,19.0,11.0,29818.0,M,bac,geologie,89.99,non,0
99,2012-07-12,blond,47.0,8.0,41011.0,M,bac,detective,51.12,non,0
100,2012-02-29,roux,28.0,7.0,40274.0,M,bac,geologie,36.17,non,0
101,2012-09-24,chatain,25.0,11.0,40667.0,M,master,geologie,59.06,non,0
102,2011-01-27,brun,31.0,15.0,27918.0,F,licence,forage,88.57,non,0
103,2013-07-30,chatain,40.0,6.0,27185.0,F,doctorat,detective,115.42,oui,0
104,2013-09-18,chatain,30.0,8.0,31390.0,F,licence,archeologie,65.38,non,1
105,2014-09-24,chatain,42.0,7.0,31662.0,F,master,forage,82.17,non,0
106,2010-06-13,brun,48.0,13.0,34549.0,M,master,geologie,79.02,oui,0
107,2014-12-05,blond,39.0,10.0,31230.0,F,licence,geologie,95.83,non,0
108,2012-08-31,chatain,38.0,9.0,34463.0,F,master,geologie,51.43,non,1
109,2014-06-04,blond,36.0,6.0,38938.0,M,licence,geologie,89.26,oui,1
110,2010-12-29,roux,35.0,3.0,30140.0,M,master,forage,71.31,oui,0
111,2010-05-20,blond,46.0,10.0,40090.0,M,master,archeologie,94.77,oui,0
112,2010-12-09,brun,14.0,13.0,34851.0,F,master,forage,74.46,non,0
113,2010-07-25,chatain,26.0,9.0,38029.0,M,master,geologie,63.48,non,0
114,2010-08-22,roux,50.0,9.0,19925.0,F,master,geologie,118.62,non,0
115,2013-04-04,chatain,34.0,6.0,50575.0,M,bac,geologie,27.09,non,0
116,2013-05-05,blond,50.0,14.0,37151.0,M,licence,forage,71.5,oui,0
117,2011-03-08,blond,44.0,8.0,38498.0,M,bac,detective,44.03,non,0
118,2012-03-31,roux,32.0,9.0,24340.0,M,licence,geologie,89.87,non,0
119,2011-06-09,brun,34.0,13.0,35201.0,F,licence,geologie,75.3,non,0
120,2012-11-09,roux,46.0,9.0,35296.0,M,bac,detective,65.37,non,0
121,2013-09-19,roux,36.0,9.0,38650.0,M,bac,geologie,40.65,non,0
122,2010-02-19,brun,28.0,11.0,33974.0,M,master,geologie,73.38,non,0
123,2011-09-28,blond,55.0,7.0,26237.0,M,master,geologie,78.58,non,0
124,2013-04-27,brun,32.0,11.0,36192.0,M,master,geologie,74.06,non,1
125,2012-12-14,brun,30.0,6.0,25036.0,F,master,forage,69.38,non,0
126,2013-11-16,chatain,28.0,8.0,34022.0,F,doctorat,geologie,109.51,oui,0
127,2012-03-20,brun,48.0,14.0,34885.0,F,licence,geologie,58.73,non,0
128,2012-08-28,brun,34.0,7.0,30707.0,F,licence,forage,86.99,non,0
129,2013-11-15,roux,25.0,8.0,29581.0,M,licence,detective,86.95,oui,0
130,2013-10-13,chatain,41.0,12.0,39633.0,M,master,forage,82.86,oui,0
131,2013-10-16,blond,33.0,5.0,33748.0,M,bac,geologie,49.26,non,0
132,2013-08-30,blond,33.0,9.0,37206.0,M,licence,geologie,60.48,non,0
133,2012-02-01,brun,52.0,7.0,45676.0,M,licence,geologie,55.08,non,0
134,2010-07-01,chatain,39.0,12.0,35233.0,F,master,detective,89.98,oui,0
135,2012-01-16,brun,28.0,13.0,33426.0,M,master,detective,54.68,oui,0
136,2010-05-17,blond,26.0,6.0,38102.0,M,licence,detective,65.54,oui,0
137,2014-03-18,brun,,3.0,30439.0,M,doctorat,geologie,102.43,oui,1
138,2011-09-29,blond,33.0,15.0,43145.0,F,bac,geologie,45.39,non,0
139,2011-04-29,roux,30.0,6.0,39937.0,M,bac,geologie,42.35,non,0
140,2014-11-11,chatain,29.0,10.0,41452.0,F,licence,detective,72.0,oui,0
141,2011-06-25,brun,41.0,11.0,30203.0,F,doctorat,archeologie,81.81,oui,0
142,2011-04-25,blond,65.0,10.0,38355.0,F,licence,archeologie,66.45,oui,0
143,2012-04-20,chatain,29.0,8.0,31661.0,F,master,geologie,77.21,non,1
144,2011-03-26,blond,42.0,9.0,34427.0,M,master,geologie,87.08,oui,1
145,2010-02-02,blond,46.0,10.0,44708.0,M,bac,forage,50.04,non,0
146,2013-01-01,brun,33.0,10.0,37521.0,M,master,geologie,70.78,non,0
147,2014-10-23,chatain,41.0,8.0,36027.0,M,doctorat,forage,87.89,oui,0
148,2014-04-02,chatain,41.0,12.0,44648.0,M,,geologie,83.16,oui,0
149,2013-08-02,blond,41.0,9.0,37380.0,M,licence,geologie,46.17,non,0
150,2013-08-27,chatain,31.0,6.0,40260.0,M,doctorat,geologie,68.36,oui,0
151,2011-05-15,blond,35.0,10.0,35035.0,M,master,geologie,78.59,oui,0
152,2013-06-28,chatain,25.0,6.0,24888.0,M,doctorat,geologie,103.27,oui,0
153,2014-08-15,brun,27.0,2.0,36849.0,F,master,archeologie,63.62,oui,0
154,2013-04-09,brun,55.0,11.0,32093.0,F,master,geologie,66.47,non,1
155,2014-10-04,roux,46.0,8.0,30537.0,M,master,geologie,99.88,oui,0
156,2010-02-15,brun,27.0,10.0,44654.0,M,licence,geologie,54.79,non,0
157,2013-10-22,blond,39.0,6.0,30319.0,M,master,forage,82.99,non,0
158,2013-01-11,brun,47.0,9.0,41592.0,M,licence,detective,51.26,oui,0
159,2012-03-03,brun,25.0,10.0,44516.0,M,licence,geologie,30.1,non,0
160,2011-01-01,brun,26.0,8.0,35192.0,M,master,geologie,78.6,oui,1
161,2010-12-05,chatain,35.0,14.0,45383.0,M,master,geologie,41.2,non,0
162,2013-04-08,blond,33.0,8.0,34016.0,M,licence,geologie,87.76,non,0
163,2011-01-23,brun,30.0,11.0,38777.0,F,master,archeologie,89.77,oui,0
164,2011-02-18,brun,10.0,9.0,38767.0,F,master,archeologie,89.16,oui,0
165,2010-10-23,blond,41.0,13.0,29822.0,M,,detective,106.89,oui,0
166,2014-10-29,chatain,41.0,11.0,38688.0,M,master,detective,53.96,oui,0
167,2010-10-28,blond,44.0,6.0,39636.0,M,licence,forage,81.14,oui,0
168,2013-08-13,chatain,37.0,8.0,41845.0,M,master,detective,68.81,oui,0
169,2014-11-25,brun,24.0,8.0,45464.0,M,bac,geologie,62.18,non,0
170,2014-01-08,chatain,28.0,7.0,26192.0,F,master,geologie,43.64,non,1
171,2010-05-28,blond,32.0,10.0,34404.0,M,licence,geologie,84.44,oui,0
172,2013-11-28,chatain,49.0,9.0,36429.0,M,doctorat,geologie,77.48,oui,0
173,2011-10-08,brun,29.0,9.0,33647.0,M,master,forage,79.82,oui,0
174,2013-01-31,blond,24.0,8.0,34635.0,M,licence,geologie,,non,0
175,2013-05-12,chatain,39.0,5.0,36062.0,F,master,detective,92.76,oui,0
176,2011-06-10,roux,41.0,6.0,27529.0,M,bac,geologie,63.09,non,0
177,2014-12-28,chatain,51.0,8.0,38787.0,M,master,geologie,83.2,oui,0
178,2013-10-05,brun,19.0,11.0,34944.0,M,master,geologie,74.52,oui,0
179,2010-11-01,blond,39.0,8.0,32764.0,M,master,forage,68.91,oui,0
180,2010-02-02,chatain,35.0,11.0,40120.0,M,master,detective,,oui,0
181,2014-08-12,chatain,27.0,13.0,37183.0,F,master,forage,87.08,oui,0
182,2013-05-19,blond,48.0,8.0,38887.0,M,bac,geologie,56.84,non,0
183,2014-04-14,chatain,44.0,12.0,37808.0,M,master,forage,85.26,oui,0
184,2014-07-29,brun,41.0,9.0,38068.0,F,licence,geologie,85.13,non,0
185,2011-12-03,chatain,27.0,8.0,32194.0,F,doctorat,geologie,90.37,oui,0
186,2012-06-25,chatain,30.0,9.0,33557.0,M,master,geologie,65.9,non,0
187,2013-01-23,blond,26.0,10.0,30687.0,F,bac,geologie,78.85,non,0
188,2014-12-30,roux,30.0,7.0,32580.0,M,bac,detective,37.53,non,0
189,2011-04-25,brun,55.0,10.0,29393.0,F,master,forage,77.14,non,0
190,2011-10-16,chatain,16.0,9.0,38461.0,F,licence,detective,74.7,non,0
191,,blond,37.0,3.0,32211.0,M,master,geologie,84.25,non,0
192,2011-11-14,chatain,46.0,11.0,26418.0,M,master,geologie,60.8,non,1
193,2014-05-30,brun,20.0,11.0,37208.0,M,licence,geologie,66.9,non,1
194,2010-06-15,brun,17.0,7.0,37927.0,M,licence,geologie,65.19,oui,0
195,2013-09-02,roux,35.0,8.0,45084.0,F,bac,geologie,55.83,non,0
196,2012-02-02,brun,33.0,6.0,35049.0,F,licence,detective,64.77,non,0
197,2011-04-02,chatain,41.0,10.0,39570.0,M,doctorat,detective,67.14,oui,0
198,2010-12-29,blond,35.0,11.0,31954.0,F,licence,forage,92.75,non,0
199,2010-02-03,brun,47.0,13.0,33428.0,F,master,forage,73.71,non,0
200,2010-03-01,chatain,35.0,15.0,44976.0,M,doctorat,geologie,83.02,oui,0
201,2010-12-20,brun,30.0,9.0,35411.0,F,master,forage,87.32,oui,0
202,2012-05-08,chatain,53.0,9.0,34831.0,M,doctorat,geologie,86.12,oui,0
203,2010-12-17,blond,37.0,10.0,39375.0,M,bac,geologie,35.95,non,0
204,2014-02-04,blond,47.0,15.0,29103.0,M,master,geologie,83.82,non,0
205,2010-04-20,chatain,30.0,12.0,37408.0,F,licence,geologie,56.41,non,0
206,2011-08-30,chatain,23.0,12.0,42563.0,M,master,detective,76.64,oui,0
207,2012-04-24,brun,23.0,13.0,33267.0,F,master,geologie,85.68,non,0
208,2012-03-12,chatain,19.0,6.0,33842.0,F,doctorat,archeologie,100.69,oui,0
209,2012-01-05,roux,30.0,7.0,32363.0,F,bac,detective,79.79,non,0
210,2014-04-01,chatain,16.0,13.0,38540.0,F,master,detective,86.07,oui,0
211,2014-05-09,brun,12.0,10.0,31557.0,F,master,detective,115.51,oui,1
212,2011-01-25,blond,29.0,5.0,34391.0,F,licence,forage,71.15,non,0
213,2013-05-23,brun,35.0,4.0,41347.0,M,licence,geologie,61.99,non,0
214,2011-11-22,blond,23.0,12.0,31454.0,M,master,geologie,79.23,non,0
215,2011-10-04,brun,42.0,10.0,25871.0,F,doctorat,forage,118.8,non,0
216,2014-08-08,brun,40.0,5.0,35550.0,M,master,geologie,73.93,non,0
217,2012-10-05,brun,33.0,7.0,29077.0,F,master,geologie,66.57,non,1
218,2013-12-20,blond,37.0,10.0,41834.0,F,bac,archeologie,94.06,oui,1
219,2010-09-08,roux,14.0,9.0,32178.0,F,licence,detective,95.47,oui,0
220,2014-03-05,brun,27.0,10.0,24244.0,F,master,geologie,105.13,non,0
221,2010-03-09,blond,35.0,10.0,32668.0,M,licence,geologie,47.54,non,0
222,2010-10-08,blond,35.0,9.0,28240.0,M,doctorat,geologie,69.69,oui,0
223,2010-10-11,blond,47.0,9.0,30746.0,F,bac,geologie,60.95,non,0
224,2010-01-21,brun,29.0,8.0,35566.0,M,licence,geologie,52.24,non,0
225,2010-11-08,chatain,25.0,12.0,39166.0,F,licence,detective,62.34,non,0
226,2012-05-06,chatain,29.0,9.0,36993.0,M,licence,geologie,51.39,non,0
227,2013-10-21,brun,47.0,9.0,37292.0,M,licence,geologie,43.92,non,0
228,2010-03-20,brun,31.0,10.0,34735.0,M,licence,geologie,73.37,non,0
229,2013-05-27,brun,37.0,12.0,40393.0,M,licence,geologie,54.47,non,0
230,2012-01-27,roux,46.0,17.0,30162.0,F,licence,detective,76.04,non,0
231,2013-08-25,chatain,13.0,17.0,29115.0,F,doctorat,geologie,103.68,non,0
232,2011-06-04,brun,47.0,11.0,39773.0,M,master,geologie,79.24,oui,1
233,2012-09-22,brun,22.0,11.0,37137.0,M,licence,geologie,41.03,non,0
234,2013-05-02,chatain,30.0,11.0,26832.0,F,master,geologie,90.87,non,0
235,2014-12-24,brun,25.0,15.0,28404.0,F,doctorat,detective,95.05,oui,0
236,2010-04-11,blond,47.0,6.0,31637.0,M,master,forage,82.33,non,1
237,2011-09-03,chatain,21.0,4.0,29451.0,F,master,geologie,93.78,non,0
238,2012-11-02,chatain,35.0,9.0,42252.0,M,licence,geologie,40.01,non,0
239,2013-12-11,blond,27.0,11.0,29881.0,M,licence,geologie,62.57,non,0
240,2012-03-03,chatain,21.0,13.0,42108.0,M,master,forage,57.88,oui,0
241,2011-11-18,chatain,40.0,9.0,25242.0,F,doctorat,forage,91.19,non,0
242,2011-07-21,brun,46.0,13.0,43821.0,,licence,forage,74.31,non,0
243,2010-11-17,chatain,36.0,9.0,37932.0,M,master,geologie,65.23,non,0
244,2013-01-03,blond,33.0,8.0,31382.0,M,master,geologie,92.23,oui,0
245,2011-11-26,chatain,41.0,14.0,39442.0,F,master,detective,77.5,oui,0
246,2012-02-03,brun,29.0,10.0,33578.0,M,master,geologie,77.51,non,1
247,2013-12-09,brun,43.0,14.0,30087.0,M,master,forage,74.56,non,1
248,2012-04-19,brun,37.0,14.0,38409.0,M,licence,geologie,67.24,non,0
249,2012-03-04,chatain,33.0,14.0,31308.0,M,master,geologie,59.07,non,1
250,2010-01-24,brun,35.0,5.0,34569.0,F,master,forage,66.78,non,1
251,2011-03-13,chatain,35.0,11.0,29068.0,F,doctorat,archeologie,117.36,oui,0
252,2013-08-11,brun,36.0,11.0,35686.0,F,licence,geologie,76.26,non,0
253,2014-06-25,blond,35.0,10.0,31894.0,M,doctorat,geologie,87.71,oui,1
254,2011-08-18,brun,33.0,8.0,38218.0,F,licence,geologie,49.78,non,0
255,2014-01-07,blond,30.0,12.0,33725.0,M,master,geologie,71.22,non,0
256,2010-08-08,blond,24.0,13.0,29919.0,M,master,geologie,80.52,non,0
257,2014-10-09,chatain,50.0,8.0,43433.0,M,licence,geologie,54.27,non,0
258,2011-01-10,chatain,8.0,10.0,44530.0,F,licence,archeologie,70.58,oui,0
259,2014-10-19,blond,35.0,14.0,35476.0,M,master,geologie,93.38,oui,1
260,2011-10-22,brun,15.0,11.0,40196.0,F,licence,archeologie,63.51,oui,1
261,2011-03-24,roux,29.0,6.0,35897.0,M,licence,detective,85.07,oui,0
262,2013-06-22,chatain,43.0,10.0,42208.0,M,master,detective,76.3,oui,0
263,2011-10-16,blond,57.0,3.0,33236.0,F,licence,detective,83.52,non,0
264,2010-08-08,chatain,39.0,11.0,32664.0,F,master,detective,76.07,oui,0
265,2012-05-14,blond,26.0,8.0,42966.0,M,master,detective,70.59,oui,0
266,2013-04-28,brun,32.0,3.0,32460.0,M,master,geologie,64.21,non,0
267,2013-06-29,blond,28.0,12.0,31146.0,M,doctorat,geologie,96.55,oui,1
268,2012-04-09,chatain,32.0,11.0,33625.0,F,master,geologie,56.08,non,1
269,2012-04-08,chatain,37.0,9.0,36413.0,M,doctorat,,69.59,oui,1
270,2012-07-16,roux,13.0,7.0,30800.0,F,bac,detective,46.97,non,0
271,2012-07-11,blond,40.0,12.0,31244.0,M,master,detective,58.75,non,0
272,2010-09-12,chatain,34.0,13.0,31142.0,F,doctorat,forage,76.68,oui,0
273,2013-07-06,chatain,36.0,9.0,38686.0,M,doctorat,detective,57.57,oui,0
274,2010-12-18,blond,44.0,7.0,33738.0,M,master,forage,68.11,oui,0
275,2013-08-25,chatain,34.0,7.0,31286.0,F,master,forage,99.53,non,0
276,2014-08-23,blond,23.0,9.0,30705.0,F,master,geologie,87.8,non,0
277,2011-07-22,brun,39.0,5.0,33650.0,M,licence,geologie,60.95,non,0
278,2011-09-20,brun,62.0,8.0,42190.0,M,licence,geologie,65.17,non,0
279,2010-07-02,chatain,38.0,13.0,38698.0,F,licence,forage,59.3,non,0
280,2013-01-17,chatain,31.0,9.0,28697.0,F,master,forage,82.09,non,0
281,2010-07-30,blond,37.0,13.0,,M,licence,geologie,69.01,oui,0
282,2014-01-19,brun,40.0,14.0,21970.0,F,doctorat,forage,105.2,non,0
283,2013-05-09,brun,30.0,0.0,32969.0,M,doctorat,forage,96.81,oui,0
284,2014-07-19,,25.0,9.0,32263.0,M,master,forage,66.13,oui,0
285,2011-03-27,brun,32.0,13.0,40195.0,M,licence,geologie,74.4,non,0
286,2010-05-14,chatain,26.0,7.0,39181.0,M,master,geologie,51.94,non,0
287,2011-03-07,brun,39.0,10.0,29217.0,M,master,geologie,79.76,non,0
288,2013-11-22,chatain,24.0,8.0,28746.0,F,doctorat,forage,118.65,oui,0
289,2012-09-09,blond,23.0,8.0,31161.0,F,licence,archeologie,112.09,non,0
290,2012-05-19,chatain,14.0,7.0,41795.0,M,master,forage,73.74,oui,0
291,2013-07-06,blond,17.0,10.0,35119.0,M,bac,archeologie,89.62,non,1
292,2011-10-18,brun,38.0,9.0,29292.0,F,master,geologie,72.3,non,0
293,2014-06-21,brun,38.0,8.0,41286.0,M,licence,geologie,85.17,oui,0
294,2011-05-21,brun,38.0,13.0,36354.0,F,master,archeologie,88.78,oui,0
295,2010-05-08,chatain,18.0,8.0,30258.0,F,doctorat,archeologie,106.09,oui,0
296,2013-02-18,roux,8.0,16.0,25825.0,F,master,archeologie,92.35,oui,0
297,2011-08-06,blond,27.0,11.0,32564.0,M,licence,geologie,59.71,non,0
298,2010-07-07,brun,32.0,12.0,33685.0,F,master,detective,75.99,oui,0
299,,roux,57.0,12.0,32048.0,M,licence,geologie,99.55,oui,0
300,2014-06-25,blond,30.0,10.0,42526.0,F,licence,detective,105.36,oui,0
301,2010-04-10,chatain,45.0,11.0,28387.0,F,doctorat,detective,100.44,oui,0
302,2011-10-16,chatain,42.0,10.0,34787.0,F,master,forage,84.58,oui,0
303,2012-07-27,chatain,20.0,8.0,36256.0,F,master,forage,62.37,non,0
304,2014-06-09,blond,33.0,12.0,34599.0,M,licence,geologie,80.7,non,0
305,2011-09-24,chatain,39.0,10.0,33053.0,F,doctorat,detective,97.03,oui,0
306,2013-12-29,brun,35.0,10.0,36679.0,F,master,detective,90.24,oui,0
307,2011-02-19,roux,32.0,9.0,30236.0,F,bac,detective,72.04,non,0
308,2014-05-29,blond,30.0,9.0,40385.0,M,licence,geologie,60.05,non,0
309,2012-03-19,brun,23.0,3.0,34484.0,F,licence,forage,,non,0
310,2011-05-27,chatain,38.0,9.0,35703.0,F,master,geologie,77.91,non,0
311,2012-11-15,blond,39.0,6.0,41713.0,F,licence,archeologie,74.06,oui,0
312,2012-03-25,brun,43.0,10.0,28210.0,F,master,forage,87.16,non,1
313,2014-01-19,chatain,58.0,6.0,28949.0,F,doctorat,detective,71.12,oui,0
314,2014-01-27,brun,27.0,12.0,37321.0,M,licence,geologie,52.47,non,0
315,2013-12-31,brun,34.0,12.0,36973.0,M,master,geologie,64.16,oui,0
316,2013-10-10,chatain,17.0,13.0,28468.0,M,master,geologie,66.88,non,0
317,2013-11-26,roux,44.0,7.0,31314.0,M,bac,geologie,42.98,non,0
318,2014-05-30,chatain,43.0,6.0,33733.0,F,master,forage,100.38,oui,0
319,2013-11-22,chatain,30.0,10.0,30967.0,M,master,geologie,52.14,non,0
320,2013-02-22,blond,34.0,4.0,29647.0,F,licence,geologie,66.32,non,0
321,2012-11-18,brun,33.0,3.0,31457.0,M,master,detective,69.11,oui,0
322,2010-01-19,blond,23.0,10.0,38541.0,M,licence,geologie,36.16,non,0
323,2013-12-09,chatain,29.0,8.0,32547.0,M,doctorat,geologie,95.79,oui,0
324,2014-06-24,blond,29.0,6.0,33643.0,M,licence,geologie,52.4,non,0
325,2011-03-13,chatain,35.0,9.0,34181.0,M,master,detective,51.57,non,0
326,2014-03-04,blond,18.0,5.0,31315.0,M,master,geologie,85.04,oui,0
327,2011-04-24,brun,53.0,7.0,37532.0,M,licence,geologie,67.54,non,0
328,2010-10-29,brun,35.0,9.0,33433.0,M,master,geologie,69.15,non,0
