Tiktoker name,Tiktok name,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
official_nct,NCT Official,7.3M,3.2M,1.2M,23.1K,17.6K
zeth,Zeth,10.8M,6.6M,1.3M,4.1K,12.8K
larrayeeee,LARRAY,25.6M,5.4M,1.2M,17.6K,4.1K
mrbeast,MrBeast,34.7M,6.8M,1.1M,16.1K,1.5K
jypestraykids,Stray Kids,10.8M,2.9M,1.1M,27.6K,12K
iamferv,Fernanda,26.1M,7.8M,1.1M,10.3K,3.8K
nicocaponecomedy,nicocapone.comedy,20.3M,11.8M,691.8K,3.9K,10.2K
honeybobabear,HoneyBobaBear,7.8M,10.1M,1.4M,5K,2.4K
masondenverr,mason,2M,4.4M,1.2M,7.3K,11.3K
nicoletv,Kayla Nicole,10.2M,6.1M,999.3K,4.9K,10K
aquajock_h2bro,JæBæ,509.7K,5.4M,966.4K,5.4K,10.6K
terryreloaded,Terry Reloaded,3.9M,4.9M,1M,6.3K,10.2K
soysuco,soysuco,9.6M,6.3M,999.5K,11.1K,2K
itzyofficial,ITZY,7.3M,4.7M,1.2M,10.4K,3.6K
oldtimehawkey,Old Time Hawkey,5.1M,4.8M,831.6K,11K,7K
missionaryjack,Jack Harlow,3.3M,8.3M,837K,4.9K,5.5K
conormaynard,Conor Maynard,6.2M,5.8M,794.3K,8.9K,6.6K
conormaynard,Conor Maynard,6.2M,5.8M,794.3K,8.9K,6.6K
itssassagurl,Sassa Gurl,5.3M,6M,969.6K,6.2K,6K
terryreloaded,Terry Reloaded,4M,4.4M,955.3K,6.2K,9.4K
jimmydarts,Jimmy Darts,8.1M,5.3M,893.4K,10.3K,2.9K
alshad95,Alshad Ahmad,1.6M,7.3M,761.9K,6.2K,5K
bayashi.tiktok,バヤシ🥑Bayashi,24.1M,7.7M,958K,5.8K,2.5K
rosalia,La Rosalia,18.3M,9.8M,978.5K,3.8K,2.3K
daniel.labelle,Daniel LaBelle,25.5M,4.6M,754.9K,5.5K,11.8K
masonmount,Mason Mount,2.8M,4.8M,806.9K,9.9K,5.1K
theandrewschulz,Andrew Schulz,3M,4M,602.2K,2.2K,21.6K
activesufi,activesufi,364.6K,13.8M,1.1M,2.2K,1.5K
hayleygeorgiamorris,Hayley Morris,2.9M,4.6M,586.9K,1.9K,18.4K
lilnasx,lil nas x,27.7M,5.7M,804.6K,9K,3K
willsmith,Will Smith,67.4M,6.9M,658.5K,10K,2K
clarissaperezlara,Clari,129.5K,3.9M,370K,2.7K,34.2K
spriteder_spd,Prite Netijen Netirattanapaiboon,2.7M,8M,924.8K,3.7K,3.5K
paytonking,Payton King,5.1M,2.8M,685.4K,11.8K,15.8K
lexibrookerivera,Lexi Rivera,21.1M,7M,937.4K,6.2K,1.9K
snoopdogg,Snoop Dogg,19.7M,7.4M,647.2K,6.6K,4.3K
tuckerbudzyn,tuckerbudzyn,10.1M,4M,638.6K,3.3K,16.7K
jaykindafunny8,Jaykindafunny,23.3M,9.6M,685.7K,2.4K,5.2K
solsito.pe,Solsito.pe,80.2K,3.5M,503.1K,10.6K,17.8K
jake2r,"Jake2r, Ph.D.",2.1M,2.8M,739.6K,5.2K,17.1K
thejoeyswoll,Joey Swoll,2.4M,5.3M,804.5K,8.4K,2.5K
kallmekris,Kris HC,43.3M,5.4M,988K,5.5K,3.1K
jdpantoja,JD Pantoja,26.8M,4.8M,942.2K,8.7K,1.3K
datvilla94,🔥Đạt Villa🔥,5.2M,5.7M,659.1K,8.1K,3.1K
haileybieber,Hailey Bieber,7.7M,5.7M,810.5K,6.3K,2.7K
big.johns,Big Johns,140.3K,3.1M,476.5K,18.4K,8.7K
cleanpuppy,Chloe Cherry,1.7M,4.8M,980.2K,5.7K,2.9K
arabstay,𝕊𝕥𝕣𝕒𝕪 𝕜𝕚𝕕𝕤,219K,2.6M,770.2K,11.7K,8.2K
aitch12,Aitch,1.8M,5.3M,421.1K,7.6K,9.8K
doctorgraves,Dr.Graves,2.7M,5M,879.7K,2.8K,5.9K
fredziownik_art,Franek Bielak,11.8M,6.3M,781.9K,6.5K,1.2K
vibin.wit.tay,Tay,3.3M,3.3M,689.4K,4K,12.6K
cedriklorenzen,Cedrik Lorenzen,2.1M,4M,457K,7.9K,12.4K
vanessalopesr,Vanessa Lopes,21.3M,5.9M,637.1K,6.4K,2.9K
rustam_mayer_djavid,RUSTAM MAYER,4.3M,7.8M,390.8K,1.6K,9.7K
soojinicoreana,Chingu Amiga,17.3M,6.5M,1M,3.9K,1.4K
jinisprotips,💡 Jini 💡,713.7K,3.7M,467.6K,6.9K,12.9K
esen_alva,Esen,3.1M,3.3M,536.3K,3.3K,15.5K
drew.nori,Drew Nori,4.7M,8.1M,387.9K,9.7K,733
wuesilva,Wue Silva,11.8M,4.5M,584K,10.6K,1.8K
thallyssonsb,Thallysson Borges,8.5M,3.6M,629K,6K,8.2K
natemyburgh,Nate,306.4K,3.4M,724.9K,3.6K,9K
soso_aroundtheworld,Sosonebieridze,109.8K,3M,420K,10.8K,13.2K
newboyjosh,Newboyjosh,340.5K,4M,445K,6.4K,10.4K
initiaraandini,tiara andini,4.1M,7.4M,651.6K,4.4K,1.8K
iamkevingates,Kevin Gates,2.1M,3.5M,413.6K,9.4K,11.3K
max7424453118,Max Taylor,2.8M,3.5M,572.6K,5.2K,9.5K
danya_milokhin,danya_milokhin,16.5M,6.3M,733.2K,4.6K,1.7K
samanthalogan,Samantha Logan,1.8M,6M,840.9K,3K,2.8K
jakekrantz1,Jake Krantz,2.1M,3.6M,772.3K,3.2K,7.1K
fujiiian,Fuji,12.7M,6.2M,760.4K,3.4K,2.6K
vincentmarcus,VincentMarcus,2.5M,10.7M,250.4K,2.3K,8.2K
hongthanhofficial,HongThanhOfficial,1.3M,7.7M,675.6K,2.7K,2.7K
kervo.dolo,Kervo.dolo,7.5M,3.9M,606.4K,4.4K,7.1K
zachjustice,Zach Justice,3.9M,6M,793.7K,1K,4.6K
qamar_altaey,𓆩𝑄𝐴𝑀𝐴𝑅¹⁶𓆪,2.8M,3.6M,348K,10.2K,10.8K
fortnitekanal.exe,Fortnitekanal.exe,1.4M,2.2M,539.4K,14K,7.8K
m.wardy_14,وردى,67.6K,1.9M,465.5K,3.8K,24.8K
ynchq,ЯN,3.7M,3.9M,645.1K,4.1K,5.8K
nilered,NileRed,8.7M,4M,725.8K,5.4K,3.2K
besttoks,besttoks,2.2M,17.4M,451.6K,1.1K,2.1K
miketoks,Miketoks,11.6M,6.2M,599.7K,2.5K,4K
tiktokmena,TikTok MENA,5.7M,39.5M,179.2K,1.2K,2.2K
eyavanana,Eya,10.8M,4.6M,725.3K,5K,2.1K
john.leitao,John Leitão,2.7M,4.3M,380.9K,7.8K,6.4K
brunodiferente2022,Bruno Diferente,4M,6.6M,116.7K,6K,22.4K
sugarcoatedsisters,Tabby and Chloe,320.3K,3.2M,523.8K,2.6K,10.5K
hesfinatia,PINAT🍅|| IG: @hesfinatia,8.3M,8.6M,936.9K,1.8K,837
vadik_dikiy,vadik_dikiy,914.8K,3.2M,489.1K,2K,11.8K
championsleague,Champions League,11.6M,3.6M,628.3K,4.2K,5.1K
esnyrrr,Esnyr Ranollo,4.4M,3.5M,645.3K,4.5K,4.8K
savanahmosss,Savanah Moss,9.3M,4.5M,703K,4.1K,2.5K
dindahw14,Dinda Hauw,3M,7.9M,689.2K,2K,1.8K
joshiiwuhhh,Joshua Alden,3.2M,2.9M,555.5K,3.7K,8.8K
j3ipy_,Jeipy,7.8M,4.3M,760.7K,3.3K,2.8K
morganpresleyxo,Morgan Presley,5.3M,4.8M,638.5K,3.1K,3.5K
skaijackson,Skai Jackson 🥰,19.7M,5.2M,824K,3.1K,1.5K
ssmaaaryy,Razi Monroe,6.8M,6.4M,586.3K,2.8K,2.4K
vhackerr,Vinnie,13.9M,2.9M,593.7K,7.8K,3.6K
tranvantre992,Trần Tre Vlogs 🐉,759.3K,9.1M,472.9K,3.7K,799
jwaltonnn,ᴊ⚡️,733.4K,1.7M,369.4K,28K,2.5K
kubenjoy,KUBenjoy,3.5M,4.2M,476.3K,5K,4.5K
jdiasss_,João Dias,7M,3.5M,817K,4.5K,2K
evcnoble,Everett Noble,9.8M,3.4M,844.5K,3.2K,3.4K
victormelo,Victor Melo,19.4M,4.6M,642.2K,3.8K,2.4K
emilen_im,Эмильен,4M,5.3M,663.1K,4K,1.2K
ehlija,Eh Lija,3.3M,4M,506K,4.7K,4.3K
thoriqhal,thariqhalilintar,3.8M,5.8M,662K,2.4K,2.2K
afgsuga,Afg Suga Official,161.7K,3.3M,490.3K,4.1K,6.8K
jen_wolff,jenny,187.6K,2.9M,371.6K,5.7K,10.5K
tubbynugget,Tubby Nugget,3.5M,2.6M,518.2K,2.1K,10.8K
rescuerestore,Rescue & Restore,1.5M,9.2M,430K,1.5K,2.9K
baddest4bitches,Edda,1.5M,2.5M,580.2K,8.5K,3.4K
_itsstefano_,It'sStefano,4.4M,4.6M,553.8K,5.8K,856
guryan_off,Гурьянов Максим,2.6M,3.3M,479.5K,3.1K,7.7K
thebenjishow,benji,5.5M,3.4M,549.6K,3.8K,5.2K
mikaelatesta,Mikaela Testa,1.7M,4.3M,960.3K,3.3K,749
grillervm,GrillerVM,2.9M,4.3M,549.3K,2.9K,4K
riaricis,Ria Ricis,25.5M,5.5M,665.1K,2.2K,2.1K
lizzza,Liza Koshy,29.4M,5.2M,1.2M,1.9K,616
elmarianaa,ElMariana,6.5M,3.8M,834.8K,1.6K,3.3K
somi_official_,JEON SOMI,6.1M,3M,746.3K,4.6K,2.3K
craggygames,Craggy Games,306.8K,7M,189.3K,726,10.9K
gritside,gritside,3.6M,3.5M,446.4K,1.5K,8.3K
charlieputh,Charlie Puth,16.1M,3.5M,509.1K,5.8K,2.6K
spencer_serafica,Xspencer,12.3M,4M,663.2K,4.1K,1.6K
mikaylahau,Mikaylah,4.2M,3M,386.4K,9.9K,3.2K
kevinprieto077,kevinprieto077,1.8M,3.8M,589.3K,3.4K,3.1K
christianfabiannn,Christian Fabián D.,12M,4.8M,733.2K,3.7K,398
brotherofcolor,Heyimparis,12.7M,5M,609.5K,3.6K,1.1K
gavrilinaa,Юлька Шпулька🕷🕸,16.3M,3.9M,522.2K,4K,3K
phun.anh,Phùn Anh,2.7M,6.8M,374.2K,3.8K,1.7K
tooturnttony,Tooturnttony,15.6M,5.4M,464.6K,2.8K,2.8K
baimwong,Baim Wong,7.5M,5.1M,392.4K,3.7K,3.3K
maxtaylorlifts,Max Taylor,7.6M,3M,529K,4.4K,4.5K
kimberly11sofia,✨Kimberly11sofia✨,576.6K,1.9M,208K,27K,7.8K
lourdasprec,LOURD,8.7M,2.4M,592.1K,5.3K,4.3K
katiavlogss,KATIAVLOGS🐒,13.8M,4.6M,638.2K,3.5K,1.1K
itslennnie,lennnie,1.9M,1.9M,319.2K,2.4K,20K
couragejd,Jack CouRage Dunlop,3.1M,3.4M,391.5K,2.9K,7.1K
karimmahmoudabdelaziz,Karim Mahmoud Abdel Aziz,3.4M,5.3M,375.6K,2.5K,4.1K
jbdjebb,Jean-Baptiste Djebbari,1.1M,2.9M,448.6K,6.2K,3.8K
dailymug69,It’s a sad story...,4.2M,4.1M,544.2K,5.6K,251
superfirsthero,СУПЕРПЕРВЫЙГЕРОЙ,1.6M,2.8M,526.1K,4.4K,4.5K
cookingwithlynja,Lynja,9.9M,5.2M,649K,2.5K,1.4K
gordonramsayofficial,Gordon Ramsay,31.7M,5.7M,557.2K,3.2K,835
nabela,nabela,7.2M,5.4M,627.1K,2.6K,1.2K
alexwaarren,Alex warren,15.2M,4.6M,769K,1.3K,2.3K
ayesebastien,Sebastien,7.2M,3.1M,565.3K,2.8K,4.6K
jamie32bsh,Jamie Big Sorrel Hor,7.1M,5.8M,313.6K,4.7K,2.2K
maxthemeatguy,Max The Meat Guy,3.8M,6.2M,681.9K,1.7K,1.2K
andy.and.michelle,Andy & Michelle,3.7M,3.1M,438.1K,2.8K,6.1K
realmsp,RealMsP,349.1K,4.9M,771.9K,2K,1.1K
gameofthrones,Game of Thrones,647.3K,3M,359.5K,1.9K,9K
ameliadimz,ameliadimz,1.3M,3.7M,529.8K,4.1K,1.8K
chris,Chris Olsen,7.2M,6.1M,712.1K,1.6K,1.1K
isaach.p,Isaac H.P,1.6M,2.4M,230K,11K,9.7K
billlnai,nai,8.4M,3.1M,797.1K,3.2K,1.4K
samseats,Sam Way,8.7M,3.6M,618.5K,2.8K,2.2K
soysuco_ff,Suco Ismael,3.7M,3.4M,430.5K,6.6K,981
gaynadia,nadia,287.9K,2.2M,583.8K,4.4K,4.1K
thatlittlepuff,ThatLittlePuff,25M,5.1M,612.9K,1.4K,2.1K
lachama4_ff,LA CHAMA ᴰ,8.3M,2.9M,477K,7.3K,693
envydo,envy,198.7K,1.8M,476.1K,9.2K,3.3K
k1lauea,killazz,128.2K,1.8M,451.4K,9.1K,3.7K
noreportar08,noreportar08,265.3K,4M,104.9K,11.1K,12.9K
elrodcontreras,ROD🥴,40.1M,3.3M,521K,4.8K,1K
k1lauea,killazz,128.2K,1.8M,451.4K,9.1K,3.7K
noreportar08,noreportar08,265.3K,4M,104.9K,11.1K,12.9K
elrodcontreras,ROD🥴,40.1M,3.3M,521K,4.8K,1K
kpp2179393999,きゃりーぱみゅぱみゅの裏垢,834.9K,6.5M,345.5K,1.3K,3.2K
elgato,Rodrigo EL GATO,3.2M,3.3M,454K,4K,2.7K
carolfermichh,CarolFerMichh,6.2M,4.3M,664.8K,2.4K,1.1K
montpantoja,Montpantoja,32.3M,3.5M,652.5K,3.2K,1.2K
mmmjoemele,Joe Mele,21M,4.3M,608.4K,2.2K,1.5K
1xgoku,goku,74.8K,1.9M,345.6K,2.5K,12.2K
anthonnyswagg3,anthonnyswagg,8.5M,8.1M,469.6K,1.7K,797
bjjojo_,j🐞j🦋fan,61.6K,2M,354.5K,6.2K,7.3K
uberkuloz,Berk Keklik,1M,5.2M,394.7K,2.1K,2.5K
nilskue,Nils Kuesel,9.5M,2.6M,515.4K,5.2K,1.8K
mcsilsiloficial,@mcsilsiloficial,5.8M,2.6M,201.7K,4.7K,13.7K
labrinth,Labrinth,924.9K,4.2M,416.9K,3.4K,1.9K
oilywhitehat,🔌,197.3K,5.5M,373.5K,3.1K,1.4K
jacksepticeye,Jacksepticeye,4.2M,2.9M,512.7K,4.3K,1.9K
marisol.viola,marisol viola,1.1M,2.6M,504.8K,4.1K,3.1K
strangehumano,strangehumman NOVA,7.8M,3.2M,386.3K,4.5K,3K
playboyjuju,🕷,259.4K,3.3M,291.2K,5.5K,4.2K
itsjessibaby,Jessi,5M,3.1M,738.5K,3.2K,835
bbykevv_,Kevin Nguyen,1.6M,3.2M,633.1K,2.1K,2.4K
nykolasteles,Nykolas Teles,3.8M,2.7M,368.8K,5.8K,3.4K
morimura,MoriMura🍕,6.4M,2.2M,483K,4.4K,4.1K
danisoomin,daniela kim,8.4M,3.4M,492.7K,4.1K,1.2K
tenderlybaemusic,tenderlybae,14.4M,3.6M,409.5K,4.6K,1.5K
ig_alongwiranda,🕌🏃,880.7K,3.2M,129.4K,1.2K,20K
crisdevilgamer7,CrisDevilGamer,4.5M,3.5M,388.1K,5.2K,1.2K
meishmoe,meishmoe,3.9M,2.5M,534.5K,2.4K,4.1K
maylathanzin,Maylathanzin,1.9M,3.5M,417.6K,1.2K,4.7K
zuuzina,👽,1.2M,2.7M,342.4K,4.2K,5.1K
jennifergarner,Jen Garner,2.1M,3.4M,315K,5.6K,2.4K
seventeen17_official,SEVENTEEN,3.9M,1.5M,375.9K,11.1K,4.1K
meosimmyyt,Mèo Simmy,3.9M,2.7M,367.1K,7.1K,1.5K
mariabecerra_22,Maria Becerra,6.1M,3.2M,553.9K,3.6K,1.2K
frostech,FROSTECH,321K,3.4M,411K,1.5K,4.6K
p0_2,مشاري بن عبدالعزيز  -,1.7M,4.9M,233.7K,6K,1.5K
joelbergs,JoelBergs,11.2M,3.4M,636.3K,1.7K,2.2K
euro2024,EURO2024,6.8M,2.5M,407.3K,2.9K,5.4K
daz_black,daz_black,7M,2.3M,506.4K,4.3K,2.9K
claragnds,Maria Clara Garcia,16M,2.8M,401.5K,5.2K,2.1K
desartdestro,desartdestro,7.8M,5.4M,368.3K,2K,2.1K
camilacabello,Camila Cabello,15.3M,5.2M,321.8K,2.8K,2K
berkcoskunofficial,Berk Coşkun,3.5M,5.6M,194.2K,2.9K,4.5K
ser.geybin,Ser Geybin,1.7M,3.8M,383.5K,2.2K,3.3K
anthpo,Anthony Po,688.3K,1.7M,414.2K,4.7K,6.9K
erikarichardo,erika,7.9M,4.6M,578.7K,2.5K,472
thegnshow,The Graham Norton Show,1.2M,4.9M,491K,807,2.5K
cx_.q,مصطفى البصراوي 62,2.1M,3.9M,234.7K,3.1K,5.4K
owen.han,MANGIAMOH,1.5M,4.8M,376.2K,1.2K,3.1K
keniaos,KeniaOs,13.7M,2.2M,371.2K,7.5K,2K
angryreactions,Oneya D’Amelio,25.8M,2.8M,406.2K,6.2K,680
saraecheagaray,sara,7M,3.6M,700.7K,2K,1K
ana_eusse,Ana Maria,10.5M,4.4M,665.5K,2.1K,560
ani__mel,Melody 🌱,798.6K,1.9M,359.7K,2.7K,8.5K
julianjacob,Julian Jacob,1.2M,3.8M,496.5K,2.4K,1.6K
averywit,Avery,1M,5.4M,724.1K,1.6K,293
buithanhtuyen2003,𝐓𝐮𝐲𝐞̂̀𝐧 𝐗𝐮 𝐓𝐕 💦,1.8M,1.6M,228.8K,18.5K,1.9K
emilythetrimmer,Emily Mohring,492.6K,5.8M,267.9K,1.7K,3.1K
fabru_blacutt,Fabru,17M,5.3M,544.8K,1.9K,642
yoangelolo,Angelo Bahu,1.2M,2.4M,224.3K,12.2K,1.5K
virginiafonseca,Virginia,30.6M,4.4M,566.4K,2.3K,679
haritsuuu,ハリツ🌿極,1.3M,4.1M,158.1K,4.9K,6.4K
thekapelariz,The Kapelari Family,1.1M,2.8M,464.2K,3.5K,2.1K
camavinga,Eduardo Camavinga,1M,3.3M,522.3K,2.5K,1.6K
feezius,feezius,2.1M,4M,525.8K,2.8K,654
lights.are.off,LIGHTS ARE OFF,18.7M,2.9M,292.7K,6.3K,2.1K
benjaminmaissecret,benjamin,174.4K,7M,39.2K,24K,1.7K
calebrownn,Cale Brown,5M,2.7M,459.5K,1.5K,4.2K
realuser_1,Jrm,1.6M,4.1M,411.5K,2.5K,1.7K
anas_elshayib,انس الشايب,3.6M,4.6M,194K,6.1K,1.8K
caleb.finn,Ｓｔａｙ　ｈｙｄｒａｔｅｄ　緯俺な,15.2M,3.5M,691.5K,2.5K,428
hi_arvans,arvanss,201.4K,1.3M,320.3K,1.2K,15.5K
theestallion,Megan Thee Stallion,10.9M,1.9M,499.7K,4.4K,2.9K
rubentuestaok,Ruben Tuesta,12.3M,4.5M,418.3K,1.1K,2.6K
kingbach,KingBach,26.3M,3.1M,582.2K,1.8K,2K
rdcworld1,Mark Phillips,2.8M,1.8M,336K,2.3K,9.1K
anna..paull,Anna Paul,3M,2.8M,655.6K,2.9K,838
drewafualo,Drew Afualo,6.8M,2.2M,446.5K,5.1K,2.1K
scottkress_,scottkress,2.9M,1.5M,402.7K,7.4K,4.1K
dixiedamelio,dixie,57.2M,4.4M,275.2K,4.6K,1.1K
nianaguerrero,Niana Guerrero,30.5M,3.2M,493K,2.7K,1.7K
benoftheweek,ben de almeida,10.6M,3.5M,512.8K,3.1K,722
maiaknight,Maia Knight,8.1M,3.5M,628.8K,2.5K,647
theovon,Theo Von,1.4M,2.4M,230.6K,2.7K,9.8K
abbieherbert,AbbieHerbert,12.2M,4.6M,619.2K,1.6K,772
yazidoe,YaziDoe,958.9K,2M,297.4K,2.8K,8.4K
loewhaley,Laura,1.4M,2.5M,232K,1.2K,10.6K
georgieanthony,georgie munoz,2.2M,1.8M,294.3K,3K,9.5K
.blue_devil,Why Not ? ✧,941.9K,4.8M,486.4K,1.5K,1.3K
ya_gazdanova,Нина Газданова,3.4M,3.7M,184K,932,8.8K
piperrockelle,Piperrockelle,9M,2.4M,275.4K,9.3K,517
incorrectlyroce,Roce Ordoñez,5M,3.1M,499.5K,1.9K,2.2K
wayeelkaboy10,Wayeelka boy10,852.4K,3.7M,169.6K,5.6K,4.3K
joaoferdnan,João Ferdnan,7.4M,2M,238.5K,4.2K,9.1K
simpleputin,Просто Путин,6M,3.1M,157.9K,10.6K,2.2K
chapaevva,чапаева,1.9M,3.8M,347.7K,2.9K,1.7K
lyna_com,lyna_com2000,4.4M,3.4M,451.3K,3K,1.1K
arigameplays,AriGameplays,19.3M,2.6M,444.6K,4.5K,915
tommyinnit,Tommy,11.5M,1.5M,432.1K,7.6K,1.9K
arigameplays,AriGameplays,19.3M,2.6M,444.6K,4.5K,915
tommyinnit,Tommy,11.5M,1.5M,432.1K,7.6K,1.9K
alexisomman,Alexis Omman,9.2M,1.6M,330K,5.1K,6.5K
samadhiza_,samadhiza,7.4M,3.7M,418.3K,2.1K,1.8K
joerauth_,Joe rauth,4.9M,2.9M,463K,1.6K,2.9K
danielarodrice,Daniela Rodrice,9.9M,4.2M,735.7K,1.5K,391
official_kep1er,Kep1er,3.5M,1.8M,395K,5.5K,2.7K
sucss.s,Açucena Guirra,9.7M,2.6M,468.1K,3K,1.9K
veydi_rush,veydi_rush,8M,2.9M,456.8K,2.6K,1.8K
davidsiwonchoi,최시원 • Siwon Choi,1.9M,1.3M,314.3K,8.6K,5.6K
livvy,Olivia Dunne,5.1M,2.7M,316K,4.9K,1.8K
catherineealicia,catheez,1.3M,2.3M,306.4K,5.9K,2.2K
bonjee,Bonjee,1.8M,1.8M,382.9K,2.5K,5.9K
tuckercomedy,Tucker Reynolds,2M,1.6M,225.2K,2.9K,12.7K
jennifer_aplicano,Jennifer Aplícano,1M,2.5M,248.5K,3.7K,5.4K
qonitcah,Qonitcah | Health Education,1.4M,3.1M,277.5K,4.4K,2K
carolcastromx,Carol Castro,9.7M,3.4M,564.2K,2.4K,508
vorostwins,vorostwins,2.6M,2.7M,344.1K,3.8K,2.1K
tiagodionisio,Tiago_Dionisio,5.5M,2.4M,227K,1.1K,8.9K
magic_daniell,Magic Daniell,9M,4.5M,503.4K,2K,427
3tl.team,3TL,1.6M,4.4M,380.9K,2.7K,493
nessaabarrett,Nessa Barrett,17.9M,2.8M,338.2K,3.8K,2K
saeemm2002,Samantha Ancheta,4.1M,1.8M,396.9K,4K,3.6K
nate.dawg.com,Nate dawg,230.2K,2.4M,434.5K,3.3K,1.9K
larissagloor,𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,2.6M,2.9M,489.4K,2.4K,1.3K
xshueur,ғᴇᴇʟɪɴɢ,256.6K,2.4M,186K,0,11.7K
cleanpuppy,Chloe Cherry,1.7M,3.6M,617.4K,1.7K,612
tootymcnooty,TootyMcNooty,7.3M,1.5M,401.1K,2.2K,6.4K
miakhalifa,Mia K.,32.5M,3.7M,340.3K,3.5K,644
notraymodeli,Modeli,1.9M,1.8M,404.3K,2.7K,4.3K
axelwebber,Axel,4.2M,2.4M,544.7K,3.4K,522
baebyshaa,shalynne,324.6K,3M,650.3K,1.4K,1.2K
momonatamada,Momona Tamada,3.7M,2.7M,489.4K,3.3K,473
nikkietutorials,nikkietutorials,5.1M,4.3M,536.6K,1.2K,987
spicyycam_,Spicy Cam,18.2M,3.5M,428.1K,3K,295
sa_ro01,sara💜,3.4M,3.3M,265.9K,4.6K,1.1K
byniaromero,Nia Romero,10.4M,4M,531.1K,2K,291
_vqsngi.03_,Ghét môn Toán =))),87.7K,2.6M,367.5K,3.3K,1.8K
oblomoffrecipe,oblomoffrecipe,5.3M,3M,271.8K,1.2K,4.8K
yg_treasure_tiktok,yg_treasure_official,3.5M,1.7M,355.3K,4.1K,4.2K
luq_music,LUQ_MUSIC,165.7K,2M,237K,5.9K,4.3K
bradtheboxer,Just brad,2M,2.5M,216.7K,3.6K,5.3K
ftedooda,🛄,23.5K,1.2M,219.4K,2.8K,16.4K
kurtisconner,kurtis conner,1.8M,2.2M,465.8K,3.1K,1.5K
maskrayy1,maskrayy1,4.5M,7M,280.9K,1.2K,1.2K
babybella777,Bella Hadid,4.4M,3M,504.5K,2.6K,614
trainee_a,Trainee A,2.7M,1.3M,384K,5.3K,4.2K
texasbushman,Texas BUSHMAN,1.2M,2.4M,242.6K,1.5K,6.7K
ugolord,⚖️ The TikTok Attorney ⚖️,5.3M,2.8M,281K,5.6K,497
fedevigevani,Fede Vigevani,12.6M,2.7M,370.4K,4K,721
nam_patcharaporn,Namfon,656.5K,2.2M,374K,3K,2.6K
endomarf,☻☆EndoMarfa☆☻,517.2K,1.7M,516.5K,3.4K,2K
dasigantung,Dasi Gantung,5.1M,3.5M,497.8K,1.5K,1.2K
llucastorresg,Lucas Torres,831.4K,1.5M,328.5K,4.5K,4.9K
bungalow_jonathan,Bungalow Jonathan,251.2K,1.5M,116.6K,994,25.1K
.aidenbeaudry,.aidenbeaudry_official,483.3K,2M,344.8K,3.1K,3.5K
