,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,age_old,age_mid,age_young,marital_divorced,marital_married,marital_single,marital_unknown,education_basic.4y,education_basic.6y,education_basic.9y,education_high.school,education_illiterate,education_professional.course,education_university.degree,education_unknown,default_no,default_unknown,housing_no,housing_unknown,housing_yes,loan_no,loan_unknown,loan_yes,contact_cellular,contact_telephone,month_apr,month_aug,month_dec,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,day_of_week_fri,day_of_week_mon,day_of_week_thu,day_of_week_tue,day_of_week_wed,poutcome_failure,poutcome_nonexistent,poutcome_success,contacted_before
11155,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,1.5489311091066005,-0.30192495423129195,1.0539733530102444,1.063747359075405,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
39963,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,-0.7005239375339983,0.9028854645470032,0.07125879314042616,-1.1709839675554463,-1.6533797359621145,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
8180,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,1.5489311091066005,-0.30192495423129195,1.0026729346373247,1.063747359075405,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
37470,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,-1.3968397166686048,-2.0185014257298546,1.638630532101642,-1.1080484027474318,-0.6814179928747037,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29140,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,-0.7585502524618822,-0.6413211980588821,-1.2908618847663458,-0.8266894071351315,-0.4183219654905148,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9239,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,1.5489311091066005,-0.30192495423129195,1.05714657476527,1.063747359075405,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
16697,0.9676594879516436,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,0.6870116759990379,-0.46985764054856616,1.055031093595253,1.063747359075405,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5784,2.070838855051306,-2.5556768045090967e-13,-0.45255664711457005,0.9242128804467502,0.8067664784051977,0.7056711636723466,0.9989708425897946,0.6375088168940394,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1558,0.4160698044018124,-2.5556768045090967e-13,-0.45255664711457005,0.9242128804467502,0.8067664784051977,0.7056711636723466,0.9979131020047861,0.6375088168940394,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
22133,0.4160698044018124,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,-0.05988011795524021,0.7616487257781038,1.055031093595253,1.063747359075405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
32271,-0.6871095626978501,-2.5556768045090967e-13,0.976407519344501,-0.7585502524618822,-0.9281024353999774,-1.1229291984490728,-0.8753454740455292,-0.4183219654905148,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
26590,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,0.2278971013121437,-0.44435606252241794,-0.33924332896846426,0.5859231441439179,0.6926555824592849,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
36867,0.4160698044018124,-2.5556768045090967e-13,-0.45255664711457005,-1.3968397166686048,-0.8178019594995681,-0.1153330805454329,-0.907606561888293,-0.6814179928747037,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
28579,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,-0.7585502524618822,-0.6413211980588821,-1.2908618847663458,-0.8214007042100883,-0.4183219654905148,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
27148,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,0.2278971013121437,-0.44435606252241794,-0.33924332896846426,0.5568352780561797,0.6926555824592849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
20629,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,-0.05988011795524021,0.7616487257781038,1.0560888341802614,1.063747359075405,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
15850,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,0.6870116759990379,-0.46985764054856616,1.0534444827177398,1.063747359075405,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
36689,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,-1.3968397166686048,-0.8178019594995681,-0.1153330805454329,-0.8991446372082239,-0.6814179928747037,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
21173,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,-0.05988011795524021,0.7616487257781038,1.055031093595253,1.063747359075405,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28572,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,-0.7585502524618822,-0.6413211980588821,-1.2908618847663458,-0.8214007042100883,-0.4183219654905148,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
39601,0.9676594879516436,-2.5556768045090967e-13,-0.45255664711457005,-0.7585502524618822,0.6208313904587833,0.03394041840325381,-1.2143513315408008,-1.4569193836359409,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
25687,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,0.2278971013121437,-0.44435606252241794,-0.33924332896846426,0.6091934370141079,0.6926555824592849,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
18350,2.070838855051306,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,0.6870116759990379,-0.46985764054856616,1.0576754450577746,1.063747359075405,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7881,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,1.5489311091066005,-0.30192495423129195,1.0032018049298292,1.063747359075405,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28620,0.4160698044018124,-2.5556768045090967e-13,-0.45255664711457005,-0.7585502524618822,-0.6413211980588821,-1.2908618847663458,-0.8214007042100883,-0.4183219654905148,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4397,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,0.9242128804467502,0.8067664784051977,0.7056711636723466,0.9984419722972901,0.6375088168940394,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
24009,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,0.2278971013121437,0.4979251458840251,-0.04069633107108954,1.0745992944179128,0.6926555824592849,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
13820,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,0.6870116759990379,-0.46985764054856616,1.055031093595253,1.063747359075405,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
10828,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,1.5489311091066005,-0.30192495423129195,1.0545022233027483,1.063747359075405,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
39581,-0.13551987914801883,0.07400297971630625,2.405371685803572,-0.7585502524618822,0.6208313904587833,0.03394041840325381,-1.216466812710818,-1.4569193836359409,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
40514,0.4160698044018124,-2.31721830237509,5.263300018721714,-0.7005239375339983,0.8587652741868261,0.35114660366921474,-1.0958843860198324,-1.6533797359621145,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
40220,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,-0.7005239375339983,1.155000838033672,-0.02203714370250337,-1.1038174404073973,-1.6533797359621145,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
38349,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,-1.6869712913080241,-1.6560855763427542,2.4782939636880075,-1.1789170219430112,-1.355816980099659,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
37756,-0.6871095626978501,-2.31721830237509,2.405371685803572,-1.3968397166686048,-2.0185014257298546,1.638630532101642,-1.1207412897675355,-0.6814179928747037,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
33640,1.5192491715014749,-2.5556768045090967e-13,-0.45255664711457005,-0.7585502524618822,-0.9281024353999774,-1.1229291984490728,-0.8922693234056677,-0.4183219654905148,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
26962,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,0.2278971013121437,-0.44435606252241794,-0.33924332896846426,0.5859231441439179,0.6926555824592849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
5384,2.070838855051306,-2.5556768045090967e-13,-0.45255664711457005,0.9242128804467502,0.8067664784051977,0.7056711636723466,0.9989708425897946,0.6375088168940394,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
17235,0.9676594879516436,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,0.6870116759990379,-0.46985764054856616,1.0545022233027483,1.063747359075405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18154,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,0.6870116759990379,-0.46985764054856616,1.055031093595253,1.063747359075405,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
37563,-0.13551987914801883,-2.5556768045090967e-13,0.976407519344501,-1.3968397166686048,-2.0185014257298546,1.638630532101642,-1.110163883917449,-0.6814179928747037,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5829,1.5192491715014749,-2.5556768045090967e-13,-0.45255664711457005,0.9242128804467502,0.8067664784051977,0.7056711636723466,0.9989708425897946,0.6375088168940394,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
33124,0.4160698044018124,-2.5556768045090967e-13,0.976407519344501,-0.7585502524618822,-0.9281024353999774,-1.1229291984490728,-0.8869806204806244,-0.4183219654905148,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
