country,country_code,Active Personnel,Aircraft Carriers,Armored Vehicles,Attack Helicopters,Available Manpower,Coastline Coverage,Corvettes,Dedicated Attack,Defense Budget,Destroyers,External Debt,Fighters/Interceptors,Fit-for-Service,Foreign Exchange/Gold,Frigates,Helicopter Carriers,Helicopters,Labor Force,Merchant Marine Fleet,Mine Warfare,Navy Ships,Oil Consumption,Oil Production,Oil Proven Reserves,Paramilitary,Patrol Vessels,Ports / Trade Terminals,Purchasing Power Parity,Railway Coverage,Reaching Mil Age Annually,Reserve Personnel,Roadway Coverage,Rocket Projectors,Self-Propelled Artillery,Shared Borders,Special-Mission,Square Land Area,Submarines,Tanker Fleet,Tanks,Total Aircraft Strength,Total Population,Towed Artillery,Trainers,Transports,Waterways (usable)
Mauritania,MAU,16000,0,100,0,1590921,754,0,4,194475000,0,4150000000,25,1113645,875000000,0,0,4,1437000,5,0,5,17000,4000,20000000,5000,3,2,23000000000,728,77506,0,12253,0,0,5002,2,1030700,0,0,30,25,4079284,100,9,6,0
Mexico,MEX,250000,0,3435,0,61197464,9330,7,33,6456000000,0,456713000000,469,49609008,175300000000,5,0,159,50914000,671,0,154,1984000,1855000,6630000000,100000,126,14,2306320000000,20825,2213525,65000,398148,0,0,4389,25,1964375,0,0,0,469,130207371,200,204,45,2900
Moldova,MOL,6000,0,381,0,1994325,0,0,0,47640000,0,7232000000,3,1655290,2803000000,0,0,2,1295000,147,0,0,18000,0,0,1000,0,0,32260000000,1171,66478,12000,9352,25,9,1885,0,33851,0,0,10,3,3323875,69,0,1,558
Mongolia,MON,9000,0,770,0,1823380,0,0,0,91980000,0,29945000000,11,1513086,3016000000,0,0,6,1241000,302,0,0,27000,20000,0,10000,0,0,37600000000,1815,60779,50000,113200,130,0,8082,0,1564116,0,0,470,11,3198913,300,2,3,580
Montenegro,MTN,2000,0,100,0,145,294,0,0,74074500,0,2516000000,11,86253,1077000000,0,0,11,167000,17,0,13,6000,0,0,10000,5,1,11500000000,250,3644,0,7762,18,0,680,0,13812,0,0,0,11,607414,12,0,0,0
Morocco,MOR,200000,0,3500,0,17549670,1835,1,0,5438823613,0,52957000000,249,14917220,26270000000,6,0,64,10399000,93,0,121,278000,160,684000,25000,22,7,259420000000,2067,621551,100000,57300,144,517,2363,4,446550,0,2,3335,249,36561813,211,67,29,0
Mozambique,MOZ,11000,0,317,2,13590735,2470,0,0,140200000,0,10910000000,18,7196912,3361000000,0,0,8,12900000,30,0,8,26000,0,0,0,8,3,38420000000,4787,494209,0,31083,12,0,4783,0,799380,0,0,90,18,30888034,270,1,1,460
Myanmar,MYA,400000,0,1587,9,30246622,1930,3,21,2285700000,0,6594000000,280,21800396,4924000000,5,0,80,22300000,95,2,155,123000,11000,139000000,50000,133,3,247240000000,5031,1027244,0,157000,486,190,6522,5,676578,1,0,664,280,57069099,1869,93,26,12800
Namibia,NAM,12500,0,489,2,589202,1572,2,0,363800000,0,7969000000,30,382981,2432000000,0,0,7,956800,14,0,8,27000,0,0,5000,5,2,22600000000,2628,29460,0,48875,7,0,4220,0,824292,0,0,5,30,2678191,54,14,3,0
Nepal,NEP,95000,0,277,0,14908190,0,0,0,437580000,0,5849000000,14,11470179,9091000000,0,0,9,16810000,0,0,0,27000,0,0,10000,0,0,110720000000,59,760622,0,27990,0,0,3159,0,147181,0,0,0,14,30424878,14,0,5,0
Netherlands,NTH,35000,0,2806,24,7801831,451,0,13,14260000000,0,4345413000000,156,6328152,38440000000,6,0,70,8907000,1199,6,61,945500,18000,81130000,5000,4,6,945480000000,3058,190711,5000,139124,0,57,1053,0,41543,4,1,18,156,17337403,15,28,4,6237
New Zealand,NWZ,9600,0,500,0,2146320,15134,0,0,3700000000,0,190621000000,47,1717056,20680000000,2,0,22,2709000,115,0,9,169100,25000,51800000,0,4,6,215600000000,4128,59897,2500,94000,0,0,0,5,267710,0,0,0,47,4991442,24,13,7,0
Nicaragua,NIC,12000,0,300,0,3059526,910,0,0,88340000,0,11674000000,17,2597475,2758000000,0,0,11,3046000,5,0,25,37000,0,0,0,22,2,34980000000,0,137366,0,23897,163,0,1253,0,130370,0,0,195,17,6243931,630,1,5,2220
Niger,NGR,10000,0,182,1,7081730,0,0,2,287280000,0,3728000000,16,4744759,1314000000,0,0,7,6500000,1,0,0,14000,9000,150000000,3000,0,0,28970000000,0,401298,0,18949,0,0,5834,2,1267000,0,0,0,16,23605767,0,0,5,300
Nigeria,NGA,135000,0,2019,15,116315847,853,0,22,5875755689,0,26847000000,140,83835195,38770000000,1,0,52,60080000,791,2,133,325000,2000000,37450000000,80000,109,4,1013530000000,3798,3950350,0,195000,47,44,4477,6,923768,0,0,376,140,219463862,349,26,20,8600
North Korea,NKO,1200000,0,4114,20,9299290,2495,0,114,4500000000,0,5000000000,946,5217935,5000000000,5,0,204,14000000,264,10,450,18000,0,0,200000,200,7,38500000000,7435,413302,600000,25554,1360,450,1607,0,120538,35,0,5895,946,25831360,250,169,1,2250
North Macedonia,MAC,7500,0,228,4,944948,0,0,0,192639000,0,9065000000,20,781072,2802000000,0,0,10,793000,0,0,0,21000,0,0,4000,0,0,33000000000,925,27667,3000,14182,11,0,838,0,25713,0,0,10,20,2128262,36,10,0,280
Norway,NOR,23000,0,700,0,2203836,25148,6,21,8300000000,0,651040000000,161,1807146,65920000000,4,0,49,2699000,1644,6,48,205300,1515000,6376000000,40000,17,11,342060000000,4200,71625,0,94902,12,80,2566,8,323802,6,0,36,161,5509591,0,35,4,1577
Oman,OMA,40000,0,932,0,1404007,2092,5,10,8396300000,0,46270000000,128,1222964,16090000000,0,0,31,2255000,57,0,22,188000,980000,5373000000,6000,12,5,135000000000,0,48032,0,60230,12,0,1561,4,309500,0,0,117,128,3694755,183,45,9,0
Pakistan,PAK,640000,0,9950,57,102417845,1046,2,90,7690148664,2,107527000000,1387,80981552,18460000000,6,0,307,61710000,57,3,114,557000,90000,332200000,500000,48,2,1021130000000,11881,4525440,500000,263775,560,689,7257,24,796095,9,4,2824,1387,238181034,1208,551,54,25220
Panama,PAN,0,0,50,0,1767891,2490,0,0,741160000,0,101393000000,39,1060734,2703000000,0,0,22,1633000,7980,0,20,146000,0,0,27000,0,3,109000000000,77,47144,0,11978,0,0,687,1,75420,0,0,0,39,3928646,0,4,12,800
Paraguay,PAR,14000,0,75,0,3418140,0,0,0,353000000,0,16622000000,41,2901783,7877000000,0,0,15,3428000,110,0,40,43000,0,0,10000,16,4,85000000000,30,145453,50000,74676,0,6,4655,0,406752,0,0,8,41,7272639,50,15,9,3100
Peru,PER,95000,0,552,16,15456588,2414,7,22,1830000000,0,81333000000,243,12526276,63830000000,7,0,89,3421000,98,0,63,250000,50000,434900000,50000,7,8,400000000000,1854,611823,100000,140672,90,24,7062,9,1285216,6,0,146,243,32201224,231,66,39,8808
Philippines,PHI,130000,0,600,2,47651880,36289,1,25,4390000000,0,81995000000,182,39118869,81570000000,2,0,103,41533000,1805,0,93,424000,13000,138500000,50000,50,5,871560000000,77,1994730,100000,216387,0,12,0,9,300000,0,0,18,182,110818325,286,24,21,3219
Poland,POL,120000,0,4786,30,18711097,440,2,0,14500000000,0,351770000000,452,15350737,113300000000,2,0,207,9561000,143,21,86,649600,21000,126000000,32500,3,4,1200000000000,19231,458231,0,420000,197,609,2845,9,312685,1,0,863,452,38185913,0,96,49,3997
