Characteristics: Table 1
Ticker,Name,Sector,Price,Dividend Yield,Years of Dividend Increases,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
ARNC,Arconic Corporation,Industrials,29.06,0,,,,0,3197.301625,0,N/A,1.88638177388048
MD,MEDNAX Inc,Healthcare,26.28,0,,,,0,2265.196847,N/A,0,1.24294664439519
OI,O-I Glass Inc,Consumer Cyclical,16.31,0,,,,0,2567.854751,0,N/A,1.9761214728851
SMCI,Super Micro Computer Inc,Technology,38.5,0,,,,0,1918.315168,0,N/A,1.36743513978942
MAC,Macerich Co.,Real Estate,14.08,0.0426136363636364,0,-0.8,-0.260877421350048,0.443310868494622,2527.247247,N/A,N/A,1.54078036338797
CNK,Cinemark Holdings Inc,Communication Services,22.11,0,,,,0,2643.029157,N/A,0,1.86788091930029
SITC,SITE Centers Corp,Real Estate,14.92,0.010697037958753,,,,0.159599806344598,2886.327518,192.601596025624,2.06468054779558,1.7697255931376
BRMK,Broadmark Realty Capital Inc,Real Estate,10.87,0.0772769089236431,1,,,0.725285957313809,1440.923276,0,N/A,0.990067720386761
SDGR,Schrodinger Inc,Healthcare,77.11,0,,,,0,4691.996451,0,N/A,1.62483798357599
RRC,Range Resources Corp,Energy,9.74,0,,,,0,2528.457569,N/A,0,1.19548782811782
UFS,Domtar Corporation,Basic Materials,40.64,0,0,,,0,2041.523578,N/A,0,1.41399606103444
VVNT,Vivint Smart Home Inc,Industrials,12.45,0,,,,0,2599.678437,0,N/A,1.16426520779064
CLNY,Colony Capital Inc.,Real Estate,7.11,0,,,,0,3499.181495,N/A,0,1.81069241197039
MFA,MFA Financial Inc,Real Estate,4.34,0.034240442748841,,,,0.148603521529973,1937.928573,N/A,N/A,1.89871282306538
SWBI,Smith & Wesson Brands Inc,N/A,18.17,0.008232603445457,,,,0.149586404603954,967.537546,9.98799985640549,0.0859691980482494,0.622178189027492
PRDO,Perdoceo Education Corporation,Consumer Defensive,11.97,0,,,,0,843.164909,6.78527094524561,0,1.04252725846378
RIG,Transocean Ltd,Energy,3.2,0,,,,0,1975.323856,N/A,0,2.33417057241031
URBN,"Urban Outfitters, Inc.",Consumer Cyclical,37.57,0,,,,0,3689.942321,2985.39022766181,0,1.3662932240901
PIPR,Piper Sandler Co`s,Financial Services,117.57,0.010698165132213,,8.25,0.427132647647747,1.25778327459437,2148.475121,0,N/A,1.34176698665958
DHC,Diversified Healthcare Trust,Real Estate,4.45,0.00898876404494382,0,0,-0.519396334712308,0.039857891811806,1060.294727,N/A,N/A,2.47453152667708
EPAC,Enerpac Tool Group Corp,Industrials,26.84,0.001490312932411,,,,0.03999999910593,1613.634542,382.37785357346,0.56980055706453,1.16846620862333
ABR,Arbor Realty Trust Inc.,Real Estate,17.49,0.0754716981132076,8,0.0999999999999999,0.155789624365015,1.21921306477968,2167.388312,13.2647162506197,0.999354971130882,1.41703706521312
PBF,PBF Energy Inc,Energy,13.41,0,,,,0,1611.627076,N/A,0,2.27797922280546
SBGI,"Sinclair Broadcast Group, Inc.",Communication Services,33.28,0.023802495522415,,0,0.0212956876001351,0.792147050986004,1684.518252,N/A,N/A,1.27327674394433
RPAY,Repay Holdings Corporation,Technology,23.52,0,,,,0,1892.237767,0,N/A,0.942079269479769
WKHS,Workhorse Group Inc,Consumer Cyclical,13,0,,,,0,1649.765143,0,N/A,0.956378580479289
AMCX,AMC Networks Inc,Communication Services,53,0,,,,0,1588.69355,6.62013572020885,0,0.770416948977138
IGT,International Game Technology PLC,Consumer Cyclical,17.46,0,,,,0,3576.795607,N/A,0,2.33437231812344
SWTX,SpringWorks Therapeutics Inc,Healthcare,73.95,0,,,,0,3625.33604,0,N/A,1.15421899057567
VIE,Viela Bio Inc,Healthcare,53.01,0,,,,0,0,0,N/A,
FRO,Frontline Ltd,Energy,7.23,0.159800025114842,,,,1.15535418158031,1429.315481,3.46186008072661,0.55280104381833,1.06191917930348
BRBR,Bellring Brands Inc,Consumer Defensive,25.92,0,,,,0,1024.079682,0,N/A,1.07258032905242
ONEM,1life Healthcare Inc,Healthcare,44.39,0,,,,0,6094.290271,0,N/A,1.14115437283557
SPNS,Sapiens International Corp NV,Technology,32.59,0.015600423492343,,,,0.508417801615478,1781.42477,52.7438866146558,0.785201238016182,1.21435435232987
KOS,Kosmos Energy Ltd,Energy,2.77,0,,,,0,1129.726559,N/A,0,2.64112298406019
PFC,Premier Financial Corp,N/A,32.42,0.020848836653575,,,,0.675919284308906,1208.400483,19.1846142639868,0.386239591033661,1.54755248919103
PGNY,Progyny Inc,Healthcare,57.56,0,,,,0,5020.149276,0,N/A,1.14337689124257
ARCT,Arcturus Therapeutics Holdings Inc,Healthcare,38.56,0,,,,0,1013.367404,0,N/A,0.679465118739053
AR,Antero Resources Corp,Energy,9.88,0,,,,0,2975.752556,N/A,0,1.73321793350046
M,Macy`s Inc,Consumer Cyclical,17.43,0,0,,,0,5433.216503,N/A,0,1.41060513642958
PRVB,Provention Bio Inc,Healthcare,7.73,0,,,,0,489.886725,0,N/A,1.15164155400351
RLMD,Relmada Therapeutics Inc,Healthcare,38.76,0,,,,0,649.124922,0,N/A,0.875767770644692
FREQ,Frequency Therapeutics Inc,Healthcare,10.445,0,,,,0,356.986818,0,N/A,1.26583575389923
SHYF,Shyft Group Inc (The),N/A,37.5,0.003331639857624,,,,0.124936494660903,1321.740788,40.2736459825101,0.137187322566051,1.28552287117651
PAE,PAE Incorporated,Industrials,8.2,0,,,,0,763.172483,0,N/A,1.12735310917742
PING,Ping Identity Holding Corp,Technology,24.71,0,,,,0,2012.466414,0,N/A,1.59623060473079
IHRT,iHeartMedia Inc,Communication Services,19.12,0,,,,0,2120.877339,0,N/A,1.34764506074179
DRRX,Durect Corp,Healthcare,1.83,0,,,,0,416.050075,N/A,0,1.36650764837794
FCEL,Fuelcell Energy Inc,Industrials,10.38,0,,,,0,3346.814297,N/A,0,2.42748139818872
BDTX,Black Diamond Therapeutics Inc,Healthcare,28.17,0,,,,0,1017.997178,0,N/A,1.15720527688768
IMVT,Immunovant Inc,Healthcare,16.09,0,,,,0,1576.3573,0,N/A,0.902602347543727
IGMS,IGM Biosciences Inc,Healthcare,67.51,0,,,,0,1726.567102,0,N/A,
ZNTL,Zentalis Pharmaceuticals Inc,Healthcare,61.1,0,,,,0,2524.174565,0,N/A,1.02287340762862
APLT,Applied Therapeutics Inc,Healthcare,18.03,0,,,,0,468.972362,0,N/A,1.44467175240612
OPCH,Option Care Health Inc.,Healthcare,19.24,0,,,,0,3459.725025,N/A,0,1.46489036746639
CODX,Co-Diagnostics Inc,Healthcare,8.83,0,,,,0,253.118255,5.95873399052966,0,-0.758056361113524
RVMD,Revolution Medicines Inc,Healthcare,42.69,0,,,,0,3132.729064,0,N/A,1.44642473397202
NLTX,Neoleukin Therapeutics Inc,Healthcare,12.55,0,,,,0,531.191714,0,N/A,1.3118127730686
QTNT,Quotient Ltd,Healthcare,3.84,0,,,,0,388.351692,0,N/A,0.853033956045156
FRG,Franchise Group Inc,Consumer Cyclical,37.81,0.032572839524412,,,,1.23157906241803,1518.340027,0,N/A,0.994080835803241
SVC,Service Properties Trust,Real Estate,12.28,0.00325732899022801,0,0,-0.544502534514627,0.039944826483872,2024.036669,N/A,N/A,2.63075129410635
VERI,Veritone Inc,Technology,25.73,0,,,,0,831.053476,N/A,0,1.48784883313167
FLR,Fluor Corporation,Industrials,22.52,0,0,,,0,3172.106171,N/A,0,2.16339590314261
ACEL,Accel Entertainment Inc,Consumer Cyclical,13,0,,,,0,1213.933604,0,N/A,1.14315447453891
PASG,Passage Bio Inc,Healthcare,18.02,0,,,,0,972.674262,0,N/A,1.02740097219071
NEX,NexTier Oilfield Solutions Inc,Energy,3.4,0,,,,0,732.584845,N/A,0,2.46668664717564
PHAT,Phathom Pharmaceuticals Inc,Healthcare,39.86,0,,,,0,1248.479494,0,N/A,1.52504118571962
RGP,Resources Connection Inc,Industrials,13.9,0.039624629283144,,0,0.0696103757250688,0.550782347035714,456.240006,75.4240379897504,2.93750585085714,1.01920424368443
PGEN,Precigen Inc,Healthcare,7.92,0,,,,0,1628.837013,N/A,0,1.48456906086431
BRP,BRP Group Inc,Financial Services,29.97,0,,,,0,1374.087727,0,N/A,1.38513532001811
BEAM,Beam Therapeutics Inc,Healthcare,81.56,0,,,,0,5100.641039,0,N/A,1.26533736925007
VMD,Viemed Healthcare Inc,Healthcare,9.53,0,,,,0,373.434784,11.8437927199492,0,1.00954643212662
ARQT,Arcutis Biotherapeutics Inc,Healthcare,30.33,0,,,,0,1519.068253,0,N/A,1.28273159396394
VXRT,Vaxart Inc,Healthcare,8.33,0,,,,0,980.996378,N/A,0,0.42159655842659
OVID,Ovid Therapeutics Inc,Healthcare,3.84,0,,,,0,252.493709,0,N/A,0.538868611949699
BGCP,BGC Partners Inc,Financial Services,5.75,0.006928990014164,,-0.928571428571429,-0.425650822501483,0.039841692581445,1861.371232,38.0586250102233,0.445656516570973,1.52384555295477
NK,NantKwest Inc,Healthcare,32.49,0,,,,0,3552.605177,0,N/A,1.16559615231363
ORIC,ORIC Pharmaceuticals Inc,N/A,24.01,0,,,,0,881.066494,0,N/A,0.87084677907947
GSKY,GreenSky Inc,Technology,6.05,0,,,,0,464.773717,46.6406138585048,0,1.59313179576757
BCLI,"Brainstorm Cell Therapeutics, Inc.",Healthcare,3.53,0,,,,0,128.20452,0,N/A,1.39482126626377
RAPT,RAPT Therapeutics Inc,Healthcare,21.9,0,,,,0,544.606046,0,N/A,1.34049414328723
TRUE,Truecar Inc,Communication Services,4.45,0,,,,0,438.927637,5.73431799749164,0,1.17027307561169
XPEL,XPEL Inc,Consumer Cyclical,65.56,0,,,,0,1810.281859,99.0215762491555,0,1.57483017495126
VSTM,Verastem Inc,Healthcare,3.01,0,,,,0,516.713805,0,N/A,1.47062176346243
ALRS,Alerus Financial Corp,Financial Services,29.69,0.020049762246928,,0,0.0639953128150836,0.595277441111313,515.455988,0,N/A,1.03774300603957
PTEN,Patterson-UTI Energy Inc,Energy,6.37,0.0125588697017269,0,,,0.059562982531647,1196.221478,N/A,N/A,2.3874692933569
APRE,Aprea Therapeutics Inc,Healthcare,4.69,0,,,,0,99.366219,0,N/A,0.904790149630358
OPRT,Oportun Financial Corp,Financial Services,20.92,0,,,,0,579.544438,0,N/A,1.6814174075545
NLS,Nautilus Inc,Consumer Cyclical,17.54,0,,,,0,532.153725,8.89175452780377,0,1.22422920743114
KROS,Keros Therapeutics Inc,Healthcare,65.4,0,,,,0,1522.760128,0,N/A,1.08071947333179
STSA,Satsuma Pharmaceuticals Inc,Healthcare,5.17,0,,,,0,163.007086,0,N/A,1.79474440181645
MCBS,MetroCity Bankshares Inc,Financial Services,16.16,0.023888508475127,,-0.0909090909090908,0,0.386038296958056,414.9011,0,N/A,1.44167436732797
ISEE,IVERIC bio Inc,Healthcare,6.63,0,,,,0,597.824554,0,N/A,1.35291092127219
MCF,Contango Oil & Gas Company,Energy,3.84,0,,,,0,764.724403,N/A,0,2.0715852197705
SITM,SiTime Corp,Technology,107.64,0,,,,0,2027.909398,0,N/A,1.93639856787589
CYBE,Cyberoptics Corp.,Technology,30,0,,,,0,218.98128,38.1367607105538,0,1.36495018862087
APT,Alpha Pro Tech Ltd.,Industrials,9.52,0,,,,0,129.441127,0,N/A,-0.166064988577904
KRMD,"Repro-Med Systems, Inc.",Healthcare,3.34,0,,,,0,148.548367,0,N/A,0.922193176465315
SI,Silvergate Capital Corp,Financial Services,113.21,0,,,,0,2809.868577,107.914147679545,0,1.52128973382849
SPT,Sprout Social Inc,Technology,69.59,0,,,,0,3088.966,0,N/A,1.47703732748298
MGI,Moneygram International Inc.,Financial Services,7.28,0,,,,0,564.771152,N/A,0,1.30330987359677
GAN,GAN Limited,N/A,19.66,0,,,,0,826.05652,0,N/A,
HEAR,Turtle Beach Corp,Technology,30.4,0,,,,0,470.512838,12.1435203220978,0,1.29647197887681
AWH,Aspira Women`s Health Inc,N/A,5.93,0,,,,0,662.480932,N/A,0,0.7752213283878
STXS,Stereotaxis Inc,Healthcare,7.66,0,,,,0,567.456469,N/A,0,0.816247149917678
PRTS,CarParts.com Inc,Consumer Cyclical,17.66,0,,,,0,849.314415,N/A,0,1.16044023593095
COFS,"Choiceone Financial Services, Inc.",Financial Services,23.95,0.034706891815081,,,,0.831230058971196,186.864726,0,N/A,0.600507866290974
PACK,Ranpak Holdings Corp,Consumer Cyclical,19.89,0,,,,0,1379.23945,0,N/A,1.01663564361259
SELB,Selecta Biosciences Inc,Healthcare,3.91,0,,,,0,439.379208,0,N/A,0.441852002517735
ICAD,Icad Inc,Healthcare,18.25,0,,,,0,454.761859,N/A,0,1.04880500828718
AGRX,Agile Therapeutics Inc,Healthcare,1.86,0,,,,0,164.170558,0,N/A,0.870943606738353
UTI,Universal Technical Institute Inc,Consumer Defensive,5.65,0,,,,0,184.979582,N/A,0,1.07569813534718
FENC,Fennec Pharmaceuticals Inc,Healthcare,6.87,0,,,,0,178.6396,0,N/A,1.12790742633164
GRWG,GrowGeneration Corp,Consumer Cyclical,45.05,0,,,,0,2633.611377,494.261363795887,0,1.90989918499309
PLYM,Plymouth Industrial Reit Inc,Real Estate,18,0.043588366239281,,,,0.784590592307064,506.050506,0,N/A,1.23322139424234
DYAI,"Dyadic International Inc., DE",Healthcare,4.72,0,,,,0,130.055621,0,N/A,0.826061135674871
LAKE,"Lakeland Industries, Inc.",Consumer Cyclical,28.8,0,,,,0,231.182698,6.58527595282858,0,0.255831070820009
INFU,InfuSystem Holdings Inc,Healthcare,22.48,0,,,,0,457.644468,0,N/A,0.994402669077979
IDYA,Ideaya Biosciences Inc,Healthcare,20.91,0,,,,0,688.055929,0,N/A,1.43697254390373
LUNA,Luna Innovations Inc,Technology,11.63,0,,,,0,365.154576,0,N/A,1.18333134208758
LYTS,LSI Industries Inc.,Technology,8.8,0.022522079891508,,0,0,0.198194303045277,232.634327,30.7229697834126,0.702816677465521,1.45415054156439
OYST,Oyster Point Pharma Inc,Healthcare,21.11,0,,,,0,548.06086,0,N/A,1.22209982117806
VERU,Veru Inc,Healthcare,9.26,0,,,,0,665.904222,427.062345178857,0,0.712778883809707
HCHC,HC2 Holdings Inc,Communication Services,4.21,0,,,,0,323.129309,0,N/A,1.45669362005035
FLGT,Fulgent Genetics Inc,Healthcare,87.19,0,,,,0,2527.574451,0,N/A,0.893087136969263
CMCL,Caledonia Mining Corporation Plc,Basic Materials,13.87,0.034888446213894,,0.6,0.542324329953521,0.483902748986723,168.088075,0,N/A,1.0550384928785
GNSS,Genasys Inc,Technology,6.85,0,,,,0,230.44246,21.6689746595876,0,0.960865621690622
NBSE,NeuBase Therapeutics Inc,Healthcare,5.89,0,,,,0,136.530341,0,N/A,0.871532478150862
ASPU,Aspen Group Inc,Consumer Defensive,5.21,0,,,,0,129.991704,0,N/A,1.74704356670431
FBIO,Fortress Biotech Inc,Healthcare,4.34,0,,,,0,411.898324,0,N/A,1.28544761853655
GDYN,Grid Dynamics Holdings Inc,Technology,14.68,0,,,,0,789.823489,0,N/A,1.00002847300822
IMRA,Imara Inc,Healthcare,7.84,0,,,,0,137.789944,0,N/A,0.486844795658382
ARAV,Aravive Inc,Healthcare,5.99,0,,,,0,117.762561,0,N/A,1.18056443047778
SMSI,"Smith Micro Software, Inc.",Technology,5.81,0,,,,0,300.595351,72.1717530420168,0,1.05311972991047
XCUR,Exicure Inc,Healthcare,1.9,0,,,,0,167.187836,0,N/A,1.61828581825047
CABA,Cabaletta Bio Inc,Healthcare,11.22,0,,,,0,226.020886,0,N/A,1.25973840022177
AGTC,Applied Genetic Technologies Corp,Healthcare,3.95,0,,,,0,168.871865,0,N/A,0.899797560421608
SREV,ServiceSource International Inc,Technology,1.41,0,,,,0,137.195413,N/A,0,1.29779945150743
ALTG,Alta Equipment Group Inc,Industrials,13.55,0,,,,0,406.750702,0,N/A,1.4626957496799
HBT,HBT Financial Inc,Financial Services,17.93,0.032929280616569,,,,0.590422001455089,491.245853,0,N/A,0.989984591723557
NYMX,Nymox Pharmaceutical Corp,Healthcare,2.46,0,,,,0,193.629431,N/A,0,0.798482382989586
ONEW,Onewater Marine Inc,Consumer Cyclical,51.29,0,,,,0,557.383355,0,N/A,0.995369665897329
ATOM,Atomera Inc,Technology,21.49,0,,,,0,495.845432,0,N/A,1.7656179849159
ASPN,Aspen Aerogels Inc.,Industrials,19.78,0,,,,0,560.667245,0,N/A,1.32993220927922
CATB,Catabasis Pharmaceuticals Inc,Healthcare,2.28,0,,,,0,53.390774,0,N/A,0.442717993255283
XOMA,XOMA Corp,Healthcare,36.8,0,,,,0,414.285421,47.1153668600023,0,1.3050951464507
AUBN,Auburn National Bancorp Inc.,Financial Services,36.25,0.02803375685391,,0.0196078431372548,0.029338379413359,1.01622368595426,129.279318,0,N/A,
AHCO,AdaptHealth Corp,Healthcare,30.75,0,,,,0,3533.125954,0,N/A,0.771217009780974
IDN,Intellicheck Inc,Technology,10.08,0,,,,0,187.425071,0,N/A,1.71101881027488
CDTX,Cidara Therapeutics Inc,Healthcare,2.19,0,,,,0,105.214483,0,N/A,0.72573611710325
RESN,Resonant Inc,Technology,3.59,0,,,,0,216.333842,0,N/A,1.82635976380019
PCTI,PCTEL Inc,Technology,6.68,0,,,,0,123.70368,36.2024232367574,0,0.912516771423898
FONR,Fonar Corp.,Healthcare,17.53,0,,,,0,114.895301,12.8862010284708,0,0.898543348019093
PXLW,Pixelworks Inc,Technology,3.17,0,,,,0,165.513375,N/A,0,1.21372866900274
QMCO,Quantum Corp,Technology,8.83,0,,,,0,500.336118,N/A,0,1.63785424766084
PWFL,PowerFleet Inc,Technology,8.15,0,,,,0,293.210993,0,N/A,1.06269295959623
HROW,Harrow Health Inc,Healthcare,7.81,0,,,,0,202.932431,0,N/A,1.09053063316897
HBIO,Harvard Bioscience Inc.,Healthcare,7.02,0,,,,0,280.289344,0,N/A,1.21206796770811
MBCN,Middlefield Banc Corp.,Financial Services,22.32,0.027032481859106,,0.0666666666666667,-0.0993599743195911,0.603364995095265,141.612744,0,N/A,0.716175946012124
NH,NantHealth Inc,Healthcare,2.69,0,,,,0,299.447123,0,N/A,1.47269820797383
VOXX,VOXX International Corp,Consumer Cyclical,18.3,0,,,,0,396.505661,N/A,0,1.59363401272725
IBIO,iBio Inc,Healthcare,1.33,0,,,,0,287.293208,0,N/A,0.899107446726351
PINE,Alpine Income Property Trust Inc,Real Estate,17.72,0.047598316504202,,,,0.84344216845446,140.564077,0,N/A,1.29996757548196
DMTK,DermTech Inc,Healthcare,45.74,0,,,,0,1322.157558,0,N/A,0.908254182809379
IVAC,"Intevac, Inc.",Industrials,6.93,0,,,,0,167.0565,158.1974428125,0,1.08135606044584
SBFG,SB Financial Group Inc,Financial Services,17.9,0.022690392301151,,0.105263157894737,0.118426914720145,0.406158022190608,132.274305,0,N/A,0.785765000648423
ALSK,Alaska Communications Systems Group Inc,Communication Services,3.29,0,,,,0,177.998725,N/A,0,0.884329241464737
CIZN,Citizens Holding Co,Financial Services,19.02,0.049644145624195,,0,0,0.944231649772197,106.266071,0,N/A,
RDVT,Red Violet Inc,Technology,21.58,0,,,,0,263.450302,0,N/A,1.13164634237216
ELMD,Electromed Inc.,Healthcare,10.01,0,,,,0,86.4368,0,N/A,0.943378869152113
PLBC,Plumas Bancorp.,Financial Services,27.73,0.017882264799032,,,,0.495875202877166,143.855808,0,N/A,0.740257453170789
CBIO,Catalyst Biosciences Inc,Healthcare,4.95,0,,,,0,155.088584,0,N/A,0.896618758396017
VNRX,VolitionRX Ltd,Healthcare,3.31,0,,,,0,175.002702,N/A,0,1.03916377320725
ORGS,Orgenesis Inc,Healthcare,4.92,0,,,,0,120.106012,0,N/A,0.953771048444424
SAL,"Salisbury Bancorp, Inc.",Financial Services,43.41,0.026421642279265,,0,0.00704294969331021,1.14696349134291,123.507831,0,N/A,
PFSW,PFSWEB Inc,Industrials,7.43,0,,,,0,151.453172,N/A,0,1.85810874536277
REFR,Research Frontiers Inc.,Technology,2.85,0,,,,0,90.203629,N/A,0,1.47710440153044
CALB,California Bancorp,Financial Services,18.84,0,,,,0,154.292026,0,N/A,
RVP,Retractable Technologies Inc,Healthcare,10.77,0,,,,0,365.992645,0,N/A,1.59253701685119
AQST,Aquestive Therapeutics Inc,Healthcare,4.18,0,,,,0,144.499482,0,N/A,1.18827579831189
XONE,ExOne Co,Industrials,24.67,0,,,,0,544.558771,N/A,0,1.98645591354256
GNPX,Genprex Inc,Healthcare,3.84,0,,,,0,166.182774,0,N/A,1.57751811047514
CFRX,ContraFect Corp,Healthcare,4.31,0,,,,0,169.524028,0,N/A,1.17219504538722
SMED,Sharps Compliance Corp.,Industrials,16.12,0,,,,0,266.167024,0,N/A,0.643391527801879
MHH,Mastech Digital Inc,Industrials,16.72,0,,,,0,190.996105,0,N/A,1.66097852243521
VTOL,Bristow Group Inc.,N/A,25.78,0,,,,0,765.936071,5.48892857548265,0,2.18831985523336
APTX,Aptinyx Inc,Healthcare,2.88,0,,,,0,192.872601,0,N/A,0.762007836383427
EARN,Ellington Residential Mortgage REIT,Real Estate,12.48,0.086802056015544,,0,-0.0688500849051623,1.08328965907399,154.047404,0,N/A,0.76279341466888
ICBK,County Bancorp Inc,Financial Services,23.75,0.014235451466266,,0.428571428571429,0.148698354997035,0.338091972323821,144.88659,0,N/A,0.817214874369076
XAIR,Beyond Air Inc,Healthcare,5.47,0,,,,0,112.061303,0,N/A,0.728599852245997
FCCO,First Community Corp.,Financial Services,18.26,0.025984047971353,,0,0.0844717711976986,0.474468715956905,137.442417,0,N/A,0.573495995908301
CSPR,Casper Sleep Inc,Consumer Cyclical,8.95,0,,,,0,362.909737,N/A,0,1.38095580127825
CBFV,CB Financial Services Inc,Financial Services,21.4,0.044066591071003,,0,0.0175545771755876,0.943025048919474,116.295604,0,N/A,1.00031674539727
FUNC,First United Corporation,Financial Services,16.85,0.031652171850276,,,,0.533339095677165,117.880359,8.51675160393035,0.270730505419881,0.680627788805507
AMRK,A-Mark Precious Metals Inc,Financial Services,37.59,0,,,,0,270.752538,0,N/A,0.633828552925764
CNTG,Centogene NV,Healthcare,11.48,0,,,,0,253.910542,0,N/A,0.85611267806976
ETON,Eton Pharmaceuticals Inc,Healthcare,8.31,0,,,,0,203.450539,0,N/A,0.831568182289257
AGFS,AgroFresh Solutions Inc,Consumer Defensive,2.21,0,,,,0,115.894128,0,N/A,1.44514840509046
OESX,Orion Energy Systems Inc,Industrials,6.29,0,,,,0,190.369517,0,N/A,1.84485522562176
SAVA,Cassava Sciences Inc,Healthcare,44.34,0,,,,0,1769.091731,0,N/A,2.22003156255867
FSFG,First Savings Financial Group Inc,Financial Services,68.31,0.010059887819977,,0.0588235294117645,0.0672491818795389,0.687190936982694,162.231263,0,N/A,
KERN,Akerna Corp,Healthcare,4.35,0,,,,0,93.948494,0,N/A,1.85174830722253
EBMT,Eagle Bancorp Montana Inc,Financial Services,23.3,0.016511381718305,,0.0263157894736843,0.0469852964964488,0.384715194036528,157.867915,0,N/A,0.774404474864601
STND,Standard AVB Financial Corp,Financial Services,32.9,0.026571224103117,,0,0.149740732715669,0.87419327299255,157.064436,0,N/A,
PAVM,PAVmed Inc,Healthcare,4.66,0,,,,0,384.266955,0,N/A,0.891113278329727
MYFW,First Western Financial Inc,Financial Services,25.7,0,,,,0,204.51803,0,N/A,0.853132322503769
MLSS,Milestone Scientific Inc.,Healthcare,2.51,0,,,,0,167.061961,0,N/A,1.37397308480134
MRBK,Meridian Corp,Financial Services,26.32,0.013617154898855,,,,0.358403516937875,162.333732,0,N/A,
TELA,TELA Bio Inc,Healthcare,13.3,0,,,,0,192.059129,0,N/A,0.918607231321676
LARK,Landmark Bancorp Inc,Financial Services,25.05,0.030424859229258,,0,0,0.762142723692921,119.15293,0,N/A,0.934680792081277
FVE,Five Star Senior Living Inc.,Healthcare,4.97,0,,,,0,157.430172,N/A,0,1.10205190982703
SLNO,Soleno Therapeutics Inc,Healthcare,1.29,0,,,,0,102.843547,0,N/A,1.57057190950287
