'id','type','text'
190,ham,Have you got Xmas radio times. If not i will get it now'
191,ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...'
192,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk'
193,ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|'
194,ham,Hi :)finally i completed the course:)'
195,ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.'
196,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day'
197,ham,Gud mrng dear hav a nice day'
198,ham,Did u got that persons story'
199,ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? '
200,ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx'
201,ham,Found it
202,ham,I sent you  &lt
203,ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx'
204,ham,Your account has been refilled successfully by INR  &lt
205,ham,Goodmorning sleeping ga.'
206,ham,U call me alter at 11 ok.'
207,ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...'
208,ham,As I entered my cabin my PA said
209,ham,Aight yo
210,ham,You please give us connection today itself before  &lt
211,ham,Both :) i shoot big loads so get ready!'
212,ham,What's up bruv
213,ham,Home so we can always chat'
214,ham,K:)k:)good:)study well.'
215,ham,Yup... How ü noe leh...'
216,ham,Sounds great! Are you home now?'
217,ham,Finally the match heading towards draw as your prediction.'
218,ham,Tired. I haven't slept well the past few nights.'
219,ham,Easy ah?sen got selected means its good..'
220,ham,I have to take exam with march 3'
221,ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.'
222,ham,Ok no prob. Take ur time.'
223,ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..'
224,ham,Sorry
225,ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.'
226,spam,500 New Mobiles from 2004
227,ham,Would really appreciate if you call me. Just need someone to talk to.'
228,spam,Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free
229,ham,Hey company elama po mudyadhu.'
230,ham,Life is more strict than teacher... Bcoz Teacher teaches lesson &amp
231,ham,Dear good morning now only i am up'
232,ham,Get down in gandhipuram and walk to cross cut road. Right side &lt
233,ham,Dear we are going to our rubber place'
234,ham,Sorry battery died
235,ham,Yes:)here tv is always available in work place..'
236,spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence'
237,ham,I have printed it oh. So  &lt
238,ham,Or ill be a little closer like at the bus stop on the same street'
239,ham,Where are you?when wil you reach here?'
240,ham,New Theory: Argument wins d SITUATION
241,spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597'
242,ham,Tomarrow final hearing on my laptop case so i cant.'
243,ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx'
244,ham,Okay. No no
245,ham,Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today
246,ham,U don't remember that old commercial?'
247,ham,Too late. I said i have the website. I didn't i have or dont have the slippers'
248,ham,I asked you to call him now ok'
249,ham,Kallis wont bat in 2nd innings.'
250,ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.'
251,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16'
252,ham,Ranjith cal drpd Deeraj and deepak 5min hold'
253,ham,Wen ur lovable bcums angry wid u
254,ham,What you doing?how are you?'
255,ham,Ups which is 3days also
256,ham,I'm back
257,ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out'
258,ham,Mmm so yummy babe ... Nice jolt to the suzy'
259,ham,Where are you lover ? I need you ...'
260,spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW'
261,ham,I‘m parked next to a MINI!!!! When are you coming in today do you think?'
262,ham,Yup'
263,ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.'
264,ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*'
265,spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698'
266,ham,Why you Dint come with us.'
267,ham,Same. Wana plan a trip sometme then'
268,ham,Not sure yet
269,spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT'
270,ham,The evo. I just had to download flash. Jealous?'
271,spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.'
272,ham,Come to mu
273,ham,Night has ended for another day
274,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com'
275,ham,Usf I guess
276,ham,No objection. My bf not coming.'
277,ham,Thanx...'
278,ham,Tell rob to mack his gf in the theater'
279,ham,Awesome
280,ham,Just sent it. So what type of food do you like?'
281,ham,All done? All handed in? Celebrations in full swing yet?'
282,ham,You got called a tool?'
283,ham,
284,ham,Great comedy..cant stop laughing da:)'
285,spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242'
286,ham,Alright
287,ham,Hi
288,ham,Sleeping nt feeling well'
289,ham,U WILL SWITCH YOUR FONE ON DAMMIT!!'
290,ham,India have to take lead:)'
291,ham,I.ll post her out l8r. In class'
292,ham,Thts wat Wright Brother did to fly..'
293,ham,Evening * v good if somewhat event laden. Will fill you in
294,ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp
295,ham,ITS A LAPTOP TAKE IT WITH YOU.'
296,ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.'
297,ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...'
298,spam,For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022
299,ham,I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now? '
300,ham,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..'"
301,ham,At 7 we will go ok na.'
302,ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)'
303,ham,S:-)if we have one good partnership going we will take lead:)'
304,spam,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50'
305,ham,Yeah
306,ham,No just send to you. Bec you in temple na.'
307,ham,You aren't coming home between class
308,spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL'
309,ham,S but mostly not like that.'
310,ham,Ü v ma fan...'
