Obs,year,price,real_price,neighbourhood,area,land,rooms,baths,houseage,dist2citycntr,dist2ringroad,dist2dump
94,1989,63035,63035,6,"1,353","45,306",6,1,29,"21,002","22,003","25,554"
95,1989,87505,87505,6,"3,252","44,863",7,2,188,"20,997","22,997","25,263"
96,1989,72968,72968,0,"2,042","49,220",7,2,0,"29,997","30,995","33,259"
97,1989,84944,84944,0,"1,928","44,432",7,3,0,"25,004","25,998","28,130"
98,1989,80876,80876,0,"2,371","43,555",7,3,0,"25,001","26,000","27,332"
99,1989,94005,94005,0,"2,032","51,833",7,3,0,"24,996","26,003","27,230"
100,1989,74533,74533,0,"1,818","55,316",7,2,0,"29,997","31,005","33,184"
101,1989,82513,82513,5,"1,982","50,097",7,3,2,"33,003","34,004","36,693"
102,1989,86030,86030,5,"1,853","50,970",6,2,2,"30,995","32,003","34,583"
103,1989,76929,76929,5,"1,835","46,177",6,3,1,"29,997","29,996","33,266"
104,1989,75878,75878,5,"1,837","45,739",7,2,2,"29,999","30,001","33,279"
105,1989,75506,75506,5,"1,821","46,178",7,3,0,"29,995","30,004","33,327"
106,1989,75042,75042,5,"1,726","47,914",7,2,0,"30,003","30,002","33,349"
107,1989,73908,73908,5,"2,091","47,042",6,3,1,"29,998","30,005","33,325"
108,1989,83915,83915,5,"2,040","46,177",7,3,0,"33,002","33,999","36,779"
109,1989,76888,76888,5,"2,403","43,558",7,3,0,"32,995","34,004","37,075"
110,1989,84301,84301,5,"2,107","68,688",7,3,1,"30,004","31,002","33,156"
111,1989,75881,75881,5,"1,925","157,250",7,3,0,"29,996","30,999","33,293"
112,1989,87943,87943,5,"2,070","204,293",7,3,0,"29,999","30,996","33,335"
113,1989,65000,65000,2,"1,362","43,911",7,2,13,"26,001","25,999","30,147"
114,1989,89999,89999,2,"1,942","43,993",7,3,0,"25,995","25,998","29,963"
115,1989,104468,104468,2,"2,813","43,559",7,3,5,"25,998","25,999","29,916"
116,1989,63045,63045,2,"1,237","95,829",6,2,14,"24,002","25,000","28,411"
117,1989,66065,66065,2,"1,384","46,602",7,2,5,"27,003","26,997","30,965"
118,1989,59963,59963,2,"1,069","48,833",7,1,7,"26,998","27,000","30,986"
119,1989,73044,73044,2,"1,392","46,105",7,2,3,"26,999","27,997","30,950"
120,1989,82992,82992,2,"2,574","43,992",9,3,4,"24,005","24,995","28,223"
121,1989,70482,70482,5,"1,232","45,002",6,2,0,"28,005","28,996","32,348"
122,1989,119996,119996,5,"2,648","43,996",6,3,4,"27,995","27,995","32,029"
123,1989,62473,62473,5,"1,973","44,865",6,2,12,"30,999","32,002","35,666"
124,1989,65493,65493,5,"1,252","44,998",6,2,1,"27,996","29,002","32,816"
125,1989,84860,84860,5,"1,721","45,500",7,2,8,"27,004","28,001","31,259"
126,1989,63383,63383,5,"1,139","44,429",6,1,10,"31,000","30,997","35,612"
127,1989,80047,80047,5,"2,450","44,870",7,3,2,"30,001","30,003","34,509"
128,1989,85955,85955,0,"2,948","43,994",7,3,3,"22,996","24,005","28,231"
129,1989,94385,94385,0,"2,801","69,257",7,3,0,"23,003","24,001","28,378"
130,1989,90475,90475,0,"2,113","52,276",7,3,0,"23,005","24,003","27,960"
131,1989,90473,90473,0,"2,213","54,012",7,3,2,"23,995","23,996","28,378"
132,1989,84920,84920,0,"1,561","44,866",7,3,0,"24,003","24,003","28,620"
133,1989,86026,86026,0,"2,246","49,226",7,3,3,"23,999","23,997","28,322"
134,1989,91519,91519,2,"2,286","44,003",7,3,7,"21,998","23,003","27,813"
135,1989,89920,89920,2,"2,634","64,899",7,2,24,"21,001","21,003","26,973"
136,1989,87953,87953,2,"2,629","64,899",7,2,22,"21,003","20,999","26,968"
137,1989,73491,73491,2,"1,932","43,997",6,2,14,"18,999","18,996","25,196"
138,1989,85002,85002,2,"2,004","44,083",8,2,9,"21,001","20,998","26,674"
139,1989,87026,87026,2,"1,918","44,258",7,2,14,"21,004","21,003","26,237"
140,1989,97036,97036,2,"2,135","43,998",7,3,5,"20,000","20,001","25,833"
141,1989,72493,72493,2,"2,472","46,421",7,3,4,"23,996","24,005","28,960"
142,1989,77013,77013,2,"1,794","45,101",7,3,3,"24,001","22,996","28,999"
143,1989,84993,84993,2,"2,131","117,177",7,3,4,"22,997","22,998","28,130"
144,1989,82044,82044,2,"2,018","44,902",8,3,5,"20,005","20,004","25,795"
145,1989,92977,92977,2,"2,512","43,996",6,3,0,"19,997","20,003","25,963"
146,1989,105005,105005,2,"2,431","43,660",7,3,1,"19,996","20,003","25,591"
147,1989,106527,106527,2,"2,882","43,556",7,3,0,"20,005","20,005","25,569"
148,1989,44880,44880,3,964,"51,689",5,1,15,"25,996","26,002","31,718"
149,1989,72999,72999,0,"1,869","56,905",7,3,12,"19,002","17,998","25,933"
150,1989,46507,46507,3,"1,299","94,956",6,2,12,"28,995","28,005","35,243"
151,1989,49991,49991,3,"1,665","43,560",6,2,13,"29,005","27,998","35,653"
152,1989,90030,90030,3,"2,048","43,562",7,3,1,"28,997","28,002","35,409"
153,1989,49503,49503,0,"1,100","38,765",6,1,1,"32,996","32,996","38,573"
154,1989,57028,57028,0,"1,315","64,037",5,1,28,"35,001","33,999","40,019"
155,1989,119968,119968,0,"3,027","47,917",6,3,8,"11,002","12,999","14,797"
156,1989,83522,83522,0,"1,923","42,686",6,2,4,"13,998","15,002","18,850"
157,1989,299981,299981,0,"3,771","282,703",7,3,0,"10,996","12,003","15,522"
158,1989,64933,64933,0,"2,858","29,958",7,2,3,"11,996","11,995","17,728"
159,1989,50931,50931,4,935,"8,184",5,1,58,"6,005","6,000","13,441"
160,1989,60483,60483,4,"1,398","9,998",6,2,12,"6,996","6,000","13,578"
161,1989,70390,70390,4,"1,343","8,502",5,2,4,"6,004","5,002","13,532"
162,1989,47982,47982,4,"1,501","5,154",6,2,48,"5,999","6,997","11,798"
163,1989,53529,53529,0,"1,331","11,880",7,1,25,"9,999","10,000","16,818"
164,1989,66026,66026,6,"1,843","92,785",6,2,7,"23,998","26,001","26,233"
165,1989,64017,64017,6,"1,761","86,245",6,2,7,"24,004","25,999","26,026"
166,1989,64990,64990,0,"2,727","44,865",7,3,11,"14,996","14,998","21,303"
167,1989,72903,72903,0,"2,082","25,000",7,2,9,"13,996","13,004","19,702"
168,1989,26004,26004,0,"2,025","25,116",7,3,3,"13,003","13,001","19,442"
169,1989,117005,117005,0,"3,029","32,254",7,3,0,"14,000","14,001","21,000"
170,1989,96990,96990,0,"2,252","30,889",7,3,0,"14,004","12,995","20,155"
171,1989,94957,94957,0,"2,240","25,695",7,3,2,"13,002","13,001","19,828"
172,1989,107860,107860,0,"2,463","30,948",7,3,0,"14,001","13,002","20,490"
173,1989,119975,119975,0,"2,464","31,060",7,3,1,"14,003","13,998","20,946"
174,1989,120012,120012,0,"2,500","34,664",7,3,0,"14,003","14,005","21,108"
175,1989,121031,121031,0,"2,511","31,913",7,3,0,"13,998","14,000","20,912"
176,1989,107041,107041,0,"2,009","30,800",7,3,0,"14,001","13,002","20,846"
177,1989,119927,119927,0,"2,347","31,332",7,3,1,"13,999","12,998","20,457"
178,1989,142494,142494,0,"2,487","27,243",7,3,0,"13,999","13,004","20,332"
179,1989,84191,84191,0,"2,760","27,205",7,3,1,"13,999","12,999","20,248"
180,1992,48989,37625.96,4,"1,549","6,786",6,1,80,"4,000","1,001","11,801"
181,1992,52045,39973.12,4,"1,574","3,486",5,1,70,"2,995","2,003","10,075"
182,1992,67955,52192.78,4,"3,304","18,728",6,2,32,"2,997","2,001","10,227"
183,1992,54048,41511.52,4,"1,698","7,497",6,1,40,"3,003","2,000","11,250"
184,1992,69998,53761.91,4,"1,452","5,495",6,2,32,"4,002","2,000","11,771"
185,1992,46996,36095.24,4,"1,412","4,499",6,1,81,"3,004","1,999","10,174"
186,1992,73914,56769.59,0,"1,595","13,065",6,1,18,"4,999","3,998","13,202"
187,1992,117548,90282.65,0,"1,907","15,247",9,3,1,"8,995","8,996","18,152"
188,1992,60024,46101.38,0,739,"10,458",5,1,41,"10,005","9,997","19,024"
189,1992,84994,65279.57,0,"1,159","43,559",6,2,1,"16,003","15,000","23,014"
190,1992,66471,51053,0,"1,099","15,512",5,1,27,"8,998","7,005","17,045"
191,1992,70017,53776.5,4,"1,830","13,935",6,1,82,"1,004","3,002","9,025"
192,1992,66502,51076.81,4,"1,161","9,772",5,1,41,"2,995","3,995","10,521"
193,1992,90994,69887.87,4,"2,259","10,019",7,2,31,"4,001","3,997","11,520"
194,1992,72506,55688.17,4,"1,484","12,627",6,1,31,"4,005","3,997","11,911"
195,1992,67049,51496.93,4,970,"11,105",4,1,36,"4,004","4,005","11,904"
196,1992,67951,52189.71,1,"1,688","81,273",6,2,20,"8,004","12,001","5,769"
197,1992,85038,65313.37,2,"1,080","52,275",6,2,19,"18,000","18,002","24,144"
198,1992,105979,81397.08,4,"1,636","17,723",6,2,13,"2,999","5,004","10,509"
199,1992,129960,99815.67,4,"3,212","17,426",7,3,23,"3,996","5,002","11,547"
200,1992,119922,92105.99,0,"2,254","12,500",7,3,0,"11,005","10,005","18,782"
201,1992,124950,95967.75,0,"2,014","12,636",7,3,2,"11,996","9,998","18,948"
202,1992,118033,90655.15,0,"1,990","12,628",7,3,1,"11,997","9,996","18,914"
203,1992,100007,76810.3,0,"1,744","13,502",7,3,0,"11,996","9,996","19,049"
204,1992,127954,98274.97,0,"2,705","13,501",7,3,0,"11,995","9,999","19,001"
205,1992,140018,107540.71,0,"2,306","13,506",7,3,0,"10,995","10,002","18,843"
206,1992,143539,110245.01,0,"2,149","12,810",6,3,0,"11,002","10,004","18,447"
207,1992,66509,51082.18,4,"1,871","4,997",5,1,60,"1,995","5,999","6,788"
208,1992,49959,38370.97,0,"1,139","13,946",5,1,52,"2,000","5,003","7,067"
209,1992,65008,49929.34,0,914,"12,007",5,1,25,"4,002","5,005","11,108"
210,1992,86046,66087.56,0,"1,424","19,550",6,1,20,"7,004","7,005","13,998"
211,1992,120011,92174.35,0,"3,802","50,042",9,2,131,"11,999","11,996","19,016"
212,1992,134973,103665.9,0,"2,256","34,875",7,3,0,"11,000","11,000","18,300"
213,1992,134957,103653.61,0,"2,255","34,879",7,3,0,"11,005","10,997","18,296"
214,1992,159999,122887.1,0,"2,837","37,046",7,3,1,"12,001","11,003","18,536"
215,1992,168003,129034.57,0,"2,488","30,807",7,3,1,"12,000","11,002","18,552"
216,1992,182057,139828.73,0,"3,079","25,156",7,3,0,"11,998","10,997","18,496"
217,1992,175021,134424.74,0,"3,079","25,263",7,3,1,"12,004","11,003","18,457"
218,1992,161989,124415.52,0,"3,236","25,379",7,3,0,"11,000","10,997","18,441"
219,1992,189873,145831.8,0,"3,394","31,413",7,4,0,"11,995","11,998","18,728"
220,1992,190479,146297.24,0,"2,466","37,026",7,3,0,"12,004","12,004","18,943"
221,1992,234516,180119.82,0,"3,249","29,667",7,3,1,"11,999","11,996","19,026"
222,1992,220019,168985.41,0,"3,042","29,617",7,3,0,"11,996","10,998","19,016"
223,1992,174965,134381.73,0,"3,060","25,268",7,3,0,"12,004","11,001","18,893"
224,1992,118016,90642.09,0,"1,731","14,812",7,2,11,"13,000","15,997","4,999"
225,1992,155043,119080.65,1,"2,999","45,743",9,3,0,"11,004","14,002","8,705"
226,1992,144006,110603.69,1,"2,465","46,176",7,3,0,"10,999","13,996","8,623"
227,1992,215983,165885.57,1,"2,549","46,172",7,3,1,"9,996","13,003","8,839"
228,1992,124524,95640.56,1,"3,397","63,260",6,4,0,"10,002","12,997","9,949"
229,1992,79957,61410.91,1,"1,984","65,214",6,3,0,"10,002","12,997","8,123"
230,1992,100028,76826.42,1,"5,136","47,914",7,3,0,"9,999","14,001","8,202"
231,1992,87992,67582.18,4,"2,329","35,536",6,1,81,"2,999","5,997","7,819"
232,1992,41011,31498.47,4,938,"8,277",6,1,40,"3,003","7,002","6,267"
233,1992,66000,50691.25,4,"1,676","54,881",7,1,121,"7,002","2,998","7,558"
234,1992,74034,56861.75,4,"1,583","5,956",5,2,7,"4,000","7,004","9,592"
235,1992,76878,59046.09,0,"1,528","3,051",5,2,0,"4,004","7,001","7,155"
236,1992,131995,101378.65,0,"2,570","43,757",7,3,0,"6,997","9,003","12,251"
237,1992,130024,99864.83,0,"2,645","35,284",7,2,0,"6,004","7,995","11,859"
238,1992,74960,57572.97,0,"1,460","18,218",6,1,39,"10,000","10,003","16,058"
239,1992,156540,120230.42,0,"2,466","31,218",7,3,1,"9,995","10,998","15,996"
240,1992,140026,107546.86,0,"2,404","29,228",8,3,8,"9,996","10,004","15,979"
241,1992,64956,49889.4,0,"1,761","32,673",6,2,81,"10,997","10,999","17,272"
242,1992,150022,115224.28,0,"3,133","26,133",6,3,7,"12,000","12,003","17,768"
243,1992,155048,119084.49,0,"2,688","28,684",7,2,3,"12,996","13,004","18,983"
244,1992,152994,117506.92,6,"2,652","43,998",7,3,0,"23,004","25,003","24,532"
245,1992,160018,122901.69,6,"2,736","43,555",7,3,1,"23,003","25,003","24,621"
246,1992,147990,113663.6,6,"2,738","43,564",7,3,0,"22,999","25,000","24,565"
247,1992,142028,109084.49,6,"3,722","43,931",8,3,0,"22,995","25,004","24,454"
248,1992,162012,124433.18,6,"2,652","45,305",7,3,2,"22,004","23,997","24,100"
249,1992,175504,134795.7,6,"3,284","43,993",8,3,0,"22,003","24,001","23,994"
250,1992,193987,148991.56,6,"3,174","45,305",9,3,1,"22,000","24,004","23,869"
251,1992,130459,100198.93,6,"2,326","43,993",6,2,0,"24,002","24,995","26,777"
252,1992,72987,56057.61,1,"1,560","48,783",6,1,29,"15,998","19,003","17,237"
253,1992,139954,107491.56,1,"2,247","49,825",6,3,1,"16,004","17,995","17,126"
254,1992,81999,62979.27,1,"1,568","43,999",6,1,30,"16,999","18,999","18,274"
255,1992,180042,138281.11,1,"2,747","77,101",7,3,2,"15,001","17,004","16,527"
256,1992,199975,153590.64,1,"2,473","64,749",7,3,1,"15,998","17,997","16,629"
257,1992,52944,40663.6,6,"1,195","54,453",6,1,51,"21,997","22,998","25,474"
258,1992,109986,84474.66,6,"2,202","45,299",6,2,18,"20,999","22,996","25,209"
259,1992,68008,52233.49,6,"2,398","45,738",7,3,1,"21,999","23,997","25,188"
260,1992,89985,69112.91,6,"3,152","51,835",7,2,3,"21,996","23,002","25,013"
261,1992,101979,78324.89,6,"3,154","51,835",7,2,3,"22,003","23,000","25,000"
262,1992,119553,91822.58,6,"2,700","48,788",7,3,0,"21,998","24,004","25,260"
263,1992,113498,87172.05,0,"1,996","43,572",7,3,1,"24,998","25,999","27,974"
264,1992,80543,61860.99,2,"1,290","44,203",7,2,10,"26,996","27,997","30,868"
265,1992,75940,58325.66,2,"1,345","78,405",6,2,19,"25,000","26,004","29,784"
266,1992,108967,83692.02,2,"1,228","49,380",6,2,3,"22,997","24,002","27,012"
267,1992,159952,122851,2,"4,058","69,462",7,3,5,"23,996","23,997","27,888"
268,1992,119995,92162.06,2,"2,362","43,996",7,3,8,"24,997","25,004","29,301"
269,1992,135934,104404,2,"2,382","43,556",7,3,0,"24,996","25,996","29,555"
270,1992,121018,92947.78,5,"2,702","43,999",7,3,6,"27,003","27,996","31,835"
271,1992,84975,65264.98,5,"1,973","44,868",6,2,16,"31,000","32,004","35,652"
272,1992,133039,102180.5,5,"2,754","43,573",7,3,4,"27,995","28,001","32,121"
273,1992,143038,109860.22,5,"2,577","49,220",7,3,0,"30,999","30,996","35,419"
274,1992,130023,99864.06,5,"2,529","45,741",7,3,2,"31,998","32,996","36,821"
275,1992,134977,103668.98,5,"2,461","46,606",7,3,0,"31,998","32,000","36,720"
276,1992,141026,108314.9,5,"2,922","43,563",7,3,1,"30,999","31,004","34,997"
277,1992,124975,95986.95,5,"2,553","43,562",7,3,0,"30,999","31,002","35,031"
278,1992,172941,132827.19,0,"2,577","53,576",7,3,0,"24,001","24,003","29,090"
279,1992,177731,136506.15,0,"2,743","45,975",7,3,0,"23,999","23,998","28,629"
280,1992,124964,95978.5,0,"2,204","45,735",7,3,0,"25,002","24,998","29,534"
281,1992,173542,133288.79,0,"2,905","43,562",7,3,1,"23,004","23,000","28,237"
282,1992,168991,129793.4,0,"3,289","43,560",7,3,0,"23,002","22,997","28,065"
283,1992,167914,128966.21,0,"2,477","52,709",6,3,0,"24,000","23,999","28,811"
284,1992,145031,111390.94,0,"2,567","43,565",7,3,0,"22,997","23,996","28,573"
285,1992,159851,122773.43,0,"2,461","47,476",7,3,0,"23,002","22,997","28,393"
286,1992,172225,132277.27,0,"2,825","46,600",7,3,0,"23,001","22,997","28,319"
287,1992,156923,120524.58,0,"2,469","43,905",7,3,0,"22,996","23,003","28,303"
288,1992,169946,130526.89,0,"2,832","43,559",7,3,0,"23,004","23,002","28,145"
289,1992,129921,99785.72,2,"2,059","65,343",7,3,7,"22,997","22,997","28,339"
290,1992,109945,84443.17,2,"2,630","64,902",7,2,26,"20,997","20,996","27,040"
291,1992,119958,92133.64,2,"2,524","44,432",6,3,13,"18,002","18,999","24,534"
292,1992,140038,107556.07,2,"1,804","44,865",6,3,7,"22,002","22,004","28,054"
293,1992,83028,63769.59,2,"1,186","44,252",6,1,6,"22,997","23,001","28,904"
294,1992,175014,134419.36,2,"2,740","59,791",7,3,0,"20,999","20,996","26,640"
295,1992,117465,90218.9,2,"2,013","44,902",8,3,7,"20,000","19,997","25,820"
296,1992,155525,119450.85,2,"2,609","44,429",7,3,0,"19,996","20,003","25,771"
297,1992,158038,121380.96,2,"2,622","43,556",7,3,1,"20,003","19,998","25,601"
298,1992,114956,88291.86,0,"1,844","46,296",6,2,7,"20,000","18,996","26,463"
299,1992,133462,102505.38,3,"2,651","46,610",7,3,7,"27,004","26,001","32,957"
300,1992,128019,98324.89,3,"2,466","43,561",7,3,4,"26,004","25,997","32,697"
301,1992,104986,80634.41,3,"1,999","67,953",7,3,6,"30,004","29,002","36,375"
302,1992,89994,69119.82,0,"1,549","44,435",6,1,16,"33,002","33,003","38,928"
303,1992,270007,207378.66,0,"3,336","43,564",7,3,13,"11,005","12,997","14,993"
304,1992,69967,53738.1,0,"1,522","28,313",6,1,26,"13,002","13,997","17,608"
305,1992,98038,75298.01,0,"1,193","50,968",6,2,3,"14,005","15,003","18,680"
306,1992,103879,79784.18,0,"1,832","35,282",7,3,1,"11,999","13,000","17,373"
307,1992,101068,77625.2,0,"2,856","29,952",7,2,6,"12,003","11,999","17,659"
308,1992,107936,82900.16,0,"1,838","35,126",7,2,0,"12,004","13,004","17,633"
309,1992,62032,47643.63,4,"1,131","5,000",6,1,16,"6,001","6,004","13,799"
310,1992,96715,74281.88,4,"1,241","23,092",7,2,1,"6,005","4,998","13,363"
311,1992,79535,61086.79,4,"2,219","9,996",5,2,36,"6,005","5,999","13,446"
312,1992,97902,75193.55,4,"1,228","13,073",7,2,0,"5,995","4,996","13,051"
313,1992,103857,79767.28,4,"1,911","20,914",7,2,0,"6,002","5,002","13,160"
314,1992,70046,53798.77,4,"1,728","10,938",6,2,3,"4,999","6,005","12,754"
315,1992,174981,134394.01,0,"1,844","29,128",6,2,25,"10,002","10,000","16,878"
316,1992,79963,61415.52,0,"2,379","9,996",5,2,64,"9,997","9,996","17,003"
317,1992,60024,46101.38,0,"1,393","7,500",6,1,26,"10,005","10,004","16,949"
318,1992,144475,110963.91,6,"3,142","48,786",7,3,0,"23,999","25,999","24,998"
319,1992,96960,74470.05,0,"1,295","44,864",6,2,21,"15,003","14,997","21,312"
320,1992,94963,72936.25,0,"1,149","44,183",5,2,19,"13,999","15,001","20,463"
321,1992,204112,156768.06,0,"2,263","45,461",7,3,0,"12,995","13,004","19,360"
