Name,Position,Team,Age,Height,Height_i,Weight,College,Salary,Points,Rebounds,Assists
Mike James,PG,Brooklyn Nets,31,"6' 1""",6.1,175,Eastern Arizona Coll. (J.C.),,7.7,2.5,4.2
Alize Johnson,PF,Brooklyn Nets,25,"6' 7""",6.7,212,Missouri State,1762796.0,5.2,5.0,0.8
James Johnson,PF,Brooklyn Nets,34,"6' 7""",6.7,240,Wake Forest,1669178.0,7.2,3.5,1.9
Tyler Johnson,SG,Brooklyn Nets,29,"6' 3""",6.3,186,Fresno State,,5.4,2.0,1.2
Timothe Luwawu-Cabarrot,SG,Brooklyn Nets,26,"6' 7""",6.7,220,,,6.4,2.2,1.2
Patty Mills,PG,Brooklyn Nets,33,"6' 1""",6.1,180,Saint Mary's,5890000.0,10.8,1.7,2.4
Paul Millsap,PF,Brooklyn Nets,36,"6' 7""",6.7,257,Louisiana Tech,,9.0,4.7,1.8
Jahlil Okafor,C,Brooklyn Nets,25,"6' 10""",6.1,270,Duke,2130023.0,5.4,2.4,0.5
Reggie Perry,PF,Brooklyn Nets,21,"6' 8""",6.8,250,Mississippi State,,3.0,2.8,0.5
Day'Ron Sharpe,C,Brooklyn Nets,19,"6' 11""",6.11,265,North Carolina,2009040.0,,,
Cameron Thomas,SG,Brooklyn Nets,19,"6' 4""",6.4,210,LSU,2036280.0,,,
Marcus Zegarowski,PG,Brooklyn Nets,23,"6' 2""",6.2,181,Creighton,,,,
Dwayne Bacon,SG,New York Knicks,26,"6' 6""",6.6,221,Florida State,1824003.0,10.9,3.1,1.3
RJ Barrett,SG,New York Knicks,21,"6' 6""",6.6,214,Duke,8623920.0,17.6,5.8,3.0
Alec Burks,SG,New York Knicks,30,"6' 6""",6.6,214,Colorado,9536000.0,12.7,4.6,2.2
Evan Fournier,G,New York Knicks,28,"6' 7""",6.7,205,,17000000.0,17.1,3.0,3.4
Taj Gibson,C,New York Knicks,36,"6' 9""",6.9,232,USC,4910000.0,5.4,5.6,0.8
Quentin Grimes,SG,New York Knicks,21,"6' 5""",6.5,205,Houston,2168760.0,,,
Jared Harper,PG,New York Knicks,23,"5' 10""",5.1,175,Auburn,,0.4,0.3,0.1
Kevin Knox II,SF,New York Knicks,22,"6' 7""",6.7,215,Kentucky,5845979.0,3.9,1.5,0.5
Miles McBride,PG,New York Knicks,20,"6' 2""",6.2,200,West Virginia,925258.0,,,
Nerlens Noel,C,New York Knicks,27,"6' 11""",6.11,220,Kentucky,8000000.0,5.1,6.4,0.7
Frank Ntilikina,PG,New York Knicks,23,"6' 4""",6.4,200,,,2.7,0.9,0.6
Norvel Pelle,PF,New York Knicks,28,"6' 10""",6.1,231,St. John's,,1.5,1.5,0.2
Theo Pinson,SG,New York Knicks,25,"6' 5""",6.5,212,North Carolina,,0.1,0.3,0.1
Immanuel Quickley,SG,New York Knicks,22,"6' 3""",6.3,190,Kentucky,2210640.0,11.4,2.1,2.0
Julius Randle,PF,New York Knicks,26,"6' 8""",6.8,250,Kentucky,21780000.0,24.1,10.2,6.0
Mitchell Robinson,C,New York Knicks,23,"7' 0""",7.0,240,,1802057.0,8.3,8.1,0.5
Derrick Rose,PG,New York Knicks,32,"6' 2""",6.2,200,Memphis,13445120.0,14.7,2.6,4.2
Jericho Sims,PF,New York Knicks,22,"6' 10""",6.1,245,Texas,,,,
Obi Toppin,PF,New York Knicks,23,"6' 9""",6.9,220,Dayton,5105160.0,4.1,2.2,0.5
Luca Vildoza,PG,New York Knicks,26,"6' 3""",6.3,190,,3325000.0,,,
Kemba Walker,PG,New York Knicks,31,"6' 0""",6.0,184,Connecticut,36016200.0,19.3,4.0,4.9
Charles Bassey,C,Philadelphia Sixers,20,"6' 11""",6.11,235,Western Kentucky,,,,
Gary Clark,SF,Philadelphia Sixers,26,"6' 6""",6.6,225,Cincinnati,,3.1,2.9,0.8
Seth Curry,SG,Philadelphia Sixers,31,"6' 2""",6.2,185,Duke,8207518.0,12.5,2.4,2.7
Andre Drummond,C,Philadelphia Sixers,28,"6' 10""",6.1,279,Connecticut,1669178.0,14.9,12.0,2.0
Joel Embiid,C,Philadelphia Sixers,27,"7' 0""",7.0,280,Kansas,31579390.0,28.5,10.6,2.8
Danny Green,SF,Philadelphia Sixers,34,"6' 6""",6.6,215,North Carolina,10000000.0,9.5,3.8,1.7
Tobias Harris,PF,Philadelphia Sixers,29,"6' 8""",6.8,226,Tennessee,35995950.0,19.5,6.8,3.5
Aaron Henry,F,Philadelphia Sixers,22,"6' 6""",6.6,210,Michigan State,,,,
Isaiah Joe,SG,Philadelphia Sixers,22,"6' 4""",6.4,165,Arkansas,1517981.0,3.7,0.9,0.5
Furkan Korkmaz,SG,Philadelphia Sixers,24,"6' 7""",6.7,202,,4629630.0,9.1,2.1,1.5
Tyrese Maxey,PG,Philadelphia Sixers,20,"6' 2""",6.2,200,Kentucky,2602920.0,8.0,1.7,2.0
Shake Milton,SG,Philadelphia Sixers,24,"6' 5""",6.5,205,SMU,1846738.0,13.0,2.3,3.1
Georges Niang,F,Philadelphia Sixers,28,"6' 7""",6.7,230,Iowa State,3300000.0,6.9,2.4,0.8
Filip Petrusev,PF,Philadelphia Sixers,21,"6' 11""",6.11,235,Gonzaga,,,,
Paul Reed,SF,Philadelphia Sixers,22,"6' 9""",6.9,210,DePaul,1517981.0,3.4,2.3,0.5
Grant Riller,G,Philadelphia Sixers,24,"6' 2""",6.2,190,Charleston,,2.6,0.1,0.4
Mike Scott,PF,Philadelphia Sixers,33,"6' 7""",6.7,237,Virginia,,4.2,2.4,0.8
Ben Simmons,PG,Philadelphia Sixers,25,"6' 11""",6.11,240,LSU,33003936.0,14.3,7.2,6.9
Jaden Springer,PG,Philadelphia Sixers,18,"6' 4""",6.4,204,Tennessee,2023800.0,,,
Matisse Thybulle,SG,Philadelphia Sixers,24,"6' 5""",6.5,201,Washington,2840160.0,3.9,1.9,1.0
Precious Achiuwa,F,Toronto Raptors,21,"6' 8""",6.8,225,Memphis,2711280.0,5.0,3.4,0.5
OG Anunoby,SF,Toronto Raptors,24,"6' 7""",6.7,232,Indiana,16071429.0,15.9,5.5,2.2
Dalano Banton,PG,Toronto Raptors,21,"6' 9""",6.9,204,Nebraska,925258.0,,,
Scottie Barnes,SF,Toronto Raptors,20,"6' 9""",6.9,227,Florida State,7280520.0,,,
Khem Birch,C,Toronto Raptors,28,"6' 9""",6.9,233,UNLV,6350000.0,7.2,5.8,1.3
Isaac Bonga,G,Toronto Raptors,21,"6' 8""",6.8,180,,1669178.0,2.0,1.7,0.6
Chris Boucher,PF,Toronto Raptors,28,"6' 9""",6.9,200,New Mexico JC,7020000.0,13.6,6.7,1.1
Sam Dekker,F,Toronto Raptors,27,"6' 9""",6.9,219,Wisconsin,1669178.0,,,
Goran Dragic,PG,Toronto Raptors,35,"6' 3""",6.3,190,,19440000.0,13.4,3.4,4.4
Malachi Flynn,PG,Toronto Raptors,23,"6' 1""",6.1,175,San Diego State,2048040.0,7.5,2.5,2.9
Freddie Gillespie,SF,Toronto Raptors,24,"6' 9""",6.9,245,Baylor,1517981.0,5.6,4.9,0.5
David Johnson,PG,Toronto Raptors,20,"6' 5""",6.5,210,Louisville,,,,
Stanley Johnson,SF,Toronto Raptors,25,"6' 6""",6.6,242,Arizona,,4.4,2.5,1.5
Pascal Siakam,PG,Toronto Raptors,27,"6' 9""",6.9,230,New Mexico State,33003936.0,21.4,7.2,4.5
Gary Trent Jr.,SG,Toronto Raptors,22,"6' 5""",6.5,209,Duke,16000000.0,15.3,2.6,1.4
Fred VanVleet,SG,Toronto Raptors,27,"6' 1""",6.1,197,Wichita State,19675926.0,19.6,4.2,6.3
Yuta Watanabe,SF,Toronto Raptors,26,"6' 9""",6.9,215,George Washington,1762796.0,4.4,3.2,0.8
Ryan Arcidiacono,PG,Chicago Bulls,27,"6' 3""",6.3,195,Villanova,3000000.0,3.1,1.5,1.3
Lonzo Ball,PG,Chicago Bulls,23,"6' 6""",6.6,190,UCLA,18604651.0,14.6,4.8,5.7
Tony Bradley,C,Chicago Bulls,23,"6' 10""",6.1,248,North Carolina,1669178.0,7.1,5.7,0.9
Troy Brown Jr.,SF,Chicago Bulls,22,"6' 6""",6.6,215,Oregon,5170564.0,4.7,3.1,0.9
Alex Caruso,SG,Chicago Bulls,27,"6' 4""",6.4,186,Texas A&M,8650651.0,6.4,2.9,2.8
DeMar DeRozan,SF,Chicago Bulls,32,"6' 6""",6.6,220,USC,26000000.0,21.6,4.2,6.9
Ayo Dosunmu,SG,Chicago Bulls,21,"6' 5""",6.5,200,Illinois,925258.0,,,
Devon Dotson,PG,Chicago Bulls,22,"6' 2""",6.2,185,Kansas,,2.1,0.5,0.6
Cristiano Felicio,PF,Chicago Bulls,29,"6' 11""",6.11,270,,,1.3,1.4,0.5
Javonte Green,PG,Chicago Bulls,28,"6' 4""",6.4,205,Radford,1669178.0,3.6,1.7,0.4
Derrick Jones Jr.,SF,Chicago Bulls,24,"6' 5""",6.5,210,UNLV,9720900.0,6.8,3.5,0.8
Zach LaVine,SG,Chicago Bulls,26,"6' 5""",6.5,200,UCLA,19500000.0,27.4,5.0,4.9
Adam Mokoka,SG,Chicago Bulls,23,"6' 4""",6.4,190,,,1.1,0.4,0.4
Denzel Valentine,SG,Chicago Bulls,27,"6' 4""",6.4,220,Michigan State,,6.5,3.2,1.7
Nikola Vucevic,C,Chicago Bulls,30,"6' 11""",6.11,260,USC,24000000.0,23.4,11.7,3.8
Coby White,PG,Chicago Bulls,21,"6' 5""",6.5,195,North Carolina,5837760.0,15.1,4.1,4.8
Patrick Williams,PF,Chicago Bulls,20,"6' 7""",6.7,215,Florida State,7422000.0,9.2,4.6,1.4
Jarrett Allen,C,Cleveland Cavaliers,23,"6' 11""",6.11,243,Texas,20000000.0,12.8,10.0,1.7
Damyean Dotson,SG,Cleveland Cavaliers,27,"6' 5""",6.5,210,Houston,2000000.0,6.7,2.0,2.0
Darius Garland,PG,Cleveland Cavaliers,21,"6' 1""",6.1,192,Vanderbilt,7040880.0,17.4,2.4,6.1
Mfiondu Kabengele,C,Cleveland Cavaliers,24,"6' 9""",6.9,250,Florida State,1701593.0,2.4,1.5,0.4
Kevin Love,PF,Cleveland Cavaliers,33,"6' 8""",6.8,251,UCLA,31258256.0,12.2,7.4,2.5
Lauri Markkanen,PF,Cleveland Cavaliers,24,"7' 0""",7.0,240,Arizona,15690909.0,13.6,5.3,0.9
Evan Mobley,C,Cleveland Cavaliers,20,"7' 0""",7.0,215,USC,8075160.0,,,
Isaac Okoro,SF,Cleveland Cavaliers,20,"6' 5""",6.5,225,Auburn,6720720.0,9.6,3.1,1.9
Cedi Osman,SF,Cleveland Cavaliers,26,"6' 7""",6.7,230,,8133334.0,10.4,3.4,2.9
Ricky Rubio,G,Cleveland Cavaliers,30,"6' 3""",6.3,190,,17800000.0,8.6,3.3,6.4
Collin Sexton,PG,Cleveland Cavaliers,22,"6' 1""",6.1,190,Alabama,6439671.0,24.3,3.1,4.4
Lamar Stevens,F,Cleveland Cavaliers,24,"6' 6""",6.6,230,Penn State,1517981.0,4.1,2.4,0.6
Brodric Thomas,G,Cleveland Cavaliers,24,"6' 5""",6.5,185,Truman State,,3.9,1.7,0.9
Dean Wade,PF,Cleveland Cavaliers,24,"6' 9""",6.9,228,Kansas State,1782621.0,6.0,3.4,1.2
Dylan Windler,SG,Cleveland Cavaliers,24,"6' 6""",6.6,196,Belmont,2239200.0,5.2,3.5,1.1
Saddiq Bey,SF,Detroit Pistons,22,"6' 7""",6.7,215,Villanova,2824320.0,12.2,4.5,1.4
Cade Cunningham,PG,Detroit Pistons,19,"6' 7""",6.7,220,Oklahoma State,10050120.0,,,
Hamidou Diallo,SG,Detroit Pistons,23,"6' 5""",6.5,202,Kentucky,5200000.0,11.6,5.2,1.9
Luka Garza,C,Detroit Pistons,22,"6' 10""",6.1,243,Iowa,,,,
Jerami Grant,SF,Detroit Pistons,27,"6' 8""",6.8,210,Syracuse,20002500.0,22.3,4.6,2.8
Killian Hayes,PG,Detroit Pistons,20,"6' 5""",6.5,195,,5572680.0,6.8,2.7,5.3
Frank Jackson,PG,Detroit Pistons,23,"6' 3""",6.3,205,Duke,3000000.0,9.8,2.2,0.9
Josh Jackson,SG,Detroit Pistons,24,"6' 8""",6.8,207,Kansas,5005350.0,13.4,4.1,2.3
Cory Joseph,PG,Detroit Pistons,30,"6' 3""",6.3,200,Texas,12600000.0,8.2,2.5,3.4
Balsa Koprivica,C,Detroit Pistons,21,"7' 1""",7.1,240,Florida State,,,,
Saben Lee,PG,Detroit Pistons,22,"6' 2""",6.2,183,Vanderbilt,1489065.0,5.6,2.0,3.6
Isaiah Livers,PF,Detroit Pistons,23,"6' 6""",6.6,232,Michigan,1057260.0,,,
Trey Lyles,PF,Detroit Pistons,25,"6' 9""",6.9,234,Kentucky,2500000.0,5.0,3.7,0.6
Rodney McGruder,SG,Detroit Pistons,30,"6' 4""",6.4,205,Kansas State,1669178.0,5.7,1.4,1.0
Kelly Olynyk,PF,Detroit Pistons,30,"6' 11""",6.11,240,Gonzaga,12195122.0,13.5,7.0,2.9
Chris Smith,F,Detroit Pistons,21,"6' 8""",6.8,215,UCLA,,,,
Dennis Smith Jr.,PG,Detroit Pistons,23,"6' 2""",6.2,205,North Carolina State,,6.7,2.4,3.3
Isaiah Stewart,C,Detroit Pistons,20,"6' 8""",6.8,250,Washington,3277080.0,7.9,6.7,0.9
Goga Bitadze,C,Indiana Pacers,22,"6' 11""",6.11,250,,3098400.0,5.1,3.3,0.8
Oshae Brissett,SF,Indiana Pacers,23,"6' 7""",6.7,210,Syracuse,1701593.0,10.9,5.5,0.9
Malcolm Brogdon,PG,Indiana Pacers,28,"6' 5""",6.5,229,Virginia,21700000.0,21.2,5.3,5.9
Torrey Craig,SF,Indiana Pacers,30,"6' 7""",6.7,221,USC Upstate,4878049.0,5.5,3.9,1.0
Chris Duarte,SG,Indiana Pacers,24,"6' 6""",6.6,190,Oregon,3749400.0,,,
Justin Holiday,SF,Indiana Pacers,32,"6' 6""",6.6,180,Washington,6006420.0,10.5,3.6,1.7
Isaiah Jackson,PF,Indiana Pacers,19,"6' 10""",6.1,205,Kentucky,2451240.0,,,
DeJon Jarreau,F,Indiana Pacers,23,"6' 5""",6.5,185,Houston,,,,
Jeremy Lamb,SG,Indiana Pacers,29,"6' 5""",6.5,180,Connecticut,10500000.0,10.1,3.6,1.5
Caris LeVert,SG,Indiana Pacers,27,"6' 6""",6.6,205,Michigan,17500000.0,20.2,4.6,5.2
Kelan Martin,SG,Indiana Pacers,26,"6' 5""",6.5,230,Butler,1701593.0,4.5,2.2,0.5
T.J. McConnell,PG,Indiana Pacers,29,"6' 1""",6.1,190,Arizona,7500000.0,8.6,3.7,6.6
Domantas Saboni,PF,Indiana Pacers,25,"6' 11""",6.11,240,Gonzaga,19800000.0,,,
JaKarr Sampson,SF,Indiana Pacers,28,"6' 7""",6.7,214,St. John's,,4.6,2.7,0.1
Cassius Stanley,SG,Indiana Pacers,22,"6' 5""",6.5,190,Duke,,1.5,0.8,0.0
Edmond Sumner,PG,Indiana Pacers,25,"6' 4""",6.4,196,Xavier,2320000.0,7.5,1.8,0.9
Myles Turner,C,Indiana Pacers,25,"6' 11""",6.11,250,Texas,18000000.0,12.6,6.5,1.0
T.J. Warren,SF,Indiana Pacers,28,"6' 8""",6.8,220,North Carolina State,12940000.0,15.5,3.5,1.3
Grayson Allen,SG,Milwaukee Bucks,25,"6' 4""",6.4,198,Duke,4054695.0,10.6,3.2,2.2
Giannis Antetokounmpo,PF,Milwaukee Bucks,26,"6' 11""",6.11,242,,39344970.0,28.1,11.0,5.9
Thanasis Antetokounmpo,SF,Milwaukee Bucks,29,"6' 6""",6.6,219,,1669178.0,2.9,2.2,0.8
Elijah Bryant,SG,Milwaukee Bucks,26,"6' 5""",6.5,210,BYU,1517981.0,16.0,6.0,3.0
Pat Connaughton,SG,Milwaukee Bucks,28,"6' 5""",6.5,209,Notre Dame,5333334.0,6.8,4.8,1.2
Donte DiVincenzo,SG,Milwaukee Bucks,24,"6' 4""",6.4,203,Villanova,4675830.0,10.4,5.8,3.1
Mamadi Diakite,PF,Milwaukee Bucks,24,"6' 9""",6.9,228,Virginia,1517981.0,3.1,2.4,0.6
George Hill,G,Milwaukee Bucks,35,"6' 4""",6.4,188,IUPUI,4000000.0,8.7,2.0,2.4
Jrue Holiday,PG,Milwaukee Bucks,31,"6' 3""",6.3,205,UCLA,32413333.0,17.7,4.5,6.1
Rodney Hood,SG,Milwaukee Bucks,28,"6' 8""",6.8,208,Duke,1669178.0,4.5,1.9,1.0
Justin Jackson,SF,Milwaukee Bucks,26,"6' 8""",6.8,220,North Carolina,,7.2,2.3,1.5
Rodions Kurucs,SF,Milwaukee Bucks,23,"6' 9""",6.9,228,,,1.5,1.1,0.5
Brook Lopez,C,Milwaukee Bucks,33,"7' 0""",7.0,282,Stanford,13302325.0,12.3,5.0,0.7
Sandro Mamukelashvili,C,Milwaukee Bucks,22,"6' 11""",6.11,240,Seton Hall,,,,
Khris Middleton,SF,Milwaukee Bucks,30,"6' 7""",6.7,222,Texas A&M,35500000.0,20.4,6.0,5.4
Jordan Nwora,SF,Milwaukee Bucks,22,"6' 8""",6.8,225,Louisville,1517981.0,5.7,2.0,0.2
Semi Ojeleye,PF,Milwaukee Bucks,26,"6' 6""",6.6,240,SMU,1669178.0,4.6,2.6,0.7
Bobby Portis,C,Milwaukee Bucks,26,"6' 10""",6.1,250,Arkansas,,11.4,7.1,1.1
Jeff Teague,PG,Milwaukee Bucks,33,"6' 3""",6.3,195,Wake Forest,,6.7,1.6,2.4
Axel Toupane,SG,Milwaukee Bucks,29,"6' 7""",6.7,210,,,1.8,0.8,0.5
Bogdan Bogdanovic,SG,Atlanta Hawks,29,"6' 6""",6.6,220,,18000000.0,16.4,3.6,3.3
Clint Capela,C,Atlanta Hawks,27,"6' 10""",6.1,240,,18603448.0,15.2,14.3,0.8
John Collins,PF,Atlanta Hawks,23,"6' 9""",6.9,235,Wake Forest,23000000.0,17.6,7.4,1.2
Sharife Cooper,PG,Atlanta Hawks,20,"6' 1""",6.1,180,Auburn,,,,
Gorgui Dieng,C,Atlanta Hawks,31,"6' 10""",6.1,252,Louisville,4000000.0,6.8,3.7,1.3
Danilo Gallinari,PF,Atlanta Hawks,33,"6' 10""",6.1,233,,20475000.0,13.3,4.1,1.5
Brandon Goodwin,PG,Atlanta Hawks,25,"6' 0""",6.0,180,Florida Gulf Coast,,4.9,1.5,2.0
Solomon Hill,SF,Atlanta Hawks,30,"6' 6""",6.6,226,Arizona,1669178.0,4.5,3.0,1.1
Kevin Huerter,SG,Atlanta Hawks,23,"6' 7""",6.7,190,Maryland,4253357.0,11.9,3.3,3.5
De'Andre Hunter,SF,Atlanta Hawks,23,"6' 8""",6.8,225,Virginia,7775400.0,15.0,4.8,1.9
Jalen Johnson,SF,Atlanta Hawks,19,"6' 9""",6.9,220,Duke,2659580.0,,,
Skylar Mays,SG,Atlanta Hawks,24,"6' 4""",6.4,205,LSU,,3.8,1.1,0.9
Onyeka Okongwu,PF,Atlanta Hawks,20,"6' 8""",6.8,235,USC,6104280.0,4.6,3.3,0.4
Cam Reddish,SF,Atlanta Hawks,22,"6' 8""",6.8,218,Duke,4670160.0,11.2,4.0,1.3
Lou Williams,SG,Atlanta Hawks,34,"6' 1""",6.1,175,,5000000.0,11.3,2.1,3.4
Delon Wright,SG,Atlanta Hawks,29,"6' 5""",6.5,185,Utah,8526316.0,10.2,4.3,4.4
Trae Young,PG,Atlanta Hawks,22,"6' 1""",6.1,180,Oklahoma,8326471.0,25.3,3.9,9.4
LaMelo Ball,PG,Charlotte Hornets,20,"6' 6""",6.6,180,,8231760.0,15.7,5.9,6.1
Bismack Biyombo,C,Charlotte Hornets,29,"6' 8""",6.8,255,,,5.0,5.3,1.2
James Bouknight,SG,Charlotte Hornets,20,"6' 5""",6.5,190,Connecticut,4154400.0,,,
Miles Bridges,SF,Charlotte Hornets,23,"6' 6""",6.6,225,Michigan State,5421493.0,12.7,6.0,2.2
Vernon Carey Jr.,C,Charlotte Hornets,20,"6' 9""",6.9,270,Duke,1517981.0,2.4,1.4,0.1
Nate Darling,SG,Charlotte Hornets,23,"6' 6""",6.6,200,Delaware,,1.3,0.1,0.1
Gordon Hayward,SF,Charlotte Hornets,31,"6' 7""",6.7,225,Butler,29925000.0,19.6,5.9,4.1
Wes Iwundu,SF,Charlotte Hornets,26,"6' 6""",6.6,195,Kansas State,1824003.0,2.4,2.2,0.4
Kai Jones,PF,Charlotte Hornets,20,"6' 11""",6.11,218,Texas,2770560.0,,,
Scottie Lewis,SG,Charlotte Hornets,21,"6' 5""",6.5,189,Florida,,,,
Caleb Martin,SF,Charlotte Hornets,25,"6' 5""",6.5,205,Nevada,,5.0,2.7,1.3
Cody Martin,SF,Charlotte Hornets,25,"6' 5""",6.5,205,Nevada,1782621.0,4.0,3.1,1.7
Jalen McDaniels,PF,Charlotte Hornets,23,"6' 9""",6.9,205,San Diego State,1782621.0,7.4,3.6,1.1
Kelly Oubre Jr.,SG,Charlotte Hornets,25,"6' 7""",6.7,203,Kansas,12000000.0,15.4,6.0,1.3
Mason Plumlee,C,Charlotte Hornets,31,"6' 11""",6.11,254,Duke,9248333.0,10.4,9.3,3.6
Nick Richards,C,Charlotte Hornets,23,"7' 0""",7.0,245,Kentucky,1517981.0,0.8,0.6,0.1
Terry Rozier,SG,Charlotte Hornets,27,"6' 1""",6.1,190,Louisville,17905263.0,20.4,4.4,4.2
Ish Smith,PG,Charlotte Hornets,33,"6' 0""",6.0,175,Wake Forest,4500000.0,6.7,3.4,3.9
JT Thor,PF,Charlotte Hornets,19,"6' 10""",6.1,205,Auburn,1250000.0,,,
Brad Wanamaker,PG,Charlotte Hornets,32,"6' 3""",6.3,210,Pittsburgh,,5.5,1.7,2.9
P.J. Washington,PF,Charlotte Hornets,23,"6' 7""",6.7,230,Kentucky,4215120.0,12.9,6.5,2.5
Bam Adebayo,C,Miami Heat,24,"6' 9""",6.9,255,Kentucky,28103500.0,18.7,9.0,5.4
Jimmy Butler,SF,Miami Heat,31,"6' 7""",6.7,230,Marquette,36016200.0,21.5,6.9,7.1
Dewayne Dedmon,C,Miami Heat,32,"7' 0""",7.0,245,USC,1669178.0,7.1,5.4,0.8
Marcus Garrett,G,Miami Heat,22,"6' 5""",6.5,195,Kansas,,,,
Udonis Haslem,PF,Miami Heat,41,"6' 8""",6.8,235,Florida,1669178.0,4.0,1.0,0.0
Tyler Herro,PG,Miami Heat,21,"6' 5""",6.5,195,Kentucky,4004280.0,15.1,5.0,3.4
Kyle Lowry,PG,Miami Heat,35,"6' 0""",6.0,196,Villanova,26894128.0,17.2,5.4,7.3
Markieff Morris,PF,Miami Heat,32,"6' 9""",6.9,245,Kansas,1669178.0,6.7,4.4,1.2
RJ Nembhard,SG,Miami Heat,22,"6' 5""",6.5,200,TCU,,,,
KZ Okpala,SF,Miami Heat,22,"6' 8""",6.8,215,Stanford,1782621.0,2.5,1.8,0.5
Victor Oladipo,SG,Miami Heat,29,"6' 4""",6.4,213,Indiana,1669178.0,19.8,4.8,4.6
Duncan Robinson,SG,Miami Heat,27,"6' 7""",6.7,215,Michigan,15650000.0,13.1,3.5,1.8
D.J. Stewart Jr.,G,Miami Heat,22,"6' 6""",6.6,205,Mississippi State,,,,
Max Strus,SG,Miami Heat,25,"6' 5""",6.5,215,DePaul,1669178.0,6.1,1.1,0.6
P.J. Tucker,PF,Miami Heat,36,"6' 5""",6.5,245,Texas,7000000.0,3.7,3.9,1.2
Gabe Vincent,PG,Miami Heat,25,"6' 3""",6.3,200,UC Santa Barbara,1669178.0,4.8,1.1,1.3
Omer Yurtseven,C,Miami Heat,23,"7' 0""",7.0,275,Georgetown,1489065.0,,,
Cole Anthony,PG,Orlando Magic,21,"6' 2""",6.2,185,North Carolina,3449400.0,12.9,4.7,4.1
Mo Bamba,C,Orlando Magic,23,"7' 0""",7.0,231,Texas,7568743.0,8.0,5.8,0.8
