Country,Authority,Date,Fine [€],Controller/Processor,Quoted Art.,Type,Infos
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-10-17,"2,500",UTTIS INDUSTRIES SRL,"Art. 12 GDPR, Art. 13 GDPR, Art. 5 (1) c) GDPR, Art. 6 GDPR",Insufficient fulfilment of information obligations,link
SPAIN,Spanish Data Protection Authority (aepd),2019-10-16,"60,000",Xfera Moviles S.A.,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link
SPAIN,Spanish Data Protection Authority (aepd),2019-10-16,"8,000",Iberdrola Clientes,Art. 31 GDPR,Lack of cooperation with the supervisory authority,link
POLAND,Polish National Personal Data Protection Office (UODO),2019-10-16,"47,000",ClickQuickNow,Art. 5 GDPR,Non-compliance with general data processing principles,link
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-10-09,"150,000",Raiffeisen Bank SA,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-10-09,"20,000",Vreau Credit SRL,"Art. 32 GDPR, Art. 33 GDPR",Insufficient technical and organisational measures to ensure information security,link
GREECE,Hellenic Data Protection Authority (HDPA),2019-10-07,"200,000",Telecommunication Service Provider,"Art. 5 (1) c) GDPR, Art. 25 GDPR",Non-compliance with general data processing principles,link
GREECE,Hellenic Data Protection Authority (HDPA),2019-10-07,"200,000",Telecommunication Service Provider,"Art. 21 (3) GDPR, Art. 25 GDPR",Non-compliance with general data processing principles,link
SPAIN,Spanish Data Protection Authority (aepd),2019-10-01,"30,000",Vueling Airlines,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-09-26,"9,000",Inteligo Media SA,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR",Insufficient legal basis for data processing,link
GERMANY,Data Protection Authority of Berlin,2019-09-19,"195,407",Delivery Hero,"Art. 15 GDPR, Art. 17 GDPR, Art. 21 GDPR",Insufficient fulfilment of data subjects rights,link
BELGIUM,Belgian Data Protection Authority (APD),2019-09-17,"10,000",Merchant,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
POLAND,Polish National Personal Data Protection Office (UODO),2019-09-10,"644,780",Morele.net,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
BULGARIA,Data Protection Commision of Bulgaria (KZLD),2019-08-28,"2,600,000",National Revenue Agency,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
BULGARIA,Data Protection Commision of Bulgaria (KZLD),2019-08-28,"511,000",DSK Bank,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
LATVIA,Data State Inspectorate (DSI),2019-08-26,"7,000",Online Services,Art. 17 GDPR,Insufficient fulfilment of data subjects rights,link
SWEDEN,Data Protection Authority of Sweden,2019-08-20,"18,630",School in Skellefteå,"Art. 5 (1) c) GDPR, Art. 9 GDPR, Art. 35 GDPR, Art. 36 GDPR",Insufficient legal basis for data processing,link
SPAIN,Spanish Data Protection Authority (aepd),2019-08-16,"60,000",AVON COSMETICS,Art. 6 GDPR,Insufficient legal basis for data processing,link
AUSTRIA,Austrian Data Protection Authority (dsb),2019-08,"50,000",Company in the medical sector,"Art. 13 GDPR, Art. 37 GDPR",Insufficient fulfilment of information obligations,link
GREECE,Hellenic Data Protection Authority (HDPA),2019-07-30,"150,000",PWC Business Solutions,"Art. 5 (1) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR, Art. 13 (1) c) GDPR, Art. 14 (1) c) GDPR",Insufficient legal basis for data processing,link
FRANCE,French Data Protection Authority (CNIL),2019-07-25,"180,000",ACTIVE ASSURANCES (car insurer),Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
UNITED KINGDOM,Information Commissioner (ICO),2019-07-09,"110,390,200","Marriott International, Inc",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
UNITED KINGDOM,Information Commissioner (ICO),2019-07-08,"204,600,000",British Airways,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-07-05,"3,000",LEGAL COMPANY & TAX HUB SRL,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-07-02,"15,000",WORLD TRADE CENTER BUCHAREST SA,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
AUSTRIA,Austrian Data Protection Authority (dsb),2019-07,"11,000",Private person (soccer coach),Art. 6 GDPR,Insufficient legal basis for data processing,link
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-06-27,"130,000",UNICREDIT BANK SA,"Art. 25 (1) GDPR, Art. 5 (1) c) GDPR",Insufficient technical and organisational measures to ensure information security,link
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-06-25,"15,150",Unknown,Art. 33 GDPR,Insufficient fulfilment of data breach notification obligations,link
THE NETHERLANDS,Dutch Supervisory Authority for Data Protection (AP),2019-06-18,"460,000",Haga Hospital,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
FRANCE,French Data Protection Authority (CNIL),2019-06-13,"20,000",Employer UNIONTRAD COMPANY,"Art. 5 (1) c) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 32 GDPR",Insufficient legal basis for data processing,link
SPAIN,Spanish Data Protection Authority (aepd),2019-06-11,"250,000",Professional Football League (LaLiga),"Art. 5 (1) a), Art. 7 (3) GDPR",Insufficient fulfilment of information obligations,link
DENMARK,Danish Data Protection Authority (Datatilsynet),2019-06-03,"200,850",IDdesign A / S,"Art. 5 (1) e) GDPR, Art. 5 (2) GDPR",Non-compliance with general data processing principles,link
BELGIUM,Belgian Data Protection Authority (APD),2019-05-28,"2,000",Mayor,"Art. 5 (1) b) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link
FRANCE,French Data Protection Authority (CNIL),2019-05-28,"400,000",SERGIC (Real Estate),Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-05-23,"92,146",Organizer of SZIGET festival and VOLT festival,"Art. 6 GDPR, Art. 5 (1) b) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link
LITHUANIA,Lithuanian Data Protection Authority (VDAI),2019-05-16,"61,500",Payment service provider UAB MisterTango,"Art. 5 GDPR, Art. 32 GDPR, Art. 33 GDPR",Insufficient fulfilment of data breach notification obligations,link
GERMANY,Data Protection Authority of Baden-Wuerttemberg,2019-05-09,"1,400",Police Officer,Art. 6 GDPR,Insufficient legal basis for data processing,link
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),2019-05-06,194,Unknown,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link
NORWAY,Norwegian Supervisory Authority (Datatilsynet),2019-04-29,"203,000",Oslo Municipal Education Department,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
POLAND,Polish National Personal Data Protection Office (UODO),2019-04-25,"12,950",Sports association,Art. 6 GDPR,Insufficient legal basis for data processing,link link
ITALY,Italian Data Protection Authority (Garante),2019-04-17,"50,000",Italian political party Movimento 5 Stelle,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-04-17,"9,400",Unknown,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link
BULGARIA,Data Protection Commision of Bulgaria (KZLD),2019-04-08,510,Medical centers,"Art. 5 (1) a) GDPR, Art. 9 (1) GDPR, Art. 9 (2) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing,link
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-04-05,"34,375",Hugarian political party,"Art. 33 (1) GDPR, Art. 33 (5) GDPR, Art. 34 (1) GDPR",Insufficient fulfilment of data breach notification obligations,link
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-04-05,"1,900",Unknown,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link
POLAND,Polish National Personal Data Protection Office (UODO),2019-03-26,"219,538",Private company working with data from publicly available sources,Art. 14 GDPR,Insufficient fulfilment of information obligations,link
BULGARIA,Data Protection Commision of Bulgaria (KZLD),2019-03-26,"5,100",A.P. EOOD,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link
PORTUGAL,Portuguese Data Protection Authority (CNPD),2019-03-25,"2,000",Unknown,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),2019-03-21,"9,704",Unknown,Art. 5 (1) GDPR,Non-compliance with general data processing principles,link
PORTUGAL,Portuguese Data Protection Authority (CNPD),2019-03-19,"2,000",Unknown,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-03-04,"3,200",Unnamed financial institution,"Art. 5 (1) b) GDPR, Art. 5 (1) c) GDPR, Art. 13 (3) GDPR, Art. 17 (1) GDPR, Art. 6 (4) GDRP",Insufficient fulfilment of data subjects rights,link link
GERMANY,Data Protection Authority of Berlin,2019-03,"50,000",N26,Art. 6 GDPR,Insufficient legal basis for data processing,Page 131 of the activity report of the Data Protection Commissioner of Berlin link link
NORWAY,Norwegian Supervisory Authority (Datatilsynet),2019-03,"170,000",Bergen Municipality,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),2019-02-28,582,Unknown,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-02-28,"3,200",Mayor's Office of the city of Kecdkemét,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link link
BULGARIA,Bulgarian Commission for Personal Data Protection (KZLD),2019-02-26,"27,100",Telecommunication service provider,"Art. 6 GDPR, Art. 5 (1) a) GDPR",Insufficient legal basis for data processing,link
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),2019-02-26,776,Unknown,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link
BULGARIA,Bulgarian Commission for Personal Data Protection (KZLD),2019-02-22,500,Employer,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-02-20,"1,560",Debt collector,"Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR",Non-compliance with general data processing principles,link link
MALTA,Data Protection Commissioner of Malta,2019-02-18,"5,000",Lands Authority,"Art. 5 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-02-08,"1,560",Bank,Art. 5 (1) d) GDPR,Non-compliance with general data processing principles,link link
GERMANY,Data Protection Authority of Sachsen-Anhalt,2019-02-05,"2,500",Private person,"Art. 6 GDPR, Art. 5 GDPR",Insufficient legal basis for data processing,link
PORTUGAL,Portuguese Data Protection Authority (CNPD),2019-02-05,"20,000",Unknown,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),2019-02-04,"1,165",Car renting company,Art. 5 (1) a) GDPR,Insufficient fulfilment of information obligations,link
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),2019-02-04,"1,165",Credit brokerage,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
FRANCE,French Data Protection Authority (CNIL),2019-01-21,"50,000,000",Google Inc.,"Art. 13 GDPR, Art. 14 GDPR, Art. 6 GDPR, Art. 5 GDPR",Insufficient legal basis for data processing,link
BULGARIA,Bulgarian Commission for Personal Data Protection (KZLD),2019-01-17,500,Bank,"Art. 6 GDPR, Art. 5 (1) a) GDPR",Insufficient legal basis for data processing,link
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),2019-01-10,388,Employer,Art. 6 GDPR,Insufficient legal basis for data processing,link
AUSTRIA,Austrian Data Protection Authority (dsb),2018-12-20,"2,200",Private person,"Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR, Art. 6 (1) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2018-12-18,"3,200",Unknown,"Art. 12 (4) GDPR, Art. 15 GDPR, Art. 18 (1) c) GDPR, Art. 13 GDPR",Insufficient fulfilment of data subjects rights,link
GERMANY,Data Protection Authority of Hamburg,2018-12-17,"5,000",Kolibri Image Regina und Dirk Maass GbR,Art. 28 (3) GDPR,Insufficient data processing agreement,link link
AUSTRIA,Austrian Data Protection Authority (dsb),2018-12-09,"4,800",Betting place,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
GERMANY,Data Protection Authority of Baden-Wuerttemberg,2018-11-21,"20,000",Knuddels.de,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),2018-10-25,388,Unknown,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link
AUSTRIA,Austrian Data Protection Authority (dsb),2018-09-27,300,Private car owner,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link
PORTUGAL,Portuguese Data Protection Authority (CNPD),2018-07-17,"400,000",Public Hospital,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link
BULGARIA,Bulgarian Commission for Personal Data Protection (KZLD),2018-04-12,500,Bank,"Art. 5 (1) b) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link link
CYPRUS,Cyprian Data Protection Commissioner,"2,019","5,000",State Hospital,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link
CYPRUS,Cyprian Data Protection Commissioner,"2,019","10,000",Newspaper,Art. 6 GDPR,Insufficient legal basis for data processing,link
DENMARK,Danish Data Protection Authority (Datatilsynet),"2,019","160,000",Taxa 4x35,Art. 5(1) e) GDPR,Non-compliance with general data processing principles,link
GERMANY,Data Protection Authority of Baden-Wuerttemberg,"2,019","80,000",Unknown,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
SPAIN,Spanish Data Protection Authority (aepd),"2,019","60,000",ENDESA (energy supplyer),Art. 5 (1) f) GDPR,Insufficient legal basis for data processing,link
CYPRUS,Cyprian Data Protection Commissioner,"2,019","14,000",Doctor,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link
GERMANY,Data Protection Authority of Baden-Wuerttemberg,"2,019","80,000",Unknown,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
SPAIN,Spanish Data Protection Authority (aepd),"2,019","12,000",Madrileña Red de Gas,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
AUSTRIA,Austrian Data Protection Authority (dsb),"2,018","1,800",Kebab restaurant,Unknown,Insufficient legal basis for data processing,link
AUSTRIA,Austrian Data Protection Authority (dsb),"2,018",Unknown,Restaurant,Unknown,Insufficient legal basis for data processing,link
GERMANY,Data Protection Authority of Hamburg,"2,018","20,000",Unknown,"Art. 83 (4) a) GDPR, Art. 33 (1) GDPR, Art. 34 (1) GDPR",Insufficient fulfilment of data breach notification obligations,"Page 134 of the activity report of the Data Protection Commissioner of Hamburg, accessible under link"
GERMANY,Data Protection Authority of Hamburg,"2,018",500,Unknown,Unknown,Unknown,link
SPAIN,Spanish Data Protection Authority (aepd),"2,018","5,000","VODAFONE ESPANA, S.A.U.",Art. 5 (1) d) GDPR,Non-compliance with general data processing principles,link
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),Unknown,"3,140","UniCredit Bank Czech Republic and Slovakia, a.s.",Art. 6 GDPR,Insufficient legal basis for data processing,link
GERMANY,Data Protection Authority of Saarland,Unknown,118,Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,link
SPAIN,Spanish Data Protection Authority (aepd),Unknown,"60,000","Debt collecting agancy (GESTIÓN DE COBROS, YO COBRO SL)",Art. 5 (1) f) GDPR,Insufficient legal basis for data processing,link
SPAIN,Spanish Data Protection Authority (aepd),Unknown,"27,000","VODAFONE ESPANA, S.A.U.",Art. 5 (1) d) GDPR,Insufficient fulfilment of data subjects rights,link
SPAIN,Spanish Data Protection Authority (aepd),Unknown,"12,000",Restaurant,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link
SLOVAKIA,Slovak Data Protection Office,Unknown,Unknown,Unknown,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link
SLOVAKIA,Slovak Data Protection Office,Unknown,Unknown,Unknown,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link
SLOVAKIA,Slovak Data Protection Office,Unknown,Unknown,Unknown,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link
SLOVAKIA,Slovak Data Protection Office,Unknown,Unknown,Unknown,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR",Insufficient legal basis for data processing,link
SLOVAKIA,Slovak Data Protection Office,Unknown,"40,000",Slovak Telekom,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
SLOVAKIA,Slovak Data Protection Office,Unknown,"50,000",Social Insurance Agency,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),Unknown,588,Alza.cz a.s.,"Art. 6 GDPR, Art. 7 GDPR",Insufficient legal basis for data processing,link
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),Unknown,980,Individual entrepreneur - no further details published,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
