Date,Team,Acquired,Relinquished,Notes
2010-10-27,Pacers,,Dahntay Jones,placed on IL
2010-10-27,Pacers,,Lance Stephenson,placed on IL
2010-10-27,Pistons,,Chris Wilcox,placed on IL with sore left hamstring
2010-10-27,Pistons,,Jonas Jerebko,placed on IL recovering from surgery to repair torn right Achilles tendon (out for season)
2010-10-27,Pistons,,Terrico White,placed on IL recovering from surgery on right foot to repair broken fifth metatarsal (out for season)
2010-10-27,Raptors,,Ed Davis ,placed on IL recovering from arthroscopic surgery on right kene to repair torn meniscus
2010-10-27,Raptors,,Marcus Banks,placed on IL
2010-10-27,Raptors,,Solomon Alabi,placed on IL
2010-10-27,Rockets,,Yao Ming,placed on IL
2010-10-27,Rockets,Jermaine Taylor,,activated from IL
2010-10-27,Spurs,,Alonzo Gee,placed on IL
2010-10-27,Spurs,,Tiago Splitter,placed on IL with strained right plantaris muscle / calf injury (CBC)
2010-10-27,Thunder,,B.J. Mullens,placed on IL
2010-10-27,Thunder,,Morris Peterson,placed on IL
2010-10-27,Thunder,,Nick Collison,placed on IL with stress reaction in lower left leg
2010-10-27,Timberwolves,,Jonny Flynn,placed on IL recovering from surgery on left hip
2010-10-27,Timberwolves,,Martell Webster,placed on IL recovering from surgery on back
2010-10-27,Timberwolves,,Maurice Ager,placed on IL with bruised left quadriceps
2010-10-27,Warriors,,Ekpe Udoh,placed on IL recovering from surgery on left wrist
2010-10-27,Warriors,,Jeremy Lin,placed on IL
2010-10-27,Warriors,,Lou Amundson,placed on IL recovering from surgery to repair fractured right index finger
2010-10-28,Grizzlies,,Zach Randolph,back injury (DTD)
2010-10-28,Hawks,,Maurice Evans,right knee inflammation (DTD)
2010-10-28,Magic,,Daniel Orton,placed on IL
2010-10-28,Magic,,Malik Allen,placed on IL
2010-10-28,Spurs,,Matt Bonner,sprained right ankle (DTD)
2010-10-28,Wizards,,Gilbert Arenas,placed on IL with sprained right ankle
2010-10-28,Wizards,,Josh Howard,placed on IL with torn ACL in left knee
2010-10-28,Wizards,,Kevin Seraphin,placed on IL
2010-10-29,Cavaliers,Samardo Samuels,,activated from IL
2010-10-29,Celtics,,Jermaine O'Neal,placed on IL with left knee injury
2010-10-29,Celtics,Luke Harangody,,activated from IL
2010-10-29,Grizzlies,,Zach Randolph,placed on IL with bruised tailbone
2010-10-29,Grizzlies,Marc Gasol,,activated from IL
2010-10-29,Hawks,,Maurice Evans,placed on IL with right knee inflammation
2010-10-29,Hawks,Etan Thomas,,activated from IL
2010-10-29,Heat,,Juwan Howard,placed on IL
2010-10-29,Heat,Jamaal Magloire,,activated from IL
2010-10-29,Heat,Mario Chalmers,,returned to lineup
2010-10-29,Kings,,Pooh Jeter,placed on IL
2010-10-29,Kings,,Hassan Whiteside,placed on IL
2010-10-29,Kings,Antoine Wright,,activated from IL
2010-10-29,Kings,Samuel Dalembert,,activated from IL
2010-10-29,Pistons,,Will Bynum,sore right hamstring (DNP)
2010-10-29,Raptors,,Joey Dorsey,placed on IL
2010-10-29,Raptors,Marcus Banks,,activated from IL
2010-10-29,Warriors,,Jeff Adrien,placed on IL
2010-10-29,Warriors,Jeremy Lin,,activated from IL
2010-10-30,Cavaliers,,Samardo Samuels,placed on IL
2010-10-30,Grizzlies,,Xavier Henry,placed on IL
2010-10-30,Grizzlies,Greivis Vasquez,,activated from IL
2010-10-30,Pacers,,Jeff Foster,placed on IL
2010-10-30,Pacers,Dahntay Jones,,activated from IL
2010-10-30,Pistons,,Will Bynum,sore right hamstring (DNP)
2010-10-30,Rockets,,Ish Smith,placed on IL
2010-10-30,Rockets,Kyle Lowry,,activated from IL
2010-10-30,Rockets,Yao Ming,,activated from IL
2010-10-30,Spurs,,Matt Bonner,placed on IL with sprained right ankle
2010-10-30,Spurs,Alonzo Gee,,activated from IL
2010-10-30,Wizards,Kevin Seraphin,,activated from IL
2010-10-31,Clippers,,Randy Foye,placed on IL with strained left hamstring
2010-10-31,Clippers,Craig Smith,,activated from IL
2010-10-31,Warriors,,Stephen Curry,placed on IL with sprained right ankle
2010-10-31,Warriors,Jeff Adrien,,activated from IL
2010-11-01,Clippers,,Baron Davis,placed on IL with sore left knee
2010-11-01,Clippers,Willie Warren,,activated from IL
2010-11-01,Raptors,,Marcus Banks,placed on IL
2010-11-01,Raptors,Joey Dorsey,,activated from IL
2010-11-01,Spurs,,Alonzo Gee,placed on IL
2010-11-01,Spurs,Tiago Splitter,,activated from IL
2010-11-02,Blazers,,Patty Mills,placed on IL
2010-11-02,Blazers,Elliot Williams,,activated from IL
2010-11-02,Cavaliers,,Antawn Jamison,placed on IL with sore left knee
2010-11-02,Cavaliers,Mo Williams,,activated from IL
2010-11-02,Celtics,,Shaquille O'Neal,placed on IL with bruised right knee
2010-11-02,Celtics,Jermaine O'Neal,,activated from IL
2010-11-02,Grizzlies,,Greivis Vasquez,placed on IL
2010-11-02,Grizzlies,Xavier Henry,,activated from IL
2010-11-02,Heat,,Jamaal Magloire,placed on IL
2010-11-02,Heat,Juwan Howard,,activated from IL
2010-11-02,Pistons,,Richard Hamilton,sore right foot (DNP)
2010-11-02,Pistons,,Will Bynum,sore right hamstring (DNP)
2010-11-03,Grizzlies,,DeMarre Carroll,placed on IL
2010-11-03,Grizzlies,Greivis Vasquez,,activated from IL
2010-11-03,Hawks,,Jamal Crawford,turf toe (DNP)
2010-11-03,Hornets,,Peja Stojakovic,placed on IL
2010-11-03,Hornets,Quincy Pondexter,,activated from IL
2010-11-03,Jazz,,Jeremy Evans,sprained right wrist (DNP)
2010-11-03,Jazz,,Kyrylo Fesenko,stomach illness (DNP)
2010-11-03,Nets,,Joe Smith ,placed on IL
2010-11-03,Nets,,Stephen Graham,placed on IL
2010-11-03,Nets,Quinton Ross,,activated from IL
2010-11-03,Nets,Troy Murphy,,activated from IL
2010-11-03,Nuggets,,Nene Hilario ,strained left groin (DNP)
2010-11-03,Pistons,,Richard Hamilton,sore right foot (DNP)
2010-11-03,Pistons,,Will Bynum,sore right hamstring (DNP)
2010-11-03,Rockets,,Jermaine Taylor,placed on IL
2010-11-03,Rockets,Kyle Lowry,,activated from IL
2010-11-03,Spurs,,George Hill,placed on IL with neck injury
2010-11-03,Spurs,Alonzo Gee,,activated from IL
2010-11-03,Timberwolves,,Michael Beasley,placed on IL with bruised left hip
2010-11-03,Timberwolves,Maurice Ager,,activated from IL
2010-11-03,Warriors,,Brandan Wright,stomach virus (DTD)
2010-11-04,Blazers,,Elliot Williams,"dislocated patella in right knee (surgery, out for season)"
2010-11-04,Blazers,Patty Mills,,activated from IL
2010-11-04,Knicks,,Shawne Williams,placed on IL
2010-11-04,Knicks,Anthony Randolph,,activated from IL
2010-11-05,Bucks,,Andrew Bogut,migraine headache (DNP)
2010-11-05,Grizzlies,,Hamed Haddadi,placed on IL
2010-11-05,Grizzlies,Zach Randolph,,activated from IL
2010-11-05,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
2010-11-05,Jazz,,Jeremy Evans,sprained right ankle (DNP)
2010-11-05,Lakers,,Devin Ebanks,placed on IL
2010-11-05,Lakers,Luke Walton,,activated from IL
2010-11-05,Nuggets,,Nene Hilario ,strained left groin (DNP)
2010-11-05,Timberwolves,,Maurice Ager,placed on IL
2010-11-05,Timberwolves,Michael Beasley,,activated from IL
2010-11-05,Warriors,,Jeremy Lin,placed on IL
2010-11-05,Warriors,Stephen Curry,,activated from IL
2010-11-05,Wizards,Gilbert Arenas,,activated from IL
2010-11-06,Blazers,,Elliot Williams,"placed on IL with dislocated patella in right knee (surgery, out for season)"
2010-11-06,Blazers,,Rudy Fernandez,back injury (DNP)
2010-11-06,Heat,,Juwan Howard,placed on IL
2010-11-06,Heat,Jamaal Magloire,,activated from IL
2010-11-06,Kings,Pooh Jeter,,activated from IL
2010-11-06,Kings,Hassan Whiteside,,activated from IL
2010-11-06,Magic,,Jameer Nelson,placed on IL with sprained left ankle
2010-11-06,Magic,Malik Allen,,activated from IL
2010-11-06,Nuggets,,Nene Hilario ,strained left groin (DNP)
2010-11-06,Raptors,,Sonny Weems,ankle injury (DTD)
2010-11-06,Raptors,,Sonny Weems,placed on IL with ankle injury
2010-11-06,Raptors,Marcus Banks,,activated from IL
2010-11-06,Rockets,,Kyle Lowry,placed on IL with sore back
2010-11-06,Rockets,,Yao Ming,placed on IL with foot injury / rest
2010-11-06,Rockets,Ish Smith,,activated from IL
2010-11-06,Rockets,Jermaine Taylor,,activated from IL
2010-11-06,Spurs,George Hill,,activated from IL
2010-11-07,76ers,,Andre Iguodala,placed on IL with right Achilles tendon injury
2010-11-07,76ers,Jodie Meeks,,activated from IL
2010-11-07,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
2010-11-07,Rockets,,Aaron Brooks,placed on IL with sprained left ankle
2010-11-07,Rockets,Yao Ming,,activated from IL
2010-11-07,Thunder,,Jeff Green,placed on IL with sprained left ankle
2010-11-07,Thunder,Morris Peterson,,activated from IL
2010-11-07,Timberwolves,,Lazar Hayward,placed on IL
2010-11-07,Timberwolves,Michael Beasley,,activated from IL (P)
2010-11-07,Warriors,,Jeff Adrien,placed on IL
2010-11-07,Warriors,Jeremy Lin,,activated from IL
2010-11-08,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
2010-11-08,Magic,,Mickael Pietrus,DNP
2010-11-08,Raptors,,Joey Dorsey,placed on IL
2010-11-08,Raptors,Sonny Weems,,activated from IL
2010-11-08,Spurs,,Garrett Temple,placed on IL
2010-11-09,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-09,Cavaliers,,Manny Harris,placed on IL
2010-11-09,Cavaliers,Antawn Jamison,,activated from IL
2010-11-09,Clippers,,Eric Gordon,placed on IL with left shoulder injury
2010-11-09,Clippers,Baron Davis,,activated from IL
2010-11-09,Lakers,,Derrick Caracter,placed on IL
2010-11-09,Lakers,Devin Ebanks,,activated from IL
2010-11-09,Nets,,Terrence Williams,placed on IL with lower abdominal strain
2010-11-09,Nets,Stephen Graham,,activated from IL
2010-11-09,Timberwolves,,Luke Ridnour,placed on IL with strained hamstring
2010-11-09,Timberwolves,Lazar Hayward,,activated from IL
2010-11-10,76ers,Craig Brackins,,activated from IL
2010-11-10,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-10,Clippers,,Baron Davis,placed on IL with sore left knee
2010-11-10,Clippers,,Chris Kaman,sprained left ankle (DNP)
2010-11-10,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
2010-11-10,Kings,,Pooh Jeter,placed on IL
2010-11-10,Kings,,Hassan Whiteside,placed on IL
2010-11-10,Knicks,,Ronny Turiaf,placed on IL with sprained left knee
2010-11-10,Knicks,Shawne Williams,,activated from IL
2010-11-10,Magic,,Malik Allen,placed on IL
2010-11-10,Magic,Jameer Nelson,,activated from IL
2010-11-10,Mavericks,,Caron Butler,placed on IL with back spasms
2010-11-10,Mavericks,Steve Novak,,activated from IL
2010-11-10,Nets,,Stephen Graham,placed on IL
2010-11-10,Nets,,Troy Murphy,placed on IL with sore right foot
2010-11-10,Nets,Ben Uzoh,,activated from IL
2010-11-10,Nets,Joe Smith ,,activated from IL
2010-11-10,Raptors,,David Andersen,flu (DTD)
2010-11-10,Raptors,,Leandro Barbosa,placed on IL with strained left shoulder
2010-11-10,Raptors,Joey Dorsey,,activated from IL
2010-11-10,Rockets,,Jermaine Taylor,placed on IL
2010-11-10,Rockets,Kyle Lowry,,activated from IL
2010-11-10,Timberwolves,,Wayne Ellington,thigh injury (DTD)
2010-11-10,Warriors,,Dan Gadzuric,placed on IL with back spasms
2010-11-10,Warriors,Jeff Adrien,,activated from IL
2010-11-10,Wizards,,Kevin Seraphin,placed on IL
2010-11-10,Wizards,,Lester Hudson,placed on IL
2010-11-10,Clippers,Eric Gordon,,activated from IL
2010-11-10,Clippers,,Eric Gordon,sore left shoulder (DNP)
2010-11-11,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2010-11-11,Celtics,Shaquille O'Neal,,activated from IL
2010-11-11,Lakers,,Theo Ratliff,placed on IL with left knee tendinitis
2010-11-11,Lakers,Derrick Caracter,,activated from IL
2010-11-11,Rockets,,Yao Ming,sprained left ankle (DTD)
2010-11-11,Spurs,,James Anderson,stress fracture in right foot (out indefinitely)
2010-11-11,Warriors,,David Lee,placed on IL with infection in left elbow
2010-11-11,Warriors,Dan Gadzuric,,activated from IL
2010-11-12,76ers,,Craig Brackins,placed on IL
2010-11-12,76ers,,Darius Songaila,placed on IL
2010-11-12,76ers,Andre Iguodala,,activated from IL
2010-11-12,Clippers,,Chris Kaman,placed on IL with knee injury (P)
2010-11-12,Hawks,,Etan Thomas,placed on IL
2010-11-12,Hawks,Maurice Evans,,activated from IL
2010-11-12,Raptors,,David Andersen,placed on IL with flu
2010-11-12,Raptors,,Linas Kleiza,placed on IL with right Achilles tendinitis
2010-11-12,Raptors,Ed Davis ,,activated from IL
2010-11-12,Raptors,Solomon Alabi,,activated from IL
2010-11-12,Rockets,,Yao Ming,placed on IL with sprained left ankle (later diagnosed as stress fracture in left ankle)
2010-11-12,Rockets,Jermaine Taylor,,activated from IL
2010-11-12,Thunder,B.J. Mullens,,activated from IL
2010-11-12,Warriors,,David Lee,surgery on left elbow to repair infection
2010-11-12,Clippers,Randy Foye,,activated from IL
2010-11-12,Clippers,,Randy Foye,strained left hamstring (DNP)
2010-11-13,Bobcats,Eduardo Najera,,activated from IL
2010-11-13,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-13,Cavaliers,,Anderson Varejao,placed on IL with bruised ribs
2010-11-13,Cavaliers,,Mo Williams,placed on IL with strained left groin
2010-11-13,Cavaliers,Manny Harris,,activated from IL
2010-11-13,Cavaliers,Samardo Samuels,,activated from IL
2010-11-13,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2010-11-13,Heat,,Jamaal Magloire,placed on IL
2010-11-13,Heat,Juwan Howard,,activated from IL
2010-11-13,Hornets,,Marcus Thornton ,placed on IL
2010-11-13,Hornets,Peja Stojakovic,,activated from IL
2010-11-13,Nets,,Joe Smith ,placed on IL
2010-11-13,Nets,Troy Murphy,,activated from IL
2010-11-13,Raptors,,Ed Davis ,placed on IL
2010-11-13,Raptors,,Reggie Evans,flu-like symptoms (DNP)
2010-11-13,Raptors,David Andersen,,activated from IL
2010-11-13,Spurs,,James Anderson,placed on IL with stress fracture in right foot
2010-11-13,Spurs,Matt Bonner,,activated from IL
2010-11-14,Lakers,,Steve Blake,placed on IL with stomach ache
2010-11-14,Lakers,Theo Ratliff,,activated from IL
2010-11-14,Pistons,,DaJuan Summers,placed on IL
2010-11-14,Pistons,Chris Wilcox,,activated from IL
2010-11-14,Rockets,,Chase Budinger,sprained left ankle (DNP)
2010-11-14,Thunder,,B.J. Mullens,placed on IL
2010-11-14,Thunder,,Daequan Cook,placed on IL
2010-11-14,Thunder,Jeff Green,,activated from IL
2010-11-14,Thunder,Nick Collison,,activated from IL
2010-11-14,Timberwolves,,Nikola Pekovic,sprained left ankle (DNP)
2010-11-14,Timberwolves,,Wayne Ellington,bruised left thigh (DNP)
2010-11-15,Bobcats,,Gerald Henderson Jr.,placed on IL with sore left knee
2010-11-15,Bobcats,Kwame Brown,,activated from IL
2010-11-15,Clippers,,Randy Foye,strained left hamstring (DNP)
2010-11-15,Jazz,,Raja Bell,strained left abductor (DNP)
2010-11-15,Magic,,J.J. Redick,placed on IL with back spasms
2010-11-15,Magic,Malik Allen,,activated from IL
2010-11-15,Nets,,Damion James,placed on IL
2010-11-15,Nets,Stephen Graham,,activated from IL
2010-11-15,Suns,,Robin Lopez,placed on IL with sprained ligaments in left knee
2010-11-15,Suns,Gani Lawal,,activated from IL
2010-11-15,Thunder,,Jeff Green,placed on IL with sprained left ankle
2010-11-15,Timberwolves,,Nikola Pekovic,left foot injury (DNP)
2010-11-15,Timberwolves,,Wayne Ellington,bruised left thigh (DNP)
2010-11-16,76ers,,Andre Iguodala,placed on IL with right Achilles tendon injury
2010-11-16,76ers,Darius Songaila,,activated from IL
2010-11-16,Blazers,,Brandon Roy,sore left knee (DNP)
2010-11-16,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-16,Cavaliers,,Samardo Samuels,placed on IL
2010-11-16,Cavaliers,Anderson Varejao,,activated from IL
2010-11-16,Knicks,,Shawne Williams,placed on IL
2010-11-16,Knicks,Ronny Turiaf,,activated from IL
2010-11-16,Lakers,,Theo Ratliff,placed on IL recovering from arthroscopic surgery on left knee to remove part of torn meniscus
2010-11-16,Lakers,Steve Blake,,activated from IL
2010-11-16,Pacers,,Darren Collison,placed on IL with sprained left ankle
2010-11-16,Pacers,,Tyler Hansbrough,placed on IL with sprained left ankle
2010-11-16,Pacers,A.J. Price,,activated from IL
2010-11-16,Pacers,Jeff Foster,,activated from IL
2010-11-16,Raptors,,Solomon Alabi,placed on IL
2010-11-16,Raptors,Linas Kleiza,,activated from IL
2010-11-16,Wizards,,John Wall ,placed on IL with sprained left foot
2010-11-16,Wizards,,Jianlian Yi,placed on IL with bruised right knee
2010-11-16,Wizards,Hamady N'Diaye,,activated from IL
2010-11-16,Wizards,Lester Hudson,,activated from IL
2010-11-17,Celtics,,Jermaine O'Neal,placed on IL
2010-11-17,Clippers,,Randy Foye,strained left hamstring (DNP)
2010-11-17,Jazz,,Kyrylo Fesenko,dizziness (DNP)
2010-11-17,Mavericks,,Steve Novak,placed on IL
2010-11-17,Mavericks,Caron Butler,,activated from IL
2010-11-17,Nets,,Ben Uzoh,placed on IL
2010-11-17,Nets,,Troy Murphy,placed on IL with sore right foot
2010-11-17,Nets,Joe Smith ,,activated from IL
2010-11-17,Nets,Terrence Williams,,activated from IL
2010-11-17,Rockets,,Chase Budinger,sprained left ankle (DNP)
2010-11-17,Thunder,,Cole Aldrich,placed on IL
2010-11-17,Thunder,B.J. Mullens,,activated from IL
2010-11-17,Timberwolves,,Nikola Pekovic,placed on IL with sprained left ankle
2010-11-17,Timberwolves,Luke Ridnour,,activated from IL
2010-11-18,Blazers,,Brandon Roy,sore left knee (DNP)
2010-11-18,Magic,,Jason Williams,foot injury (DTD)
2010-11-18,Pacers,Tyler Hansbrough,,activated from IL
2010-11-19,Blazers,,Greg Oden,mircofracture surgery on left knee (out for season)
2010-11-19,Bobcats,,Eduardo Najera,placed on IL
2010-11-19,Bobcats,Kwame Brown,,activated from IL (P)
2010-11-19,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-19,Cavaliers,,Manny Harris,placed on IL
2010-11-19,Cavaliers,Mo Williams,,activated from IL
2010-11-19,Heat,,Juwan Howard,broken nose (DNP)
2010-11-19,Knicks,,Timofey Mozgov,left calf injury (DNP)
2010-11-19,Nets,,Terrence Williams,placed on IL
2010-11-19,Nets,Ben Uzoh,,activated from IL
2010-11-19,Thunder,,Kevin Durant,placed on IL with sprained left ankle
2010-11-19,Thunder,Daequan Cook,,activated from IL
2010-11-19,Warriors,,Brandan Wright,strained lower back (DNP)
2010-11-20,Blazers,,Brandon Roy,sore left knee (DNP)
2010-11-20,Bobcats,,Kwame Brown,placed on IL
2010-11-20,Bobcats,Dominic McGuire,,activated from IL
2010-11-20,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-20,Heat,,Dwyane Wade,placed on IL with sprained left wrist
2010-11-20,Heat,Jamaal Magloire,,activated from IL
2010-11-20,Magic,,Malik Allen,placed on IL
2010-11-20,Magic,J.J. Redick,,activated from IL
2010-11-20,Nets,,Quinton Ross,placed on IL with calf injury
2010-11-20,Nets,Terrence Williams,,activated from IL
2010-11-20,Pacers,,Dahntay Jones,placed on IL
2010-11-20,Suns,,Steve Nash,strained groin (DNP)
2010-11-21,Celtics,,Rajon Rondo,placed on IL with strained left hamstring
2010-11-21,Celtics,Avery Bradley,,activated from IL
2010-11-21,Hornets,Marcus Thornton ,,activated from IL
2010-11-21,Kings,,Antoine Wright,placed on IL
2010-11-21,Kings,Pooh Jeter,,activated from IL
2010-11-21,Raptors,Leandro Barbosa,,activated from IL
2010-11-21,Wizards,,Hamady N'Diaye,placed on IL
2010-11-21,Wizards,John Wall ,,activated from IL
2010-11-21,Wizards,,John Wall ,sprained left foot (DNP)
2010-11-22,Heat,,Udonis Haslem,placed on IL with torn ligament in left foot (out for season)
2010-11-22,Heat,Dwyane Wade,,activated from IL
2010-11-22,Hornets,,David Andersen,placed on IL
2010-11-22,Hornets,,Marcus Banks,placed on IL
2010-11-22,Hornets,,Marcus Thornton ,DNP
2010-11-22,Hornets,Aaron Gray,,activated from IL
2010-11-22,Nuggets,,Chauncey Billups,placed on IL with broken nose and sprained right wrist
2010-11-22,Nuggets,Chris Andersen,,activated from IL
2010-11-22,Pacers,,A.J. Price,placed on IL
2010-11-22,Pacers,,Jeff Foster,placed on IL
2010-11-22,Pacers,Dahntay Jones,,activated from IL
2010-11-22,Pacers,Darren Collison,,activated from IL
2010-11-22,Thunder,,Daequan Cook,placed on IL
2010-11-22,Thunder,,Morris Peterson,placed on IL
2010-11-22,Thunder,Jeff Green,,activated from IL
2010-11-22,Thunder,Kevin Durant,,activated from IL
2010-11-22,Warriors,,Brandan Wright,strained lower back (DNP)
2010-11-23,76ers,Andre Iguodala,,activated from IL
2010-11-23,Bobcats,,DeSagana Diop,placed on IL
2010-11-23,Bobcats,Kwame Brown,,activated from IL
2010-11-23,Heat,,Udonis Haslem,surgery on left foot to repair torn ligament (out for season)
2010-11-23,Nets,Damion James,,activated from IL
2010-11-23,Pacers,,Dahntay Jones,placed on IL
2010-11-23,Pacers,Jeff Foster,,activated from IL
2010-11-24,76ers,,Darius Songaila,placed on IL
2010-11-24,76ers,Craig Brackins,,activated from IL
2010-11-24,Bucks,,Andrew Bogut,sore back (DNP)
2010-11-24,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-24,Bulls,,Taj Gibson,right ankle/foot injury (DNP)
2010-11-24,Celtics,,Delonte West,broken right wrist (out indefinitely)
2010-11-24,Hornets,,Pops Mensah-Bonsu,placed on IL
2010-11-24,Magic,,Vince Carter,placed on IL with sprained left knee
2010-11-24,Magic,Jason Williams,,returned to lineup
2010-11-24,Magic,Malik Allen,,activated from IL
2010-11-24,Thunder,,B.J. Mullens,placed on IL
2010-11-24,Thunder,Morris Peterson,,activated from IL
2010-11-24,Warriors,,Brandan Wright,strained lower back (DNP)
2010-11-25,Kings,,Francisco Garcia,placed on IL with illness
2010-11-25,Kings,Antoine Wright,,activated from IL
2010-11-25,Wizards,,Al Thornton,placed on IL with sprained left ankle
2010-11-25,Wizards,Hamady N'Diaye,,activated from IL
2010-11-26,Bucks,,Andrew Bogut,sore back (DNP)
2010-11-26,Bucks,,Carlos Delfino,strained neck (DNP)
