Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit
Private,James Christian,Assault,"Friday, November 10, 1837",1837,November,Friday,"Texas Rangers, TX",Texas,0
Private,Joseph Cooper,Gunfire,"Friday, November 10, 1837",1837,November,Friday,"Texas Rangers, TX",Texas,0
Private,James Joslen,Assault,"Friday, November 10, 1837",1837,November,Friday,"Texas Rangers, TX",Texas,0
Private,Westley Nicholson,Assault,"Friday, November 10, 1837",1837,November,Friday,"Texas Rangers, TX",Texas,0
Private,William Nicholson,Gunfire,"Friday, November 10, 1837",1837,November,Friday,"Texas Rangers, TX",Texas,0
Private,William Sanders,Gunfire,"Friday, November 10, 1837",1837,November,Friday,"Texas Rangers, TX",Texas,0
Private,Lewis F. Scheuster,Assault,"Friday, November 10, 1837",1837,November,Friday,"Texas Rangers, TX",Texas,0
Deputy Sheriff,Nester Young,Gunfire,"Monday, January 15, 1838",1838,January,Monday,"Ashtabula County Sheriff's Department, OH",Ohio,0
Watchman,John Batts,Assault,"Friday, June 8, 1838",1838,June,Friday,"Southwark Police Department, PA",Pennsylvania,0
Deputy Sheriff,Pliny D. Wells,Stabbed,"Wednesday, June 20, 1838",1838,June,Wednesday,"Allegheny County Sheriff's Office, PA",Pennsylvania,0
Private,Julius Bullock,Assault,"Friday, October 12, 1838",1838,October,Friday,"Texas Rangers, TX",Texas,0
Private,John W. Carpenter,Assault,"Friday, October 12, 1838",1838,October,Friday,"Texas Rangers, TX",Texas,0
Private,Thomas M. Scott,Assault,"Friday, October 12, 1838",1838,October,Friday,"Texas Rangers, TX",Texas,0
Private,John Wilson,Assault,"Friday, October 12, 1838",1838,October,Friday,"Texas Rangers, TX",Texas,0
Private,James Hall,Assault,"Monday, December 17, 1838",1838,December,Monday,"Texas Rangers, TX",Texas,0
Deputy U.S. Marshal,John Gatewood,Gunfire,"Saturday, February 2, 1839",1839,February,Saturday,"United States Department of Justice - United States Marshals Service, US",United States,0
Captain,Jacob Shipman Burleson,Gunfire,"Monday, February 25, 1839",1839,February,Monday,"Texas Rangers, TX",Texas,0
Private,Edward Blakey,Gunfire,"Monday, February 25, 1839",1839,February,Monday,"Texas Rangers, TX",Texas,0
Private,John B. Walters,Gunfire,"Monday, February 25, 1839",1839,February,Monday,"Texas Rangers, TX",Texas,0
Private,James Gilleland,Gunfire,"Thursday, March 7, 1839",1839,March,Thursday,"Texas Rangers, TX",Texas,0
Captain,John Bird,Assault,"Sunday, May 26, 1839",1839,May,Sunday,"Texas Rangers, TX",Texas,0
First Sergeant,William H. Weaver,Gunfire,"Sunday, May 26, 1839",1839,May,Sunday,"Texas Rangers, TX",Texas,0
Private,Jesse E. Nash,Assault,"Sunday, May 26, 1839",1839,May,Sunday,"Texas Rangers, TX",Texas,0
Private,Thomas Gay,Gunfire,"Sunday, May 26, 1839",1839,May,Sunday,"Texas Rangers, TX",Texas,0
Private,H. M. C. Hall,Gunfire,"Monday, May 27, 1839",1839,May,Monday,"Texas Rangers, TX",Texas,0
Watchman,James P. Van Duzen,Fall,"Tuesday, June 25, 1839",1839,June,Tuesday,"New York City Night Watch, NY",New York,0
Sheriff,John Kimmey,Gunfire,"Wednesday, December 11, 1839",1839,December,Wednesday,"Sumter County Sheriff's Office, GA",Georgia,0
Sheriff,Joseph L. Hood,Stabbed,"Thursday, March 19, 1840",1840,March,Thursday,"Bexar County Sheriff's Office, TX",Texas,0
Town Marshal,John Yeomans,Gunfire,"Sunday, May 24, 1840",1840,May,Sunday,"Jacksonville Police Department, FL",Florida,0
Sheriff,John B. Campbell,Gunfire,"Saturday, January 23, 1841",1841,January,Saturday,"Harrison County Sheriff's Office, TX",Texas,0
Captain,John B. Denton,Gunfire,"Monday, May 24, 1841",1841,May,Monday,"Texas Rangers, TX",Texas,0
Guard,Cyrus Sells,Assault,"Wednesday, June 9, 1841",1841,June,Wednesday,"Ohio Department of Rehabilitation and Correction, OH",Ohio,0
Prison Guard,William Bullard,Assault,"Monday, June 14, 1841",1841,June,Monday,"Missouri Department of Corrections, MO",Missouri,0
Private,Abram Trigg Smith,Gunfire,"Thursday, August 5, 1841",1841,August,Thursday,"Texas Rangers, TX",Texas,0
Private,George W. Heard,Gunfire,"Sunday, August 22, 1841",1841,August,Sunday,"Texas Rangers, TX",Texas,0
Private,Wade Hampton Rattan,Gunfire,"Saturday, December 25, 1841",1841,December,Saturday,"Texas Rangers, TX",Texas,0
Sheriff,Thomas Wooldridge,Gunfire,"Thursday, May 19, 1842",1842,May,Thursday,"Dubois County Sheriff's Department, IN",Indiana,0
Warden,"Charles Lincoln, Jr.",Stabbed,"Sunday, June 18, 1843",1843,June,Sunday,"Massachusetts Department of Correction, MA",Massachusetts,0
Sheriff,Samuel B. Wingo,Gunfire,"Thursday, August 31, 1843",1843,August,Thursday,"Shannon County Sheriff's Office, MO",Missouri,0
Sheriff,George Lee Phillips,Drowned,"Saturday, September 23, 1843",1843,September,Saturday,"Ashe County Sheriff's Office, NC",North Carolina,0
Sheriff,Robert D. Lester,Gunfire,"Thursday, March 21, 1844",1844,March,Thursday,"Crawford County Sheriff's Department, WI",Wisconsin,0
Sheriff,Lewis Williams,Gunfire,"Friday, April 26, 1844",1844,April,Friday,"Jackson County Sheriff's Office, FL",Florida,0
Private,Peter Fohr,Assault,"Saturday, June 8, 1844",1844,June,Saturday,"Texas Rangers, TX",Texas,0
Watchman,Alexander McIntosh,Assault,"Thursday, June 20, 1844",1844,June,Thursday,"Baltimore City Police Department, MD",Maryland,0
Keeper,James Gastin,Assault,"Thursday, October 31, 1844",1844,October,Thursday,"Pennsylvania Department of Corrections, PA",Pennsylvania,0
Undersheriff,Osman N. Steele,Gunfire,"Thursday, August 7, 1845",1845,August,Thursday,"Delaware County Sheriff's Office, NY",New York,0
Constable,John Holton,Stabbed,"Monday, November 24, 1845",1845,November,Monday,"Augusta Police Department, KY",Kentucky,0
Sheriff,Lansford Stallings,Gunfire,"Thursday, December 4, 1845",1845,December,Thursday,"Cherokee County Sheriff's Office, AL",Alabama,0
Lieutenant,John M. Brown,Stabbed,"Sunday, December 28, 1845",1845,December,Sunday,"Cherokee Nation Marshal Service, TR",United States,0
Sheriff,Samuel Grimmett,Gunfire,"Sunday, April 11, 1847",1847,April,Sunday,"Montgomery County Sheriff's Office, TX",Texas,0
Deputy Sheriff,William Armstrong,Gunfire,"Friday, June 25, 1847",1847,June,Friday,"Hampshire County Sheriff's Office, VA",Virginia,0
Deputy Sheriff,Gilbert Byrd Burchfield,Gunfire,"Thursday, July 15, 1847",1847,July,Thursday,"Saline County Sheriff's Office, AR",Arkansas,0
Private,Richard S. Gilbert,Assault,"Saturday, December 18, 1847",1847,December,Saturday,"Texas Rangers, TX",Texas,0
Private,Littleton P. Rattan,Assault,"Saturday, December 18, 1847",1847,December,Saturday,"Texas Rangers, TX",Texas,0
Sheriff,Enoch B. Morelock,Gunfire,"Sunday, December 19, 1847",1847,December,Sunday,"Sullivan County Sheriff's Office, MO",Missouri,0
Lieutenant,Thomas Couzens,Stabbed,"Tuesday, January 11, 1848",1848,January,Tuesday,"Texas Rangers, TX",Texas,0
Watchman,David Estes,Gunfire,"Thursday, April 27, 1848",1848,April,Thursday,"Boston Watch, MA",Massachusetts,0
Private,John Wesley Dier,Gunfire,"Sunday, November 12, 1848",1848,November,Sunday,"Texas Rangers, TX",Texas,0
Watchman,John Brasher,Gunfire,"Sunday, May 6, 1849",1849,May,Sunday,"Cincinnati Police Department, OH",Ohio,0
Constable,Peter Davison,Stabbed,"Monday, June 25, 1849",1849,June,Monday,"Cincinnati Police Department, OH",Ohio,0
Guard,James Fancher,Duty related illness,"Saturday, July 14, 1849",1849,July,Saturday,"Ohio Department of Rehabilitation and Correction, OH",Ohio,0
Patrolman,Thomas Lynch,Assault,"Thursday, September 27, 1849",1849,September,Thursday,"New York Municipal Police Force, NY",New York,0
Patrolman,William Helms,Structure collapse,"Tuesday, October 16, 1849",1849,October,Tuesday,"New York Municipal Police Force, NY",New York,0
Private,John A. Reed,Drowned,"Tuesday, January 1, 1850",1850,January,Tuesday,"Texas Rangers, TX",Texas,0
Major,Charles Grandison Bryant,Assault,"Saturday, January 12, 1850",1850,January,Saturday,"Texas Rangers, TX",Texas,0
Police Officer,Ephraim Hibler,Gunfire,"Sunday, May 26, 1850",1850,May,Sunday,"St. Louis Metropolitan Police Department, MO",Missouri,0
Watchman,Cornelius Mooney,Gunfire,"Tuesday, May 28, 1850",1850,May,Tuesday,"Moyamensing Township Police Department, PA",Pennsylvania,0
Private,William Gillespie,Assault,"Wednesday, May 29, 1850",1850,May,Wednesday,"Texas Rangers, TX",Texas,0
Sheriff,Joseph McKinney,Gunfire,"Thursday, August 15, 1850",1850,August,Thursday,"Sacramento County Sheriff's Department, CA",California,0
Private,John Lemon Wilbarger,Gunfire,"Tuesday, August 20, 1850",1850,August,Tuesday,"Texas Rangers, TX",Texas,0
Private,Daniel C. Doc Sullivan,Gunfire,"Tuesday, August 20, 1850",1850,August,Tuesday,"Texas Rangers, TX",Texas,0
Constable,James Corcoran,Assault,"Friday, November 1, 1850",1850,November,Friday,"Pennsylvania State Constable - Philadelphia County, PA",Pennsylvania,0
Watchman,Patrick Slevin,Gunfire,"Saturday, November 2, 1850",1850,November,Saturday,"Moyamensing Township Police Department, PA",Pennsylvania,0
Private,Samuel Baker Barton,Assault,"Monday, January 27, 1851",1851,January,Monday,"Texas Rangers, TX",Texas,0
Private,William Lackey,Assault,"Monday, February 3, 1851",1851,February,Monday,"Texas Rangers, TX",Texas,0
Patrolman,George T. Gillespie,Assault,"Thursday, July 10, 1851",1851,July,Thursday,"New York Municipal Police Force, NY",New York,0
Sergeant,Michael Foster,Stabbed,"Monday, August 4, 1851",1851,August,Monday,"New York Municipal Police Force, NY",New York,0
Private,Henry J. Willis,Gunfire,"Monday, September 15, 1851",1851,September,Monday,"Texas Rangers, TX",Texas,0
Deputy Sheriff,David Neil,Gunfire,"Saturday, September 27, 1851",1851,September,Saturday,"Smith County Sheriff's Office, TX",Texas,0
Deputy Sheriff,James Holden,Gunfire,"Saturday, September 27, 1851",1851,September,Saturday,"Smith County Sheriff's Office, TX",Texas,0
Night Watchman,Frederick Samuel Sieber,Assault,"Sunday, November 9, 1851",1851,November,Sunday,"New Orleans Police Department, LA",Louisiana,0
Police Officer,William Baker,Fire,"Saturday, December 27, 1851",1851,December,Saturday,"Philadelphia Police Department, PA",Pennsylvania,0
Captain,Chin Chi Kee,Gunfire,"Saturday, January 10, 1852",1852,January,Saturday,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US",United States,0
Sheriff,James Preston Fulkerson,Gunfire,"Sunday, April 4, 1852",1852,April,Sunday,"Calhoun County Sheriff's Office, TX",Texas,0
Deputy Sheriff,Moses W. Formwalt,Stabbed,"Saturday, May 1, 1852",1852,May,Saturday,"DeKalb County Sheriff's Office, GA",Georgia,0
Deputy Constable,George A. Davidson,Stabbed,"Friday, May 7, 1852",1852,May,Friday,"Delaware City Police Department, DE",Delaware,0
Watchman,William T. Pullan,Assault,"Tuesday, May 18, 1852",1852,May,Tuesday,"Providence City Watch, RI",Rhode Island,0
Constable,Gideon Manchester,Gunfire,"Friday, July 16, 1852",1852,July,Friday,"Fall River Police Department, MA",Massachusetts,0
Deputy Sheriff,William R. Johnson,Gunfire,"Saturday, July 31, 1852",1852,July,Saturday,"Contra Costa County Sheriff's Office, CA",California,0
Police Officer,James Miller,Assault,"Thursday, August 5, 1852",1852,August,Thursday,"Philadelphia Police Department, PA",Pennsylvania,0
Watchman,Joseph Stoddard,Stabbed,"Friday, September 10, 1852",1852,September,Friday,"Cincinnati Police Department, OH",Ohio,0
Night Watchman,Samuel H. Ferguson,Stabbed,"Thursday, April 21, 1853",1853,April,Thursday,"Pittsburgh Night Watch, PA",Pennsylvania,0
Deputy Sheriff,Rodney Badger,Drowned,"Friday, April 29, 1853",1853,April,Friday,"Salt Lake County Sheriff's Office, UT",Utah,0
Shadow,George Trenchard,Fire,"Thursday, June 2, 1853",1853,June,Thursday,"New York Municipal Police Force, NY",New York,0
Watchman,John Osborne,Stabbed,"Thursday, December 1, 1853",1853,December,Thursday,"Cleveland Marshal's Office, OH",Ohio,0
Constable,James Quinn,Assault,"Monday, December 5, 1853",1853,December,Monday,"Chicago Police Department, IL",Illinois,0
Constable,Jack Wheelan,Stabbed,"Wednesday, December 7, 1853",1853,December,Wednesday,"Los Angeles County Constable's Office, CA",California,0
Watchman,Philip Brady,Assault,"Sunday, December 11, 1853",1853,December,Sunday,"Moyamensing Township Police Department, PA",Pennsylvania,0
Police Officer,Hiram Hammer,Fire,"Wednesday, December 21, 1853",1853,December,Wednesday,"Philadelphia Police Department, PA",Pennsylvania,0
Police Officer,Jacob Albright,Fire,"Sunday, December 25, 1853",1853,December,Sunday,"Philadelphia Police Department, PA",Pennsylvania,0
Deputy Sheriff,Wesley F. Cherry,Gunfire,"Monday, March 6, 1854",1854,March,Monday,"King County Sheriff's Office, WA",Washington,0
Police Officer,George R. Turner,Gunfire,"Friday, April 14, 1854",1854,April,Friday,"Stockton Police Department, CA",California,0
Officer,Cyrus Beebe,Gunfire,"Thursday, April 27, 1854",1854,April,Thursday,"Columbus Division of Police, OH",Ohio,0
Deputy U.S. Marshal,James Batchelder,Gunfire,"Friday, May 26, 1854",1854,May,Friday,"United States Department of Justice - United States Marshals Service, US",United States,0
Constable,William H. Hardmount,Gunfire,"Saturday, September 2, 1854",1854,September,Saturday,"Monterey County Constable's Office, CA",California,0
Patrolman,Casper Lauer,Stabbed,"Monday, September 18, 1854",1854,September,Monday,"Chicago Police Department, IL",Illinois,0
Patrolman,James Cahill,Gunfire,"Friday, September 29, 1854",1854,September,Friday,"New York Municipal Police Force, NY",New York,0
Police Officer,Maxwell Badgley,Stabbed,"Monday, October 23, 1854",1854,October,Monday,"Newark Police Department, NJ",New Jersey,0
Patrolman,David Gourley,Stabbed,"Sunday, November 5, 1854",1854,November,Sunday,"New York Municipal Police Force, NY",New York,0
Deputy Sheriff,William Harrison Reams,Stabbed,"Tuesday, November 21, 1854",1854,November,Tuesday,"Laurel County Sheriff's Department, KY",Kentucky,0
Patrolman,John Dunn,Gunfire,"Wednesday, March 28, 1855",1855,March,Wednesday,"New Orleans Police Department, LA",Louisiana,0
Policeman,John Sheldon,Stabbed,"Sunday, April 29, 1855",1855,April,Sunday,"Sonora Police Department, CA",California,0
Sheriff,William A. Phoenix,Gunfire,"Sunday, August 12, 1855",1855,August,Sunday,"Amador County Sheriff's Department, CA",California,0
Indian Agent,Andrew J. Bolon,Stabbed,"Tuesday, September 25, 1855",1855,September,Tuesday,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US",United States,0
Private,William H. Clopton,Gunfire,"Wednesday, October 3, 1855",1855,October,Wednesday,"Texas Rangers, TX",Texas,0
Private,Willis E. Jones,Gunfire,"Wednesday, October 3, 1855",1855,October,Wednesday,"Texas Rangers, TX",Texas,0
Private,H. K. Holland,Gunfire,"Wednesday, October 3, 1855",1855,October,Wednesday,"Texas Rangers, TX",Texas,0
Private,Augustus Smith,Gunfire,"Wednesday, October 3, 1855",1855,October,Wednesday,"Texas Rangers, TX",Texas,0
Deputy Sheriff,Charles Layton,Gunfire,"Saturday, November 10, 1855",1855,November,Saturday,"Monterey County Sheriff's Department, CA",California,0
Deputy Sheriff,Joaquin De La Torre,Gunfire,"Saturday, November 10, 1855",1855,November,Saturday,"Monterey County Sheriff's Department, CA",California,0
Deputy Sheriff,Jim Beckwith,Gunfire,"Saturday, November 10, 1855",1855,November,Saturday,"Monterey County Sheriff's Department, CA",California,0
Marshal,William H. Richardson,Gunfire,"Saturday, November 17, 1855",1855,November,Saturday,"United States Department of Justice - United States Marshals Service, US",United States,0
Night Watchman,Thomas Cummins,Assault,"Saturday, November 24, 1855",1855,November,Saturday,"New Haven Police Department, CT",Connecticut,0
City Marshal,William Thomas Cross,Gunfire,"Friday, December 21, 1855",1855,December,Friday,"Columbia Police Department, SC",South Carolina,0
Marshal,Eli R. Doyle,Fall,"Thursday, December 27, 1855",1855,December,Thursday,"United States Department of Justice - United States Marshals Service, US",United States,0
Police Officer,Alexander Algeo,Gunfire,"Wednesday, March 26, 1856",1856,March,Wednesday,"New Orleans Police Department, LA",Louisiana,0
Lieutenant,Levi Parker,Gunfire,"Sunday, May 4, 1856",1856,May,Sunday,"Cincinnati Police Department, OH",Ohio,0
City Marshal,David Johnson,Gunfire (Inadvertent),"Monday, November 3, 1856",1856,November,Monday,"Nevada City Police Department, CA",California,0
Sheriff,W. W. Wright,Gunfire (Inadvertent),"Monday, November 3, 1856",1856,November,Monday,"Nevada County Sheriff's Office, CA",California,0
Sheriff,John F. Taylor,Gunfire,"Tuesday, November 11, 1856",1856,November,Tuesday,"Winnebago County Sheriff's Office, IL",Illinois,0
Night Watchman,John O'Mayer,Gunfire (Inadvertent),"Thursday, November 13, 1856",1856,November,Thursday,"Baltimore City Police Department, MD",Maryland,0
Police Officer,William I. Van Arsdale,Drowned,"Sunday, December 7, 1856",1856,December,Sunday,"New Brunswick Police Department, NJ",New Jersey,0
Deputy Warden,Galen Carter Walker,Stabbed,"Monday, December 15, 1856",1856,December,Monday,"Massachusetts Department of Correction, MA",Massachusetts,0
Warden,Solon Tenney,Stabbed,"Monday, December 29, 1856",1856,December,Monday,"Massachusetts Department of Correction, MA",Massachusetts,0
Sheriff,James R. Barton,Gunfire,"Friday, January 23, 1857",1857,January,Friday,"Los Angeles County Sheriff's Department, CA",California,0
Constable,Charles K. Baker,Gunfire,"Friday, January 23, 1857",1857,January,Friday,"Los Angeles County Constable's Office, CA",California,0
Deputy Sheriff,Charles T. Daly,Gunfire,"Friday, January 23, 1857",1857,January,Friday,"Los Angeles County Sheriff's Department, CA",California,0
Constable,William H. Little,Gunfire,"Friday, January 23, 1857",1857,January,Friday,"Los Angeles County Constable's Office, CA",California,0
Sheriff,James M. Land,Gunfire,"Sunday, March 22, 1857",1857,March,Sunday,"Estill County Sheriff's Department, KY",Kentucky,0
Deputy Sheriff,Jessie Arvin,Gunfire,"Sunday, March 22, 1857",1857,March,Sunday,"Estill County Sheriff's Department, KY",Kentucky,0
Patrolman,Stephen P. Hardenbrook,Stabbed,"Wednesday, April 15, 1857",1857,April,Wednesday,"New York Municipal Police Force, NY",New York,0
Deputized Civilian,William B.M. Barbee,Gunfire,"Sunday, May 24, 1857",1857,May,Sunday,"Burleson County Constable's Office - Precinct 3, TX",Texas,0
Assistant City Marshal,Frederick W. Fieldstrup,Gunfire,"Friday, May 29, 1857",1857,May,Friday,"San Antonio Police Department, TX",Texas,0
Deputy Sheriff,Charles Small,Gunfire,"Monday, July 6, 1857",1857,July,Monday,"Wayne County Sheriff's Office, MI",Michigan,0
Special Patrolman,Thomas Sparks,Assault,"Thursday, July 9, 1857",1857,July,Thursday,"New York Metropolitan Police Force, NY",New York,0
Patrolman,Eugene Anderson,Gunfire,"Monday, July 20, 1857",1857,July,Monday,"New York Metropolitan Police Force, NY",New York,0
Lieutenant,Arthur Porcher Gaillard,Gunfire (Inadvertent),"Friday, August 14, 1857",1857,August,Friday,"Charleston Police Department, SC",South Carolina,0
Sergeant,William Jourdan,Gunfire,"Wednesday, October 14, 1857",1857,October,Wednesday,"Baltimore City Police Department, MD",Maryland,0
Patrolman,Ezekiel Wentworth Hodsdon,Gunfire,"Sunday, October 18, 1857",1857,October,Sunday,"Boston Police Department, MA",Massachusetts,0
Patrolman,Horatio Sanger,Assault,"Sunday, November 22, 1857",1857,November,Sunday,"New York Metropolitan Police Force, NY",New York,0
Sheriff,William C. Getman,Gunfire,"Thursday, January 7, 1858",1858,January,Thursday,"Los Angeles County Sheriff's Department, CA",California,0
Sheriff,Samuel Lee Lockhart,Stabbed,"Saturday, January 9, 1858",1858,January,Saturday,"Llano County Sheriff's Office, TX",Texas,0
Special Police Officer,George C. Chapman,Gunfire,"Wednesday, April 28, 1858",1858,April,Wednesday,"Sacramento Police Department, CA",California,0
Private,William Earbee,Gunfire (Inadvertent),"Wednesday, May 5, 1858",1858,May,Wednesday,"Texas Rangers, TX",Texas,0
Private,Robert Nickles,Stabbed,"Wednesday, May 12, 1858",1858,May,Wednesday,"Texas Rangers, TX",Texas,0
Private,Waco Indian,Gunfire,"Wednesday, May 12, 1858",1858,May,Wednesday,"Texas Rangers, TX",Texas,0
City Marshal,Joseph Beard,Stabbed,"Saturday, July 10, 1858",1858,July,Saturday,"Lexington Police Department, KY",Kentucky,0
Deputy Sheriff,Travis Gibson,Stabbed,"Tuesday, August 3, 1858",1858,August,Tuesday,"Campbell County Sheriff's Office, TN",Tennessee,0
Sheriff,Sampson D. Queener,Stabbed,"Tuesday, August 3, 1858",1858,August,Tuesday,"Campbell County Sheriff's Office, TN",Tennessee,0
Patrolman,George Coulter,Gunfire,"Tuesday, August 17, 1858",1858,August,Tuesday,"Louisville Police Department, KY",Kentucky,0
Police Officer,Thomas H. Snyder,Explosion,"Thursday, September 9, 1858",1858,September,Thursday,"Philadelphia Police Department, PA",Pennsylvania,0
Police Officer,Benjamin Benton,Gunfire,"Wednesday, September 22, 1858",1858,September,Wednesday,"Baltimore City Police Department, MD",Maryland,0
Police Officer,William Cooke,Gunfire,"Monday, October 18, 1858",1858,October,Monday,"Salt Lake City Police Department, UT",Utah,0
Police Officer,Robert M. Rigdon,Gunfire,"Monday, November 8, 1858",1858,November,Monday,"Baltimore City Police Department, MD",Maryland,0
City Marshal,Frederick Warren,Gunfire (Inadvertent),"Saturday, November 13, 1858",1858,November,Saturday,"Worcester Police Department, MA",Massachusetts,0
Policeman,Joel N. McDonald,Gunfire,"Friday, November 26, 1858",1858,November,Friday,"Columbia Police Department, CA",California,0
Constable,John Leary,Gunfire,"Monday, November 29, 1858",1858,November,Monday,"Columbia Police Department, CA",California,0
