Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Grade 3 ELA - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 ELA 4s - American Indian or Alaska Native,Grade 3 ELA 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 ELA 4s - White,Grade 3 ELA 4s - Multiracial,Grade 3 ELA 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math - All Students tested,Grade 3 Math 4s - All Students,Grade 3 Math 4s - American Indian or Alaska Native,Grade 3 Math 4s - Black or African American,Grade 3 Math 4s - Hispanic or Latino,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 Math 4s - White,Grade 3 Math 4s - Multiracial,Grade 3 Math 4s - Limited English Proficient,Grade 3 Math 4s - Economically Disadvantaged,Grade 4 ELA - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 ELA 4s - American Indian or Alaska Native,Grade 4 ELA 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 ELA 4s - White,Grade 4 ELA 4s - Multiracial,Grade 4 ELA 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math - All Students Tested,Grade 4 Math 4s - All Students,Grade 4 Math 4s - American Indian or Alaska Native,Grade 4 Math 4s - Black or African American,Grade 4 Math 4s - Hispanic or Latino,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 Math 4s - White,Grade 4 Math 4s - Multiracial,Grade 4 Math 4s - Limited English Proficient,Grade 4 Math 4s - Economically Disadvantaged,Grade 5 ELA - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 ELA 4s - American Indian or Alaska Native,Grade 5 ELA 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 ELA 4s - White,Grade 5 ELA 4s - Multiracial,Grade 5 ELA 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math - All Students Tested,Grade 5 Math 4s - All Students,Grade 5 Math 4s - American Indian or Alaska Native,Grade 5 Math 4s - Black or African American,Grade 5 Math 4s - Hispanic or Latino,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 Math 4s - White,Grade 5 Math 4s - Multiracial,Grade 5 Math 4s - Limited English Proficient,Grade 5 Math 4s - Economically Disadvantaged,Grade 6 ELA - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 ELA 4s - American Indian or Alaska Native,Grade 6 ELA 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 ELA 4s - White,Grade 6 ELA 4s - Multiracial,Grade 6 ELA 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math - All Students Tested,Grade 6 Math 4s - All Students,Grade 6 Math 4s - American Indian or Alaska Native,Grade 6 Math 4s - Black or African American,Grade 6 Math 4s - Hispanic or Latino,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 Math 4s - White,Grade 6 Math 4s - Multiracial,Grade 6 Math 4s - Limited English Proficient,Grade 6 Math 4s - Economically Disadvantaged,Grade 7 ELA - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 ELA 4s - American Indian or Alaska Native,Grade 7 ELA 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 ELA 4s - White,Grade 7 ELA 4s - Multiracial,Grade 7 ELA 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math - All Students Tested,Grade 7 Math 4s - All Students,Grade 7 Math 4s - American Indian or Alaska Native,Grade 7 Math 4s - Black or African American,Grade 7 Math 4s - Hispanic or Latino,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 Math 4s - White,Grade 7 Math 4s - Multiracial,Grade 7 Math 4s - Limited English Proficient,Grade 7 Math 4s - Economically Disadvantaged,Grade 8 ELA - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 ELA 4s - American Indian or Alaska Native,Grade 8 ELA 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 ELA 4s - White,Grade 8 ELA 4s - Multiracial,Grade 8 ELA 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math - All Students Tested,Grade 8 Math 4s - All Students,Grade 8 Math 4s - American Indian or Alaska Native,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - White,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - Limited English Proficient,Grade 8 Math 4s - Economically Disadvantaged
,,,P.S. 070 MAX SCHOENFELD,3.21E+11,09X070,9,40.844394,-73.908023,"1691 WEEKS AVE BRONX, NY 10457",BRONX,10457,"0K,01,02,03,04,05",0K,5,No,0.92,28190.58,0.25,0.01,0.25,0.74,0.98,0.01,0.91,0.37,0.88,Meeting Target,0.87,Meeting Target,0.84,Approaching Target,0.82,Meeting Target,0.82,Approaching Target,0.9,Meeting Target,Approaching Target,2.1,2.26,208,1,0,0,1,0,0,0,0,0,217,15,0,0,14,0,0,0,0,0,225,10,0,2,6,0,0,0,0,0,232,10,0,0,9,0,0,0,3,0,215,3,0,1,2,0,0,0,0,0,222,4,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 073 BRONX,3.21E+11,09X073,9,40.83262,-73.926485,"1020 ANDERSON AVE BRONX, NY 10452",BRONX,10452,"PK,0K,01,02,03,04,05",PK,5,No,0.89,22580.13,0.22,0,0.25,0.74,0.99,0.01,0.9,0.41,0.85,Approaching Target,0.82,Approaching Target,0.82,Approaching Target,0.68,Approaching Target,0.83,Approaching Target,0.83,Approaching Target,Approaching Target,2.07,2.1,125,0,0,0,0,0,0,0,0,0,123,1,0,0,1,0,0,0,1,1,105,0,0,0,0,0,0,0,0,0,110,1,0,0,0,0,0,0,0,1,111,3,0,0,2,0,0,0,0,3,112,5,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. X088 - S. SILVERSTEIN LITTLE SPARROW SCHOOL,3.21E+11,09X088,9,40.83702,-73.913549,"1340 SHERIDAN AVE BRONX, NY 10456",BRONX,10456,"0K,01,02,03",0K,3,No,0.87,22255.01,0.15,0.01,0.31,0.68,0.98,0,0.94,0.17,0.95,N/A,0.89,N/A,0.95,N/A,0.78,N/A,0.78,N/A,0.95,N/A,N/A,N/A,N/A,36,0,0,0,0,0,0,0,0,0,37,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 109 SEDGWICK,3.21E+11,09X109,9,40.851637,-73.918772,"1771 POPHAM AVE BRONX, NY 10453",BRONX,10453,"PK,0K,01,02,03,04,05",PK,5,No,0.87,26397.05,0.25,0,0.2,0.8,0.99,0.01,0.91,0.32,0.79,Approaching Target,0.69,Approaching Target,0.73,Approaching Target,0.57,Not Meeting Target,0.79,Approaching Target,0.77,Approaching Target,Approaching Target,2.19,2.17,115,4,0,0,3,0,0,0,0,0,117,5,0,0,5,0,0,0,1,0,115,6,0,0,4,0,0,0,0,0,113,4,0,0,2,0,0,0,0,3,121,1,0,0,1,0,0,0,0,1,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 110 THEODORE SCHOENFELD,3.21E+11,09X110,9,40.834973,-73.900304,"580 CROTONA PARK S BRONX, NY 10456",BRONX,10456,"PK,0K,01,02,03,04,05",PK,5,No,0.91,21689.93,0.12,0,0.42,0.52,0.95,0.05,0.93,0.25,0.83,Meeting Target,0.83,Meeting Target,0.82,Meeting Target,0.68,Approaching Target,0.82,Approaching Target,0.86,Approaching Target,Meeting Target,2.33,2.4,55,2,0,0,2,0,0,0,0,0,58,6,0,0,0,0,0,0,0,0,64,4,0,0,3,0,0,0,0,4,66,5,0,0,3,0,0,0,0,5,69,0,0,0,0,0,0,0,0,0,72,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. X114 - LUIS LLORENS TORRES SCHOOLS,3.21E+11,09X114,9,40.835007,-73.923347,"1155 CROMWELL AVE BRONX, NY 10452",BRONX,10452,"0K,01,02,03,04",0K,4,No,0.9,26823.06,0.33,0.04,0.22,0.71,0.93,0.02,0.92,0.31,0.95,Meeting Target,0.93,Meeting Target,0.95,Meeting Target,0.86,Meeting Target,0.83,Approaching Target,0.93,Meeting Target,Approaching Target,2.07,2.19,125,0,0,0,0,0,0,0,0,0,130,9,0,6,2,0,0,0,0,0,132,6,0,0,5,0,0,0,0,0,142,1,0,0,0,0,0,0,0,0,129,5,0,1,3,0,0,0,0,0,136,7,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,I.S. 117 JOSEPH H. WADE,3.21E+11,09X117,9,40.848521,-73.908447,"1865 MORRIS AVE BRONX, NY 10453",BRONX,10453,"06,07,08",6,8,Yes,0.9,N/A,0.41,0.02,0.17,0.8,0.97,0.01,0.89,0.39,0.77,Approaching Target,0.7,Approaching Target,0.8,Approaching Target,0.68,Not Meeting Target,0.8,Meeting Target,0.84,Approaching Target,Approaching Target,2.04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,202,5,0,0,5,0,0,0,0,4,213,2,0,0,1,0,0,0,0,2,187,3,0,0,2,0,0,0,0,3,163,0,0,0,0,0,0,0,0,0
,,,P.S. 126 DR MARJORIE H DUNBAR,3.21E+11,09X126,9,40.836201,-73.928346,"175 W 166TH ST BRONX, NY 10452",BRONX,10452,"PK,0K,01,02,03,04,05,06",PK,6,No,0.91,22701.33,0.22,0.01,0.26,0.71,0.97,0.02,0.91,0.36,0.89,Approaching Target,0.79,Approaching Target,0.85,Meeting Target,0.7,Approaching Target,0.79,Not Meeting Target,0.79,Approaching Target,Approaching Target,2.27,2.17,87,2,0,1,1,0,0,0,0,0,89,4,0,1,3,0,0,0,1,0,96,3,0,0,3,0,0,0,0,0,99,5,0,0,4,0,0,0,0,0,100,8,0,0,3,0,0,0,0,8,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,MOTT HALL III,3.21E+11,09X128,9,40.834973,-73.900304,"580 CROTONA PARK S BRONX, NY 10456",BRONX,10456,"06,07,08",6,8,No,0.85,N/A,0.05,0.02,0.45,0.53,0.98,0,0.95,0.11,0.88,Meeting Target,0.93,Exceeding Target,0.87,Exceeding Target,0.88,Meeting Target,0.76,Approaching Target,0.92,Meeting Target,Meeting Target,2.71,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,20,0,7,0,0,0,0,0,18,127,30,0,15,0,0,0,0,0,26,113,16,0,0,7,0,0,0,0,16,113,13,0,0,4,0,0,0,0,13,116,22,0,0,15,0,0,0,0,21,85,8,0,0,4,0,0,0,0,7
,,,P.S. 132 GARRET A. MORGAN,3.21E+11,09X132,9,40.832081,-73.906951,"1245 WASHINGTON AVE BRONX, NY 10456",BRONX,10456,"PK,0K,01,02,03,04,05",PK,5,No,0.93,22702.97,0.13,0,0.44,0.54,0.98,0,0.89,0.44,0.95,Meeting Target,0.76,Approaching Target,0.71,Approaching Target,0.6,Not Meeting Target,0.75,Not Meeting Target,0.74,Not Meeting Target,Approaching Target,2.07,2.18,73,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,71,2,0,0,2,0,0,0,0,2,72,1,0,0,1,0,0,0,0,1,59,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,J.H.S. 145 ARTURO TOSCANINI,3.21E+11,09X145,9,40.827748,-73.913773,"1000 TELLER AVE BRONX, NY 10456",BRONX,10456,"05,06,07,08",5,8,Yes,0.89,N/A,0.43,0.01,0.29,0.69,0.98,0,0.89,0.43,0.86,Approaching Target,0.81,Approaching Target,0.89,Approaching Target,0.72,Approaching Target,0.79,Meeting Target,0.86,Approaching Target,Approaching Target,2.09,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,70,1,0,0,1,0,0,0,0,1,105,2,0,0,1,0,0,0,0,2,112,2,0,0,2,0,0,0,0,2,94,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0
,,,P.S. 163 ARTHUR A. SCHOMBURG,3.21E+11,09X163,9,40.851773,-73.898794,"2075 WEBSTER AVE BRONX, NY 10457",BRONX,10457,"0K,01,02,03,04,05",0K,5,No,0.93,25534.74,0.32,0.01,0.37,0.6,0.97,0.01,0.93,0.26,0.77,Approaching Target,0.55,Approaching Target,0.69,Approaching Target,0.48,Not Meeting Target,0.78,Approaching Target,0.67,Not Meeting Target,Meeting Target,2.3,2.42,75,0,0,0,0,0,0,0,0,0,81,2,0,0,1,0,0,0,0,2,86,5,0,0,2,0,0,0,0,0,91,1,0,0,0,0,0,0,0,0,86,9,0,0,7,0,0,0,0,0,89,8,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 199X - THE SHAKESPEARE SCHOOL,3.21E+11,09X199,9,40.843553,-73.920665,"1449 SHAKESPEARE AVE BRONX, NY 10452",BRONX,10452,"PK,0K,01,02,03,04,05",PK,5,No,0.9,26634.37,0.29,0,0.3,0.67,0.97,0.01,0.91,0.34,0.87,Approaching Target,0.79,Approaching Target,0.87,Approaching Target,0.69,Approaching Target,0.82,Approaching Target,0.82,Approaching Target,Approaching Target,2.21,2.31,125,1,0,0,1,0,0,0,0,0,124,8,0,1,7,0,0,0,0,0,123,6,0,0,4,0,0,0,0,6,127,9,0,0,6,0,0,0,0,8,122,2,0,0,0,0,0,0,0,0,126,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 204 MORRIS HEIGHTS,3.21E+11,09X204,9,40.849995,-73.915226,"1780 DR M L KING JR BLVD BRONX, NY 10453",BRONX,10453,"0K,01,02,03,04,05",0K,5,No,0.87,21870,0.1,0.01,0.29,0.67,0.96,0.02,0.94,0.18,0.89,Meeting Target,0.95,Exceeding Target,0.92,Meeting Target,0.89,Exceeding Target,0.87,Meeting Target,0.98,Exceeding Target,Exceeding Target,2.46,2.65,123,14,0,4,8,0,0,0,0,7,123,30,0,10,16,0,0,0,0,16,72,11,0,0,9,0,0,0,0,6,74,10,0,0,8,0,0,0,0,7,87,7,0,0,4,0,0,0,0,5,91,14,0,0,9,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,KAPPA,3.21E+11,09X215,9,40.833708,-73.903937,"3630 3RD AVE BRONX, NY 10456",BRONX,10456,"05,06,07,08",5,8,No,0.84,N/A,0.15,0.06,0.45,0.48,0.93,0,0.95,0.12,0.88,Meeting Target,0.86,Meeting Target,0.84,Meeting Target,0.77,Approaching Target,0.75,Approaching Target,0.88,Meeting Target,Meeting Target,2.48,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,1,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,78,8,0,2,5,0,0,0,1,7,81,11,0,2,7,0,0,0,1,9,62,4,0,0,2,0,0,0,0,2,62,7,0,0,4,0,0,0,0,3,101,10,0,5,5,0,0,0,0,6,49,0,0,0,0,0,0,0,0,0
,,,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,3.21E+11,09X218,9,40.835694,-73.919663,"1220 GERARD AVE BRONX, NY 10452",BRONX,10452,"0K,01,02,03,04,05,06,07,08",0K,8,No,0.86,25919.64,0.31,0.04,0.05,0.89,0.94,0.01,0.94,0.18,0.89,Meeting Target,0.84,Meeting Target,0.89,Meeting Target,0.76,Approaching Target,0.82,Approaching Target,0.88,Meeting Target,Meeting Target,2.45,2.56,112,2,0,0,2,0,0,0,0,1,112,9,0,1,8,0,0,0,1,6,113,6,0,0,3,2,0,0,0,6,113,10,0,0,7,2,0,0,0,10,106,4,0,0,4,0,0,0,0,1,107,7,0,0,6,0,0,0,0,2,94,8,0,0,7,0,0,0,0,6,94,6,0,0,5,0,0,0,0,4,86,2,0,0,1,0,0,0,0,2,86,6,0,0,4,0,0,0,0,6,88,7,0,0,6,0,0,0,0,4,57,1,0,0,1,0,0,0,0,0
,,,I.S. 219 NEW VENTURE SCHOOL,3.21E+11,09X219,9,40.833708,-73.903937,"3630 3RD AVE BRONX, NY 10456",BRONX,10456,"06,07,08",6,8,Yes,0.93,N/A,0.31,0.01,0.37,0.61,0.98,0.01,0.9,0.35,0.82,Approaching Target,0.66,Not Meeting Target,0.81,Approaching Target,0.63,Not Meeting Target,0.7,Approaching Target,0.79,Approaching Target,Approaching Target,1.98,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1,0,0,1,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,85,2,0,0,2,0,0,0,0,0,95,1,0,1,0,0,0,0,0,0
,,,I.S. 229 ROLAND PATTERSON,3.21E+11,09X229,9,40.841563,-73.929604,"275 HARLEM RIVER PARK BRIDGE BRONX, NY 10453",BRONX,10453,"05,06,07,08",5,8,No,0.89,N/A,0.2,0.01,0.35,0.63,0.98,0.01,0.9,0.38,0.78,Approaching Target,0.65,Approaching Target,0.83,Approaching Target,0.63,Not Meeting Target,0.81,Meeting Target,0.81,Approaching Target,Approaching Target,2.1,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,3,0,0,2,0,0,0,0,3,74,1,0,0,1,0,0,0,0,1,83,1,0,0,1,0,0,0,0,1,87,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0
x,,,EAGLE ACADEMY FOR YOUNG MEN,3.21E+11,09X231,9,40.845324,-73.897392,"4143 3RD AVE BRONX, NY 10457",BRONX,10457,"09,10,11,12",9,12,No,0.71,N/A,0.04,0,0.58,0.39,0.97,0,0.94,0.18,0.82,Approaching Target,0.86,Meeting Target,0.77,Meeting Target,0.83,Meeting Target,0.85,Exceeding Target,0.89,Meeting Target,Approaching Target,2.21,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,55,3,0,1,0,0,0,0,0,3,55,1,0,0,0,0,0,0,0,1,55,1,0,0,0,0,0,0,0,1,73,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
,,,I.S. 232,3.21E+11,09X232,9,40.849461,-73.915529,"1700 MACOMBS RD BRONX, NY 10453",BRONX,10453,"06,07,08",6,8,No,0.87,N/A,0.39,0,0.2,0.79,0.99,0.01,0.93,0.25,0.78,Approaching Target,0.65,Approaching Target,0.82,Meeting Target,0.59,Not Meeting Target,0.78,Approaching Target,0.79,Approaching Target,Meeting Target,2.16,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,2,0,0,2,0,0,0,0,0,134,7,0,0,5,0,0,0,0,7,162,3,0,0,3,0,0,0,0,3,150,1,0,0,1,0,0,0,0,1,174,7,0,0,6,0,0,0,0,6,134,1,0,0,1,0,0,0,0,1
,,,P.S. 236 LANGSTON HUGHES,3.21E+11,09X236,9,40.848826,-73.909699,"1871 WALTON AVE BRONX, NY 10453",BRONX,10453,"PK,0K,01,02,03,04,05",PK,5,No,0.88,26958.39,0.12,0,0.29,0.68,0.98,0.02,0.93,0.2,0.93,Meeting Target,0.93,Meeting Target,0.92,Exceeding Target,0.85,Meeting Target,0.87,Meeting Target,0.93,Meeting Target,Approaching Target,2.19,2.28,23,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,73,6,0,2,4,0,0,0,0,6,73,8,0,1,7,0,0,0,0,8,60,2,0,0,1,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",3.21E+11,09X241,9,40.839457,-73.901895,"1595 BATHGATE AVE BRONX, NY 10457",BRONX,10457,"06,07,08,09,10,11,12",6,12,No,0.82,N/A,0.11,0.01,0.34,0.64,0.98,0.01,0.92,0.26,0.82,Meeting Target,0.82,Meeting Target,0.8,Meeting Target,0.79,Approaching Target,0.77,Approaching Target,0.86,Meeting Target,Meeting Target,2.23,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2,0,2,0,0,0,0,0,0,77,9,0,5,4,0,0,0,0,0,90,1,0,0,1,0,0,0,0,0,90,1,0,0,1,0,0,0,0,0,79,3,0,0,2,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0
,,,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,3.21E+11,09X274,9,40.841563,-73.929604,"275 HARLEM RIVER PARK BRIDGE BRONX, NY 10453",BRONX,10453,"PK,0K,01,03,04,05",PK,5,No,0.93,20772.06,0.17,0,0.39,0.59,0.98,0.01,0.88,0.53,0.92,N/A,0.95,N/A,0.96,N/A,0.95,N/A,0.87,N/A,0.96,N/A,N/A,N/A,N/A,99,2,0,0,1,0,0,0,0,2,101,3,0,0,1,0,0,0,0,3,99,11,0,0,8,0,0,0,0,9,106,5,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,THE WALTON AVENUE SCHOOL,3.21E+11,09X294,9,40.840366,-73.915716,"1425 WALTON AVE BRONX, NY 10452",BRONX,10452,"0K,01,02,03,04,05",0K,5,No,0.92,25806.36,0.28,0.01,0.22,0.73,0.95,0.03,0.92,0.3,0.96,N/A,0.95,N/A,0.96,N/A,0.94,N/A,0.87,N/A,0.94,N/A,N/A,N/A,N/A,74,3,0,0,3,0,0,0,1,0,78,18,0,0,14,0,0,0,5,0,73,24,0,0,22,0,0,0,0,23,73,17,0,0,13,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
