Claim ID,Time to Close,Claim Amount,Amount Paid,Location,Individuals on Claim,Linked Cases,Cause
0000000-00.2019.0.00.0079,-57,"R$3,672.00",999.68,SAO LUIS,0,FALSE,
0000000-00.2019.0.00.0009,634,"R$754,317.00",145843.76,NATAL,33,TRUE,meat
0000000-00.2019.0.00.0093,477,"R$68,511.00",21549.15,NATAL,3,FALSE,
0000000-00.2019.0.00.0066,531,"R$199,534.00",136503.81,RECIFE,8,FALSE,
0000000-00.2019.0.00.0081,65,"R$100,000.00",34822.87,RECIFE,4,FALSE,
0000000-00.2019.0.00.0044,506,"R$41,749.00",15683.86,FORTALEZA,1,FALSE,
0000000-00.2019.0.00.0070,504,"R$136,642.00",51334.1,RECIFE,6,FALSE,vegetables
0000000-00.2019.0.00.0072,501,"R$100,000.00",34538.05,RECIFE,4,FALSE,
0000000-00.2019.0.00.0082,135,"R$75,353.00",44340.55,RECIFE,3,FALSE,
0000000-00.2019.0.00.0008,491,"R$47,424.00",28062.03,NATAL,2,FALSE,
0000000-00.2019.0.00.0016,571,"R$27,741.00",4302.24,NATAL,1,FALSE,
0000000-00.2019.0.00.0091,479,"R$40,000.00",28474.37,SAO LUIS,1,FALSE,meat
0000000-00.2019.0.00.0033,473,"R$112,615.00",52374.98,SAO LUIS,4,FALSE,
0000000-00.2019.0.00.0038,472,"R$48,000.00",8205.71,SAO LUIS,2,FALSE,
0000000-00.2019.0.00.0055,662,"R$55,689.00",11239.91,FORTALEZA,2,FALSE,
0000000-00.2019.0.00.0056,387,"R$214,251.00",144665.72,FORTALEZA,9,FALSE,meat
0000000-00.2019.0.00.0085,398,"R$52,679.00",14553.22,RECIFE,2,FALSE,
0000000-00.2019.0.00.0006,599,"R$36,180.00",26111.34,NATAL,1,FALSE,
0000000-00.2019.0.00.0015,415,"R$244,166.00",105402.19,NATAL,10,FALSE,
0000000-00.2019.0.00.0053,372,"R$50,000.00",25340.29,FORTALEZA,2,FALSE,
0000000-00.2020.0.00.0035,60,"R$736,422.00",558725.77,SAO LUIS,32,TRUE,vegetables
0000000-00.2020.0.00.0026,349,"R$30,000.00",9758.29,SAO LUIS,1,FALSE,meat
0000000-00.2020.0.00.0017,338,"R$27,741.00",16575.47,NATAL,1,FALSE,
0000000-00.2020.0.00.0041,120,"R$155,590.00",106768.8,FORTALEZA,6,FALSE,
0000000-00.2020.0.00.0068,120,"R$105,530.00",55607.61,RECIFE,4,FALSE,
0000000-00.2020.0.00.0048,29,"R$41,976.00",32764.03,SAO LUIS,1,FALSE,
0000000-00.2020.0.00.0064,272,"R$3,555.00",1013.36,RECIFE,0,FALSE,
0000000-00.2020.0.00.0061,211,"R$50,000.00",29171.78,NATAL,2,FALSE,
0000000-00.2020.0.00.0037,288,"R$98,330.00",50870.05,SAO LUIS,4,FALSE,
0000000-00.2020.0.00.0080,30,"R$163,830.00",73592.86,SAO LUIS,7,FALSE,
0000000-00.2020.0.00.0014,149,"R$409,816.00",279638.6,NATAL,17,TRUE,
0000000-00.2020.0.00.0036,253,"R$36,000.00",11897.95,SAO LUIS,1,FALSE,
0000000-00.2020.0.00.0028,252,"R$29,000.00",11001.83,SAO LUIS,1,FALSE,meat
0000000-00.2020.0.00.0021,270,"R$167,672.00",90946.75,SAO LUIS,7,FALSE,
0000000-00.2020.0.00.0088,300,"R$111,970.00",43757.54,RECIFE,4,FALSE,
0000000-00.2020.0.00.0023,208,"R$80,396.00",40668.14,FORTALEZA,3,FALSE,meat
0000000-00.2020.0.00.0057,86,"R$50,000.00",8363.96,FORTALEZA,2,FALSE,
0000000-00.2020.0.00.0010,201,"R$60,000.00",42318.8,NATAL,2,FALSE,
0000000-00.2020.0.00.0059,200,"R$474,542.00",329473.49,NATAL,20,TRUE,
0000000-00.2020.0.00.0073,195,"R$40,000.00",15406.95,NATAL,1,FALSE,
