id,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
23,Bad Bunny,Yonaguni,2JPLbjOn0wPCngEot2STUS,94,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,206710,4
24,Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,90,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4
25,Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,88,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,4
26,Kali Uchis,telepatía,6tDDoYIxWvMLTdKpjFkc1B,87,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,160191,4
27,The Kid LAROI,WITHOUT YOU,27OeeYzk6klgBh83TSvGMA,85,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,161385,4
28,Giveon,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,86,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371,3
29,Olivia Rodrigo,traitor,5CZ40GBx1sQ9agT82CLQCT,92,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,229227,4
30,Farruko,Pepas,2B4GHvToeLTOBB4QLzW3Ni,86,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,4
31,Ariana Grande,positions,35mvY5S1H3J2QZyna3TFe0,88,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,172325,4
32,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,88,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
33,Myke Towers,Bandido,1xK1Gg9SxG8fy2Ya373oqb,82,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,232853,4
34,Måneskin,I WANNA BE YOUR SLAVE,4pt5fDVTg5GhEvEtlz9dKk,88,0.75,0.608,1,-4.008,1,0.0387,0.00165,0.0,0.178,0.958,132.507,173347,4
35,Polo G,RAPSTAR,18vXApRmJSgQ6wG2ll9AOg,82,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,165926,4
36,Bad Bunny,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,87,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,4
37,Doja Cat,Streets,60ynsPSSKe6O3sfwRnIBRf,87,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,226987,4
38,The Neighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,92,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4
39,Los Legendarios,Fiel,7Bk0uXKk1uPT0XuQbpFzvs,82,0.849,0.701,6,-4.407,0,0.06,0.407,0.0,0.112,0.505,98.005,261667,4
40,Doja Cat,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,93,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4
41,Dua Lipa,Don't Start Now,3PfIrDoz19wz7qK7tYeu62,84,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,183290,4
42,Internet Money,Lemonade (feat. Gunna Don Toliver & NAV),7hxHWCCAIIxFLCzvDgnQHX,81,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,195429,4
43,Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,95,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4
44,Duncan Laurence,Arcade,1J14CdDAvBTE1AJYUOwl6C,78,0.453,0.35,9,-11.639,0,0.0425,0.827,0.00122,0.144,0.279,72.017,185147,3
45,SZA,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,86,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,4
46,J Balvin,Qué Más Pues?,6D2TCm4nf5nxAcdGJ7w3QP,79,0.903,0.817,8,-3.972,1,0.095,0.0272,0.000311,0.242,0.732,102.014,217360,4
47,Joel Corry,Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,86,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028,4
48,Ariana Grande,34+35,6Im9k8u9iIzKMrmV7BWtlF,85,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,4
49,Tate McRae,you broke me first,45bE4HXI0AwGZXfZtMp8JR,88,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,4
50,Sebastian Yatra,Pareja Del Año,2rCbl9naJYhaxjLsfx88uM,86,0.715,0.622,4,-5.102,0,0.046,0.163,0.0,0.0948,0.808,80.015,195053,4
