Date,Team,Time,Opponent,Rank,Site,TV,Result,Attendance,Current Wins,Current Losses,Stadium Capacity,Fill Rate,New Coach,Tailgating,PRCP,SNOW,SNWD,TMAX,TMIN,Opponent_Rank,Conference,Year,Month,Day
10/27/2001,Arkansas,11:30 AM,No. 17 Auburn,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",JPS,W 42–17,67213,3,3,72000,0.933513889,FALSE,FALSE,0,0,0,59,26,17,SEC,2001,10,27
11/10/2001,Arkansas,1:00 PM,UCF*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 27–20,61527,5,3,72000,0.854541667,FALSE,FALSE,0,0,0,65,42,NR,SEC,2001,11,10
11/17/2001,Arkansas,1:00 PM,Mississippi State,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 24–21,67314,6,3,72000,0.934916667,FALSE,FALSE,0,0,0,66,45,NR,SEC,2001,11,17
9/7/2002,Arkansas,6:00 PM,Boise State*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 41–14,70142,0,0,72000,0.974194444,FALSE,FALSE,0,0,0,93,58,NR,SEC,2002,9,7
9/14/2002,Arkansas,6:00 PM,South Florida*,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 42–3,55817,1,0,53727,1.038900367,FALSE,FALSE,0.03,0,0,80,61,NR,SEC,2002,9,14
9/28/2002,Arkansas,6:45 PM,Alabama,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,L 12–30,73551,2,0,72000,1.021541667,FALSE,FALSE,0,0,0,88,52,NR,SEC,2002,9,28
10/19/2002,Arkansas,1:00 PM,Kentucky,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,L 17–29,61573,3,2,72000,0.855180556,FALSE,FALSE,0.1,0,0,59,49,NR,SEC,2002,10,19
10/26/2002,Arkansas,1:00 PM,Ole Miss,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR (rivalry)",Not on TV,W 48–28,71723,3,3,72000,0.996152778,FALSE,FALSE,0,0,0,53,37,NR,SEC,2002,10,26
11/2/2002,Arkansas,1:00 PM,Troy State*,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 23–0,42817,4,3,53727,0.796936363,FALSE,FALSE,0.37,0,0,42,39,NR,SEC,2002,11,2
11/16/2002,Arkansas,1:00 PM,Louisiana–Lafayette*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 24–17,54843,6,3,72000,0.761708333,FALSE,FALSE,0,0,0,47,25,NR,SEC,2002,11,16
11/29/2002,Arkansas,1:30 PM,No. 18 LSU,NR,"War Memorial StadiumLittle Rock, AR (Battle for the Golden Boot)",CBS,W 21–20,55553,8,3,53727,1.033986636,FALSE,FALSE,0,0,0,66,35,18,SEC,2002,11,29
9/6/2003,Arkansas,6:00 PM,Tulsa*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 45–13,69442,0,0,72000,0.964472222,FALSE,FALSE,0,0,0,82,50,NR,SEC,2003,9,6
9/20/2003,Arkansas,6:00 PM,North Texas*,14,"War Memorial StadiumLittle Rock, AR",Not on TV,W 31–7,55825,2,0,53727,1.039049268,FALSE,FALSE,0,0,0,76,42,NR,SEC,2003,9,20
10/11/2003,Arkansas,11:30 AM,Auburn,7,"Donald W. Reynolds Razorback StadiumFayetteville, AR",JPS,L 3–10,74026,4,0,72000,1.028138889,FALSE,FALSE,0.01,0,0,76,53,NR,SEC,2003,10,11
10/18/2003,Arkansas,2:30 PM,Florida,11,"Donald W. Reynolds Razorback StadiumFayetteville, AR",CBS,L 28–33,73934,4,1,72000,1.026861111,FALSE,FALSE,0,0,0,72,37,NR,SEC,2003,10,18
11/6/2003,Arkansas,6:30 PM,South Carolina,NR,"War Memorial StadiumLittle Rock, AR",ESPN,W 28–6,55617,5,3,53727,1.035177844,FALSE,FALSE,0.01,0,0,42,35,NR,SEC,2003,11,6
11/15/2003,Arkansas,1:00 PM,New Mexico State*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 48–20,53725,6,3,72000,0.746180556,FALSE,FALSE,0,0,0,57,45,NR,SEC,2003,11,15
11/22/2003,Arkansas,1:00 PM,Mississippi State,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 52–6,62547,7,3,72000,0.868708333,FALSE,FALSE,0,0,0,71,45,NR,SEC,2003,11,22
9/4/2004,Arkansas,6:00 PM,New Mexico State*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 63–13,70114,0,0,72000,0.973805556,FALSE,FALSE,0,0,0,88,60,NR,SEC,2004,9,4
9/18/2004,Arkansas,6:00 PM,Louisiana-Monroe*,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 49–20,55652,1,1,53727,1.035829285,FALSE,FALSE,0,0,0,90,13,NR,SEC,2004,9,18
9/25/2004,Arkansas,2:30 PM,Alabama,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",CBS,W 27–10,72543,2,1,72000,1.007541667,FALSE,FALSE,0,0,0,85,56,NR,SEC,2004,9,25
10/23/2004,Arkansas,6:00 PM,No. 10 Georgia,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN2,L 14–20,71644,3,3,72000,0.995055556,FALSE,FALSE,0.04,0,0,76,43,10,SEC,2004,10,23
11/13/2004,Arkansas,11:30 AM,Ole Miss,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR (rivalry)",JPS,W 35–3,63474,3,5,72000,0.881583333,FALSE,FALSE,0,0,0,56,29,NR,SEC,2004,11,13
11/26/2004,Arkansas,1:30 PM,No. 14 LSU,NR,"War Memorial StadiumLittle Rock, AR (Battle for the Golden Boot)",CBS,L 14–43,55829,5,5,72000,0.775402778,FALSE,FALSE,0.2,0,0,57,37,14,SEC,2004,11,26
9/3/2005,Arkansas,6:00 PM,Missouri State*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 49–17,66424,0,0,72000,0.922555556,FALSE,FALSE,0.34,0,0,91,63,NR,SEC,2005,9,3
9/10/2005,Arkansas,6:00 PM,Vanderbilt,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,L 24–28,68215,1,0,72000,0.947430556,FALSE,FALSE,0,0,0,92,59,NR,SEC,2005,9,10
10/8/2005,Arkansas,6:00 PM,Louisiana–Monroe*,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 44–15,54209,1,3,53727,1.008971281,FALSE,FALSE,0,0,0,68,35,NR,SEC,2005,10,8
10/15/2005,Arkansas,6:00 PM,No. 21 Auburn,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,L 17–34,71673,2,3,72000,0.995458333,FALSE,FALSE,0,0,0,84,46,21,SEC,2005,10,15
11/5/2005,Arkansas,11:30 AM,South Carolina,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",JPS,L 10–14,65837,2,5,72000,0.914402778,FALSE,FALSE,0,0,0,77,52,NR,SEC,2005,11,5
11/19/2005,Arkansas,1:00 PM,Mississippi State,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 44–10,55712,3,6,53727,1.036946042,FALSE,FALSE,0,0,0,58,32,NR,SEC,2005,11,19
9/2/2006,Arkansas,7:45 PM,No. 6 USC*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,L 14–50,76564,0,0,72000,1.063388889,FALSE,FALSE,0,0,0,82,58,6,SEC,2006,9,2
9/9/2006,Arkansas,6:00 PM,Utah State*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 20–0,69491,0,1,72000,0.965152778,FALSE,FALSE,0,0,0,83,54,NR,SEC,2006,9,9
9/23/2006,Arkansas,2:30 PM,Alabama,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",CBS,W 24–23 2OT,74687,2,1,72000,1.037319444,FALSE,FALSE,1.18,0,0,73,55,NR,SEC,2006,9,23
10/14/2006,Arkansas,1:00 PM,SE Missouri State*,17,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 63–7,72453,4,1,72000,1.006291667,FALSE,FALSE,0,0,0,69,37,NR,SEC,2006,10,14
10/21/2006,Arkansas,11:30 AM,Ole Miss,15,"Donald W. Reynolds Razorback StadiumFayetteville, AR (rivalry)",LFS,W 38–3,73445,5,1,72000,1.020069444,FALSE,FALSE,0,0,0,66,40,NR,SEC,2006,10,21
10/28/2006,Arkansas,6:00 PM,Louisiana–Monroe*,13,"War Memorial StadiumLittle Rock, AR",ESPNU,W 44–10,55420,6,1,53727,1.031511158,FALSE,FALSE,0,0,0,65,38,NR,SEC,2006,10,28
11/11/2006,Arkansas,6:00 PM,No. 13 Tennessee,11,"Donald W. Reynolds Razorback StadiumFayetteville, AR (College GameDay)",ESPN2,W 31–14,76728,8,1,72000,1.065666667,FALSE,FALSE,0,0,0,51,28,13,SEC,2006,11,11
11/24/2006,Arkansas,1:30 PM,No. 9 LSU,5,"War Memorial StadiumLittle Rock, AR (Battle for the Boot)",CBS,L 26–31,55833,10,1,72000,0.775458333,FALSE,FALSE,0,0,0,71,47,9,SEC,2006,11,24
9/1/2007,Arkansas,6:00 PM,Troy*,20,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 46–26,73926,0,0,72000,1.02675,FALSE,FALSE,0,0,0,86,54,NR,SEC,2007,9,1
9/22/2007,Arkansas,5:00 PM,No. 23 Kentucky,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN2,L 29–42,74015,1,0,72000,1.027986111,FALSE,FALSE,0,0,0,86,58,23,SEC,2007,9,22
9/29/2007,Arkansas,6:00 PM,North Texas*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 66–7,66343,1,1,72000,0.921430556,FALSE,FALSE,0,0,0,79,52,NR,SEC,2007,9,29
10/6/2007,Arkansas,6:00 PM,Chattanooga*,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 34–15,54836,2,1,53727,1.020641391,FALSE,FALSE,0,0,0,83,68,NR,SEC,2007,10,6
10/13/2007,Arkansas,6:45 PM,No. 25 Auburn,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,L 7–9,72463,3,1,72000,1.006430556,FALSE,FALSE,0,0,0,75,49,25,SEC,2007,10,13
10/27/2007,Arkansas,1:00 PM,FIU*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 58–10,60750,4,2,72000,0.84375,FALSE,FALSE,0,0,0,65,37,NR,SEC,2007,10,27
11/3/2007,Arkansas,7:00 PM,No. 25 South Carolina,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN2,W 48–36,70742,5,2,72000,0.982527778,FALSE,FALSE,0,0,0,65,39,25,SEC,2007,11,3
11/17/2007,Arkansas,1:00 PM,Mississippi State,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 45–31,55185,6,3,53727,1.027137194,FALSE,FALSE,0,0,0,71,42,NR,SEC,2007,11,17
8/30/2008,Arkansas,6:00 PM,Western Illinois*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 28–24,70537,0,0,72000,0.979680556,TRUE,FALSE,0,0,0,87,67,NR,SEC,2008,8,30
9/20/2008,Arkansas,11:30 AM,No. 13 Alabama,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Raycom,L 14–49,72315,2,0,72000,1.004375,TRUE,FALSE,0.01,0,0,79,54,13,SEC,2008,9,20
10/4/2008,Arkansas,11:30 AM,No. 13 Florida,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Raycom,L 7–38,70072,2,2,72000,0.973222222,TRUE,FALSE,0.14,0,0,75,52,13,SEC,2008,10,4
10/25/2008,Arkansas,6:00 PM,Ole Miss,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR (rivalry)",PPV,L 21–23,74168,3,4,72000,1.030111111,TRUE,FALSE,0,0,0,65,32,NR,SEC,2008,10,25
11/1/2008,Arkansas,1:00 PM,No. 18 Tulsa*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",PPV,W 30–23,70021,3,5,72000,0.972513889,TRUE,FALSE,0,0,0,76,49,18,SEC,2008,11,1
11/28/2008,Arkansas,1:30 PM,LSU,NR,"War Memorial StadiumLittle Rock, AR (Battle for the Boot)",CBS,W 31–30,55325,4,7,72000,0.768402778,TRUE,FALSE,0,0,0,58,41,NR,SEC,2008,11,28
9/5/2009,Arkansas,6:00 PM,Missouri State*,NR,"War Memorial StadiumLittle Rock, AR",PPV,W 48–10,55572,0,0,53727,1.034340276,FALSE,FALSE,0,0,0,83,65,NR,SEC,2009,9,5
9/19/2009,Arkansas,7:45 PM,No. 20 Georgia,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,L 41–52,74210,1,0,72000,1.030694444,FALSE,FALSE,0.03,0,0,71,63,20,SEC,2009,9,19
10/10/2009,Arkansas,11:00 AM,No. 17 Auburn,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,W 44–23,72559,2,2,72000,1.007763889,FALSE,FALSE,0,0,0,57,36,17,SEC,2009,10,10
10/31/2009,Arkansas,6:00 PM,Eastern Michigan*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPNU,W 63–27,62501,3,4,72000,0.868069444,FALSE,FALSE,0,0,0,62,38,NR,SEC,2009,10,31
11/7/2009,Arkansas,11:21 AM,South Carolina,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECN,W 33–16,68865,4,4,72000,0.956458333,FALSE,FALSE,0,0,0,75,57,NR,SEC,2009,11,7
11/14/2009,Arkansas,6:30 PM,Troy*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",CSS,W 56–20,66442,5,4,72000,0.922805556,FALSE,FALSE,0,0,0,71,56,NR,SEC,2009,11,14
11/21/2009,Arkansas,11:21 AM,Mississippi State,NR,"War Memorial StadiumLittle Rock, AR",SECN,W 42–21,55634,6,4,53727,1.035494258,FALSE,FALSE,0.01,0,0,60,44,NR,SEC,2009,11,21
9/4/2010,Arkansas,6:00 PM,Tennessee Tech*,17,"Donald W. Reynolds Razorback StadiumFayetteville, AR",PPV,W 44–3,69596,0,0,72000,0.966611111,FALSE,FALSE,0,0,0,81,49,NR,SEC,2010,9,4
9/11/2010,Arkansas,6:00 PM,Louisiana–Monroe*,14,"War Memorial StadiumLittle Rock, AR",SECRN,W 31–7,55705,1,0,53727,1.036815754,FALSE,FALSE,0.04,0,0,84,63,NR,SEC,2010,9,11
9/25/2010,Arkansas,2:30 PM,No. 1 Alabama,10,"Donald W. Reynolds Razorback StadiumFayetteville, AR",CBS,L 20–24,76808,3,0,72000,1.066777778,FALSE,FALSE,0.01,0,0,75,54,1,SEC,2010,9,25
10/23/2010,Arkansas,11:21 AM,Ole Miss,21,"Donald W. Reynolds Razorback StadiumFayetteville, AR (rivalry)",SECN,W 38–24,73619,4,2,72000,1.022486111,FALSE,FALSE,0.56,0,0,72,59,NR,SEC,2010,10,23
10/30/2010,Arkansas,7:00 PM,Vanderbilt,19,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECRN,W 49–14,70430,5,2,72000,0.978194444,FALSE,FALSE,0,0,0,69,38,NR,SEC,2010,10,30
11/13/2010,Arkansas,6:00 PM,UTEP*,14,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPNU,W 58–21,67330,7,2,72000,0.935138889,FALSE,FALSE,0,0,0,50,31,NR,SEC,2010,11,13
11/27/2010,Arkansas,2:30 PM,No. 6 LSU,12,"War Memorial StadiumLittle Rock, AR (Battle for the Golden Boot)",CBS,W 31–23,55808,9,2,53727,1.038732853,FALSE,FALSE,0,0,0,56,26,6,SEC,2010,11,27
9/3/2011,Arkansas,6:00 PM,Missouri State*,15,"Donald W. Reynolds Razorback StadiumFayetteville, AR",PPV,W 51–7,70607,0,0,72000,0.980652778,FALSE,FALSE,0,0,0,94,68,NR,SEC,2011,9,3
9/10/2011,Arkansas,6:00 PM,New Mexico*,14,"War Memorial StadiumLittle Rock, AR",ESPNU,W 52–3,52606,1,0,53727,0.979135258,FALSE,FALSE,0.04,0,0,80,53,NR,SEC,2011,9,10
9/17/2011,Arkansas,6:30 PM,Troy*,14,"Donald W. Reynolds Razorback StadiumFayetteville, AR",CSS,W 38–28,69861,2,0,72000,0.970291667,FALSE,FALSE,0.39,0,0,62,54,NR,SEC,2011,9,17
10/8/2011,Arkansas,6:00 PM,No. 15 Auburn,10,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,W 38–14,74191,4,1,72000,1.030430556,FALSE,FALSE,0,0,0,81,59,15,SEC,2011,10,8
11/5/2011,Arkansas,6:15 PM,No. 10 South Carolina,8,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,W 44–28,73804,7,1,72000,1.025055556,FALSE,FALSE,0,0,0,61,39,10,SEC,2011,11,5
11/12/2011,Arkansas,5:00 PM,Tennessee,8,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN2,W 49–7,72103,8,1,72000,1.001430556,FALSE,FALSE,0,0,0,63,50,NR,SEC,2011,11,12
11/19/2011,Arkansas,2:30 PM,Mississippi State,6,"War Memorial StadiumLittle Rock, AR",CBS,W 44–17,55761,9,1,53727,1.03785806,FALSE,FALSE,0,0,0,64,50,NR,SEC,2011,11,19
9/1/2012,Arkansas,6:00 PM,No. 22 (FCS) Jacksonville State*,10,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ARSN PPV,W 49–24,71062,0,0,72000,0.986972222,FALSE,FALSE,0.07,0,0,86,69,2,SEC,2012,9,1
9/8/2012,Arkansas,6:00 PM,Louisiana–Monroe*,8,"War Memorial StadiumLittle Rock, AR",ESPNU,L 31–34 OT,53089,1,0,53727,0.988125151,FALSE,FALSE,0,0,0,74,55,NR,SEC,2012,9,8
9/15/2012,Arkansas,2:30 PM,No. 1 Alabama,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",CBS,L 0–52,74617,1,1,72000,1.036347222,FALSE,FALSE,0.58,0,0,67,63,1,SEC,2012,9,15
9/22/2012,Arkansas,6:00 PM,Rutgers*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPNU,L 26–35,72543,1,2,72000,1.007541667,FALSE,FALSE,0,0,0,82,52,NR,SEC,2012,9,22
10/13/2012,Arkansas,6:00 PM,Kentucky,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECRN,W 49–7,67153,2,4,72000,0.932680556,FALSE,FALSE,0.89,0,0,75,57,NR,SEC,2012,10,13
11/3/2012,Arkansas,11:21 AM,Tulsa*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECN,W 19–15,64451,3,5,72000,0.895152778,FALSE,FALSE,0,0,0,66,42,NR,SEC,2012,11,3
11/23/2012,Arkansas,1:30 PM,No. 8 LSU,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR (Battle for the Golden Boot)",CBS,L 13–20,71117,4,7,72000,0.987736111,FALSE,FALSE,0,0,0,58,28,8,SEC,2012,11,23
8/31/2013,Arkansas,3:00 PM,Louisiana–Lafayette*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECRN,W 34–14,69801,0,0,72000,0.969458333,TRUE,FALSE,0,0,0,96,71,NR,SEC,2013,8,31
9/7/2013,Arkansas,6:00 PM,Samford*,NR,"War Memorial StadiumLittle Rock, AR",PPV,W 31–21,47358,1,0,53727,0.881456251,TRUE,FALSE,0,0,0,94,61,NR,SEC,2013,9,7
9/14/2013,Arkansas,11:21 AM,Southern Miss*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECTV,W 24–3,63067,2,0,72000,0.875930556,TRUE,FALSE,0,0,0,82,52,NR,SEC,2013,9,14
9/28/2013,Arkansas,6:00 PM,No. 10 Texas A&M,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR (rivalry)",ESPN2,L 33–45,72613,3,1,72000,1.008513889,TRUE,FALSE,1.6,0,0,82,60,10,SEC,2013,9,28
10/12/2013,Arkansas,11:21 AM,No. 14 South Carolina,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECTV,L 7–52,66302,3,3,72000,0.920861111,TRUE,FALSE,0.54,0,0,69,59,14,SEC,2013,10,12
11/2/2013,Arkansas,5:00 PM,No. 8 Auburn,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN2,L 17–35,66835,3,5,72000,0.928263889,TRUE,FALSE,0,0,0,55,35,8,SEC,2013,11,2
11/23/2013,Arkansas,11:21 AM,Mississippi State,NR,"War Memorial StadiumLittle Rock, AR",SECTV,L 17–24 OT,45198,3,7,53727,0.841253001,TRUE,FALSE,0,0,0,37,23,NR,SEC,2013,11,23
9/6/2014,Arkansas,3:00 PM,Nicholls State*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECN,W 73–7,63108,0,1,72000,0.8765,FALSE,FALSE,0.1,0,0,70,61,NR,SEC,2014,9,6
9/20/2014,Arkansas,6:00 PM,Northern Illinois*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPNU,W 52–14,67204,2,1,72000,0.933388889,FALSE,FALSE,0,0,0,84,60,NR,SEC,2014,9,20
10/11/2014,Arkansas,5:00 PM,No. 7 Alabama,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,L 13–14,72337,3,2,72000,1.004680556,FALSE,FALSE,0.24,0,0,54,50,7,SEC,2014,10,11
10/18/2014,Arkansas,3:00 PM,No. 10 Georgia,NR,"War Memorial StadiumLittle Rock, AR",SECN,L 32–45,54959,3,3,53727,1.022930742,FALSE,FALSE,0,0,0,67,44,10,SEC,2014,10,18
10/25/2014,Arkansas,11:00 AM,UAB*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECN,W 45–17,61800,3,4,72000,0.858333333,FALSE,FALSE,0,0,0,83,58,NR,SEC,2014,10,25
11/15/2014,Arkansas,7:00 PM,No. 20 LSU,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR (Battle for the Golden Boot)",ESPN2,W 17–0,70165,4,5,72000,0.974513889,FALSE,FALSE,0.03,0,0,36,24,20,SEC,2014,11,15
11/22/2014,Arkansas,2:30 PM,No. 8 Ole Miss,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR (rivalry)",CBS,W 30–0,64510,5,5,72000,0.895972222,FALSE,FALSE,0.99,0,0,55,52,8,SEC,2014,11,22
9/5/2015,Arkansas,2:30 PM,UTEP*,18,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPNU,W 48–13,67708,0,0,72000,0.940388889,FALSE,FALSE,0,0,0,90,69,NR,SEC,2015,9,5
9/12/2015,Arkansas,3:00 PM,Toledo*,18,"War Memorial StadiumLittle Rock, AR",SECN,L 12–16,49591,1,0,53727,0.923018222,FALSE,FALSE,0,0,0,74,49,NR,SEC,2015,9,12
9/19/2015,Arkansas,6:00 PM,Texas Tech*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR (rivalry)",ESPN2,L 24–35,73334,1,1,72000,1.018527778,FALSE,FALSE,0,0,0,77,59,NR,SEC,2015,9,19
10/24/2015,Arkansas,11:00 AM,Auburn,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECN,W 54–46 4OT,72008,2,4,72000,1.000111111,FALSE,FALSE,0,0,0,66,52,NR,SEC,2015,10,24
10/31/2015,Arkansas,3:00 PM,Tennessee–Martin*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECN,W 63–28,64206,3,4,72000,0.89175,FALSE,FALSE,0.09,0,0,63,48,NR,SEC,2015,10,31
11/21/2015,Arkansas,6:00 PM,Mississippi State,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,L 50–51,71936,6,4,72000,0.999111111,FALSE,FALSE,0.07,0,0,55,25,NR,SEC,2015,11,21
9/3/2016,Arkansas,3:00 PM,Louisiana Tech*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECN,W 21–20,69132,0,0,72000,0.960166667,FALSE,FALSE,0,0,0,83,53,NR,SEC,2016,9,3
9/17/2016,Arkansas,6:30 PM,Texas State*,24,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECN,W 42–3,72114,2,0,72000,1.001583333,FALSE,FALSE,0,0,0,84,62,NR,SEC,2016,9,17
10/1/2016,Arkansas,11:00 AM,Alcorn State*,20,"War Memorial StadiumLittle Rock, AR",SECN,W 52–10,46988,3,1,53727,0.874569583,FALSE,FALSE,0,0,0,79,50,NR,SEC,2016,10,1
10/8/2016,Arkansas,6:00 PM,No. 1 Alabama,16,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,L 30–49,75459,4,1,72000,1.048041667,FALSE,FALSE,0,0,0,73,41,1,SEC,2016,10,8
10/15/2016,Arkansas,6:00 PM,No. 12 Ole Miss†,22,"Donald W. Reynolds Razorback StadiumFayetteville, AR (rivalry)",ESPN,W 34–30,73786,4,2,72000,1.024805556,FALSE,FALSE,0,0,0,80,62,12,SEC,2016,10,15
