Rank,Year,Country,Golds,Silvers,Bronzes,Medals
7,2004,France,11,9,13,33
3,1968,Japan,11,7,7,25
11,2000,Romania,11,6,9,26
6,1988,Hungary,11,6,6,23
1,1896,United States,11,6,2,19
4,1964,Germany (United Team),10,22,18,50
6,1984,Canada,10,18,16,44
2,1896,Greece,10,17,18,45
3,1912,United Kingdom,10,15,16,41
4,1976,West Germany,10,12,17,39
7,1988,Bulgaria,10,12,13,35
8,2004,Italy,10,11,11,32
4,1968,Hungary,10,10,12,32
5,1964,Italy,10,10,7,27
2,1928,Germany,10,7,14,31
7,1984,Japan,10,7,14,31
6,1964,Hungary,10,7,5,22
3,1948,France,10,6,13,29
4,1948,Hungary,10,5,11,26
3,1932,France,10,5,4,19
3,1936,Hungary,10,1,5,16
8,1920,France,9,19,13,41
4,1924,United Kingdom,9,13,12,34
9,2004,South Korea,9,12,9,30
4,1956,Hungary,9,10,7,26
7,1996,Australia,9,9,23,41
10,2004,United Kingdom,9,9,12,30
5,1968,East Germany,9,9,7,25
4,1912,Finland,9,8,9,26
8,1996,Cuba,9,8,8,25
11,2004,Cuba,9,7,11,27
5,1976,Japan,9,6,10,25
8,2008,Japan,9,6,10,25
4,1932,Sweden,9,5,9,23
12,2004,Ukraine,9,5,9,23
9,1996,Ukraine,9,2,12,23
3,1980,Bulgaria,8,16,17,41
8,2012,Australia,8,15,12,35
5,1948,Italy,8,11,8,27
12,2000,South Korea,8,10,10,28
9,2012,Italy,8,9,11,28
9,2008,Italy,8,9,10,27
4,1936,Italy,8,9,5,22
5,1952,Italy,8,9,4,21
3,1928,Finland,8,8,9,25
5,1956,Italy,8,8,9,25
5,1960,Australia,8,8,6,22
4,1980,Cuba,8,7,5,20
6,1972,Australia,8,7,2,17
3,1908,Sweden,8,6,10,24
13,2000,Hungary,8,6,3,17
13,2004,Hungary,8,6,3,17
9,1992,France,8,5,16,29
6,1956,Sweden,8,5,6,19
14,2004,Romania,8,5,6,19
10,2012,Hungary,8,4,6,18
5,1924,Italy,8,3,5,16
5,1980,Italy,8,3,4,15
8,1984,New Zealand,8,1,2,11
10,2008,France,7,16,19,42
10,1996,South Korea,7,15,5,27
11,2012,Japan,7,14,17,38
7,1956,Germany (United Team),7,13,7,27
8,1988,Romania,7,11,6,24
6,1980,Hungary,7,10,15,32
10,1992,Australia,7,9,11,27
4,1928,France,7,9,5,21
6,1924,Switzerland,7,8,10,25
5,1932,Japan,7,7,4,18
6,1976,Poland,7,6,13,26
5,1928,Sweden,7,6,12,25
7,1964,Poland,7,6,10,23
5,1936,Finland,7,6,6,19
5,1936,France,7,6,6,19
11,2008,Ukraine,7,5,14,26
7,1972,Poland,7,5,9,21
11,1996,Poland,7,5,5,17
12,2008,Netherlands,7,5,4,16
12,1996,Hungary,7,4,10,21
9,1984,Yugoslavia,7,4,7,18
11,1992,Canada,7,4,7,18
6,1928,Switzerland,7,4,5,16
5,1912,France,7,4,3,14
6,1968,France,7,3,5,15
6,1952,Czechoslovakia,7,3,3,13
7,1968,Czechoslovakia,7,2,4,13
6,1960,Turkey,7,2,0,9
8,1972,Hungary,6,13,16,35
9,1972,Bulgaria,6,10,5,21
7,1928,Netherlands,6,10,4,20
7,1976,Bulgaria,6,9,7,22
7,1960,Hungary,6,8,7,21
8,1956,United Kingdom,6,7,11,24
6,1948,Finland,6,7,5,18
7,1980,Romania,6,6,13,25
12,2012,Netherlands,6,6,8,20
10,1984,South Korea,6,6,7,19
7,1952,France,6,6,6,18
15,2004,Greece,6,6,4,16
13,2012,Iran,6,6,1,13
7,1936,Sweden,6,5,9,20
12,1992,Italy,6,5,8,19
8,1928,Italy,6,5,7,18
8,1980,France,6,5,3,14
14,2000,Poland,6,5,3,14
3,1896,Germany,6,5,2,13
14,2012,Ukraine,6,4,9,19
8,1936,Japan,6,4,8,18
9,1936,Netherlands,6,4,7,17
9,1988,France,6,4,6,16
6,1932,Hungary,6,4,5,15
10,1988,Italy,6,4,4,14
13,2008,Kenya,6,4,4,14
8,1976,Cuba,6,4,3,13
7,1948,Turkey,6,4,2,12
8,1952,Finland,6,3,13,22
14,2008,Jamaica,6,3,2,11
8,1964,Australia,6,2,10,18
15,2012,New Zealand,6,2,5,13
8,1948,Czechoslovakia,6,2,3,11
9,1952,Australia,6,2,3,11
6,1912,Germany,5,13,7,25
11,1984,United Kingdom,5,11,21,37
11,1988,China,5,11,12,28
8,1968,West Germany,5,11,10,26
15,2008,Spain,5,11,3,19
12,1988,United Kingdom,5,10,9,24
9,1948,Switzerland,5,10,4,19
7,1932,Finland,5,8,12,25
15,2000,Japan,5,8,5,18
12,1984,France,5,7,16,28
9,1980,United Kingdom,5,7,9,21
10,1948,Denmark,5,7,8,20
9,1968,Australia,5,7,5,17
13,1996,Spain,5,6,6,17
9,1964,Czechoslovakia,5,6,3,14
16,2000,Bulgaria,5,6,2,13
4,1908,France,5,5,9,19
4,1900,Belgium,5,5,5,15
10,1968,United Kingdom,5,5,3,13
4,1896,France,5,4,2,11
13,1992,United Kingdom,5,3,12,20
10,1972,Italy,5,3,10,18
16,2012,Cuba,5,3,7,15
9,1956,Romania,5,3,5,13
11,1968,Poland,5,2,11,18
11,1948,Netherlands,5,2,9,16
13,1984,Netherlands,5,2,6,13
7,1924,Norway,5,2,3,10
16,2004,Brazil,5,2,3,10
13,1988,Kenya,5,2,2,9
5,1900,Switzerland,5,1,1,7
17,2004,Norway,5,0,1,6
8,1924,Sweden,4,13,12,29
10,1964,United Kingdom,4,12,2,18
17,2012,Spain,4,10,5,19
10,1956,Japan,4,10,3,17
9,1976,Romania,4,9,14,27
18,2004,Netherlands,4,9,9,22
14,1984,Australia,4,8,12,24
14,1996,Romania,4,7,8,19
8,1960,Japan,4,7,7,18
8,1932,United Kingdom,4,7,5,16
10,1936,United Kingdom,4,7,3,14
9,1960,Poland,4,6,11,21
14,1992,Romania,4,6,8,18
11,1972,Sweden,4,6,6,16
12,1968,Romania,4,6,5,15
11,1936,Austria,4,6,3,13
17,2000,Greece,4,6,3,13
10,1976,Hungary,4,5,13,22
15,1996,Netherlands,4,5,10,19
16,2008,Belarus,4,5,10,19
12,1972,United Kingdom,4,5,9,18
18,2000,Sweden,4,5,3,12
17,2008,Poland,4,5,2,11
9,1928,Hungary,4,5,0,9
10,1928,Canada,4,4,7,15
11,1956,France,4,4,6,14
2,1904,Germany,4,4,5,13
18,2012,Jamaica,4,4,4,12
16,1996,Greece,4,4,0,8
14,1988,Japan,4,3,7,14
17,1996,Czech Republic,4,3,4,11
19,2012,Czech Republic,4,3,4,11
19,2000,Norway,4,3,3,10
6,1900,NULL,4,3,2,9
18,1996,Switzerland,4,3,0,7
15,1984,Finland,4,2,6,12
9,1920,Netherlands,4,2,5,11
3,1904,Cuba,4,2,3,9
15,1992,Czechoslovakia,4,2,1,7
19,2004,Sweden,4,2,1,7
7,1912,South Africa,4,2,0,6
11,1976,Finland,4,2,0,6
9,1924,Netherlands,4,1,5,10
8,1912,Norway,4,1,4,9
18,2008,Romania,4,1,3,8
20,2000,Ethiopia,4,1,3,8
19,2008,Ethiopia,4,1,2,7
19,1996,Denmark,4,1,1,6
19,1996,Turkey,4,1,1,6
20,2012,South Africa,4,1,1,6
4,1904,Canada,4,1,0,5
12,1976,Sweden,4,1,0,5
16,1992,North Korea,4,0,5,9
21,2012,North Korea,4,0,2,6
10,1980,Poland,3,14,15,32
12,1948,United Kingdom,3,14,6,23
9,1932,Germany,3,12,5,20
21,1996,Canada,3,11,8,22
21,2000,Ukraine,3,10,10,23
11,1928,United Kingdom,3,10,7,20
20,2004,Spain,3,10,5,18
20,2008,Canada,3,9,6,18
10,1920,Denmark,3,9,1,13
17,1992,Japan,3,8,11,22
18,1992,Bulgaria,3,7,6,16
22,1996,Bulgaria,3,7,5,15
10,1924,Belgium,3,7,3,13
19,1992,Poland,3,6,10,19
13,1972,Romania,3,6,7,16
15,1988,Australia,3,6,5,14
23,1996,Japan,3,6,5,14
21,2004,Canada,3,6,3,12
22,2012,Brazil,3,5,9,17
5,1908,Germany,3,5,5,13
13,1976,United Kingdom,3,5,5,13
11,1964,Bulgaria,3,5,2,10
21,2008,Hungary,3,5,2,10
22,2008,Norway,3,5,1,9
12,1936,Czechoslovakia,3,5,0,8
13,1968,Italy,3,4,9,16
23,2008,Brazil,3,4,9,16
16,1988,Yugoslavia,3,4,5,12
24,1996,Kazakhstan,3,4,4,11
11,1920,South Africa,3,4,3,10
6,1908,Hungary,3,4,2,9
14,1968,Kenya,3,4,2,9
22,2000,Kazakhstan,3,4,0,7
23,2000,Belarus,3,3,11,17
7,1908,Canada,3,3,9,15
25,1996,Brazil,3,3,9,15
24,2000,Canada,3,3,8,14
11,1980,Sweden,3,3,6,12
22,2004,Turkey,3,3,5,11
25,2000,Spain,3,3,5,11
12,1920,Canada,3,3,3,9
15,1968,Mexico,3,3,3,9
16,1968,Yugoslavia,3,3,2,8
17,1988,Czechoslovakia,3,3,2,8
12,1928,Argentina,3,3,1,7
13,1948,Argentina,3,3,1,7
17,1968,Netherlands,3,3,1,7
10,1952,Norway,3,3,0,6
24,2008,Czech Republic,3,3,0,6
24,2008,Slovakia,3,3,0,6
18,1988,New Zealand,3,2,8,13
19,1988,Canada,3,2,5,10
23,2004,Poland,3,2,5,10
26,2008,New Zealand,3,2,4,9
9,1912,Canada,3,2,3,8
9,1912,Hungary,3,2,3,8
10,1960,Czechoslovakia,3,2,3,8
23,2012,Ethiopia,3,2,3,8
12,1956,Turkey,3,2,2,7
7,1900,Germany,3,2,1,6
26,1996,New Zealand,3,2,1,6
24,2004,New Zealand,3,2,0,5
13,1956,Finland,3,1,11,15
24,2012,Kazakhstan,3,1,7,11
24,2012,Poland,3,1,7,11
11,1960,Romania,3,1,6,10
12,1980,Finland,3,1,4,8
14,1972,Cuba,3,1,4,8
14,1972,Finland,3,1,4,8
25,2004,Thailand,3,1,4,8
13,1928,Denmark,3,1,3,7
27,2008,Georgia,3,1,3,7
11,1912,Italy,3,1,2,6
11,1924,Australia,3,1,2,6
26,2012,Croatia,3,1,2,6
10,1932,Australia,3,1,1,5
16,1972,Netherlands,3,1,1,5
27,1996,South Africa,3,1,1,5
11,1932,Argentina,3,1,0,4
12,1964,Finland,3,0,2,5
12,1964,New Zealand,3,0,2,5
26,2000,Turkey,3,0,2,5
27,2000,Iran,3,0,1,4
28,1996,Ireland,3,0,1,4
28,2008,Cuba,2,11,14,27
16,1984,Sweden,2,11,6,19
14,1976,Italy,2,7,4,13
12,1960,United Kingdom,2,6,12,20
27,2012,Canada,2,6,10,18
20,1992,Netherlands,2,6,7,15
26,2004,Belarus,2,6,7,15
11,1952,Switzerland,2,6,6,14
14,1948,Australia,2,6,5,13
20,1988,Poland,2,5,9,16
12,1932,Canada,2,5,8,15
28,2012,Belarus,2,5,3,10
12,1924,Denmark,2,5,2,9
14,1928,Czechoslovakia,2,5,2,9
29,2012,Romania,2,5,2,9
13,1932,Netherlands,2,5,0,7
17,1972,France,2,4,7,13
29,2008,Kazakhstan,2,4,7,13
30,2012,Kenya,2,4,7,13
14,1964,Romania,2,4,6,12
12,1952,South Africa,2,4,4,10
15,1964,Netherlands,2,4,4,10
18,1968,Bulgaria,2,4,3,9
31,2012,Denmark,2,4,3,9
18,1972,Czechoslovakia,2,4,2,8
21,1992,Kenya,2,4,2,8
29,1996,Sweden,2,4,2,8
22,1992,Norway,2,4,1,7
27,2004,Austria,2,4,1,7
13,1980,Czechoslovakia,2,3,9,14
13,1924,Hungary,2,3,4,9
14,1980,Yugoslavia,2,3,4,9
15,1976,France,2,3,4,9
19,1972,Kenya,2,3,4,9
8,1908,Norway,2,3,3,8
16,1976,Yugoslavia,2,3,3,8
28,2000,Czech Republic,2,3,3,8
5,1896,United Kingdom,2,3,2,7
28,2004,Ethiopia,2,3,2,7
29,2000,Kenya,2,3,2,7
13,1960,Denmark,2,3,1,6
16,1964,Turkey,2,3,1,6
17,1984,Mexico,2,3,1,6
30,2000,Denmark,2,3,1,6
13,1952,Jamaica,2,3,0,5
21,1988,Norway,2,3,0,5
13,1920,Switzerland,2,2,7,11
32,2012,Azerbaijan,2,2,6,10
15,1980,Australia,2,2,5,9
22,1988,Netherlands,2,2,5,9
17,1964,Sweden,2,2,4,8
17,1976,Czechoslovakia,2,2,4,8
12,1912,Australasia,2,2,3,7
13,1936,Argentina,2,2,3,7
13,1936,Estonia,2,2,3,7
15,1948,Belgium,2,2,3,7
30,1996,Norway,2,2,3,7
30,2008,Denmark,2,2,3,7
23,1992,Turkey,2,2,2,6
29,2004,Iran,2,2,2,6
29,2004,Slovakia,2,2,2,6
31,1996,Belgium,2,2,2,6
31,2008,North Korea,2,2,2,6
14,1956,Iran,2,2,1,5
15,1928,Japan,2,2,1,5
16,1948,Egypt,2,2,1,5
24,1992,Indonesia,2,2,1,5
31,2004,Taiwan (ROC),2,2,1,5
32,2008,Thailand,2,2,1,5
8,1900,Italy,2,2,0,4
9,1908,Italy,2,2,0,4
14,1952,Belgium,2,2,0,4
32,2004,Georgia,2,2,0,4
33,2008,Mongolia,2,2,0,4
33,2012,Switzerland,2,2,0,4
33,2004,Bulgaria,2,1,9,12
14,1932,Poland,2,1,4,7
34,2008,Switzerland,2,1,4,7
6,1896,Hungary,2,1,3,6
13,1912,Belgium,2,1,3,6
15,1952,Denmark,2,1,3,6
15,1956,Canada,2,1,3,6
18,1964,Denmark,2,1,3,6
32,1996,Nigeria,2,1,3,6
34,2012,Lithuania,2,1,3,6
7,1896,Austria,2,1,2,5
15,1936,Egypt,2,1,2,5
16,1928,Estonia,2,1,2,5
16,1980,Denmark,2,1,2,5
17,1948,Mexico,2,1,2,5
19,1964,Yugoslavia,2,1,2,5
19,1968,Iran,2,1,2,5
20,1972,Yugoslavia,2,1,2,5
33,1996,North Korea,2,1,2,5
34,2004,Jamaica,2,1,2,5
34,2004,Uzbekistan,2,1,2,5
5,1904,Hungary,2,1,1,4
17,1928,Egypt,2,1,1,4
18,1948,South Africa,2,1,1,4
18,1976,New Zealand,2,1,1,4
20,1968,Sweden,2,1,1,4
21,1972,Norway,2,1,1,4
23,1988,Denmark,2,1,1,4
31,2000,Finland,2,1,1,4
35,2012,Norway,2,1,1,4
25,1992,Brazil,2,1,0,3
32,2000,Austria,2,1,0,3
36,2004,Morocco,2,1,0,3
37,2004,Denmark,2,0,6,8
35,2008,Argentina,2,0,4,6
38,2004,Argentina,2,0,4,6
9,1900,Australia,2,0,3,5
15,1932,South Africa,2,0,3,5
33,2000,Lithuania,2,0,3,5
17,1980,Brazil,2,0,2,4
17,1980,Ethiopia,2,0,2,4
36,2008,Mexico,2,0,2,4
14,1960,New Zealand,2,0,1,3
16,1952,Turkey,2,0,1,3
18,1928,Austria,2,0,1,3
20,1964,Belgium,2,0,1,3
34,1996,Algeria,2,0,1,3
34,1996,Ethiopia,2,0,1,3
34,2000,Azerbaijan,2,0,1,3
36,2012,Tunisia,2,0,1,3
39,2004,Chile,2,0,1,3
8,1896,Australia,2,0,0,2
14,1924,Yugoslavia,2,0,0,2
16,1932,Ireland,2,0,0,2
16,1956,New Zealand,2,0,0,2
18,1984,Morocco,2,0,0,2
19,1980,Switzerland,2,0,0,2
21,1968,Turkey,2,0,0,2
26,1992,Greece,2,0,0,2
35,2000,Bahamas,2,0,0,2
35,2000,Slovenia,2,0,0,2
37,2008,Belgium,2,0,0,2
16,1936,Switzerland,1,9,5,15
21,1964,France,1,8,6,15
36,1996,United Kingdom,1,8,6,15
27,1992,Sweden,1,7,4,12
37,1996,Belarus,1,6,8,15
14,1912,Denmark,1,6,5,12
37,2000,Switzerland,1,6,2,9
17,1952,Japan,1,6,1,8
10,1908,Belgium,1,5,2,8
19,1984,Brazil,1,5,2,8
15,1924,Czechoslovakia,1,4,5,10
28,1992,New Zealand,1,4,5,10
17,1956,Poland,1,4,4,9
22,1968,Denmark,1,4,3,8
37,2012,Sweden,1,4,3,8
38,1996,Kenya,1,4,3,8
38,2008,Turkey,1,4,3,8
40,2004,Kazakhstan,1,4,3,8
41,2004,Kenya,1,4,2,7
18,1956,Czechoslovakia,1,4,1,6
17,1936,Canada,1,3,5,9
38,2012,Colombia,1,3,4,8
38,2012,Mexico,1,3,4,8
42,2004,Czech Republic,1,3,4,8
15,1960,Bulgaria,1,3,3,7
19,1948,Norway,1,3,3,7
10,1900,Denmark,1,3,2,6
16,1924,Argentina,1,3,2,6
18,1936,Norway,1,3,2,6
20,1980,Spain,1,3,2,6
38,2000,Indonesia,1,3,2,6
39,1996,Jamaica,1,3,2,6
43,2004,South Africa,1,3,2,6
19,1956,Bulgaria,1,3,1,5
23,1968,Canada,1,3,1,5
39,2000,Slovakia,1,3,1,5
39,2008,Zimbabwe,1,3,0,4
18,1952,United Kingdom,1,2,8,11
40,2008,Azerbaijan,1,2,4,7
9,1896,Denmark,1,2,3,6
16,1960,Sweden,1,2,3,6
24,1988,Brazil,1,2,3,6
40,2000,Mexico,1,2,3,6
40,2012,Georgia,1,2,3,6
11,1900,Hungary,1,2,2,5
11,1908,Australasia,1,2,2,5
19,1952,Argentina,1,2,2,5
20,1984,Spain,1,2,2,5
29,1992,Finland,1,2,2,5
41,2008,Slovenia,1,2,2,5
44,2004,Croatia,1,2,2,5
17,1932,Czechoslovakia,1,2,1,4
19,1928,Australia,1,2,1,4
19,1928,Norway,1,2,1,4
20,1952,Poland,1,2,1,4
20,1956,Denmark,1,2,1,4
21,1980,Austria,1,2,1,4
22,1964,Canada,1,2,1,4
22,1964,Switzerland,1,2,1,4
24,1968,Finland,1,2,1,4
40,1996,Finland,1,2,1,4
10,1896,Switzerland,1,2,0,3
12,1908,Former Soviet Union / Russian Empire,1,2,0,3
14,1920,Estonia,1,2,0,3
20,1948,Jamaica,1,2,0,3
21,1952,Canada,1,2,0,3
21,1952,Yugoslavia,1,2,0,3
45,2004,Lithuania,1,2,0,3
17,1924,Estonia,1,1,4,6
19,1976,South Korea,1,1,4,6
30,1992,Denmark,1,1,4,6
41,2012,Ireland,1,1,4,6
13,1908,Finland,1,1,3,5
17,1960,Finland,1,1,3,5
18,1932,Austria,1,1,3,5
21,1928,Poland,1,1,3,5
21,1928,Yugoslavia,1,1,3,5
21,1956,Ireland,1,1,3,5
22,1972,North Korea,1,1,3,5
41,2000,Algeria,1,1,3,5
42,2008,Bulgaria,1,1,3,5
42,2008,Indonesia,1,1,3,5
46,2004,Egypt,1,1,3,5
46,2004,Switzerland,1,1,3,5
20,1976,Switzerland,1,1,2,4
21,1984,Belgium,1,1,2,4
23,1952,Romania,1,1,2,4
25,1988,Finland,1,1,2,4
25,1988,Spain,1,1,2,4
41,1996,Indonesia,1,1,2,4
41,1996,Yugoslavia,1,1,2,4
42,2000,Uzbekistan,1,1,2,4
42,2012,Argentina,1,1,2,4
42,2012,Serbia,1,1,2,4
42,2012,Slovenia,1,1,2,4
42,2012,Trinidad and Tobago,1,1,2,4
44,2008,Finland,1,1,2,4
48,2004,Indonesia,1,1,2,4
11,1896,NULL,1,1,1,3
15,1920,Brazil,1,1,1,3
18,1924,South Africa,1,1,1,3
22,1984,Austria,1,1,1,3
23,1972,New Zealand,1,1,1,3
31,1992,Morocco,1,1,1,3
43,1996,Iran,1,1,1,3
43,1996,Slovakia,1,1,1,3
43,2000,Latvia,1,1,1,3
43,2000,Yugoslavia,1,1,1,3
45,2008,Latvia,1,1,1,3
46,2012,Turkey,1,1,1,3
49,2004,Zimbabwe,1,1,1,3
6,1904,NULL,1,1,0,2
6,1904,United Kingdom,1,1,0,2
12,1900,Cuba,1,1,0,2
14,1908,South Africa,1,1,0,2
18,1960,Austria,1,1,0,2
18,1960,Yugoslavia,1,1,0,2
21,1976,Jamaica,1,1,0,2
21,1976,North Korea,1,1,0,2
21,1976,Norway,1,1,0,2
24,1972,Uganda,1,1,0,2
25,1968,Ethiopia,1,1,0,2
25,1968,Norway,1,1,0,2
27,1988,Turkey,1,1,0,2
32,1992,Ireland,1,1,0,2
45,1996,Armenia,1,1,0,2
45,1996,Croatia,1,1,0,2
46,2008,Dominican Republic,1,1,0,2
46,2008,Estonia,1,1,0,2
46,2008,Portugal,1,1,0,2
47,2012,Dominican Republic,1,1,0,2
50,2004,Azerbaijan,1,0,4,5
21,1948,Austria,1,0,3,4
45,2000,New Zealand,1,0,3,4
22,1956,Norway,1,0,2,3
22,1980,Greece,1,0,2,3
23,1928,South Africa,1,0,2,3
23,1984,Kenya,1,0,2,3
23,1984,Portugal,1,0,2,3
24,1952,Brazil,1,0,2,3
24,1952,New Zealand,1,0,2,3
24,1976,Denmark,1,0,2,3
27,1968,New Zealand,1,0,2,3
28,1988,Morocco,1,0,2,3
33,1992,Ethiopia,1,0,2,3
46,2000,Estonia,1,0,2,3
46,2000,Thailand,1,0,2,3
49,2008,India,1,0,2,3
51,2004,Belgium,1,0,2,3
8,1904,Greece,1,0,1,2
8,1904,Switzerland,1,0,1,2
13,1900,Canada,1,0,1,2
15,1912,Greece,1,0,1,2
19,1936,Turkey,1,0,1,2
20,1960,Pakistan,1,0,1,2
23,1956,Mexico,1,0,1,2
25,1976,Mexico,1,0,1,2
26,1952,India,1,0,1,2
28,1968,Tunisia,1,0,1,2
34,1992,Algeria,1,0,1,2
34,1992,Estonia,1,0,1,2
34,1992,Lithuania,1,0,1,2
47,1996,Portugal,1,0,1,2
47,1996,Thailand,1,0,1,2
48,2000,Croatia,1,0,1,2
48,2012,Latvia,1,0,1,2
48,2012,Taiwan (ROC),1,0,1,2
50,2008,Iran,1,0,1,2
52,2004,Bahamas,1,0,1,2
52,2004,Israel,1,0,1,2
14,1900,Spain,1,0,0,1
19,1924,Uruguay,1,0,0,1
19,1932,India,1,0,0,1
20,1936,India,1,0,0,1
20,1936,New Zealand,1,0,0,1
21,1960,Ethiopia,1,0,0,1
21,1960,Greece,1,0,0,1
21,1960,Norway,1,0,0,1
22,1948,India,1,0,0,1
22,1948,Peru,1,0,0,1
23,1980,Belgium,1,0,0,1
23,1980,India,1,0,0,1
23,1980,Zimbabwe,1,0,0,1
24,1928,India,1,0,0,1
24,1928,Ireland,1,0,0,1
24,1928,New Zealand,1,0,0,1
24,1928,Spain,1,0,0,1
24,1928,Uruguay,1,0,0,1
24,1956,Brazil,1,0,0,1
24,1956,India,1,0,0,1
24,1964,Bahamas,1,0,0,1
24,1964,Ethiopia,1,0,0,1
24,1964,India,1,0,0,1
25,1972,Denmark,1,0,0,1
25,1984,Pakistan,1,0,0,1
26,1976,Trinidad and Tobago,1,0,0,1
27,1952,Luxembourg,1,0,0,1
29,1968,Pakistan,1,0,0,1
29,1968,Venezuela,1,0,0,1
29,1988,Austria,1,0,0,1
29,1988,Portugal,1,0,0,1
29,1988,Suriname,1,0,0,1
37,1992,Switzerland,1,0,0,1
49,1996,Burundi,1,0,0,1
49,1996,Costa Rica,1,0,0,1
49,1996,Ecuador,1,0,0,1
49,1996,Hong Kong,1,0,0,1
49,1996,Syria,1,0,0,1
49,2000,Cameroon,1,0,0,1
49,2000,Colombia,1,0,0,1
49,2000,Mozambique,1,0,0,1
50,2012,Algeria,1,0,0,1
50,2012,Bahamas,1,0,0,1
50,2012,Bahrain,1,0,0,1
50,2012,Grenada,1,0,0,1
50,2012,Uganda,1,0,0,1
50,2012,Venezuela,1,0,0,1
51,2008,Cameroon,1,0,0,1
51,2008,Panama,1,0,0,1
51,2008,Tunisia,1,0,0,1
54,2004,Cameroon,1,0,0,1
54,2004,Dominican Republic,1,0,0,1
54,2004,United Arab Emirates,1,0,0,1
28,1952,Germany,0,7,17,24
52,2000,Brazil,0,6,6,12
27,1976,Canada,0,5,6,11
53,2000,Jamaica,0,5,4,9
29,1952,Netherlands,0,5,0,5
32,1988,Sweden,0,4,7,11
26,1984,Switzerland,0,4,4,8
54,2008,Sweden,0,4,1,5
57,2004,North Korea,0,4,1,5
31,1968,Cuba,0,4,0,4
