City ,Title,Text,"Murder Happened with reason:
1:Property/Land Disputes,
2:Family Dispute
3:Petty Quarrels,
4:Money Disputes, 
5:Personal Vendetta, 
6:Love Affairs, 
7:Casteism
8: Unknown/other",Number of child victims,Number of male victims(adult),Number of female victims(adult),"Kidnnaping:
Number of child victims",Number of male(adult) ,Number of female(adult),"Crime Against Women ( Combined ):
1. Murder with Rape 
2. Dowry Deaths(Sec. 3048)
3. Suicide(sec 305/306)
4. Kidnapping(All)
5. Acid Attack(Sec. 326A IPC)
6. Cruelty by Husband/in-laws((Sec.498 A IPC)
7. Rape only(Sec. 376 or 511 IPC)
8. Assault on Women with Intent to Outrage her Modesty (Sec. 354 IPC)
9. Cyber Crimes against Women
10. Protection of Children from Sexual Offences Act",Number of adult victims,Number of childs invoved
Ghaziabad,"Ghaziabad: 16-year-old asks for his phone, trio set him on fire","GHAZIABAD: Three youths in their twenties allegedly doused a 16-year-old boy in petrol and set him on fire after he asked them to repair his mobile phone that they had broken during a party on January 1 and resisted their attempt to snatch his wallet. Shivam, who works with a catering agency, was attacked around 11am on Saturday just 20 metres from his house in Gagan Vihar colony. He is currently battling for his life at GTB Hospital in Delhi. Doctors said Shivam had suffered more than 50% burns. Police and Shivam’s family gave conflicting versions of what prompted the attack on the 16-year-old boy. While the cops said the three youths had broken Shivam’s mobile phone during a New Year party, his family claimed they had snatched it from him. Jitendra Singh, the SHO of Sahibabad police station, said Shivam was returning home from work when he saw the three youths in an abandoned building. He encountered them and allegedly asked them to get his phone repaired. The three youths, who first tried to snatch his wallet, allegedly took out petrol from the tank of a bike parked nearby, poured it on Shivam and set him on fire. The victim’s brother, Shiva, however, said Shivam asked for his phone back when he was returning home after dropping his sister to an auto-rickshaw stand. “Shivam was listening to songs on the stairs of his house when the trio snatched his phone on January 1. He had resisted their attempt, but they fled after slashing his hands with a blade. My brother did not tell us anything about the attack on him that day,” Shiva said. “On Saturday, when Shivam saw the trio sitting in a park, he went up to them and asked for his phone back. They first beat him up with sticks and then set him on fire. He would have died on the spot itself had locals not come to his rescue,” he added. SHO Singh said the three accused — Rajiv Sharma, Salman and Munna — were on the run. According to sources, they are involved in petty crimes in the area. The three have been booked under Section 307 (attempt to murder) of the IPC and under provisions of the SC/ST Act. ",Money Disputes,1,,,,,,,,
Ghaziabad,"Woman found dead in room, live-in partner missing","GHAZIABAD: The body of a 21-year-old woman was found on Sunday with a dupatta tied around her neck in a rented house in Khoda Colony where she was living with her boyfriend for the past eight months. A murder case has been registered against the boyfriend, Shyam Manohar, who is missing. The body was identified as that of Akansha Singh, who was from Bulandshahr. Police said both Akansha and Shyam, a resident of Hardoi, worked in a private company in Noida and had identified themselves as husband and wife while taking the house on rent in Khoda. Pradeep Tripathi, SHO, Khoda police station, said neighbours alerted cops about the alleged murder around 8.30am. “When we reached the spot, the door of the house was found ajar and the body was lying on the floor,” Tripathi said. “Preliminary probe points to murder. We found a red dupatta wrapped tightly around the woman’s neck. The accused might have strangled her to death,” he added. The woman’s uncle, Anil Chauhan, said Akansha had come to Noida looking for a job in 2016 after completing her studies in Bulandshahr. “Her father Jasvir Singh, too, has been working in the city for the past 10 years. No one in the family knows about the man who was apparently living with her,” he said. The police officer also said that after taking up the job in Noida, Akansha lived with her father in Khoda Colony for a few months. Akansha’s father is currently in Bulandshahr, where his elder daughter expired on December 28. “The body has been handed over to her relatives and police are waiting for the autopsy report. We are looking for the accused,” Tripathi said. “On the basis of a complaint by her family, we have lodged an FIR against the youth under Section 302 (murder) of the IPC,” the SHO said. ",Love Affairs,,,1,,,,,,
Ghaziabad,Cops arrest gangster after gunfight,"GHAZIABAD: A history-sheeter with a reward of Rs 50,000 for his arrest was arrested after an exchange of fire in Kotwali area on Monday. He has about 16 cases of loot, dacoity, theft and murder in Delhi, Haryana, Noida and Ghaziabad filed against him. Two cops - head constable Rajendra and constable Ashok - were also injured in the firing. The accused identified as Manoj is a resident of Ecotech 3. SP (City) Shlok Kumar said, “A checking drive was underway on the Hapur road on intervening night of Sunday and Monday. Around 1.20am an Indigo car heading towards Seth Mukund Lal cut from Hapur road trisection was flagged down by cops, but instead of halting the driver of the vehicle tried to flee towards Navyug Market, but hit a wall in an alley in the area.” Manoj emerged out of the vehicle and fired towards the police teams, resulting in injury to two cops. In the retaliatory fire, the accused was hit in the leg and subsequently nabbed. The cops have been admitted at MMG district hospital, while the accused has been referred to GTB Hospital in Delhi. ",,,,,,,,,,
Ghaziabad,‘Friendship’ on Facebook ends in blackmail plot against woman,"GHAZIABAD: A 31-year-old woman has filed a complaint against a man, who introduced himself as an Indian living in Austria, of blackmailing her by posting some personal photographs and videos which she shared with him on social media websites. The complainant, a resident of Raj Nagar Extension, told police that the man identified himself as Aniket Sharma and she met him through Facebook. The woman, who is married, also said that she started talking to him out of sympathy after he told her that he was suffering from cancer. He later lured her into sharing some personal photographs and videos. “Aniket had sent me friend request in October 2017 which I had accepted. He told me that he is originally from Dehradun but currently living in Austria’s Linz city. Over a period of time, he promised to marry me and asked me to share my photos. I fell in his trap and shared some photographs and videos with him. However, he never showed his face during video calls which raised my suspicion. I subsequently stopped talking to him in June 2018 and then he threatened to circulate my videos and photos on social media and send them to my family members, which I ignored,” the woman wrote in her complaint. The victim also claimed to have come across an another woman on Facebook who too had been blackmailed by the accused on a similar pretext. The complainant added that between September and October 2018, her husband and family members received personal photographs of her. SHO of Sihani Gate police station Sanjay Kumar Pandey said, “An FIR has been registered against the accused Facebook user under IPC Section 506 (criminal intimidation) and under Section 72 A of the Information Technology Act. We will seek the help of cyber cell in identifying the accused and nab him soon.” ",,,,,,,,9,1,
Ghaziabad,"Cornered, burglar dangling from gas pipe falls 9 floors to his death","GHAZIABAD: A burglar dangling from a thin gas pipeline fell nine floors to his death while trying to escape a group of guards, one of whom had his gun aimed at him. The burglar had raided a flat in Amba G Residency of Indirapuram early on Wednesday when the owner arrived and raised an alarm. The ninth-floor flat that he had burgled belongs to a couple — Sumit and Ruhani — who work in night shifts in private firms in Noida. Ruhani had just opened the main door after returning from office around 4.30am when she found the house ransacked. She informed the guards of the housing society, who ran upstairs. “We had taken a round of the compound around 4.10am. A little later, the owner of the flat arrived. When she opened the door, she found the house rummaged. She suspected there was somebody moving on the balcony and alerted us,” security supervisor Bhanu Pratap said. Police identified the burglar as Dharmendra alias Dev, who was in his 30s. Sources said he lived in Kalyanpuri in East Delhi and had been jailed in the past in Gujarat. Cops suspect he climbed to the terrace of Block A and entered the apartment through the kitchen after jumping onto the parapet of the balcony. After Ruhani raised the alarm, Bhanu and the gunman, Mohan Pal, rushed to the flat but found nobody on the balcony. They went to the terrace to check but could not find anyone there either. Mohan was sent downstairs to check again. “We too were going downstairs but stopped after hearing footsteps on the terrace. We rushed to the terrace, but there was nobody. Soon, a few residents had started gathering downstairs,” said Bhanu. Dharmendra was finally spotted holding on to the gas pipeline coming out of another flat on the ninth floor. “Mohan Pal aimed the gun at him and flashed his torchlight. He was trying to slide down the gas pipe. Bhanu Pratap and another guard were on the terrace and the gunman was right below the balcony. The burglar panicked and it seems his hands slipped. He landed on the concrete ground with a thud, face down,” maintenance worker Akhilesh Maurya said. Police said the man, who seemed to be in his 30s, was in a pair of blue denims, a deep blue hooded jacket, sports shoes, black gloves and a deep maroon monkey cap. A toy gun, which had broken from the fall, was found on him along with a pair of large screw drivers, pliers, cutters and a packet of red chilli powder. Police said he had stashed some stolen ornaments and Rs 9,900 cash in a pouch tied to his waist. Two Alpenliebe and Pulse toffees were also found inside the pouch. He was rushed to a government hospital in Ghaziabad, where he was declared brought dead. Members of the apartment owners’ association said he could not have entered through the main gate as cameras are installed there. “There is a vacant plot adjacent to our society. He could have entered from that side after scaling the iron fence. The cameras there are under maintenance,” AOA secretary Astha Jain said. An FIR has been registered at Indirapuram police station under Section 380 (theft in dwelling house) of the IPC. “The body has been sent for an autopsy. It seems he had done a recce of the area,” Ghaziabad SP (City) Shlok Kumar said. ",,,,,,,,,,
Ghaziabad,Same burglar behind recent Indirapuram thefts?,"GHAZIABAD: A spate of burglaries in Indirapuram has left police in a tizzy. On January 5, two flat break-ins were reported from Ashiana Greens when the owners were away for winter vacation. On Wednesday, another burglary was reported from a ground-floor flat in the same society during the afternoon. Both flats that were burgled on January 5 are adjacent to each other on the second floor of a low-rise block in the middle of the society. The flats belong to Vikas Srivastava and Vishal Joshi, both of whom had returned from their vacations on January 5. Cash and jewellery worth Rs 2.5 lakh were stolen from the flat of Srivastava, who works with a private firm in Noida. Loss from the burglary in the flat of Vishal, a software engineer, was comparatively less. “The thefts were identical. During investigations, police found the CCTV camera facing this block had been turned around,” SK Singh, a resident, said. Police suspect the burglar, who died after falling nine floors in Amba G Residency, behind the thefts. On the morning of January 5, two other burglaries had been reported from flats in Exotica East Square. All these housing societies, including Amba G residency, where the burglary took place on Wednesday morning, are located next to each in Ahimsa Khand 2. In December, a fifth-floor flat in Amrapalli Village off Kala Patthar Road in Indirapuram had also been burgled while its owner was away. The main door of the flat was intact, and police suspect duplicate keys had been used to break in into the house. Senior police officers had met Indirapuram residents on January 6 to discuss adoptable security measures in the township. “Till now, CCTV footage has not been of any help in tracing the criminals. We suspect that the burglar, who died from the fall on Wednesday, behind all the thefts,” additional superintendent of police Ravi Kumar said. ",,,,,,,,,,
Ghaziabad,"Brick kiln owner, contractor booked for bonded labour","GHAZIABAD: An FIR was registered on Tuesday evening against the owner and the contractor of a brick kiln for forcing more than 45 persons, including women and children, from Badaun district into bonded labour in Muradnagar. The complaint was lodged at Muradnagar police station after a team of officials from the district administration, police and the labour department visited the brick kiln located in Mathurapur village and found labourers were being made to work there against their will. The labour enforcement officer Surendra Rakesh filed the complaint. The owner Jitendra Kumar and contractor Shree Shree have been booked under IPC Section 374 (forced labour) and also under relevant sections of Uttar Pradesh Gunda Niyantran Adhiniyam, SC/ST and Bonded Labour System (Abolition) Acts. The accused are yet to be arrested. Talking to TOI, Rakesh said one of the labourers Mahesh had filed a complaint in this regard with the National Commission for Scheduled Caste on January 3. “The labourers were brought here from Badaun around 10 days back. Following the complaint, a joint team had inspected the kiln and freed the labourers on January 5. There were 27 men and women and 10-15 children from 16 families present at the kiln. Three-four families who were there earlier could not be found,” Rakesh added. The labour department official said that the labourers have now returned to their native place. “They were brought here after being provided with some advance payment. However, after reaching here some dispute arose between the two sides and the workers said they did not want to continue working at the kiln. However, the owners did not let them go. Further investigation in the case is going on,” he added. ",,,,,,,,,,
Ghaziabad,Power department staff booked for 14-year-old girl’s electrocution,"GHAZIABAD: A day after a 14-year-old girl was electrocuted at SLF Ved Vihar Colony, an FIR was registered against unidentified employees of the electricity department at Loni police station for causing death due to negligence. Radha Sharma, a resident of Gurgaon, who had come to her elder sister’s house in Loni, died after getting electric shock from an 11kV line passing by their house on Wednesday. The accident took place around 11 am when Radha, a student of Class VIII, and her elder sister Sanjana went to the terrace for tying the wire. The girl was tying an aluminium wire to hang clothes on the terrace when she came in contact with the high-tension wire. Her elder sister Sanjana also suffered electric shock but miraculously survived. In a complaint to police, Radha’s relative Saurabh Tiwari said she had come to her sister’s house on a 10-day holiday. The girl became a victim of the electricity department’s gross negligence, he alleged. “An 11kV high-tension line is passing along the building at a distance of just one foot. Despite several such incidents in the area in the past, the electricity department failed to replace them with insulated wires. The family of the victim is eligible to get compensation from the department,” Tiwari further wrote in the complaint. He said that Radha’s body was taken to her native place in Gurgaon and cremated in the afternoon. Meanwhile, a group of people had gathered at Amba Chowk in the morning and staged a protest against the power department. PVVNL sub-divisional officer Gopal Singh said on Thursday that there was a plan to shift electricity wires underground, but it is yet to be approved by the higher authorities. ",,,,,,,,,,
Ghaziabad,"Stunt bikers hit two youths, 35-year-old held","GHAZIABAD: A 35-year-old man was arrested on Thursday while his friend managed to flee after their motorcycle hit another, injuring two youths, in Indirapuram on Tuesday night. Ujjawal Pawar and Harshit Tyagi suffered fractures on their shoulders and were admitted to a hospital. Ujjawal’s father Anangpal Pawar, a resident of Vasundhara Sector 14, in a complaint to the police, alleged that Teekaram, who was later arrested, and his friend Pawan were performing stunts on their motorcycle when they hit his son’s two-wheeler on Tuesday. Ujjawal and Harshit were returning home from Mangal Chowk. He also alleged that when his son and his friend confronted the accused, they beat them up and stole their gold chains, mobile phones and wallets. Police, however, denied the allegations and said it was an accident and the two vehicles collided head-on. Teekaram was booked under sections 279 (rash driving), 337 (causing hurt by act endangering life or personal safety of others) and 338 (causing grievous hurt by act endangering life or personal safety of others), of the IPC, said Prahalad Singh, the Abhay Khand police post in-charge. He added that further investigation was being carried out into Pawar’s allegations. Singh said police received information about the accident from a resident of Gyan Khand, Mayank Kashyap. Talking to TOI, Kashyap, a software engineer with an IT firm in Noida, said that Teekaram used to work as a security guard in his building one-and-a-half years ago. “Teekaram’s brother called me around 10pm, informing me about the accident and sought my help in resolving the matter. When I reached the spot, I found two groups gathered at the spot and they were clashing. When I tried to intervene, I was beaten up and so I called police,” claimed Kashyap. When TOI tried to contact Pawar, he refused to give any statement in the matter. ",,,,,,,,,,
Ghaziabad,Four booked for abducting minor girl from home,"GHAZIABAD: Four persons were booked on Wednesday for abducting a 15-year-old girl from her home in front of her relatives in Sihani Noor Nagar village on January 3. The girl is yet to be traced. The accused have been identified as Akshay, Deepak, Vikas and Ankit, all residents of Ramleela Tilla in Muzaffarnagar. The FIR has been registered under sections 366 (kidnapping, abducting or inducing a woman to compel her into marriage), 363 (kidnapping) and 452 (house-trespass after preparation for hurt, assault or wrongful restraint) of IPC at Sihani Gate police station. The minor girl’s brother Arjun (20), a cook, said: “Around 2.30 am on January 3, I suddenly woke up hearing some noise inside the house. I found Akshay and his three accomplices inside the house forcefully trying to take my sister away with them. I raised an alarm, but they had put my sister inside a black colour car and fled. I and my mother Sonu ran after the car for a long distance but failed to stop the vehicle.” On the delay of five days in lodging an FIR in the case, Arjun said the family was trying to trace the girl on their own. SHO (Sihani Gate) Sanjay Kumar Pandey said efforts were being made to trace the girl. The accused are yet to be arrested. There is a possibility that the girl might have gone on her own, he added. ",,,,,1,,,"4,7",,1
Ghaziabad,"Body found in drain, cops suspect murder","GHAZIABAD: Police found an unidentified dead body in a drain in Loni area on Thursday. The cops claim the body to be three to four days old. Police said the body was first spotted by some locals in the morning. “Locals, roaming in the area, spotted the body and informed police about it. A police team was then sent to the spot,” a senior police officer said. “The drain is 8 feet wide and 14 feet deep due to which it took more than two hours to take out the body,” he added. Police suspect it to be a murder case. Shailender Pratap Singh, SHO of Loni Border police station told TOI that the body has been sent for an autopsy and reports are awaited. “We are investigating the case from all angles,” he said. In last six months, over 15 bodies have been found by the Ghaziabad police at various spots in the city. Police have failed to arrest the accused in most of the cases. ",Unknown reasons,,1,,,,,,,
