"**Includes all FBS teams with stats compiled from espn.com excluding Indiana University (2010-2020), Charlotte (2010-2014), Old Dominion (2019, 2012-10), UAB (2014-2015), UTSA (2010-2011), Appalachian (2010-2013), Coastal Carolina (2010-2016), Georgia Southern (2010-2013), Georgia State (2010-2012), South Alabama (2010-2011), Texas State (2010-2011), Liberty (2010-2017), New Mexico State (2020), UConn (2020), and UMass (2010-2011) since espn.com didn't have available stats for them during the time of this compilation.",,,,,,,,,,,,,,,,,,
UniversityName,Year,TeamID,CMP,ATT,YDS,CMPPercent,YPA,LNG,TD,INT,SACK,SYL,RTG,R_ATT,R_AVG,TOTAL_PLAYS,RUN_PERCENT,PASS_PERCENT
Arkansas,2018,Arkansas2018,202,370,"2,307",54.60,6.2,64,17,18,32,-226,112.4,440,3.9,810,54.32%,45.68%
Arkansas,2019,Arkansas2019,202,407,"2,315",49.60,5.7,62,14,15,19,-128,101.4,376,4.7,783,48.02%,51.98%
Arkansas,2020,Arkansas2020,183,284,"2,402",64.40,8,82,20,6,34,-186,150.7,394,3,678,58.11%,41.89%
ArkansasState,2010,ArkansasState2010,264,436,"3,052",60.60,7,65,23,12,23,-168,131.3,420,4.3,856,49.07%,50.93%
ArkansasState,2011,ArkansasState2011,326,500,"3,817",65.20,7.6,71,21,16,27,-195,136.8,516,3.9,1016,50.79%,49.21%
ArkansasState,2012,ArkansasState2012,279,412,"3,386",67.70,8.2,74,25,5,15,-110,154.3,540,5,952,56.72%,43.28%
ArkansasState,2013,ArkansasState2013,255,368,"2,627",69.30,7.1,80,14,7,29,-153,138,579,4.6,947,61.14%,38.86%
ArkansasState,2014,ArkansasState2014,276,448,"3,381",61.60,7.5,87,25,8,31,-193,139.8,576,4.9,1024,56.25%,43.75%
ArkansasState,2015,ArkansasState2015,207,365,"2,693",56.70,7.4,75,23,15,25,-217,131.3,608,4.9,973,62.49%,37.51%
ArkansasState,2016,ArkansasState2016,231,402,"3,148",57.50,7.8,83,21,9,27,-181,136,517,3.5,919,56.26%,43.74%
ArkansasState,2017,ArkansasState2017,317,512,"4,106",61.90,8,73,38,17,33,-201,147.1,463,4,975,47.49%,52.51%
ArkansasState,2018,ArkansasState2018,303,472,"3,659",64.20,7.8,78,28,10,24,-152,144.7,508,4.7,980,51.84%,48.16%
ArkansasState,2019,ArkansasState2019,298,469,"4,057",63.50,8.7,92,37,11,40,-217,157.5,456,3.6,925,49.30%,50.70%
ArkansasState,2020,ArkansasState2020,275,463,"4,008",59.40,8,84,39,9,29,-198,150.5,386,3,849,45.47%,54.53%
Army,2010,Army2010,72,138,"1,015",52.20,7.4,45,7,3,8,-62,126.3,728,4.5,866,84.06%,15.94%
Army,2011,Army2011,37,97,605,38.10,6.2,45,5,4,11,-68,99.3,740,5.6,837,88.41%,11.59%
Army,2012,Army2012,51,115,797,44.30,6.9,53,3,2,11,-53,107.7,806,5.5,921,87.51%,12.49%
Army,2013,Army2013,75,154,931,48.70,6,75,4,4,17,-69,102.9,693,5.4,847,81.82%,18.18%
Army,2014,Army2014,50,105,747,47.60,7.1,54,3,2,16,-88,113,665,5.4,770,86.36%,13.64%
Army,2015,Army2015,49,108,"1,128",45.40,10.4,71,10,9,15,-107,147,616,4.8,724,85.08%,14.92%
Army,2016,Army2016,54,123,974,43.90,7.9,59,7,11,10,-68,111.3,790,5.6,913,86.53%,13.47%
Army,2017,Army2017,20,65,361,30.80,5.6,42,2,6,1,-5,69.1,785,6,850,92.35%,7.65%
Army,2018,Army2018,52,98,"1,041",53.10,10.6,63,7,3,3,-23,159.7,824,4.9,922,89.37%,10.63%
Army,2019,Army2019,59,126,"1,066",46.80,8.5,87,6,7,16,-102,122.5,743,5.2,869,85.50%,14.50%
Army,2020,Army2020,35,76,537,46.10,7,53,4,6,9,-59,106.4,716,4,792,90.40%,9.60%
Auburn,2010,Auburn2010,194,296,"3,002",65.50,10.1,94,31,7,23,-152,180.6,652,6.1,948,68.78%,31.22%
Auburn,2011,Auburn2011,164,292,"2,022",56.20,6.9,56,17,13,32,-197,124.6,536,4.4,828,64.73%,35.27%
Auburn,2012,Auburn2012,147,257,"1,879",57.20,7.3,54,8,15,37,-238,117.2,438,4.1,695,63.02%,36.98%
Auburn,2013,Auburn2013,173,285,"2,422",60.70,8.5,88,20,8,18,-121,149.6,729,6.3,1014,71.89%,28.11%
Auburn,2014,Auburn2014,208,332,"2,984",62.70,9,68,23,7,15,-92,156.8,607,5.5,939,64.64%,35.36%
Auburn,2015,Auburn2015,179,306,"2,257",58.50,7.4,77,11,12,19,-141,124.5,587,4.3,893,65.73%,34.27%
Auburn,2016,Auburn2016,178,289,"2,203",61.60,7.6,56,12,6,19,-137,135.2,645,5.5,934,69.06%,30.94%
Auburn,2017,Auburn2017,255,382,"3,267",66.80,8.6,75,21,6,36,-224,153.6,542,4.8,924,58.66%,41.34%
Auburn,2018,Auburn2018,233,382,"2,892",61.00,7.6,76,21,5,23,-168,140.1,512,4.3,894,57.27%,42.73%
Auburn,2019,Auburn2019,229,397,"2,697",57.70,6.8,78,20,6,18,-136,128.3,550,4.7,947,58.08%,41.92%
Auburn,2020,Auburn2020,216,362,"2,423",59.70,6,91,12,7,21,-110,117.1,392,4,754,51.99%,48.01%
BallState,2010,BallState2010,166,309,"1,843",53.70,6,80,18,16,17,-101,112.7,445,4.1,754,59.02%,40.98%
BallState,2011,BallState2011,293,460,"2,892",63.70,6.3,94,19,11,11,-58,125.4,399,4.2,859,46.45%,53.55%
BallState,2012,BallState2012,319,492,"3,302",64.80,6.7,52,28,10,14,-92,135.9,543,4.9,1035,52.46%,47.54%
BallState,2013,BallState2013,322,509,"4,214",63.30,8.3,75,35,8,16,-119,152.4,451,4.4,960,46.98%,53.02%
BallState,2014,BallState2014,232,409,"2,590",56.70,6.3,62,19,7,12,-81,121.8,448,4.1,857,52.28%,47.72%
BallState,2015,BallState2015,263,459,"2,619",57.30,5.7,53,17,9,10,-78,113.5,437,4.2,896,48.77%,51.23%
BallState,2016,BallState2016,263,436,"2,750",60.30,6.3,62,14,15,18,-114,117,519,5.1,955,54.35%,45.65%
BallState,2017,BallState2017,228,405,"2,126",56.30,5.2,47,11,14,33,-190,102.4,497,3.8,902,55.10%,44.90%
BallState,2018,BallState2018,288,476,"3,035",60.50,6.4,63,17,12,27,-185,120.8,448,4.2,924,48.48%,51.52%
BallState,2019,BallState2019,239,373,"2,923",64.10,7.8,64,24,7,29,-167,147.4,536,4.9,909,58.97%,41.03%
BallState,2020,BallState2020,164,251,"2,154",65.30,8,66,17,6,28,-176,150.1,366,3,617,59.32%,40.68%
Baylor,2010,Baylor2010,313,471,"3,649",66.50,7.7,94,23,8,20,-132,144.2,468,5.4,939,49.84%,50.16%
Baylor,2011,Baylor2011,307,424,"4,569",72.40,10.8,87,40,6,29,-173,191.2,576,5.3,1000,57.60%,42.40%
Baylor,2012,Baylor2012,294,475,"4,427",61.90,9.3,80,34,13,19,-92,158.3,597,5,1072,55.69%,44.31%
Baylor,2013,Baylor2013,277,448,"4,668",61.80,10.4,93,35,6,22,-113,172.5,626,5.4,1074,58.29%,41.71%
Baylor,2014,Baylor2014,323,519,"4,757",62.20,9.2,89,38,8,24,-152,160.3,619,4.5,1138,54.39%,45.61%
Baylor,2015,Baylor2015,229,389,"3,764",58.90,9.7,87,44,13,15,-86,170.8,714,5.9,1103,64.73%,35.27%
Baylor,2016,Baylor2016,269,480,"3,652",56.00,7.6,89,33,15,26,-122,136.4,628,5,1108,56.68%,43.32%
Baylor,2017,Baylor2017,269,462,"3,452",58.20,7.5,79,23,14,38,-266,131.4,414,3.4,876,47.26%,52.74%
Baylor,2018,Baylor2018,296,486,"3,770",60.90,7.8,75,22,13,39,-241,135.7,502,4.4,988,50.81%,49.19%
Baylor,2019,Baylor2019,277,444,"3,571",62.40,8,81,24,8,38,-234,144.2,504,4.6,948,53.16%,46.84%
Baylor,2020,Baylor2020,205,331,"1,979",61.90,5,62,14,8,31,-183,113.1,298,2,629,47.38%,52.62%
BoiseState,2010,BoiseState2010,299,424,"4,174",70.50,9.8,83,38,6,9,-64,180,485,5.4,909,53.36%,46.64%
BoiseState,2011,BoiseState2011,352,477,"4,022",73.80,8.4,71,45,10,8,-48,171.6,492,4.5,969,50.77%,49.23%
BoiseState,2012,BoiseState2012,263,394,"2,901",66.80,7.4,53,20,7,9,-46,141.8,478,4.6,872,54.82%,45.18%
BoiseState,2013,BoiseState2013,329,466,"3,610",70.60,7.7,85,28,11,26,-136,150.8,563,4.6,1029,54.71%,45.29%
BoiseState,2014,BoiseState2014,310,451,"3,926",68.70,8.7,78,27,15,28,-197,155,609,4.9,1060,57.45%,42.55%
BoiseState,2015,BoiseState2015,334,526,"4,032",63.50,7.7,85,24,12,31,-191,138.4,553,4.5,1079,51.25%,48.75%
BoiseState,2016,BoiseState2016,253,406,"3,878",62.30,9.6,76,28,8,19,-123,161.4,493,4.6,899,54.84%,45.16%
BoiseState,2017,BoiseState2017,281,449,"3,677",62.60,8.2,87,26,7,29,-161,147.4,532,3.8,981,54.23%,45.77%
BoiseState,2018,BoiseState2018,310,460,"3,796",67.40,8.3,74,31,8,32,-183,155.5,519,4.2,979,53.01%,46.99%
BoiseState,2019,BoiseState2019,287,464,"3,664",61.90,7.9,76,31,11,27,-167,145.5,529,4.4,993,53.27%,46.73%
BoiseState,2020,BoiseState2020,139,222,"1,693",62.60,7,75,12,3,15,-79,136.5,230,3,452,50.88%,49.12%
BostonCollege,2010,BostonCollege2010,180,351,"2,225",51.30,6.3,67,13,19,31,-197,105.9,464,3.6,815,56.93%,43.07%
BostonCollege,2011,BostonCollege2011,173,324,"2,014",53.40,6.2,57,12,10,24,-131,111.7,437,3.6,761,57.42%,42.58%
BostonCollege,2012,BostonCollege2012,256,473,"3,102",54.10,6.6,52,18,13,36,-243,116.3,345,3.1,818,42.18%,57.82%
BostonCollege,2013,BostonCollege2013,164,268,"2,012",61.20,7.5,74,17,8,23,-150,139.2,523,5.3,791,66.12%,33.88%
BostonCollege,2014,BostonCollege2014,135,243,"1,681",55.60,6.9,55,13,10,21,-153,123.1,635,5.2,878,72.32%,27.68%
BostonCollege,2015,BostonCollege2015,111,249,"1,334",44.60,5.4,66,8,9,28,-183,93,502,3.9,751,66.84%,33.16%
BostonCollege,2016,BostonCollege2016,150,296,"1,869",50.70,6.3,58,14,8,28,-184,113.9,566,3.4,862,65.66%,34.34%
BostonCollege,2017,BostonCollege2017,198,367,"2,162",54.00,5.9,76,16,12,15,-94,111.3,618,4.6,985,62.74%,37.26%
BostonCollege,2018,BostonCollege2018,195,337,"2,583",57.90,7.7,71,25,9,23,-137,141.4,558,4.1,895,62.35%,37.65%
BostonCollege,2019,BostonCollege2019,161,305,"2,288",52.80,7.5,72,20,6,13,-98,133.5,659,5,964,68.36%,31.64%
BostonCollege,2020,BostonCollege2020,242,390,"3,126",62.10,8,77,23,8,28,-226,144.6,361,3,751,48.07%,51.93%
BowlingGreen,2010,BowlingGreen2010,266,459,"2,779",58.00,6.1,76,12,20,35,-244,108.7,361,2.1,820,44.02%,55.98%
BowlingGreen,2011,BowlingGreen2011,254,428,"3,139",59.30,7.3,83,28,14,23,-146,136,402,3.7,830,48.43%,51.57%
BowlingGreen,2012,BowlingGreen2012,239,442,"2,757",54.10,6.2,81,16,13,15,-90,112.5,453,4.4,895,50.61%,49.39%
BowlingGreen,2013,BowlingGreen2013,255,404,"3,725",63.10,9.2,92,27,7,41,-231,159.2,579,4.7,983,58.90%,41.10%
BowlingGreen,2014,BowlingGreen2014,317,547,"3,639",58.00,6.7,82,17,13,28,-171,119.3,556,4.4,1103,50.41%,49.59%
BowlingGreen,2015,BowlingGreen2015,398,594,"5,135",67.00,8.6,94,47,8,36,-224,163,542,4.6,1136,47.71%,52.29%
BowlingGreen,2016,BowlingGreen2016,243,449,"2,713",54.10,6,72,19,25,25,-196,107.7,503,4.3,952,52.84%,47.16%
BowlingGreen,2017,BowlingGreen2017,226,417,"2,820",54.20,6.8,75,21,12,29,-207,121.9,430,4.2,847,50.77%,49.23%
BowlingGreen,2018,BowlingGreen2018,250,405,"2,864",61.70,7.1,76,29,13,29,-222,138.3,417,3.4,822,50.73%,49.27%
BowlingGreen,2019,BowlingGreen2019,189,337,"1,888",56.10,5.6,66,9,15,14,-122,103.1,502,3.9,839,59.83%,40.17%
BowlingGreen,2020,BowlingGreen2020,54,125,712,43.20,5,53,1,7,10,-65,76.6,189,4,314,60.19%,39.81%
Buffalo,2010,Buffalo2010,185,410,"2,211",45.10,5.4,81,17,23,27,-203,92.9,440,3.1,850,51.76%,48.24%
Buffalo,2011,Buffalo2011,236,422,"2,522",55.90,6,90,12,9,23,-151,111.2,436,4.3,858,50.82%,49.18%
Buffalo,2012,Buffalo2012,196,380,"2,391",51.60,6.3,55,17,10,27,-141,113.9,486,4.4,866,56.12%,43.88%
Buffalo,2013,Buffalo2013,243,427,"2,955",56.90,6.9,62,25,8,20,-105,130.6,538,4,965,55.75%,44.25%
Buffalo,2014,Buffalo2014,235,367,"2,855",64.00,7.8,92,32,12,16,-83,151.6,443,4.4,810,54.69%,45.31%
Buffalo,2015,Buffalo2015,283,455,"2,994",62.20,6.6,78,16,16,16,-120,122,425,3.9,880,48.30%,51.70%
Buffalo,2016,Buffalo2016,212,397,"2,406",53.40,6.1,75,11,11,23,-147,107.9,426,4.3,823,51.76%,48.24%
Buffalo,2017,Buffalo2017,234,400,"3,490",58.50,8.7,72,24,6,17,-124,148.6,428,4,828,51.69%,48.31%
Buffalo,2018,Buffalo2018,230,419,"3,155",54.90,7.5,75,28,13,15,-89,134,585,4.5,1004,58.27%,41.73%
Buffalo,2019,Buffalo2019,150,278,"1,795",54.00,6.5,61,14,6,8,-59,120.5,659,4.9,937,70.33%,29.67%
Buffalo,2020,Buffalo2020,98,157,"1,337",62.40,8,82,7,4,1,-9,139.2,302,6,459,65.80%,34.20%
BYU,2010,BYU2010,243,428,"2,579",56.80,6,62,17,11,21,-175,115.4,518,4.2,946,54.76%,45.24%
BYU,2011,BYU2011,262,464,"3,190",56.50,6.9,57,28,15,17,-112,127.7,494,4.2,958,51.57%,48.43%
BYU,2012,BYU2012,296,498,"3,214",59.40,6.5,64,25,17,30,-210,123.4,505,3.9,1003,50.35%,49.65%
BYU,2013,BYU2013,237,447,"2,942",53.00,6.6,60,19,14,38,-234,116.1,664,5.2,1111,59.77%,40.23%
BYU,2014,BYU2014,289,483,"3,623",59.80,7.5,83,32,12,36,-211,139.7,567,4.2,1050,54.00%,46.00%
BYU,2015,BYU2015,302,504,"3,854",59.90,7.6,84,26,12,34,-209,136.4,413,4,917,45.04%,54.96%
BYU,2016,BYU2016,245,412,"2,573",59.50,6.2,75,15,12,26,-161,118.1,544,4.8,956,56.90%,43.10%
BYU,2017,BYU2017,228,418,"2,530",54.50,6.1,50,13,19,26,-176,106.6,404,4.2,822,49.15%,50.85%
BYU,2018,BYU2018,236,373,"2,753",63.30,7.4,70,18,7,29,-204,137.4,483,4.1,856,56.43%,43.57%
BYU,2019,BYU2019,296,468,"3,701",63.20,7.9,77,20,11,29,-174,139.1,465,4.4,933,49.84%,50.16%
BYU,2020,BYU2020,273,376,"3,985",72.60,10,78,34,4,12,-110,184.3,423,5,799,52.94%,47.06%
Cal,2010,Cal2010,185,332,"2,101",55.70,6.3,62,16,11,23,-170,118.2,428,4.5,760,56.32%,43.68%
Cal,2011,Cal2011,246,440,"3,206",55.90,7.3,90,17,12,28,-205,124.4,484,4.2,924,52.38%,47.62%
Cal,2012,Cal2012,212,366,"2,499",57.90,6.8,69,13,13,41,-266,119.9,451,4.9,817,55.20%,44.80%
Cal,2013,Cal2013,368,622,"3,977",59.20,6.4,89,22,14,36,-216,120,424,3.5,1046,40.54%,59.46%
Cal,2014,Cal2014,329,535,"4,152",61.50,7.8,92,37,10,28,-209,145.8,440,4.1,975,45.13%,54.87%
Cal,2015,Cal2015,352,550,"4,892",64.00,8.9,80,44,14,27,-204,160,439,4.5,989,44.39%,55.61%
Cal,2016,Cal2016,383,621,"4,306",61.70,6.9,74,37,12,16,-130,135.7,414,4.5,1035,40.00%,60.00%
Cal,2017,Cal2017,278,476,"3,107",58.40,6.5,75,19,12,35,-242,121.4,416,3.6,892,46.64%,53.36%
Cal,2018,Cal2018,254,423,"2,421",60.00,5.7,55,16,20,36,-174,111.1,487,4.2,910,53.52%,46.48%
Cal,2019,Cal2019,204,365,"2,561",55.90,7,60,19,9,47,-277,127.1,476,3.6,841,56.60%,43.40%
Cal,2020,Cal2020,85,138,771,61.60,5,52,6,3,15,-81,113.6,148,3,286,51.75%,48.25%
CentralMichigan,2010,CentralMichigan2010,288,477,"3,408",60.40,7.1,70,17,18,33,-210,124.6,383,3.3,860,44.53%,55.47%
CentralMichigan,2011,CentralMichigan2011,258,458,"3,290",56.30,7.2,79,25,18,17,-109,126.8,333,4.2,791,42.10%,57.90%
CentralMichigan,2012,CentralMichigan2012,244,413,"3,170",59.10,7.7,92,23,9,15,-112,137.6,415,4.7,828,50.12%,49.88%
CentralMichigan,2013,CentralMichigan2013,192,346,"2,500",55.50,7.2,97,15,17,31,-202,120.7,410,3.9,756,54.23%,45.77%
CentralMichigan,2014,CentralMichigan2014,243,382,"3,157",63.60,8.3,65,27,13,28,-187,149.5,504,4,886,56.88%,43.12%
CentralMichigan,2015,CentralMichigan2015,326,495,"3,905",65.90,7.9,83,25,11,28,-211,144.3,420,3.1,915,45.90%,54.10%
CentralMichigan,2016,CentralMichigan2016,280,471,"3,589",59.40,7.6,85,23,16,38,-252,132.8,407,3.7,878,46.36%,53.64%
CentralMichigan,2017,CentralMichigan2017,263,469,"3,324",56.10,7.1,77,27,17,23,-155,127.4,454,3.8,923,49.19%,50.81%
CentralMichigan,2018,CentralMichigan2018,176,362,"1,614",48.60,4.5,38,10,18,36,-237,85.2,448,3.2,810,55.31%,44.69%
CentralMichigan,2019,CentralMichigan2019,290,473,"3,531",61.30,7.5,80,19,13,21,-151,131.8,526,4.8,999,52.65%,47.35%
