teamstatspk,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
35,Denver Nuggets,73,46,27,0.63,48.6,111.3,42.0,88.9,47.3,11.0,30.6,35.9,16.2,20.9,77.7,10.8,33.4,44.1,26.7,13.8,8.0,4.6,4.4,20.3,20.5,2.1,2019-20
36,Indiana Pacers,73,45,28,0.616,48.3,109.4,42.1,88.5,47.6,10.2,28.0,36.3,15.0,19.1,78.7,8.7,34.1,42.8,25.9,13.2,7.4,5.2,4.6,19.8,18.8,2.0,2019-20
37,Houston Rockets,72,44,28,0.611,48.3,117.8,40.8,90.4,45.1,15.6,45.3,34.5,20.6,26.1,79.1,9.8,34.5,44.3,21.6,14.7,8.7,5.2,4.9,21.8,21.0,3.0,2019-20
38,Oklahoma City Thunder,72,44,28,0.611,48.4,110.4,40.0,85.5,46.8,10.7,30.2,35.5,19.8,24.8,79.6,8.2,34.7,42.9,21.7,13.7,7.6,4.9,4.0,19.3,22.8,2.0,2019-20
39,Utah Jazz,72,44,28,0.611,48.2,111.3,40.1,85.1,47.1,13.4,35.2,38.0,17.8,22.8,77.9,9.1,35.8,44.9,22.4,15.1,6.1,4.1,4.6,20.4,20.8,2.5,2019-20
40,Miami Heat,73,44,29,0.603,48.6,112.0,39.5,84.4,46.8,13.4,35.4,37.9,19.7,25.2,78.3,8.5,35.9,44.4,25.9,14.9,7.5,4.5,4.1,20.6,21.7,2.9,2019-20
41,Philadelphia 76ers,73,43,30,0.589,48.2,110.7,41.1,87.9,46.8,11.6,31.6,36.8,16.9,22.4,75.5,10.5,35.0,45.4,25.8,14.2,8.0,5.3,4.0,20.9,20.5,2.4,2019-20
42,Dallas Mavericks,75,43,32,0.573,48.5,117.0,41.7,90.3,46.1,15.1,41.3,36.7,18.6,23.8,77.9,10.5,36.4,46.9,24.7,12.7,6.1,4.8,4.1,19.5,21.3,4.9,2019-20
43,Brooklyn Nets,72,35,37,0.486,48.6,111.8,40.4,90.3,44.8,13.1,38.1,34.3,17.9,24.1,74.5,10.6,37.3,47.9,24.5,15.3,6.4,4.5,5.3,21.0,21.1,-0.6,2019-20
44,Portland Trail Blazers,74,35,39,0.473,48.2,115.0,42.2,91.2,46.3,12.9,34.1,37.7,17.7,22.1,80.4,10.2,35.1,45.3,20.6,12.8,6.3,6.1,4.9,21.7,20.1,-1.1,2019-20
45,Memphis Grizzlies,73,34,39,0.466,48.1,112.6,42.5,90.9,46.8,10.9,31.5,34.7,16.6,21.8,76.3,10.3,36.2,46.5,26.9,15.2,7.9,5.5,5.3,21.2,20.2,-1.1,2019-20
46,Phoenix Suns,73,34,39,0.466,48.2,113.6,41.2,88.1,46.8,11.4,31.8,35.8,19.9,23.8,83.4,9.8,33.8,43.5,27.2,14.8,7.7,4.0,5.5,22.0,22.6,0.2,2019-20
47,Orlando Magic,73,33,40,0.452,48.1,107.3,39.3,88.6,44.4,11.1,32.2,34.3,17.6,22.7,77.4,10.3,34.2,44.5,23.9,12.8,8.2,5.4,4.6,18.3,19.5,-1.0,2019-20
48,San Antonio Spurs,71,32,39,0.451,48.5,114.1,42.2,89.4,47.2,10.7,28.5,37.6,19.0,23.4,81.0,9.0,35.6,44.6,24.7,12.6,7.3,5.5,4.3,19.4,20.1,-1.1,2019-20
49,Sacramento Kings,72,31,41,0.431,48.5,110.1,40.9,88.4,46.2,12.7,34.9,36.4,15.7,20.3,77.0,9.7,32.9,42.6,23.8,14.5,7.7,4.1,4.2,22.2,19.5,-2.0,2019-20
50,New Orleans Pelicans,72,30,42,0.417,48.4,115.8,42.6,91.6,46.5,13.6,36.9,37.0,17.1,23.4,72.9,11.1,35.4,46.5,26.8,16.4,7.5,5.0,4.8,21.2,21.1,-1.3,2019-20
51,Charlotte Hornets,65,23,42,0.354,48.5,102.9,37.3,85.9,43.4,12.1,34.3,35.2,16.2,21.6,74.8,11.0,31.8,42.8,23.8,14.6,6.6,4.1,5.0,18.8,20.6,-6.8,2019-20
52,Washington Wizards,72,25,47,0.347,48.2,114.4,41.5,90.9,45.7,12.0,32.6,36.8,19.4,24.6,78.8,10.2,31.9,42.0,25.0,14.2,8.0,4.3,5.0,22.7,22.2,-4.7,2019-20
53,Chicago Bulls,65,22,43,0.338,48.2,106.8,39.6,88.6,44.7,12.2,35.1,34.8,15.5,20.5,75.5,10.5,31.4,41.9,23.2,15.5,10.0,4.1,5.9,21.8,19.2,-3.1,2019-20
54,New York Knicks,66,21,45,0.318,48.4,105.8,40.0,89.3,44.7,9.6,28.4,33.7,16.3,23.5,69.4,12.0,34.5,46.5,22.1,14.3,7.6,4.7,5.0,22.2,19.8,-6.5,2019-20
55,Detroit Pistons,66,20,46,0.303,48.4,107.2,39.3,85.7,45.9,12.0,32.7,36.7,16.6,22.4,74.3,9.8,32.0,41.7,24.1,15.3,7.4,4.5,5.6,19.7,19.8,-3.6,2019-20
56,Atlanta Hawks,67,20,47,0.299,48.6,111.8,40.6,90.6,44.9,12.0,36.1,33.3,18.5,23.4,79.0,9.9,33.4,43.3,24.0,16.2,7.8,5.1,6.4,23.1,21.0,-8.0,2019-20
57,Minnesota Timberwolves,64,19,45,0.297,48.6,113.3,40.4,91.6,44.1,13.3,39.7,33.6,19.1,25.4,75.3,10.5,34.3,44.8,23.8,15.3,8.7,5.7,5.5,21.4,21.6,-4.3,2019-20
58,Cleveland Cavaliers,65,19,46,0.292,48.4,106.9,40.3,87.9,45.8,11.2,31.8,35.1,15.1,19.9,75.8,10.8,33.4,44.2,23.1,16.5,6.9,3.2,6.3,18.3,19.6,-7.9,2019-20
59,Golden State Warriors,65,15,50,0.231,48.4,106.3,38.6,88.2,43.8,10.4,31.3,33.4,18.7,23.2,80.3,10.0,32.9,42.8,25.6,14.9,8.2,4.6,4.9,20.1,20.1,-8.7,2019-20
60,Milwaukee Bucks,82,60,22,0.732,48.2,118.1,43.4,91.1,47.6,13.5,38.2,35.3,17.9,23.2,77.3,9.3,40.4,49.7,26.0,13.9,7.5,5.9,4.8,19.6,20.2,8.9,2018-19
61,Toronto Raptors,82,58,24,0.707,48.5,114.4,42.2,89.1,47.4,12.4,33.8,36.6,17.7,22.0,80.4,9.6,35.6,45.2,25.4,14.0,8.3,5.3,4.5,21.0,20.5,6.1,2018-19
62,Golden State Warriors,82,57,25,0.695,48.3,117.7,44.0,89.8,49.1,13.3,34.4,38.5,16.3,20.4,80.1,9.7,36.5,46.2,29.4,14.3,7.6,6.4,3.6,21.4,19.5,6.5,2018-19
63,Denver Nuggets,82,54,28,0.659,48.1,110.7,41.9,90.0,46.6,11.0,31.4,35.1,15.8,20.9,75.5,11.9,34.5,46.4,27.4,13.4,7.7,4.4,5.0,20.0,20.4,4.0,2018-19
64,Houston Rockets,82,53,29,0.646,48.4,113.9,39.2,87.4,44.9,16.1,45.4,35.6,19.3,24.4,79.1,10.2,31.9,42.1,21.2,13.3,8.5,4.9,4.5,22.0,20.0,4.8,2018-19
65,Portland Trail Blazers,82,53,29,0.646,48.4,114.7,42.3,90.6,46.7,11.0,30.7,35.9,19.0,23.3,81.4,11.8,36.2,48.0,23.0,13.8,6.7,5.0,5.1,20.4,20.7,4.2,2018-19
66,Philadelphia 76ers,82,51,31,0.622,48.3,115.2,41.5,88.2,47.1,10.8,30.2,35.9,21.2,27.5,77.1,10.9,36.9,47.8,26.9,14.9,7.4,5.3,4.1,21.3,22.1,2.7,2018-19
67,Utah Jazz,82,50,32,0.61,48.2,111.7,40.4,86.4,46.8,12.1,34.0,35.6,18.8,25.5,73.6,10.0,36.4,46.4,26.0,15.1,8.1,5.9,4.6,21.1,22.4,5.3,2018-19
68,Boston Celtics,82,49,33,0.598,48.2,112.4,42.1,90.5,46.5,12.6,34.5,36.5,15.6,19.5,80.2,9.8,34.7,44.5,26.3,12.8,8.6,5.3,3.9,20.4,19.5,4.4,2018-19
69,Oklahoma City Thunder,82,49,33,0.598,48.4,114.5,42.6,94.0,45.4,11.4,32.6,34.8,17.8,25.0,71.3,12.6,35.5,48.1,23.4,14.0,9.3,5.2,5.1,22.4,22.5,3.4,2018-19
70,Indiana Pacers,82,48,34,0.585,48.1,108.0,41.3,87.0,47.5,9.5,25.4,37.4,15.8,21.1,75.2,9.3,33.7,43.0,26.0,13.7,8.7,4.9,5.2,19.4,20.0,3.3,2018-19
71,LA Clippers,82,48,34,0.585,48.4,115.1,41.3,87.5,47.1,10.0,25.8,38.8,22.6,28.5,79.2,9.7,35.8,45.5,24.0,14.5,6.8,4.7,6.1,23.3,24.0,0.9,2018-19
72,San Antonio Spurs,82,48,34,0.585,48.3,111.7,42.3,88.4,47.8,9.9,25.3,39.2,17.2,21.0,81.9,9.2,35.5,44.7,24.5,12.1,6.1,4.7,4.0,18.1,19.6,1.7,2018-19
73,Brooklyn Nets,82,42,40,0.512,48.7,112.2,40.3,89.7,44.9,12.8,36.2,35.3,19.0,25.5,74.5,11.0,35.6,46.6,23.8,15.1,6.6,4.1,5.3,21.5,22.0,-0.1,2018-19
74,Orlando Magic,82,42,40,0.512,48.2,107.3,40.4,89.1,45.4,11.4,32.1,35.6,15.0,19.2,78.2,10.0,35.4,45.4,25.5,13.2,6.6,5.4,4.4,18.6,18.7,0.7,2018-19
75,Detroit Pistons,82,41,41,0.5,48.4,107.0,38.8,88.3,44.0,12.1,34.8,34.8,17.3,23.1,74.7,11.4,33.6,45.0,22.5,13.8,6.9,4.0,5.1,22.1,21.3,-0.2,2018-19
76,Charlotte Hornets,82,39,43,0.476,48.4,110.7,40.2,89.8,44.8,11.9,33.9,35.1,18.4,23.1,79.7,9.9,33.9,43.8,23.2,12.2,7.2,4.9,6.0,18.9,20.6,-1.1,2018-19
77,Miami Heat,82,39,43,0.476,48.1,105.7,39.6,88.0,45.0,11.3,32.4,34.9,15.1,21.7,69.5,11.2,35.1,46.3,24.3,14.7,7.6,5.5,4.7,20.9,20.1,-0.2,2018-19
78,Sacramento Kings,82,39,43,0.476,48.1,114.2,43.2,93.1,46.4,11.3,29.9,37.8,16.5,22.7,72.6,11.0,34.4,45.4,25.4,13.4,8.3,4.4,5.1,21.4,21.4,-1.1,2018-19
79,Los Angeles Lakers,82,37,45,0.451,48.2,111.8,42.6,90.5,47.0,10.3,31.0,33.3,16.3,23.3,69.9,10.2,36.4,46.6,25.6,15.7,7.5,5.4,5.1,20.7,20.8,-1.7,2018-19
80,Minnesota Timberwolves,82,36,46,0.439,48.4,112.5,41.6,91.3,45.6,10.1,28.7,35.1,19.1,24.3,78.7,11.3,33.5,44.8,24.6,13.1,8.3,5.0,5.5,20.3,21.9,-1.5,2018-19
81,Dallas Mavericks,82,33,49,0.402,48.2,108.9,38.8,86.9,44.7,12.5,36.6,34.0,18.8,25.3,74.2,10.1,35.2,45.3,23.4,14.2,6.5,4.3,4.5,20.1,23.2,-1.3,2018-19
82,Memphis Grizzlies,82,33,49,0.402,48.5,103.5,38.0,84.4,45.0,9.9,28.9,34.2,17.7,23.0,77.2,8.8,33.0,41.8,23.9,14.0,8.3,5.5,4.9,22.0,21.4,-2.6,2018-19
83,New Orleans Pelicans,82,33,49,0.402,48.2,115.4,43.7,92.2,47.3,10.3,29.9,34.4,17.8,23.4,76.1,11.1,36.2,47.3,27.0,14.8,7.4,5.4,5.4,21.1,21.0,-1.3,2018-19
84,Washington Wizards,82,32,50,0.39,48.6,114.0,42.1,90.1,46.8,11.3,33.3,34.1,18.4,23.9,76.8,9.7,32.7,42.4,26.3,14.1,8.3,4.6,4.6,20.7,21.2,-2.9,2018-19
85,Atlanta Hawks,82,29,53,0.354,48.4,113.3,41.4,91.8,45.1,13.0,37.0,35.2,17.6,23.4,75.2,11.6,34.5,46.1,25.8,17.0,8.2,5.1,5.5,23.6,22.2,-6.0,2018-19
86,Chicago Bulls,82,22,60,0.268,48.5,104.9,39.8,87.9,45.3,9.1,25.9,35.1,16.2,20.7,78.3,8.8,34.1,42.9,21.9,14.1,7.4,4.3,5.8,20.3,18.7,-8.4,2018-19
87,Cleveland Cavaliers,82,19,63,0.232,48.2,104.5,38.9,87.6,44.4,10.3,29.1,35.5,16.4,20.7,79.2,10.7,31.9,42.7,20.7,13.5,6.5,2.4,5.6,20.0,19.4,-9.6,2018-19
88,Phoenix Suns,82,19,63,0.232,48.5,107.5,40.1,87.4,45.9,9.6,29.3,32.9,17.6,22.7,77.9,9.1,31.3,40.4,23.9,15.6,9.0,5.1,5.0,23.6,20.7,-9.3,2018-19
89,New York Knicks,82,17,65,0.207,48.2,104.6,38.2,88.3,43.3,10.0,29.5,34.0,18.1,23.9,75.9,10.5,34.3,44.7,20.1,14.0,6.8,5.1,5.6,20.9,20.8,-9.2,2018-19
90,Houston Rockets,82,65,17,0.793,48.2,112.4,38.7,84.2,46.0,15.3,42.3,36.2,19.6,25.1,78.1,9.0,34.5,43.5,21.5,13.8,8.5,4.8,4.4,19.5,20.4,8.5,2017-18
91,Toronto Raptors,82,59,23,0.72,48.4,111.7,41.3,87.4,47.2,11.8,33.0,35.8,17.3,21.8,79.4,9.8,34.2,44.0,24.3,13.4,7.6,6.1,4.9,21.7,19.9,7.8,2017-18
92,Golden State Warriors,82,58,24,0.707,48.1,113.5,42.8,85.1,50.3,11.3,28.9,39.1,16.6,20.3,81.5,8.4,35.1,43.5,29.3,15.4,8.0,7.5,3.7,19.6,18.5,6.0,2017-18
93,Boston Celtics,82,55,27,0.671,48.3,104.0,38.3,85.1,45.0,11.5,30.4,37.7,16.0,20.7,77.1,9.4,35.1,44.5,22.5,14.0,7.4,4.5,4.4,19.7,19.2,3.6,2017-18
94,Philadelphia 76ers,82,52,30,0.634,48.2,109.8,40.8,86.6,47.2,11.0,29.8,36.9,17.1,22.8,75.2,10.9,36.5,47.4,27.1,16.5,8.3,5.1,5.1,22.1,20.4,4.5,2017-18
95,Cleveland Cavaliers,82,50,32,0.61,48.1,110.9,40.4,84.8,47.6,12.0,32.1,37.2,18.1,23.3,77.9,8.5,33.7,42.1,23.4,13.7,7.1,3.8,4.1,18.6,20.7,0.9,2017-18
96,Portland Trail Blazers,82,49,33,0.598,48.2,105.6,39.3,87.0,45.2,10.3,28.1,36.6,16.7,20.9,80.0,10.2,35.3,45.5,19.5,13.5,7.0,5.2,5.1,19.5,19.1,2.6,2017-18
97,Indiana Pacers,82,48,34,0.585,48.2,105.6,40.8,86.4,47.2,9.0,24.5,36.9,14.9,19.2,77.9,9.6,32.7,42.3,22.2,13.3,8.8,4.1,5.2,18.8,18.5,1.4,2017-18
98,New Orleans Pelicans,82,48,34,0.585,48.7,111.7,42.7,88.3,48.3,10.2,28.2,36.2,16.1,20.9,77.2,8.7,35.6,44.3,26.8,14.9,8.0,5.9,4.2,19.1,20.4,1.3,2017-18
99,Oklahoma City Thunder,82,48,34,0.585,48.4,107.9,39.9,88.1,45.3,10.7,30.4,35.4,17.3,24.2,71.6,12.5,32.6,45.1,21.3,14.0,9.1,5.0,4.6,20.2,21.3,3.4,2017-18
100,Utah Jazz,82,48,34,0.585,48.2,104.1,38.3,82.9,46.2,10.8,29.6,36.6,16.8,21.5,77.9,9.0,34.2,43.3,22.4,14.7,8.6,5.1,4.6,19.6,20.5,4.3,2017-18
101,Minnesota Timberwolves,82,47,35,0.573,48.3,109.5,41.0,86.1,47.6,8.0,22.5,35.7,19.4,24.1,80.4,10.3,31.6,42.0,22.7,12.5,8.4,4.2,4.7,18.2,20.9,2.2,2017-18
102,San Antonio Spurs,82,47,35,0.573,48.1,102.7,39.0,85.4,45.7,8.5,24.1,35.2,16.1,20.9,77.2,10.4,33.9,44.2,22.8,13.1,7.7,5.6,3.9,17.2,19.7,2.9,2017-18
103,Denver Nuggets,82,46,36,0.561,48.5,110.0,40.7,86.6,47.0,11.5,30.9,37.1,17.1,22.3,76.7,11.0,33.5,44.5,25.1,15.0,7.6,4.9,4.8,18.7,20.7,1.5,2017-18
104,Miami Heat,82,44,38,0.537,48.6,103.4,38.8,85.3,45.5,11.0,30.6,36.0,14.7,19.5,75.5,9.3,34.2,43.5,22.7,14.4,7.6,5.3,4.6,20.1,19.4,0.5,2017-18
105,Milwaukee Bucks,82,44,38,0.537,48.4,106.5,39.7,83.0,47.8,8.8,24.7,35.5,18.3,23.4,78.3,8.4,31.5,39.8,23.2,13.8,8.8,5.4,4.5,21.4,19.9,-0.3,2017-18
106,Washington Wizards,82,43,39,0.524,48.4,106.6,39.9,85.6,46.7,9.9,26.5,37.5,16.8,21.8,77.2,10.0,33.1,43.1,25.2,14.6,7.9,4.3,4.7,21.3,20.0,0.6,2017-18
107,LA Clippers,82,42,40,0.512,48.1,109.0,40.3,85.4,47.1,9.5,26.8,35.4,19.0,25.5,74.3,10.1,33.7,43.9,22.3,14.7,7.7,4.5,5.6,20.0,22.0,0.0,2017-18
108,Detroit Pistons,82,39,43,0.476,48.3,103.8,39.1,86.9,45.0,10.8,28.9,37.3,14.7,19.8,74.5,10.1,33.6,43.7,22.8,13.4,7.7,3.9,4.9,18.4,18.4,-0.1,2017-18
109,Charlotte Hornets,82,36,46,0.439,48.2,108.2,39.0,86.7,45.0,10.0,27.2,36.9,20.2,27.0,74.7,10.1,35.4,45.5,21.6,12.7,6.8,4.5,4.9,17.2,22.4,0.3,2017-18
110,Los Angeles Lakers,82,35,47,0.427,48.5,108.1,40.7,88.4,46.1,10.0,29.1,34.5,16.6,23.3,71.4,10.7,35.7,46.4,23.8,15.8,7.7,4.7,5.5,21.2,20.5,-1.5,2017-18
111,New York Knicks,82,29,53,0.354,48.4,104.5,40.7,87.7,46.4,8.2,23.3,35.2,14.9,19.0,78.7,10.5,33.6,44.0,23.3,14.7,6.7,5.1,4.7,20.5,18.4,-3.6,2017-18
112,Brooklyn Nets,82,28,54,0.341,48.4,106.6,38.2,86.8,44.1,12.7,35.7,35.6,17.4,22.6,77.2,9.7,34.8,44.4,23.7,15.2,6.2,4.8,5.5,20.6,19.7,-3.7,2017-18
113,Chicago Bulls,82,27,55,0.329,48.4,102.9,38.7,88.8,43.5,11.0,31.1,35.5,14.6,19.2,75.9,9.6,35.0,44.7,23.5,14.0,7.6,3.5,5.2,19.2,17.4,-7.0,2017-18
114,Sacramento Kings,82,27,55,0.329,48.2,98.8,38.8,86.1,45.0,9.0,24.0,37.5,12.3,16.7,73.5,9.5,31.4,40.9,21.6,13.7,7.8,4.1,4.7,20.0,17.3,-7.0,2017-18
115,Orlando Magic,82,25,57,0.305,48.1,103.4,38.8,85.9,45.2,10.3,29.3,35.1,15.5,20.5,75.7,8.8,32.8,41.6,23.4,14.5,7.6,4.9,4.9,19.3,19.0,-4.8,2017-18
116,Atlanta Hawks,82,24,58,0.293,48.1,103.4,38.2,85.5,44.6,11.2,31.0,36.0,15.8,20.2,78.5,9.1,32.8,41.9,23.7,15.5,7.8,4.2,5.5,19.6,20.3,-5.5,2017-18
117,Dallas Mavericks,82,24,58,0.293,48.3,102.3,38.1,85.9,44.4,11.8,32.8,36.0,14.2,18.7,76.3,8.1,33.1,41.3,22.7,12.3,7.0,3.8,4.5,19.2,19.6,-3.0,2017-18
118,Memphis Grizzlies,82,22,60,0.268,48.1,99.3,36.7,82.8,44.4,9.2,26.2,35.2,16.6,21.1,78.6,9.5,31.0,40.5,21.5,15.0,7.5,4.8,5.1,23.2,20.4,-6.2,2017-18
