Vehicle ID,Model,Manufacturer,Transmission Make,Num Passengers,Power System Ids,Fuels,Application Categories,Transmission Types
11200,536 - Class 6,Peterbilt,"Allison, Eaton Manual","","[10013, 10505]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,Automatic|Manual
11198,537 - Class 7,Peterbilt,"Allison, Eaton Manual","","[10013, 10505]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,Automatic|Manual
11196,548 - Class 8,Peterbilt,"Allison, Eaton Manual","","[10013, 10505]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,Automatic|Manual
11160,567 - Class 8,Peterbilt,"Eaton Automated, Allison, Eaton Manual","","[10013, 10301]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Tractor|Vocational/Cab Chassis,Automatic|Manual
10842,579,Peterbilt,"Eaton Automated, Allison, Eaton Manual","",[10301],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Tractor|Vocational/Cab Chassis,Automatic|Manual
11159,579EV - Class 8,Peterbilt,"","",[10552],Electric,Tractor,Automatic
11031,ZX5 35-Foot Bus - Class 8,Proterra,"",29,"[10527, 10548]",Electric,Transit Bus,""
11162,ZX5+ 35-Foot Bus - Class 8,Proterra,"",29,"[10527, 10548]",Electric,Transit Bus,""
11163,ZX5 40-Foot Bus - Class 8,Proterra,"",40,"[10527, 10548]",Electric,Transit Bus,""
11164,ZX5+ 40-Foot Bus - Class 8,Proterra,"",40,"[10527, 10548]",Electric,Transit Bus,""
11165,ZX5MAX 40-Foot Bus - Class 8,Proterra,"",40,"[10527, 10548]",Electric,Transit Bus,""
10875,2500/3500 HD,RAM,"","",[10382],Biodiesel (B20),Pickup,""
10878,3500/4500/5500,RAM,"","",[10382],Biodiesel (B20),Vocational/Cab Chassis,""
443,A7 Tornado sweeper - Class 6,Schwarze Industries,"","",[],CNG - Compressed Natural Gas,Street Sweeper,""
11081,A7 Zephyr sweeper - Class 6,Schwarze Industries,"","",[],CNG - Compressed Natural Gas,Street Sweeper,""
483,M6 Avalanche,Schwarze Industries,"","",[],CNG - Compressed Natural Gas,Street Sweeper,""
11191,Allstar 22,Starcraft,"",23,[10561],Electric,Passenger Van/Shuttle Bus,""
11169,E-Quest,Starcraft,"",23,[10561],Electric,School Bus,""
11166,E-Quest XL,Starcraft,"",47 or 8 wheelchairs,[10529],Electric,School Bus,""
11149,Minotour - Class 4,Thomas Built,"",30,"[10220, 10470]",CNG - Compressed Natural Gas|Propane,School Bus,""
11033,Minotour Activity - Class 4,Thomas Built,"",30,"[10220, 10470]",CNG - Compressed Natural Gas|Propane,Passenger Van/Shuttle Bus,""
11034,Saf-T-Liner C2 Activity,Thomas Built,Allison,81,[10505],CNG - Compressed Natural Gas,Passenger Van/Shuttle Bus,""
11055,Saf-T-Liner C2 Jouley,Thomas Built,"",81,[],Electric,School Bus,Automatic
10140,Saf-T-Liner HDX - Class 8,Thomas Built,Allison,90,[10013],CNG - Compressed Natural Gas,School Bus,""
11035,Saf-T-Liner HDX Activity - Class 8,Thomas Built,Allison,90,[10013],CNG - Compressed Natural Gas,Passenger Van/Shuttle Bus,""
11147,Transit-Liner C2,Thomas Built,Allison,52,[10505],CNG - Compressed Natural Gas,Passenger Van/Shuttle Bus,""
11148,Transit-Liner HDX,Thomas Built,Allison,54,[10013],CNG - Compressed Natural Gas,Passenger Van/Shuttle Bus,""
11056,Pro Spotter,TICO,"","",[10505],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Tractor,""
650,Ford - Odyssey,Turtle Top,"",25,[10533],CNG - Compressed Natural Gas|Propane,Passenger Van/Shuttle Bus,""
648,Ford - Odyssey XL,Turtle Top,"",36-49,[10533],CNG - Compressed Natural Gas|Propane,Passenger Van/Shuttle Bus,""
673,Ford - Terra Transit,Turtle Top,"",Up to 34,[10467],Electric,Passenger Van/Shuttle Bus,""
10987,Ford - Van Terra,Turtle Top,"",15-18,[10533],CNG - Compressed Natural Gas|Propane,Passenger Van/Shuttle Bus,""
10929,Ford - VT3,Turtle Top,"",17,[],CNG - Compressed Natural Gas|Propane,Passenger Van/Shuttle Bus,""
992,500x,TYMCO,"","",[10013],CNG - Compressed Natural Gas,Street Sweeper,""
351,600,TYMCO,"","",[10013],CNG - Compressed Natural Gas,Street Sweeper,""
10955,HSP,TYMCO,"","",[10013],CNG - Compressed Natural Gas,Street Sweeper,""
11234,(various models),Utilimaster,"","",[],Electric,Step Van,Automatic
11168,CX45E,Van Hool,"",Up to 56,[10575],Electric,Transit Bus,""
11192,VNR Electric - Class 8,Volvo,"","",[],Electric,Tractor,""
10848,C-Series,Workhorse,"","",[10528],Electric,Step Van,Automatic
