#,Name,Type,Division,SubDivision,Url,NameLong,Displacement Standard (tons),Displacement Full load (tons),Length (m),Beam (m),Draft (m),Speed (knots),Range,Autonomy (days),Propulsion,Armament,Electronics,Complement,Cargo,Passengers,Endurance (days),Special equipment,Capacity (tons),Capacity (c.m.)
,RK-1414,Harbor Boat,30th Surface Ship Division,,,,,,,,,,,,,,,,,,,,,
,RBK-1299,Harbor Boat,30th Surface Ship Division,,,,,,,,,,,,,,,,,,,,,
556,Rostov-on-Don,Diesel Attack Submarine,4th Independent Submarine Brigade,,https://www.kchf.ru/eng/ship/submarines/b237.htm,"Submarine 
B-237 Rostov-on-Don Project 06363 / Improved Kilo class submarine",,,"73,8","9,9",,,,,"1x5800 hp PG-141M electric motor, 1x150 hp PG-142 electric motor, 1 fixed pitch propeller, 2x1500 kW 4DL-42M diesel-generators","8x1 9K310 Igla-1 SAM system launchers (9M313 missiles) 6 533 mm bow torpedo tubes - 18 torpedoes 53-65K, 53-56B, 53-56BA, SET-53M, TEST-71M, USET-80, MG-74 Korund-2 torpedo decoy, Kalibr-PL missile complex (3M54K, 3M14K missiles) or 24 DM-1 mines","MRK-50 Kaskad radar complex, MRP-25 ESM radar system, Khrom-M IFF, MGK-400 Rubikon sonar complex, MG-519 Arfa mine detection sonar, MG-512 Vint self-cavitation measurement sonar, MG-53 noise detection sonar, MG-553 Shkert, MVU-110EM Uzel combat information control system, Andoga navigation complex",60 (16 officers),,,45,,,
555,Novorossiysk,Diesel Attack Submarine,4th Independent Submarine Brigade,,https://www.kchf.ru/eng/ship/submarines/b261.htm,"Submarine 
B-261 Novorossiysk Project 06363 / Improved Kilo class submarine",,,"73,8","9,9",,,,,"1x5800 hp PG-141M electric motor, 1x150 hp PG-142 electric motor, 1 fixed pitch propeller, 2x1500 kW 4DL-42M diesel-generators","8x1 9K310 «Igla-1» SAM system launchers (9M313 missiles) 6 533 mm bow torpedo tubes - 18 torpedoes 53-65K, 53-56B, 53-56BA, SET-53M, TEST-71M, USET-80, MG-74 «Korund-2» torpedo decoy, «Kalibr-PL» missile complex (3M54K, 3M14K missiles) or 24 DM-1 mines","MRK-50 «Kaskad» radar complex, MRP-25 ESM radar system, «Khrom-M» IFF, MGK-400 «Rubikon» sonar complex, MG-519 «Arfa» mine detection sonar, MG-512 «Vint» self-cavitation measurement sonar, MG-53 noise detection sonar, MG-553 «Shkert», MVU-110EM «Uzel» combat information control system, «Andoga» navigation complex",60 (16 officers),,,45,,,
560,Stary Oskol,Diesel Attack Submarine,4th Independent Submarine Brigade,,https://www.kchf.ru/eng/ship/submarines/b262.htm,"Submarine 
B-262 Stary Oskol Project 06363 / Improved Kilo class submarine",,,"73,8","9,9",,,,,"1x5800 hp PG-141M electric motor, 1x150 hp PG-142 electric motor, 1 fixed pitch propeller, 2x1500 kW 4DL-42M diesel-generators","8x1 9K310 «Igla-1» SAM system launchers (9M313 missiles) 6 533 mm bow torpedo tubes - 18 torpedoes 53-65K, 53-56B, 53-56BA, SET-53M, TEST-71M, USET-80, MG-74 «Korund-2» torpedo decoy, «Kalibr-PL» missile complex (3M54K, 3M14K missiles) or 24 DM-1 mines","MRK-50 «Kaskad» radar complex, MRP-25 ESM radar system, «Khrom-M» IFF, MGK-400 «Rubikon» sonar complex, MG-519 «Arfa» mine detection sonar, MG-512 «Vint» self-cavitation measurement sonar, MG-53 noise detection sonar, MG-553 «Shkert», MVU-110EM «Uzel» combat information control system, «Andoga» navigation complex",60 (16 officers),,,45,,,
562,Krasnodar,Diesel Attack Submarine,4th Independent Submarine Brigade,,https://www.kchf.ru/eng/ship/submarines/b265.htm,"Submarine 
B-265 Krasnodar Project 06363 / Improved Kilo class submarine",,,"73,8","9,9",,,,,"1x5800 hp PG-141M electric motor, 1x150 hp PG-142 electric motor, 1 fixed pitch propeller, 2x1500 kW 4DL-42M diesel-generators","8x1 9K310 «Igla-1» SAM system launchers (9M313 missiles) 6 533 mm bow torpedo tubes - 18 torpedoes 53-65K, 53-56B, 53-56BA, SET-53M, TEST-71M, USET-80, MG-74 «Korund-2» torpedo decoy, «Kalibr-PL» missile complex (3M54K, 3M14K missiles) or 24 DM-1 mines","MRK-50 «Kaskad» radar complex, MRP-25 ESM radar system, «Khrom-M» IFF, MGK-400 «Rubikon» sonar complex, MG-519 «Arfa» mine detection sonar, MG-512 «Vint» self-cavitation measurement sonar, MG-53 noise detection sonar, MG-553 «Shkert», MVU-110EM «Uzel» combat information control system, «Andoga» navigation complex",60 (16 officers),,,45,,,
567,Veliky Novgorod,Diesel Attack Submarine,4th Independent Submarine Brigade,,https://www.kchf.ru/eng/ship/submarines/b268.htm,,,,"73,8","9,9",,,,,"1x5800 hp PG-141M electric motor, 1x150 hp PG-142 electric motor, 1 fixed pitch propeller, 2x1500 kW 4DL-42M diesel-generators","8x1 9K310 Igla-1 SAM system launchers (9M313 missiles) 6 533 mm bow torpedo tubes - 18 torpedoes 53-65K, 53-56B, 53-56BA, SET-53M, TEST-71M, USET-80, MG-74 Korund-2 torpedo decoy, Kalibr-PL missile complex (3M54K, 3M14K missiles) or 24 DM-1 mines","MRK-50 Kaskad radar complex, MRP-25 ESM radar system, Khrom-M IFF, MGK-400 Rubikon sonar complex, MG-519 Arfa mine detection sonar, MG-512 Vint self-cavitation measurement sonar, MG-53 noise detection sonar, MG-553 Shkert, MVU-110EM Uzel combat information control system, Andoga navigation complex",60 (16 officers),,,45,,,
570,Kolpino,Diesel Attack Submarine,4th Independent Submarine Brigade,,https://www.kchf.ru/eng/ship/submarines/b271.htm,,,,"73,8","9,9",,,,,"1x5800 hp PG-141M electric motor, 1x150 hp PG-142 electric motor, 1 fixed pitch propeller, 2x1500 kW 4DL-42M diesel-generators","8x1 9K310 Igla-1 SAM system launchers (9M313 missiles) 6 533 mm bow torpedo tubes - 18 torpedoes 53-65K, 53-56B, 53-56BA, SET-53M, TEST-71M, USET-80, MG-74 Korund-2 torpedo decoy, Kalibr-PL missile complex (3M54K, 3M14K missiles) or 24 DM-1 mines","MRK-50 Kaskad radar complex, MRP-25 ESM radar system, Khrom-M IFF, MGK-400 Rubikon sonar complex, MG-519 Arfa mine detection sonar, MG-512 Vint self-cavitation measurement sonar, MG-53 noise detection sonar, MG-553 Shkert , MVU-110EM Uzel combat information control system, Andoga navigation complex",60 (16 officers),,,45,,,
572,Alrosa,Diesel Attack Submarine,4th Independent Submarine Brigade,,https://www.kchf.ru/eng/ship/submarines/b871.htm,"Submarine 
B-871 Alrosa Project 877V / Kilo class submarine",,,"72,6","9,9",,,,,"1x5800 hp PG-141M electric motor, 1x150 hp PG-142 electric motor, 1 pump-jet, 2x1500 kW 4DL-42M diesel-generators","8x1 9K310 Igla-1 SAM system launchers (9M313 missiles) 6 533 mm bow torpedo tubes - 18 torpedoes (53-65K, 53-56B, 53-56BA, SET-53M, TEST-71M, USET-80, MG-74 Korund-2 torpedo decoy) or 24 DM-1 mines","MRK-50 Kaskad radar complex, MRP-25 reconnaissance radar, Khrom IFF, MGK-400 Rubikon sonar complex, MG-519 Arfa mine detection sonar , MG-512 Vint self-cavitation measurement sonar, MG-53 noise detection sonar, MG-553 Shkert, MGS-30, MVU-110 Uzel combat information control system, Andoga navigation complex",60 (16 officers),,,45,,,
,Sokolskoe,Torpedo Retriever,4th Independent Submarine Brigade,,https://www.kchf.ru/eng/ship/boats/sokolskoe.htm,Torpedo Retriever Sokolskoe Project 1388NZT / Shelon Mod Class,,419,"48,9",9,"2,4(max – 2,62)",20,1000 nmi,5,"2x3945 hp CHD622V20 diesels, 2 fixed propellers, 1 bow thruster, 2 D6-150AF-2 diesel-generators x150 kW",,Mius navigation radar,14,6-8 533 mm torpedoes,,,,,
152,Nikolay Filchenkov,Large Landing Ship,197th Landing Ship Brigade,,https://www.kchf.ru/eng/ship/amphibious/nikolay_filchenkov.htm,"Large 
Landing Ship Nikolay Filchenkov Project 1171 / Alligator Class",3040,4650,"113,1","15,6","4,5","16,5",4800 nmi (16 knots),20,"2x4500 hp 58A-4 diesels, 2 fixed pitch propellers, 3x300 kW DGR-300/500-1 diesel generators",1x2 57 mm ZIF-31B – 1200 rounds 2x2 25 mm 2M-3M 2x40 122 mm MS-73 Grad-M (160 rounds) – Groza-1171 fire control system 3x2 9K34 Strela-3 SAM system launchers – 24 9M36 missiles,"Don navigation radars, Khrom-KM IFF",69,20main battle tanks and 440 troops or 47 BTR and 440 troops or 52 army trucks and 440 troops or 1000 tons of cargo,,,,,
148,Orsk,Large Landing Ship,197th Landing Ship Brigade,,https://www.kchf.ru/eng/ship/amphibious/orsk.htm,"Large 
Landing Ship Orsk Project 1171 / Alligator Class",3040,4650,"113,1","15,6","4,5","16,5",4800 nmi (16 knots),20,"2x4500 hp 58A-4 diesels, 2 fixed pitch propellers, 3x300 kW DGR-300/500-1 diesel generators",1x2 57 mm ZIF-31B – 1200 rounds 3x2 9K34 Strela-3 SAM system launchers – 24 9M36 missiles,"Don navigation radars, Khrom-KM IFF",69,20 main battle tanks and 440 troops or 47 BTR and 440 troops or 52 army trucks and 440 troops or 1000 tons of cargo,,,,,
151,Azov,Large Landing Ship,197th Landing Ship Brigade,,https://www.kchf.ru/eng/ship/amphibious/azov.htm,"Large 
Landing Ship Azov Project 775/III / Ropucha-II class",2768,4012,"112,63","15,01","4,26","17,59","3400 nmi (18 kts), 3500 nmi (16 kts), 4000 nmi (12 kts)",30,"2x9600 hp Zgoda-Sulzer 16ZVB40/48 diesels, 2 fixed pitch propellers, 2 stern retractable azimuth thrusters, 3x750 kW diesel generators",1x1 76 mm AK-176M (550 rounds) – MR-123 Vympel-A fire control system 2x6 30 mm AK-630M 2x40 122 mm MS-73 Grad-M launchers (320 rounds) – Groza-1171 fire control system2x4 MTU-4 Strela or 9M38 Igla SAM system (9M39) launchers,"MR-352 Pozitiv-E air/surface search radar, Don (BDK-43) navigation radar PK-16 decoy RL (2 KL-101 launchers)",98 (17 officers),"10 main battle tanks and 340 troops or 12 BTR and 340 troops or 3 main battle tanks, 3 2S9 Nona-S, 5 MT-LB, 4 army trucks and 313 troops or 500 tons of cargo",,,,,
142,Novocherkassk,Large Landing Ship,197th Landing Ship Brigade,,https://www.kchf.ru/eng/ship/amphibious/novocherkassk.htm,"Large 
Landing Ship Novocherkassk Project 775 / Ropucha-I class",2768,4012,"112,5","15,01","4,26","17,59","3400 nmi (18 kts), 3500 nmi (16 kts), 4000 nmi (12 kts)",30,"2x9600 hp Zgoda-Sulzer 16ZVB40/48 diesels, 2 fixed pitch propellers, 2 stern retractable azimuth thrusters, 3x750 kW diesel generators",2x2 57 mm AK-725 (2200 rounds) – MR-103 Bars fire control system 2x40 122 mm MS-73 Grad-M launchers (320 rounds) – Groza-1171 fire control system2x4 MTU-4 (on some ships 4x4) Strela or 9M38 Igla SAM system (9M39) launchers,"MR-302 Rubka air/surface search radar, Mius navigation radar",98 (17 officers),"10 main battle tanks and 340 troops or 12 BTR and 340 troops or 3 main battle tanks, 3 2S9 Nona-S, 5 MT-LB, 4 army trucks and 313 troops or 500 tons of cargo",,,,,
158,Caesar Kunikov,Large Landing Ship,197th Landing Ship Brigade,,https://www.kchf.ru/eng/ship/amphibious/cesar.htm,"Large 
Landing Ship Caesar Kunikov Project 775/II / Ropucha I class",2768,4012,"112,55",15,"4,05","17,59","3400 nmi (18 kts), 3500 nmi (16 kts), 4000 nmi (12 kts)",30,"2x9600 hp Zgoda-Sulzer 16ZVB40/48 diesels, 2 fixed pitch propellers, 2 stern retractable azimuth thrusters, 3x750 kW diesel generators","2x2 57 mm AK-725 (2200 rounds) – MR-103 Bars fire control system 2x40 122 mm MS-73 Grad-M launchers (№19, from №21) (320 rounds) – Groza-1171 fire control system","MR-302 Rubka air/surface search radar, Don navigation radar",98 (17 officers),"10 main battle tanks and 340 troops or 12 PT-76 light tanks and 150 troops or 3 main battle tanks, 3 2S9 Nona-S, 5 MT-LB, 4 army trucks and 313 troops or 20 army trucks and 150 troops or 500 tons of cargo",,,,,
156,Yamal,Large Landing Ship,197th Landing Ship Brigade,,https://www.kchf.ru/eng/ship/amphibious/yamal.htm,,2768,4012,"112,55",15,"4,05","17,59","3400 nmi (18 kts), 3500 nmi (16 kts), 4000 nmi (12 kts)",30,"2x9600 hp Zgoda-Sulzer 16ZVB40/48 diesels, 2 fixed pitch propellers, 2 stern retractable azimuth thrusters, 3x750 kW diesel generators","2x2 57 mm AK-725 (2200 rounds) – MR-103 Bars fire control system 2x40 122 mm MS-73 Grad-M launchers (№19, from №21) (320 rounds) – Groza-1171 fire control system","MR-302 Rubka air/surface search radar, Don navigation radar",98 (17 officers),"10 main battle tanks and 340 troops or 12 PT-76 light tanks and 150 troops or 3 main battle tanks, 3 2S9 Nona-S, 5 MT-LB, 4 army trucks and 313 troops or 20 army trucks and 150 troops or 500 tons of cargo",,,,,
059,Alexandrovets,ASW Corvette,68th Coastal Defense Ship Brigade ,149th Antisubmarine Ship Division,https://www.kchf.ru/eng/ship/aswcorvettes/alexandrovetc.htm,"ASW 
Corvette Alexandrovets Project 1124 / Grisha III class",835,990,"71,07","10,15","3,54",32,"4000 nmi (10 knots), 2700 nmi (14 knots), 950 nmi (27 knots)",7,"1x18000 hp M-8 gas turbine, 2x10000 hp M-507A diesels, 3 fixed pitch propellers, 1x500 kW ASDG-500 diesel generator, 1x300 kW DGN-300 diesel generator, 1x200 kW DG-200 diesel generator","1x2 ZIF-122 4K33 Osa-M SAM system launcher (20 9M33 missiles) - 4R-33 fire control system 1x2 57 mm AK-725 (1100 rounds) - MR-103 Bars fire control system1x6 30 mm AK-630 (2000 rounds)2x2 533 mm DTA-53-1124 torpedo tubes (4 TEST-71, TEST-71M, SET-65, SET-53, SET-53M, 53-65K torpedoes) - Drakon fire control system 2x12 RBU-6000 Smerch-2 (96 RGB-60) - Burya fire control system 12 BB-1 or BPS depth charges 18 mines","MR-302 Rubka air/surface search radar, Bizan-4B reconnaissance radar , Donnavigation radar , Nickel IFF, ARP-50R radio direction finder, MG-322T Amgun sonar, MG-339T Shelonsonar, MG-26 Khosta underwater communication system, KMG-12 Kassandrasonar, MGS-407K sonar, MI-110K and MI-110R anti-submarine search station",83 (9 officers),,,,,,
071,Suzdalets,ASW Corvette,68th Coastal Defense Ship Brigade ,149th Antisubmarine Ship Division,https://www.kchf.ru/eng/ship/aswcorvettes/suzdaletc.htm,"Large 
ASW Corvette Suzdalets Project 1124M / Grisha V class",910,1055,"71,07","10,15","3,71","31,67","2727 nmi (14,56 knots), 640 nmi (29 knots)",10,"1x18000 hp M-8 gas turbine, 2x10000 hp M-507A-1P diesels or 2x10000 hp M-507A-2 diesels, 3 fixed pitch propellers, 1x500 kW ASDG-500 diesel generator, 1x300 kW diesel generator, 1x200 kW diesel generator","1x2 ZIF-122 4K33 Osa-MA SAM system launcher (20 9M33M missiles) - 4R-33A 1x2 or 1x4 9K34 Strela-3 SAM system launcher (8 9M36 missiles) or 9K38 Igla SAM system (8 9M39 missiles)1x1 76 mm AK-176 (304 rounds), 1x6 30 mm AK-630M (3000 rounds) - MR-123 Vympel-A fire control system2x2 533 mm DTA-53-1124 torpedo tubes (4 torpedoes TEST-71, TEST-71M, SET-65, SET-53, SET-53M, 53-65K) - Drakon fire control system1x12 RBU-6000 Smerch-2 (48 RGB-60) 12 BB-1 or BPS depth charges 18 mines","MR-320 Topaz-2V air/surface search radar, Vympel-R2 reconnaissance radar, MR-212 Vaygach navigation radar, Nickel IFF , ARP-50R radio direction finder, Spektr-F laser detection warning system, MGK-335 Platina sonar, MG-339T Shelon sonar, MG-26 Khosta underwater communication system, KMG-12 Kassandra sonar, MGS-407K sonar, MI-110K and MI-110R anti-submarine search station PK-16 decoy RL (2 launchers KL-101) and PK-10 Smely (4 KT-216 launchers)",90 (9 officers),,,,,,
