"Adjusted Grade","New?","Other Location Code in LCGMS","School Name","SED Code","Location Code","District","Latitude","Longitude","Address (Full)","City","Zip","Grades","Grade Low","Grade High","Community School?","Economic Need Index","School Income Estimate","Percent ELL","Percent Asian","Percent Black","Percent Hispanic","Percent Black / Hispanic","Percent White","Student Attendance Rate","Percent of Students Chronically Absent","Rigorous Instruction %","Rigorous Instruction Rating","Collaborative Teachers %","Collaborative Teachers Rating","Supportive Environment %","Supportive Environment Rating","Effective School Leadership %","Effective School Leadership Rating","Strong Family-Community Ties %","Strong Family-Community Ties Rating","Trust %","Trust Rating","Student Achievement Rating","Average ELA Proficiency","Average Math Proficiency","Grade 3 ELA - All Students Tested","Grade 3 ELA 4s - All Students","Grade 3 ELA 4s - American Indian or Alaska Native","Grade 3 ELA 4s - Black or African American","Grade 3 ELA 4s - Hispanic or Latino","Grade 3 ELA 4s - Asian or Pacific Islander","Grade 3 ELA 4s - White","Grade 3 ELA 4s - Multiracial","Grade 3 ELA 4s - Limited English Proficient","Grade 3 ELA 4s - Economically Disadvantaged","Grade 3 Math - All Students tested","Grade 3 Math 4s - All Students","Grade 3 Math 4s - American Indian or Alaska Native","Grade 3 Math 4s - Black or African American","Grade 3 Math 4s - Hispanic or Latino","Grade 3 Math 4s - Asian or Pacific Islander","Grade 3 Math 4s - White","Grade 3 Math 4s - Multiracial","Grade 3 Math 4s - Limited English Proficient","Grade 3 Math 4s - Economically Disadvantaged","Grade 4 ELA - All Students Tested","Grade 4 ELA 4s - All Students","Grade 4 ELA 4s - American Indian or Alaska Native","Grade 4 ELA 4s - Black or African American","Grade 4 ELA 4s - Hispanic or Latino","Grade 4 ELA 4s - Asian or Pacific Islander","Grade 4 ELA 4s - White","Grade 4 ELA 4s - Multiracial","Grade 4 ELA 4s - Limited English Proficient","Grade 4 ELA 4s - Economically Disadvantaged","Grade 4 Math - All Students Tested","Grade 4 Math 4s - All Students","Grade 4 Math 4s - American Indian or Alaska Native","Grade 4 Math 4s - Black or African American","Grade 4 Math 4s - Hispanic or Latino","Grade 4 Math 4s - Asian or Pacific Islander","Grade 4 Math 4s - White","Grade 4 Math 4s - Multiracial","Grade 4 Math 4s - Limited English Proficient","Grade 4 Math 4s - Economically Disadvantaged","Grade 5 ELA - All Students Tested","Grade 5 ELA 4s - All Students","Grade 5 ELA 4s - American Indian or Alaska Native","Grade 5 ELA 4s - Black or African American","Grade 5 ELA 4s - Hispanic or Latino","Grade 5 ELA 4s - Asian or Pacific Islander","Grade 5 ELA 4s - White","Grade 5 ELA 4s - Multiracial","Grade 5 ELA 4s - Limited English Proficient","Grade 5 ELA 4s - Economically Disadvantaged","Grade 5 Math - All Students Tested","Grade 5 Math 4s - All Students","Grade 5 Math 4s - American Indian or Alaska Native","Grade 5 Math 4s - Black or African American","Grade 5 Math 4s - Hispanic or Latino","Grade 5 Math 4s - Asian or Pacific Islander","Grade 5 Math 4s - White","Grade 5 Math 4s - Multiracial","Grade 5 Math 4s - Limited English Proficient","Grade 5 Math 4s - Economically Disadvantaged","Grade 6 ELA - All Students Tested","Grade 6 ELA 4s - All Students","Grade 6 ELA 4s - American Indian or Alaska Native","Grade 6 ELA 4s - Black or African American","Grade 6 ELA 4s - Hispanic or Latino","Grade 6 ELA 4s - Asian or Pacific Islander","Grade 6 ELA 4s - White","Grade 6 ELA 4s - Multiracial","Grade 6 ELA 4s - Limited English Proficient","Grade 6 ELA 4s - Economically Disadvantaged","Grade 6 Math - All Students Tested","Grade 6 Math 4s - All Students","Grade 6 Math 4s - American Indian or Alaska Native","Grade 6 Math 4s - Black or African American","Grade 6 Math 4s - Hispanic or Latino","Grade 6 Math 4s - Asian or Pacific Islander","Grade 6 Math 4s - White","Grade 6 Math 4s - Multiracial","Grade 6 Math 4s - Limited English Proficient","Grade 6 Math 4s - Economically Disadvantaged","Grade 7 ELA - All Students Tested","Grade 7 ELA 4s - All Students","Grade 7 ELA 4s - American Indian or Alaska Native","Grade 7 ELA 4s - Black or African American","Grade 7 ELA 4s - Hispanic or Latino","Grade 7 ELA 4s - Asian or Pacific Islander","Grade 7 ELA 4s - White","Grade 7 ELA 4s - Multiracial","Grade 7 ELA 4s - Limited English Proficient","Grade 7 ELA 4s - Economically Disadvantaged","Grade 7 Math - All Students Tested","Grade 7 Math 4s - All Students","Grade 7 Math 4s - American Indian or Alaska Native","Grade 7 Math 4s - Black or African American","Grade 7 Math 4s - Hispanic or Latino","Grade 7 Math 4s - Asian or Pacific Islander","Grade 7 Math 4s - White","Grade 7 Math 4s - Multiracial","Grade 7 Math 4s - Limited English Proficient","Grade 7 Math 4s - Economically Disadvantaged","Grade 8 ELA - All Students Tested","Grade 8 ELA 4s - All Students","Grade 8 ELA 4s - American Indian or Alaska Native","Grade 8 ELA 4s - Black or African American","Grade 8 ELA 4s - Hispanic or Latino","Grade 8 ELA 4s - Asian or Pacific Islander","Grade 8 ELA 4s - White","Grade 8 ELA 4s - Multiracial","Grade 8 ELA 4s - Limited English Proficient","Grade 8 ELA 4s - Economically Disadvantaged","Grade 8 Math - All Students Tested","Grade 8 Math 4s - All Students","Grade 8 Math 4s - American Indian or Alaska Native","Grade 8 Math 4s - Black or African American","Grade 8 Math 4s - Hispanic or Latino","Grade 8 Math 4s - Asian or Pacific Islander","Grade 8 Math 4s - White","Grade 8 Math 4s - Multiracial","Grade 8 Math 4s - Limited English Proficient","Grade 8 Math 4s - Economically Disadvantaged"
,,,"M.S. 243 CENTER SCHOOL","310300010243","03M243",3,40.785101,-73.973867,"100 W 84TH ST-RM 310 NEW YORK, NY 10024","NEW YORK","10024","05,06,07,08","05","08","No",0.181,"N/A",0%,8%,15%,12%,27%,61%,98%,0%,96%,"Exceeding Target",91%,"Meeting Target",96%,"Exceeding Target",90%,"Meeting Target",91%,"Exceeding Target",96%,"Exceeding Target","Exceeding Target",3.61,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,27,0,2,3,0,16,3,0,0,56,18,0,2,0,0,12,2,0,0,55,29,0,3,4,0,18,0,0,4,55,22,0,1,4,0,16,0,0,1,57,32,0,2,2,0,24,0,0,0,57,23,0,0,3,0,17,0,0,0,48,20,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"M.S. M245 THE COMPUTER SCHOOL","310300010245","03M245",3,40.781081,-73.978085,"100 W 77TH ST NEW YORK, NY 10024","NEW YORK","10024","06,07,08","06","08","No",0.304,"N/A",3%,6%,14%,26%,40%,50%,97%,6%,90%,"Exceeding Target",92%,"Exceeding Target",91%,"Exceeding Target",85%,"Meeting Target",86%,"Meeting Target",95%,"Exceeding Target","Exceeding Target",3.17,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,37,0,2,8,0,20,3,0,8,126,46,0,5,9,0,26,2,0,8,124,41,0,3,8,2,26,0,0,6,125,35,0,2,6,2,24,0,0,5,111,36,0,5,4,0,20,0,0,4,26,1,0,0,1,0,0,0,0,0
,,,"M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL","310300010247","03M247",3,40.789382,-73.9681,"32 W 92ND ST NEW YORK, NY 10025","NEW YORK","10025","06,07,08","06","08","No",0.802,"N/A",31%,0%,1%,99%,99%,1%,96%,7%,89%,"Exceeding Target",93%,"Exceeding Target",92%,"Exceeding Target",88%,"Meeting Target",88%,"Exceeding Target",95%,"Exceeding Target","Exceeding Target",2.51,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0,0,0,55,7,0,0,0,0,0,0,1,7,63,2,0,0,2,0,0,0,0,2,65,2,0,0,2,0,0,0,0,2,54,6,0,0,0,0,0,0,0,0,57,10,0,0,0,0,0,0,0,0
,,,"M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL","310300010250","03M250",3,40.79511,-73.973988,"735 W END AVE NEW YORK, NY 10025","NEW YORK","10025","06,07,08","06","08","No",0.661,"N/A",6%,2%,32%,55%,87%,9%,94%,18%,91%,"Meeting Target",98%,"Exceeding Target",91%,"Exceeding Target",97%,"Exceeding Target",82%,"Meeting Target",96%,"Exceeding Target","Exceeding Target",2.61,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,2,1,0,0,0,0,1,50,3,0,2,0,0,0,0,0,1,52,5,0,1,3,0,0,0,0,2,52,3,0,0,2,0,0,0,0,2,57,4,0,2,1,0,0,0,0,4,57,0,0,0,0,0,0,0,0,0
,,,"M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE","310300010256","03M256",3,40.791685,-73.97077,"154 W 93RD ST NEW YORK, NY 10025","NEW YORK","10025","06,07,08","06","08","No",0.778,"N/A",19%,2%,51%,38%,88%,7%,88%,38%,83%,"Approaching Target",89%,"Meeting Target",80%,"Approaching Target",87%,"Meeting Target",83%,"Meeting Target",91%,"Meeting Target","Meeting Target",2.27,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,47,4,0,1,1,0,0,0,0,2,52,3,0,1,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,35,2,0,0,1,0,0,0,0,2
,,,"COMMUNITY ACTION SCHOOL - MS 258","310300010258","03M258",3,40.791685,-73.97077,"154 W 93RD ST NEW YORK, NY 10025","NEW YORK","10025","06,07,08","06","08","No",0.73,"N/A",3%,2%,45%,43%,87%,11%,94%,15%,96%,"Exceeding Target",96%,"Exceeding Target",87%,"Exceeding Target",94%,"Exceeding Target",82%,"Meeting Target",93%,"Exceeding Target","Meeting Target",2.41,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,1,0,0,1,0,0,1,50,10,0,4,4,0,2,0,0,5,67,2,0,1,1,0,0,0,0,1,67,3,0,1,2,0,0,0,0,2,70,5,0,0,2,0,0,0,0,4,70,5,0,0,3,0,0,0,0,4
,"x",,"WEST END SECONDARY SCHOOL","310300011291","03M291",3,40.772487,-73.988153,"227-243 W 61ST ST NEW YORK, NY 10023","NEW YORK","10023","06,07,08","06","08","No","N/A","N/A",2%,4%,10%,18%,27%,63%,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,37,0,1,1,1,29,0,0,1,127,54,0,3,4,2,41,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 333 MANHATTAN SCHOOL FOR CHILDREN","310300010333","03M333",3,40.791685,-73.97077,"154 W 93RD ST NEW YORK, NY 10025","NEW YORK","10025","0K,01,02,03,04,05,06,07,08","0K","08","No",0.233,"$72,112.72 ",1%,7%,11%,17%,27%,62%,95%,9%,93%,"Exceeding Target",87%,"Exceeding Target",88%,"Meeting Target",79%,"Meeting Target",94%,"Exceeding Target",91%,"Meeting Target","Meeting Target",3.09,3.03,85,15,0,1,0,1,13,0,0,0,84,27,0,1,3,2,21,0,0,0,82,35,0,4,2,0,25,0,0,3,82,29,0,3,2,0,20,0,0,2,70,24,0,0,0,2,21,0,0,0,68,25,0,0,2,3,19,0,0,0,51,9,0,0,2,0,5,0,0,2,51,9,0,0,1,0,6,0,0,3,46,15,0,0,4,0,10,0,0,3,46,6,0,0,1,0,5,0,0,0,44,10,0,2,0,0,5,0,0,2,20,1,0,0,0,0,1,0,0,0
,,,"THE ANDERSON SCHOOL","310300010334","03M334",3,40.781081,-73.978085,"100 W 77TH ST NEW YORK, NY 10024","NEW YORK","10024","0K,01,02,03,04,05,06,07,08","0K","08","No",0.134,"$89,026.73 ",0%,28%,4%,9%,13%,53%,98%,1%,90%,"Exceeding Target",90%,"Exceeding Target",92%,"Exceeding Target",87%,"Meeting Target",93%,"Exceeding Target",92%,"Meeting Target","Exceeding Target",3.93,4.15,59,29,0,0,2,12,12,0,0,4,59,55,0,0,0,0,25,0,0,7,56,50,0,0,5,13,27,0,0,0,56,51,0,0,4,13,29,0,0,0,50,29,0,0,0,6,17,0,0,0,50,34,0,0,0,5,23,0,0,0,89,59,0,0,3,20,33,0,0,5,89,79,0,0,3,24,48,0,0,0,72,50,0,0,0,13,30,0,0,4,72,59,0,0,0,0,39,0,0,3,61,50,0,0,4,21,19,0,0,9,0,0,0,0,0,0,0,0,0,0
,,,"WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS","310300011415","03M415",3,40.802284,-73.95408,"215 W 114TH ST NEW YORK, NY 10026","NEW YORK","10026","06,07,08,09,10,11,12","06","12","Yes",0.791,"N/A",5%,2%,53%,44%,96%,1%,93%,23%,86%,"Approaching Target",77%,"Approaching Target",82%,"Meeting Target",71%,"Approaching Target",77%,"Meeting Target",82%,"Approaching Target","Approaching Target",2.04,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
,,,"WEST PREP ACADEMY","310300010421","03M421",3,40.79909,-73.965359,"150 W 105TH ST NEW YORK, NY 10025","NEW YORK","10025","06,07,08","06","08","No",0.767,"N/A",5%,2%,52%,39%,91%,5%,92%,25%,90%,"Meeting Target",97%,"Exceeding Target",83%,"Meeting Target",94%,"Exceeding Target",86%,"Exceeding Target",94%,"Meeting Target","Meeting Target",2.31,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,0,1,0,0,0,0,0,0,56,3,0,3,0,0,0,0,0,1,55,0,0,0,0,0,0,0,0,0,55,2,0,1,0,0,1,0,0,1,51,1,0,0,0,0,0,0,0,1,50,1,0,0,0,0,0,0,0,0
,,,"P.S. 452","310300010452","03M452",3,40.781081,-73.978085,"100 W 77TH ST NEW YORK, NY 10024","NEW YORK","10024","0K,01,02,03,04,05","0K","05","No",0.162,"$102,963.37 ",2%,10%,8%,13%,21%,64%,96%,9%,97%,"Exceeding Target",98%,"Exceeding Target",99%,"Exceeding Target",96%,"Exceeding Target",94%,"Exceeding Target",97%,"Exceeding Target","N/A",3.28,3.37,45,17,0,0,0,4,10,3,0,0,45,18,0,0,0,4,10,3,0,0,48,17,0,1,0,3,12,0,0,0,48,27,0,1,0,2,23,0,0,0,45,11,0,0,0,5,6,0,0,1,45,25,0,0,2,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"SPECIAL MUSIC SCHOOL","310300011859","03M859",3,40.775221,-73.982997,"129 W 67TH ST NEW YORK, NY 10023","NEW YORK","10023","0K,01,02,03,04,05,06,07,08,09,10,11,12","0K","12","No",0.253,"$76,791.47 ",1%,16%,13%,14%,28%,43%,96%,7%,96%,"Exceeding Target",97%,"Exceeding Target",91%,"Exceeding Target",95%,"Exceeding Target",91%,"Exceeding Target",95%,"Exceeding Target","Exceeding Target",3.67,3.85,16,5,0,0,0,0,0,0,0,0,16,8,0,0,0,0,3,0,0,0,12,9,0,0,0,0,5,0,0,0,12,9,0,0,0,0,5,0,0,0,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,6,0,0,0,14,9,0,0,0,0,7,0,0,0,14,10,0,0,0,0,6,0,0,0,14,7,0,0,0,0,3,0,0,0,14,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL","310300011860","03M860",3,40.802284,-73.95408,"215 W 114TH ST NEW YORK, NY 10026","NEW YORK","10026","06,07,08,09,10,11,12","06","12","No",0.786,"N/A",8%,2%,68%,27%,95%,1%,88%,34%,76%,"Approaching Target",76%,"Meeting Target",81%,"Approaching Target",72%,"Approaching Target",76%,"Approaching Target",84%,"Meeting Target","Meeting Target",2.32,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,22,1,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
,,,"MOTT HALL II","310300010862","03M862",3,40.802678,-73.96595,"234 W 109TH ST NEW YORK, NY 10025","NEW YORK","10025","06,07,08","06","08","No",0.477,"N/A",2%,6%,26%,37%,63%,26%,96%,8%,83%,"Meeting Target",95%,"Meeting Target",89%,"Exceeding Target",93%,"Exceeding Target",84%,"Meeting Target",95%,"Exceeding Target","Meeting Target",3.11,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,29,0,9,5,0,10,0,0,14,107,34,0,7,11,0,11,0,0,17,108,23,0,4,5,1,10,0,0,8,108,26,0,3,5,5,11,0,0,6,105,23,0,7,7,0,8,0,0,7,53,4,0,1,1,0,0,0,0,1
,,,"P.S. 007 SAMUEL STERN","310400010007","04M007",4,40.800631,-73.939323,"160 E 120TH ST NEW YORK, NY 10035","NEW YORK","10035","PK,0K,01,02,03,04,05,06,07,08","PK","08","No",0.899,"$24,553.59 ",12%,3%,30%,62%,92%,4%,90%,34%,90%,"Meeting Target",86%,"Exceeding Target",83%,"Approaching Target",82%,"Meeting Target",84%,"Meeting Target",87%,"Meeting Target","Exceeding Target",2.43,2.52,27,0,0,0,0,0,0,0,0,0,27,2,0,0,2,0,0,0,0,0,34,2,0,0,1,0,0,0,0,0,34,5,0,0,3,0,0,0,0,0,25,2,0,0,1,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,44,2,0,0,2,0,0,0,0,1,43,2,0,0,2,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,35,5,0,0,4,0,0,0,0,5,32,1,0,0,0,0,0,0,0,1
,,,"TAG YOUNG SCHOLARS","310400010012","04M012",4,40.79259,-73.942119,"240 E 109TH ST NEW YORK, NY 10029","NEW YORK","10029","0K,01,02,03,04,05,06,07,08","0K","08","No",0.435,"$48,431.58 ",0%,34%,25%,19%,44%,15%,97%,5%,92%,"Exceeding Target",92%,"Exceeding Target",91%,"Exceeding Target",86%,"Meeting Target",87%,"Meeting Target",90%,"Meeting Target","Exceeding Target",3.64,3.89,57,37,0,10,3,17,0,0,0,16,58,47,0,12,4,22,0,0,0,21,61,41,0,0,7,15,0,0,0,19,61,57,0,0,15,18,0,0,0,0,94,54,0,5,9,26,8,0,0,30,94,46,0,4,4,25,8,0,0,22,56,35,0,4,8,17,0,0,0,22,56,50,0,8,14,20,0,0,0,31,56,38,0,7,5,18,0,0,0,21,57,42,0,8,5,22,0,0,0,21,52,31,0,13,0,13,0,0,0,19,0,0,0,0,0,0,0,0,0,0
,,,"RIVER EAST ELEMENTARY","310400010037","04M037",4,40.796906,-73.929978,"508 E 120TH ST NEW YORK, NY 10035","NEW YORK","10035","0K,01,02,03,04,05","0K","05","No",0.779,"$28,310.81 ",4%,0%,45%,51%,96%,2%,92%,28%,90%,"Meeting Target",88%,"Exceeding Target",92%,"Meeting Target",74%,"Approaching Target",86%,"Meeting Target",93%,"Meeting Target","Meeting Target",2.5,2.44,16,0,0,0,0,0,0,0,0,0,16,1,0,1,0,0,0,0,0,0,36,2,0,2,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,31,3,0,1,2,0,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 38 ROBERTO CLEMENTE","310400010038","04M038",4,40.788684,-73.944766,"232 E 103RD ST NEW YORK, NY 10029","NEW YORK","10029","PK,0K,01,02,03,04,05","PK","05","No",0.915,"$34,567.95 ",10%,4%,31%,61%,91%,2%,88%,50%,87%,"Approaching Target",77%,"Not Meeting Target",76%,"Approaching Target",68%,"Approaching Target",82%,"Approaching Target",82%,"Approaching Target","Meeting Target",2.14,2.12,36,1,0,0,1,0,0,0,0,1,36,2,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 050 VITO MARCANTONIO","310400010050","04M050",4,40.785868,-73.940587,"433 E 100TH ST NEW YORK, NY 10029","NEW YORK","10029","0K,01,02,03,04,05,06,07,08","0K","08","Yes",0.89,"$30,295.44 ",10%,1%,45%,53%,98%,0%,87%,49%,87%,"Approaching Target",74%,"Not Meeting Target",89%,"N/A",67%,"Approaching Target",79%,"Approaching Target",84%,"Approaching Target","Approaching Target",2.1,2.07,30,1,0,0,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,1,25,1,0,1,0,0,0,0,0,1,26,1,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,22,1,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
,,,"JAMES WELDON JOHNSON","310400010057","04M057",4,40.797156,-73.941285,"176 E 115TH ST NEW YORK, NY 10029","NEW YORK","10029","PK,0K,01,02,03,04,05,06,07,08","PK","08","No",0.885,"$26,905.07 ",12%,4%,26%,67%,93%,2%,92%,28%,92%,"Meeting Target",85%,"Meeting Target",85%,"Meeting Target",81%,"Meeting Target",82%,"Approaching Target",91%,"Meeting Target","Exceeding Target",2.46,2.57,86,2,0,0,1,0,0,0,0,1,86,3,0,0,1,0,0,0,0,3,86,14,0,3,8,3,0,0,0,13,86,12,0,1,9,2,0,0,0,12,93,4,0,0,2,0,0,0,0,2,93,9,0,0,5,0,0,0,0,7,87,6,0,1,3,0,0,0,1,6,87,3,0,1,1,0,0,0,0,3,91,2,0,0,0,0,0,0,0,2,91,4,0,2,0,0,0,0,0,4,90,9,0,1,6,0,0,0,0,9,90,3,0,0,3,0,0,0,0,3
,,,"THE LEXINGTON ACADEMY","310400010072","04M072",4,40.791451,-73.947448,"131 E 104TH ST NEW YORK, NY 10029","NEW YORK","10029","PK,0K,01,02,03,04,05,06,07,08","PK","08","No",0.866,"$33,728.15 ",11%,1%,13%,83%,95%,3%,92%,30%,90%,"Meeting Target",90%,"Exceeding Target",94%,"Exceeding Target",82%,"Meeting Target",87%,"Meeting Target",92%,"Meeting Target","Meeting Target",2.32,2.4,46,0,0,0,0,0,0,0,0,0,46,4,0,0,3,0,0,0,1,0,61,3,0,0,2,0,0,0,0,0,62,6,0,0,6,0,0,0,0,0,71,3,0,0,0,0,0,0,0,0,72,1,0,0,0,0,0,0,0,0,78,2,0,0,2,0,0,0,0,2,77,5,0,0,5,0,0,0,0,5,73,0,0,0,0,0,0,0,0,0,72,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 083 LUIS MUNOZ RIVERA","310400010083","04M083",4,40.79313,-73.941812,"219 E 109TH ST NEW YORK, NY 10029","NEW YORK","10029","PK,0K,01,02,03,04,05","PK","05","No",0.772,"$31,874.34 ",9%,13%,20%,64%,84%,3%,93%,25%,88%,"Approaching Target",90%,"Meeting Target",90%,"Meeting Target",85%,"Meeting Target",87%,"Meeting Target",98%,"Exceeding Target","Exceeding Target",2.76,2.8,69,9,0,3,2,0,0,0,0,8,71,18,0,4,7,5,2,0,1,15,62,11,0,1,7,0,0,0,0,6,63,8,0,1,4,0,0,0,0,7,61,6,0,1,3,0,0,0,0,3,61,17,0,1,11,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 096 JOSEPH LANZETTA","310400010096","04M096",4,40.799987,-73.937388,"216 E 120TH ST NEW YORK, NY 10035","NEW YORK","10035","PK,0K,01,02,03,04,05,06,07,08","PK","08","No",0.902,"$25,392.85 ",18%,2%,26%,68%,94%,3%,91%,37%,88%,"Approaching Target",85%,"Meeting Target",89%,"Meeting Target",77%,"Approaching Target",77%,"Not Meeting Target",88%,"Approaching Target","Meeting Target",2.17,2.03,40,1,0,0,1,0,0,0,0,0,42,3,0,0,3,0,0,0,0,0,41,1,0,0,1,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,53,1,0,0,1,0,0,0,0,1,53,0,0,0,0,0,0,0,0,0,49,1,0,0,1,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,48,1,0,0,1,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,51,1,0,0,1,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
