location;indicator;subject;measure;frequency;time;value
AUT;WAGEGAP;EMPLOYEE;PC;A;2000;23.141.943.088
AUT;WAGEGAP;EMPLOYEE;PC;A;2001;22.801.817.823
AUT;WAGEGAP;EMPLOYEE;PC;A;2002;2.448.922.362
AUT;WAGEGAP;EMPLOYEE;PC;A;2003;21.136.921.977
AUT;WAGEGAP;EMPLOYEE;PC;A;2004;22.430.792.158
AUT;WAGEGAP;EMPLOYEE;PC;A;2005;22.032.085.753
AUT;WAGEGAP;EMPLOYEE;PC;A;2006;21.855.130.427
AUT;WAGEGAP;EMPLOYEE;PC;A;2007;21.634.276.366
AUT;WAGEGAP;EMPLOYEE;PC;A;2008;20.917.320.274
AUT;WAGEGAP;EMPLOYEE;PC;A;2009;19.355.965.917
AUT;WAGEGAP;EMPLOYEE;PC;A;2010;19.188.862.682
AUT;WAGEGAP;EMPLOYEE;PC;A;2011;18.550.554.118
AUT;WAGEGAP;EMPLOYEE;PC;A;2012;18.185.056.843
AUT;WAGEGAP;EMPLOYEE;PC;A;2013;18.053.211.411
AUT;WAGEGAP;EMPLOYEE;PC;A;2014;17.728.884.245
AUT;WAGEGAP;EMPLOYEE;PC;A;2015;1.704.325.299
AUT;WAGEGAP;EMPLOYEE;PC;A;2016;15.670.899.643
AUT;WAGEGAP;EMPLOYEE;PC;A;2017;1.538.215.397
AUT;WAGEGAP;EMPLOYEE;PC;A;2018;14.876.690.892
AUT;WAGEGAP;EMPLOYEE;PC;A;2019;14.011.740.808
AUT;WAGEGAP;EMPLOYEE;PC;A;2020;13.325.382.523
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2003;4.256.760.025
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2004;44.539.764.404
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2005;46.873.012.543
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2006;45.036.987.305
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2007;41.820.960.999
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2008;35.682.811.737
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2009;32.342.735.291
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2010;30.243.335.724
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2011;32.939.476.013
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2012;34.088.447.571
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2013;32.978.439.331
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2014;31.625.078.201
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2015;29.084.331.512
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2016;28.984.521.866
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2017;27.933.237.076
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2018;27.394.569.397
BEL;WAGEGAP;SELFEMPLOYED;PC;A;2019;26.422.130.585
BEL;WAGEGAP;EMPLOYEE;PC;A;1999;15.182.987.141
BEL;WAGEGAP;EMPLOYEE;PC;A;2000;13.599.231.139
BEL;WAGEGAP;EMPLOYEE;PC;A;2001;13.186.813.187
BEL;WAGEGAP;EMPLOYEE;PC;A;2002;11.604.714.415
BEL;WAGEGAP;EMPLOYEE;PC;A;2003;15.205.183.585
BEL;WAGEGAP;EMPLOYEE;PC;A;2004;11.832.061.069
BEL;WAGEGAP;EMPLOYEE;PC;A;2005;11.511.092.507
BEL;WAGEGAP;EMPLOYEE;PC;A;2006;10.253.267.974
BEL;WAGEGAP;EMPLOYEE;PC;A;2007;98.736.176.935
BEL;WAGEGAP;EMPLOYEE;PC;A;2008;89.157.536.834
BEL;WAGEGAP;EMPLOYEE;PC;A;2009;74.804.614.812
BEL;WAGEGAP;EMPLOYEE;PC;A;2010;70.437.956.204
BEL;WAGEGAP;EMPLOYEE;PC;A;2011;58.381.088.825
BEL;WAGEGAP;EMPLOYEE;PC;A;2012;64.111.498.258
BEL;WAGEGAP;EMPLOYEE;PC;A;2013;59.128.630.705
BEL;WAGEGAP;EMPLOYEE;PC;A;2014;32.989.003.665
BEL;WAGEGAP;EMPLOYEE;PC;A;2015;4.672
BEL;WAGEGAP;EMPLOYEE;PC;A;2016;37.012.987.013
BEL;WAGEGAP;EMPLOYEE;PC;A;2017;41.902.961.563
BEL;WAGEGAP;EMPLOYEE;PC;A;2018;34.087.569.791
BEL;WAGEGAP;EMPLOYEE;PC;A;2019;3.798.185.941
CAN;WAGEGAP;SELFEMPLOYED;PC;A;2006;42.694.499.969
CAN;WAGEGAP;SELFEMPLOYED;PC;A;2007;43.911.998.749
CAN;WAGEGAP;SELFEMPLOYED;PC;A;2008;44.255.001.068
CAN;WAGEGAP;SELFEMPLOYED;PC;A;2009;43.769.664.764
CAN;WAGEGAP;SELFEMPLOYED;PC;A;2010;45.027.332.306
CAN;WAGEGAP;SELFEMPLOYED;PC;A;2011;4.395.533.371
CAN;WAGEGAP;SELFEMPLOYED;PC;A;2012;44.086.334.229
CAN;WAGEGAP;SELFEMPLOYED;PC;A;2013;40.931.999.207
CAN;WAGEGAP;SELFEMPLOYED;PC;A;2014;3.904.933.548
CAN;WAGEGAP;SELFEMPLOYED;PC;A;2015;36.813.999.176
CAN;WAGEGAP;SELFEMPLOYED;PC;A;2016;33.539.333.344
CAN;WAGEGAP;SELFEMPLOYED;PC;A;2017;33.541.023.254
CAN;WAGEGAP;SELFEMPLOYED;PC;A;2018;3.175.894.928
CAN;WAGEGAP;SELFEMPLOYED;PC;A;2019;32.221.923.828
CAN;WAGEGAP;EMPLOYEE;PC;A;1997;24.705.882.353
CAN;WAGEGAP;EMPLOYEE;PC;A;1998;24.855.491.329
CAN;WAGEGAP;EMPLOYEE;PC;A;1999;24
CAN;WAGEGAP;EMPLOYEE;PC;A;2000;23.875
CAN;WAGEGAP;EMPLOYEE;PC;A;2001;24.324.579.125
CAN;WAGEGAP;EMPLOYEE;PC;A;2002;24.013.157.895
CAN;WAGEGAP;EMPLOYEE;PC;A;2003;22.502.340.337
CAN;WAGEGAP;EMPLOYEE;PC;A;2004;22.717.948.718
CAN;WAGEGAP;EMPLOYEE;PC;A;2005;21.25
CAN;WAGEGAP;EMPLOYEE;PC;A;2006;21.123.321.123
CAN;WAGEGAP;EMPLOYEE;PC;A;2007;20.808.235.294
CAN;WAGEGAP;EMPLOYEE;PC;A;2008;20.454.545.455
CAN;WAGEGAP;EMPLOYEE;PC;A;2009;20.131.868.132
CAN;WAGEGAP;EMPLOYEE;PC;A;2010;18.977.469.671
CAN;WAGEGAP;EMPLOYEE;PC;A;2011;19.175.531.915
CAN;WAGEGAP;EMPLOYEE;PC;A;2012;19.511.231.281
CAN;WAGEGAP;EMPLOYEE;PC;A;2013;1.930.323.498
CAN;WAGEGAP;EMPLOYEE;PC;A;2014;19.229
CAN;WAGEGAP;EMPLOYEE;PC;A;2015;1.862.745.098
CAN;WAGEGAP;EMPLOYEE;PC;A;2016;18.221.153.846
CAN;WAGEGAP;EMPLOYEE;PC;A;2017;1.817.322.239
CAN;WAGEGAP;EMPLOYEE;PC;A;2018;18.518.518.519
CAN;WAGEGAP;EMPLOYEE;PC;A;2019;17.607.142.857
CAN;WAGEGAP;EMPLOYEE;PC;A;2020;16.112.531.969
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2004;32.046.413.422
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2005;30.815.345.764
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2006;28.949.419.022
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2007;293.561.306
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2008;29.208.007.813
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2009;29.654.512.405
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2010;29.797.958.374
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2011;31.073.228.836
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2012;3.123.534.584
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2013;29.838.407.516
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2014;29.452.219.009
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2015;29.879.547.119
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2016;31.317.714.691
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2017;3.203.011.322
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2018;32.318.340.302
CZE;WAGEGAP;SELFEMPLOYED;PC;A;2019;3.225.138.855
CZE;WAGEGAP;EMPLOYEE;PC;A;1996;18.289.856.235
CZE;WAGEGAP;EMPLOYEE;PC;A;1997;18.429.043.742
CZE;WAGEGAP;EMPLOYEE;PC;A;1999;19.030.314.257
CZE;WAGEGAP;EMPLOYEE;PC;A;2001;16.876.621.646
CZE;WAGEGAP;EMPLOYEE;PC;A;2002;1.595.069.783
CZE;WAGEGAP;EMPLOYEE;PC;A;2003;15.637.497.318
CZE;WAGEGAP;EMPLOYEE;PC;A;2004;1.614.681.968
CZE;WAGEGAP;EMPLOYEE;PC;A;2005;1.593.892.946
CZE;WAGEGAP;EMPLOYEE;PC;A;2006;15.351.766.206
CZE;WAGEGAP;EMPLOYEE;PC;A;2007;16.931.531.878
CZE;WAGEGAP;EMPLOYEE;PC;A;2008;17.873.019.877
CZE;WAGEGAP;EMPLOYEE;PC;A;2009;15.105.017.965
CZE;WAGEGAP;EMPLOYEE;PC;A;2010;15.798.503.074
CZE;WAGEGAP;EMPLOYEE;PC;A;2011;16.329.656.698
CZE;WAGEGAP;EMPLOYEE;PC;A;2012;15.262.979.875
CZE;WAGEGAP;EMPLOYEE;PC;A;2013;15.378.835.316
CZE;WAGEGAP;EMPLOYEE;PC;A;2014;16.254.560.195
CZE;WAGEGAP;EMPLOYEE;PC;A;2015;16.455.154.158
CZE;WAGEGAP;EMPLOYEE;PC;A;2016;16.023.430.838
CZE;WAGEGAP;EMPLOYEE;PC;A;2017;15.614.010.894
CZE;WAGEGAP;EMPLOYEE;PC;A;2018;15.127.413.864
CZE;WAGEGAP;EMPLOYEE;PC;A;2019;14.714.332.257
CZE;WAGEGAP;EMPLOYEE;PC;A;2020;12.372.862.094
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2003;92.171.945.572
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2004;62.139.482.498
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2005;12.367.588.997
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2006;12.008.332.253
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2007;17.159.145.355
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2008;11.085.051.537
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2009;1.610.931.015
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2010;17.466.926.575
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2011;22.240.890.503
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2012;23.141.622.543
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2013;-8.811.937.332
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2014;59.567.775.726
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2015;0.52541852
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2016;83.018.627.167
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2017;29.588.682.652
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2018;87.965.869.904
DNK;WAGEGAP;SELFEMPLOYED;PC;A;2019;82.187.023.163
DNK;WAGEGAP;EMPLOYEE;PC;A;2002;10.797.075.707
DNK;WAGEGAP;EMPLOYEE;PC;A;2003;99.218.040.939
DNK;WAGEGAP;EMPLOYEE;PC;A;2004;10.182.205.379
DNK;WAGEGAP;EMPLOYEE;PC;A;2005;10.167.330.438
DNK;WAGEGAP;EMPLOYEE;PC;A;2006;10.172.061.258
DNK;WAGEGAP;EMPLOYEE;PC;A;2007;98.502.979.507
DNK;WAGEGAP;EMPLOYEE;PC;A;2008;10.183.549.034
DNK;WAGEGAP;EMPLOYEE;PC;A;2009;10.172.005.061
DNK;WAGEGAP;EMPLOYEE;PC;A;2010;8.895.098.479
DNK;WAGEGAP;EMPLOYEE;PC;A;2011;79.471.972.536
DNK;WAGEGAP;EMPLOYEE;PC;A;2012;69.998.448.762
DNK;WAGEGAP;EMPLOYEE;PC;A;2013;67.689.119.452
DNK;WAGEGAP;EMPLOYEE;PC;A;2014;63.238.656.948
DNK;WAGEGAP;EMPLOYEE;PC;A;2015;58.360.481.128
DNK;WAGEGAP;EMPLOYEE;PC;A;2016;57.326.280.384
DNK;WAGEGAP;EMPLOYEE;PC;A;2017;52.966.919.656
DNK;WAGEGAP;EMPLOYEE;PC;A;2018;48.632.060.095
DNK;WAGEGAP;EMPLOYEE;PC;A;2019;50.592.156.283
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2003;32.750.133.514
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2004;35.396.728.516
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2005;41.991.329.193
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2006;39.519.939.423
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2007;39.910.362.244
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2008;36.902.198.792
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2009;35.940.090.179
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2010;3.325.018.692
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2011;34.803.096.771
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2012;34.581.478.119
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2013;30.315.122.604
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2014;25.819.936.752
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2015;23.622.652.054
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2016;25.350.812.912
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2017;2.529.186.821
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2018;20.918.043.137
FIN;WAGEGAP;SELFEMPLOYED;PC;A;2019;18.251.142.502
FIN;WAGEGAP;EMPLOYEE;PC;A;1977;2.769.040.181
FIN;WAGEGAP;EMPLOYEE;PC;A;1978;27.088.607.595
FIN;WAGEGAP;EMPLOYEE;PC;A;1979;27.168.949.772
FIN;WAGEGAP;EMPLOYEE;PC;A;1980;26.623.818.677
FIN;WAGEGAP;EMPLOYEE;PC;A;1982;25.961.538.462
FIN;WAGEGAP;EMPLOYEE;PC;A;1983;25.631.742.918
FIN;WAGEGAP;EMPLOYEE;PC;A;1984;23.427.041.499
FIN;WAGEGAP;EMPLOYEE;PC;A;1986;22.531.420.386
FIN;WAGEGAP;EMPLOYEE;PC;A;1987;23.612.840.074
FIN;WAGEGAP;EMPLOYEE;PC;A;1988;23.045.794.438
FIN;WAGEGAP;EMPLOYEE;PC;A;1989;23.559.035.501
FIN;WAGEGAP;EMPLOYEE;PC;A;1990;22.862.101.997
FIN;WAGEGAP;EMPLOYEE;PC;A;1991;21.467.746.962
FIN;WAGEGAP;EMPLOYEE;PC;A;1992;20.284.986.187
FIN;WAGEGAP;EMPLOYEE;PC;A;1993;21.984.812.501
FIN;WAGEGAP;EMPLOYEE;PC;A;1994;23.149.578.754
FIN;WAGEGAP;EMPLOYEE;PC;A;1995;2.240.219.409
FIN;WAGEGAP;EMPLOYEE;PC;A;1996;20.582.669.662
FIN;WAGEGAP;EMPLOYEE;PC;A;1997;21.332.011.656
FIN;WAGEGAP;EMPLOYEE;PC;A;1998;20.800.426.409
FIN;WAGEGAP;EMPLOYEE;PC;A;1999;21.716.236.106
FIN;WAGEGAP;EMPLOYEE;PC;A;2000;20.427.489.177
FIN;WAGEGAP;EMPLOYEE;PC;A;2001;21.239.091.287
FIN;WAGEGAP;EMPLOYEE;PC;A;2002;20.373.202.814
FIN;WAGEGAP;EMPLOYEE;PC;A;2003;20.099.255.583
FIN;WAGEGAP;EMPLOYEE;PC;A;2004;20.015.151.037
FIN;WAGEGAP;EMPLOYEE;PC;A;2005;18.941.694.033
FIN;WAGEGAP;EMPLOYEE;PC;A;2006;19.374.794.537
FIN;WAGEGAP;EMPLOYEE;PC;A;2007;21.376.904.093
FIN;WAGEGAP;EMPLOYEE;PC;A;2008;21.233.952.657
FIN;WAGEGAP;EMPLOYEE;PC;A;2009;19.675.672.792
FIN;WAGEGAP;EMPLOYEE;PC;A;2010;18.876.999.846
FIN;WAGEGAP;EMPLOYEE;PC;A;2011;18.607.617.095
FIN;WAGEGAP;EMPLOYEE;PC;A;2012;18.726.074.526
FIN;WAGEGAP;EMPLOYEE;PC;A;2013;20.178.432.711
FIN;WAGEGAP;EMPLOYEE;PC;A;2014;19.609.079.445
FIN;WAGEGAP;EMPLOYEE;PC;A;2015;18.055.981.324
FIN;WAGEGAP;EMPLOYEE;PC;A;2016;1.647.225.837
FIN;WAGEGAP;EMPLOYEE;PC;A;2017;17.717.920.638
FIN;WAGEGAP;EMPLOYEE;PC;A;2018;18.855.203.722
FIN;WAGEGAP;EMPLOYEE;PC;A;2019;17.159.829.635
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2003;37.429.203.033
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2004;33.925.640.106
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2005;31.850.799.561
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2006;32.934.783.936
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2007;36.227.027.893
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2008;35.962.684.631
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2009;31.632.947.922
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2010;29.949.708.939
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2011;30.463.502.884
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2012;30.187.520.981
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2013;24.597.135.544
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2014;23.698.459.625
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2015;20.220.615.387
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2016;17.939.050.674
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2017;11.413.352.013
FRA;WAGEGAP;SELFEMPLOYED;PC;A;2018;82.360.572.815
FRA;WAGEGAP;EMPLOYEE;PC;A;2002;1.330.472.103
FRA;WAGEGAP;EMPLOYEE;PC;A;2006;93.907.466.789
FRA;WAGEGAP;EMPLOYEE;PC;A;2010;91.188.075.406
FRA;WAGEGAP;EMPLOYEE;PC;A;2014;98.721.023.181
FRA;WAGEGAP;EMPLOYEE;PC;A;2018;11.823.802.164
DEU;WAGEGAP;EMPLOYEE;PC;A;1992;26.935.449.735
DEU;WAGEGAP;EMPLOYEE;PC;A;1993;23.017.612.524
DEU;WAGEGAP;EMPLOYEE;PC;A;1994;2.049.864.146
DEU;WAGEGAP;EMPLOYEE;PC;A;1995;19.411.547.002
DEU;WAGEGAP;EMPLOYEE;PC;A;1996;20.649.557.522
DEU;WAGEGAP;EMPLOYEE;PC;A;1997;21.409.751.925
DEU;WAGEGAP;EMPLOYEE;PC;A;1998;20.896.610.169
DEU;WAGEGAP;EMPLOYEE;PC;A;1999;20.169.491.525
DEU;WAGEGAP;EMPLOYEE;PC;A;2000;19.579.030.977
DEU;WAGEGAP;EMPLOYEE;PC;A;2001;19.105.008.078
DEU;WAGEGAP;EMPLOYEE;PC;A;2002;19.076.590.488
DEU;WAGEGAP;EMPLOYEE;PC;A;2003;19.554.572.271
DEU;WAGEGAP;EMPLOYEE;PC;A;2004;21.850.217.724
DEU;WAGEGAP;EMPLOYEE;PC;A;2005;16.347.569.956
DEU;WAGEGAP;EMPLOYEE;PC;A;2006;18.128.654.971
DEU;WAGEGAP;EMPLOYEE;PC;A;2007;16.715.542.522
DEU;WAGEGAP;EMPLOYEE;PC;A;2008;16.737.517.957
DEU;WAGEGAP;EMPLOYEE;PC;A;2009;16.524.216.524
DEU;WAGEGAP;EMPLOYEE;PC;A;2010;16.694.715.584
DEU;WAGEGAP;EMPLOYEE;PC;A;2011;16.944.444.444
DEU;WAGEGAP;EMPLOYEE;PC;A;2012;15.646.258.503
DEU;WAGEGAP;EMPLOYEE;PC;A;2013;14.093.150.685
DEU;WAGEGAP;EMPLOYEE;PC;A;2014;171.875
DEU;WAGEGAP;EMPLOYEE;PC;A;2015;15.816.326.531
DEU;WAGEGAP;EMPLOYEE;PC;A;2016;15.510.718.789
DEU;WAGEGAP;EMPLOYEE;PC;A;2017;1.619.047.619
DEU;WAGEGAP;EMPLOYEE;PC;A;2018;15.250.121.418
DEU;WAGEGAP;EMPLOYEE;PC;A;2019;13.894.902.578
GRC;WAGEGAP;SELFEMPLOYED;PC;A;2006;41.975.521.088
GRC;WAGEGAP;SELFEMPLOYED;PC;A;2007;3.918.744.278
GRC;WAGEGAP;SELFEMPLOYED;PC;A;2008;38.112.781.525
GRC;WAGEGAP;SELFEMPLOYED;PC;A;2009;42.146.839.142
GRC;WAGEGAP;SELFEMPLOYED;PC;A;2010;44.008.476.257
GRC;WAGEGAP;SELFEMPLOYED;PC;A;2011;46.311.401.367
GRC;WAGEGAP;SELFEMPLOYED;PC;A;2012;39.930.625.916
GRC;WAGEGAP;SELFEMPLOYED;PC;A;2013;36.722.991.943
GRC;WAGEGAP;SELFEMPLOYED;PC;A;2014;34.513.000.488
GRC;WAGEGAP;SELFEMPLOYED;PC;A;2015;33.937.007.904
GRC;WAGEGAP;SELFEMPLOYED;PC;A;2016;33.975.883.484
GRC;WAGEGAP;SELFEMPLOYED;PC;A;2017;35.668.903.351
GRC;WAGEGAP;SELFEMPLOYED;PC;A;2018;38.327.030.182
GRC;WAGEGAP;SELFEMPLOYED;PC;A;2019;39.415.821.075
GRC;WAGEGAP;EMPLOYEE;PC;A;2002;23.565.754.634
GRC;WAGEGAP;EMPLOYEE;PC;A;2006;17.725.752.508
GRC;WAGEGAP;EMPLOYEE;PC;A;2010;99.099.099.099
GRC;WAGEGAP;EMPLOYEE;PC;A;2014;71.715.817.694
GRC;WAGEGAP;EMPLOYEE;PC;A;2018;59.090.909.091
GRC;WAGEGAP;EMPLOYEE;PC;A;2019;59.090.909.091
GRC;WAGEGAP;EMPLOYEE;PC;A;2020;89.137
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2004;29.286.546.707
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2005;26.686.216.354
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2006;26.587.032.318
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2007;23.905.370.712
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2008;27.657.945.633
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2009;3.213.243.103
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2010;34.466.587.067
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2011;32.554.210.663
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2012;25.827.373.505
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2013;21.618.770.599
