Country/Other,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
Germany,83783942,0.32,266897,240,348560,543822,1.6,46,76.0,1.07
Ghana,31072940,2.15,655084,137,227540,-10000,3.9,22,57.0,0.4
Greece,10423054,-0.48,-50401,81,128900,-16000,1.3,46,85.0,0.13
Grenada,112523,0.46,520,331,340,-200,2.1,32,35.0,0.0
Guadeloupe,400124,0.02,68,237,1690,-1440,2.2,44,,0.01
Guam,168775,0.89,1481,313,540,-506,2.3,31,95.0,0.0
Guatemala,17915568,1.9,334096,167,107160,-9215,2.9,23,52.0,0.23
Guinea,13132795,2.83,361549,53,245720,-4000,4.7,18,39.0,0.17
Guinea-Bissau,1968001,2.45,47079,70,28120,-1399,4.5,19,45.0,0.03
Guyana,786552,0.48,3786,4,196850,-6000,2.5,27,27.0,0.01
Haiti,11402528,1.24,139451,414,27560,-35000,3.0,24,57.0,0.15
Honduras,9904607,1.63,158490,89,111890,-6800,2.5,24,57.0,0.13
Hong Kong,7496981,0.82,60827,7140,1050,29308,1.3,45,,0.1
Hungary,9660351,-0.25,-24328,107,90530,6000,1.5,43,72.0,0.12
Iceland,341243,0.65,2212,3,100250,380,1.8,37,94.0,0.0
India,1380004385,0.99,13586631,464,2973190,-532687,2.2,28,35.0,17.7
Indonesia,273523615,1.07,2898047,151,1811570,-98955,2.3,30,56.0,3.51
Iran,83992949,1.3,1079043,52,1628550,-55000,2.2,32,76.0,1.08
Iraq,40222493,2.32,912710,93,434320,7834,3.7,21,73.0,0.52
Ireland,4937786,1.13,55291,72,68890,23604,1.8,38,63.0,0.06
Israel,8655535,1.6,136158,400,21640,10000,3.0,30,93.0,0.11
Italy,60461826,-0.15,-88249,206,294140,148943,1.3,47,69.0,0.78
Jamaica,2961167,0.44,12888,273,10830,-11332,2.0,31,55.0,0.04
Japan,126476461,-0.3,-383840,347,364555,71560,1.4,48,92.0,1.62
Jordan,10203134,1.0,101440,115,88780,10220,2.8,24,91.0,0.13
Kazakhstan,18776707,1.21,225280,7,2699700,-18000,2.8,31,58.0,0.24
Kenya,53771296,2.28,1197323,94,569140,-10000,3.5,20,28.0,0.69
Kiribati,119449,1.57,1843,147,810,-800,3.6,23,57.0,0.0
Kuwait,4270571,1.51,63488,240,17820,39520,2.1,37,,0.05
Kyrgyzstan,6524195,1.69,108345,34,191800,-4000,3.0,26,36.0,0.08
Laos,7275560,1.48,106105,32,230800,-14704,2.7,24,36.0,0.09
Latvia,1886198,-1.08,-20545,30,62200,-14837,1.7,44,69.0,0.02
Lebanon,6825445,-0.44,-30268,667,10230,-30012,2.1,30,78.0,0.09
Lesotho,2142249,0.8,16981,71,30360,-10047,3.2,24,31.0,0.03
Liberia,5057681,2.44,120307,53,96320,-5000,4.4,19,53.0,0.06
Libya,6871292,1.38,93840,4,1759540,-1999,2.3,29,78.0,0.09
Lithuania,2722289,-1.35,-37338,43,62674,-32780,1.7,45,71.0,0.03
Luxembourg,625978,1.66,10249,242,2590,9741,1.5,40,88.0,0.01
Macao,649335,1.39,8890,21645,30,5000,1.2,39,,0.01
Madagascar,27691018,2.68,721711,48,581795,-1500,4.1,20,39.0,0.36
Malawi,19129952,2.69,501205,203,94280,-16053,4.3,18,18.0,0.25
Malaysia,32365999,1.3,416222,99,328550,50000,2.0,30,78.0,0.42
Maldives,540544,1.81,9591,1802,300,11370,1.9,30,35.0,0.01
Mali,20250833,3.02,592802,17,1220190,-40000,5.9,16,44.0,0.26
Malta,441543,0.27,1171,1380,320,900,1.5,43,93.0,0.01
Martinique,375265,-0.08,-289,354,1060,-960,1.9,47,92.0,0.0
Mauritania,4649658,2.74,123962,5,1030700,5000,4.6,20,57.0,0.06
Mauritius,1271768,0.17,2100,626,2030,0,1.4,37,41.0,0.02
Mayotte,272815,2.5,6665,728,375,0,3.7,20,46.0,0.0
Mexico,128932753,1.06,1357224,66,1943950,-60000,2.1,29,84.0,1.65
Micronesia,548914,1.0,5428,784,700,-2957,2.9,27,68.0,0.01
Moldova,4033963,-0.23,-9300,123,32850,-1387,1.3,38,43.0,0.05
Mongolia,3278290,1.65,53123,2,1553560,-852,2.9,28,67.0,0.04
Montenegro,628066,0.01,79,47,13450,-480,1.8,39,68.0,0.01
Morocco,36910560,1.2,438791,83,446300,-51419,2.4,30,64.0,0.47
Mozambique,31255435,2.93,889399,40,786380,-5000,4.9,18,38.0,0.4
Myanmar,54409800,0.67,364380,83,653290,-163313,2.2,29,31.0,0.7
Namibia,2540905,1.86,46375,3,823290,-4806,3.4,22,55.0,0.03
Nepal,29136808,1.85,528098,203,143350,41710,1.9,25,21.0,0.37
Netherlands,17134872,0.22,37742,508,33720,16000,1.7,43,92.0,0.22
New Caledonia,285498,0.97,2748,16,18280,502,2.0,34,72.0,0.0
New Zealand,4822233,0.82,39170,18,263310,14881,1.9,38,87.0,0.06
Nicaragua,6624554,1.21,79052,55,120340,-21272,2.4,26,57.0,0.08
Niger,24206644,3.84,895929,19,1266700,4000,7.0,15,17.0,0.31
Nigeria,206139589,2.58,5175990,226,910770,-60000,5.4,18,52.0,2.64
North Korea,25778816,0.44,112655,214,120410,-5403,1.9,35,63.0,0.33
North Macedonia,2083374,0.0,-85,83,25220,-1000,1.5,39,59.0,0.03
Norway,5421241,0.79,42384,15,365268,28000,1.7,40,83.0,0.07
Oman,5106626,2.65,131640,16,309500,87400,2.9,31,87.0,0.07
Pakistan,220892340,2.0,4327022,287,770880,-233379,3.6,23,35.0,2.83
Panama,4314767,1.61,68328,58,74340,11200,2.5,30,68.0,0.06
Papua New Guinea,8947024,1.95,170915,20,452860,-800,3.6,22,13.0,0.11
Paraguay,7132538,1.25,87902,18,397300,-16556,2.4,26,62.0,0.09
Peru,32971854,1.42,461401,26,1280000,99069,2.3,31,79.0,0.42
Philippines,109581078,1.35,1464463,368,298170,-67152,2.6,26,47.0,1.41
Poland,37846611,-0.11,-41157,124,306230,-29395,1.4,42,60.0,0.49
Portugal,10196709,-0.29,-29478,111,91590,-6000,1.3,46,66.0,0.13
Puerto Rico,2860853,-2.47,-72555,323,8870,-97986,1.2,44,,0.04
Qatar,2881053,1.73,48986,248,11610,40000,1.9,32,96.0,0.04
Romania,19237691,-0.66,-126866,84,230170,-73999,1.6,43,55.0,0.25
Russia,145934462,0.04,62206,9,16376870,182456,1.8,40,74.0,1.87
Rwanda,12952218,2.58,325268,525,24670,-9000,4.1,20,18.0,0.17
Réunion,895312,0.72,6385,358,2500,-1256,2.3,36,100.0,0.01
Saint Lucia,183627,0.46,837,301,610,0,1.4,34,19.0,0.0
Samoa,198414,0.67,1317,70,2830,-2803,3.9,22,18.0,0.0
Sao Tome & Principe,219159,1.91,4103,228,960,-1680,4.4,19,74.0,0.0
Saudi Arabia,34813871,1.59,545343,16,2149690,134979,2.3,32,84.0,0.45
Senegal,16743927,2.75,447563,87,192530,-20000,4.7,19,49.0,0.21
Serbia,8737371,-0.4,-34864,100,87460,4000,1.5,42,56.0,0.11
Seychelles,98347,0.62,608,214,460,-200,2.5,34,56.0,0.0
Sierra Leone,7976983,2.1,163768,111,72180,-4200,4.3,19,43.0,0.1
Singapore,5850342,0.79,46005,8358,700,27028,1.2,42,,0.08
Slovakia,5459642,0.05,2629,114,48088,1485,1.5,41,54.0,0.07
Slovenia,2078938,0.01,284,103,20140,2000,1.6,45,55.0,0.03
Solomon Islands,686884,2.55,17061,25,27990,-1600,4.4,20,23.0,0.01
Somalia,15893222,2.92,450317,25,627340,-40000,6.1,17,47.0,0.2
South Africa,59308690,1.28,750420,49,1213090,145405,2.4,28,67.0,0.76
South Korea,51269185,0.09,43877,527,97230,11731,1.1,44,82.0,0.66
South Sudan,11193725,1.19,131612,18,610952,-174200,4.7,19,25.0,0.14
Spain,46754778,0.04,18002,94,498800,40000,1.3,45,80.0,0.6
Sri Lanka,21413249,0.42,89516,341,62710,-97986,2.2,34,18.0,0.27
St. Vincent & Grenadines,110940,0.32,351,284,390,-200,1.9,33,53.0,0.0
State of Palestine,5101414,2.41,119994,847,6020,-10563,3.7,21,80.0,0.07
Sudan,43849260,2.42,1036022,25,1765048,-50000,4.4,20,35.0,0.56
Suriname,586632,0.9,5260,4,156000,-1000,2.4,29,65.0,0.01
Sweden,10099265,0.63,62886,25,410340,40000,1.9,41,88.0,0.13
Switzerland,8654622,0.74,63257,219,39516,52000,1.5,43,74.0,0.11
Syria,17500658,2.52,430523,95,183630,-427391,2.8,26,60.0,0.22
Taiwan,23816775,0.18,42899,673,35410,30001,1.2,42,79.0,0.31
Tajikistan,9537645,2.32,216627,68,139960,-20000,3.6,22,27.0,0.12
Tanzania,59734218,2.98,1728755,67,885800,-40076,4.9,18,37.0,0.77
Thailand,69799978,0.25,174396,137,510890,19444,1.5,40,51.0,0.9
Timor-Leste,1318445,1.96,25326,89,14870,-5385,4.1,21,33.0,0.02
Togo,8278724,2.43,196358,152,54390,-2000,4.4,19,43.0,0.11
Tonga,105695,1.15,1201,147,720,-800,3.6,22,24.0,0.0
Trinidad and Tobago,1399488,0.32,4515,273,5130,-800,1.7,36,52.0,0.02
Tunisia,11818619,1.06,123900,76,155360,-4000,2.2,33,70.0,0.15
Turkey,84339067,1.09,909452,110,769630,283922,2.1,32,76.0,1.08
Turkmenistan,6031200,1.5,89111,13,469930,-5000,2.8,27,53.0,0.08
U.S. Virgin Islands,104425,-0.15,-153,298,350,-451,2.0,43,96.0,0.0
Uganda,45741007,3.32,1471413,229,199810,168694,5.0,17,26.0,0.59
Ukraine,43733762,-0.59,-259876,75,579320,10000,1.4,41,69.0,0.56
United Arab Emirates,9890402,1.23,119873,118,83600,40000,1.4,33,86.0,0.13
United Kingdom,67886011,0.53,355839,281,241930,260650,1.8,40,83.0,0.87
United States,331002651,0.59,1937734,36,9147420,954806,1.8,38,83.0,4.25
Uruguay,3473730,0.35,11996,20,175020,-3000,2.0,36,96.0,0.04
Uzbekistan,33469203,1.48,487487,79,425400,-8863,2.4,28,50.0,0.43
Vanuatu,307145,2.42,7263,25,12190,120,3.8,21,24.0,0.0
Venezuela,28435940,-0.28,-79889,32,882050,-653249,2.3,30,,0.36
Vietnam,97338579,0.91,876473,314,310070,-80000,2.1,32,38.0,1.25
Western Sahara,597339,2.55,14876,2,266000,5582,2.4,28,87.0,0.01
Yemen,29825964,2.28,664042,56,527970,-30000,3.8,20,38.0,0.38
Zambia,18383955,2.93,522925,25,743390,-8000,4.7,18,45.0,0.24
Zimbabwe,14862924,1.48,217456,38,386850,-116858,3.6,19,38.0,0.19
