As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2020-10-18,1,1,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",9,89
2020-10-18,2,2,2,Hubie Halloween,Movie,Yes,"Oct 7, 2020",11,102
2020-10-18,3,4,-,The Trial of the Chicago 7,Movie,Yes,"Oct 16, 2020",2,15
2020-10-18,4,3,-,Moneyball,Movie,,"Oct 14, 2020",4,25
2020-10-18,5,5,3,Emily in Paris,TV Show,Yes,"Oct 2, 2020",16,127
2020-10-18,6,6,-,A Babysitterâs Guide to Mon…,Movie,Yes,"Oct 15, 2020",2,10
2020-10-18,7,8,5,Schittâs Creek,TV Show,,"Jan 24, 2017",15,95
2020-10-18,8,10,9,Evil,TV Show,,"Oct 1, 2020",14,53
2020-10-18,9,-,-,Cocomelon,TV Show,,"Jun 1, 2020",36,73
2020-10-18,10,7,10,The Great British Baking Show,TV Show,,"Oct 3, 2015",6,17
2020-10-19,1,1,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",10,99
2020-10-19,2,2,2,Hubie Halloween,Movie,Yes,"Oct 7, 2020",12,111
2020-10-19,3,3,-,The Trial of the Chicago 7,Movie,Yes,"Oct 16, 2020",3,23
2020-10-19,4,5,3,Emily in Paris,TV Show,Yes,"Oct 2, 2020",17,134
2020-10-19,5,4,-,Moneyball,Movie,,"Oct 14, 2020",5,31
2020-10-19,6,6,-,A Babysitterâs Guide to Mon…,Movie,Yes,"Oct 15, 2020",3,15
2020-10-19,7,7,6,Schittâs Creek,TV Show,,"Jan 24, 2017",16,99
2020-10-19,8,8,8,Evil,TV Show,,"Oct 1, 2020",15,56
2020-10-19,9,-,-,Dream Home Makeover,TV Show,Yes,"Oct 16, 2020",1,2
2020-10-19,10,9,10,Cocomelon,TV Show,,"Jun 1, 2020",37,74
2020-10-20,1,1,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",11,109
2020-10-20,2,-,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",23,167
2020-10-20,3,2,2,Hubie Halloween,Movie,Yes,"Oct 7, 2020",13,119
2020-10-20,4,4,3,Emily in Paris,TV Show,Yes,"Oct 2, 2020",18,141
2020-10-20,5,3,-,The Trial of the Chicago 7,Movie,Yes,"Oct 16, 2020",4,29
2020-10-20,6,7,4,Schittâs Creek,TV Show,,"Jan 24, 2017",17,104
2020-10-20,7,5,-,Moneyball,Movie,,"Oct 14, 2020",6,35
2020-10-20,8,10,10,Cocomelon,TV Show,,"Jun 1, 2020",38,77
2020-10-20,9,8,8,Evil,TV Show,,"Oct 1, 2020",16,58
2020-10-20,10,9,-,Dream Home Makeover,TV Show,Yes,"Oct 16, 2020",2,3
2020-10-21,1,2,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",24,177
2020-10-21,2,1,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",12,118
2020-10-21,3,4,3,Emily in Paris,TV Show,Yes,"Oct 2, 2020",19,149
2020-10-21,4,3,2,Hubie Halloween,Movie,Yes,"Oct 7, 2020",14,126
2020-10-21,5,6,4,Schittâs Creek,TV Show,,"Jan 24, 2017",18,110
2020-10-21,6,8,8,Cocomelon,TV Show,,"Jun 1, 2020",39,82
2020-10-21,7,9,6,Evil,TV Show,,"Oct 1, 2020",17,62
2020-10-21,8,5,-,The Trial of the Chicago 7,Movie,Yes,"Oct 16, 2020",5,32
2020-10-21,9,-,-,Tremors: Shrieker Island,Movie,,"Oct 20, 2020",1,2
2020-10-21,10,-,-,Grand Army,TV Show,Yes,"Oct 16, 2020",1,1
2020-10-22,1,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",25,187
2020-10-22,2,2,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",13,127
2020-10-22,3,-,-,Rebecca,Movie,Yes,"Oct 21, 2020",1,8
2020-10-22,4,-,-,My Next Guest Needs No Intr…,TV Show,Yes,"Jan 12, 2018",1,7
2020-10-22,5,3,3,Emily in Paris,TV Show,Yes,"Oct 2, 2020",20,155
2020-10-22,6,9,-,Tremors: Shrieker Island,Movie,,"Oct 20, 2020",2,7
2020-10-22,7,4,2,Hubie Halloween,Movie,Yes,"Oct 7, 2020",15,130
2020-10-22,8,10,-,Grand Army,TV Show,Yes,"Oct 16, 2020",2,4
2020-10-22,9,5,4,Schittâs Creek,TV Show,,"Jan 24, 2017",19,112
2020-10-22,10,6,9,Cocomelon,TV Show,,"Jun 1, 2020",40,83
2020-10-23,1,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",26,197
2020-10-23,2,2,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",14,136
2020-10-23,3,3,-,Rebecca,Movie,Yes,"Oct 21, 2020",2,16
2020-10-23,4,4,-,My Next Guest Needs No Intr…,TV Show,Yes,"Jan 12, 2018",2,14
2020-10-23,5,8,-,Grand Army,TV Show,Yes,"Oct 16, 2020",3,10
2020-10-23,6,-,-,"Yes, God, Yes",Movie,,"Oct 22, 2020",1,5
2020-10-23,7,6,-,Tremors: Shrieker Island,Movie,,"Oct 20, 2020",3,11
2020-10-23,8,10,10,Cocomelon,TV Show,,"Jun 1, 2020",41,86
2020-10-23,9,5,3,Emily in Paris,TV Show,Yes,"Oct 2, 2020",21,157
2020-10-23,10,9,5,Schittâs Creek,TV Show,,"Jan 24, 2017",20,113
2020-10-24,1,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",27,207
2020-10-24,2,4,-,My Next Guest Needs No Intr…,TV Show,Yes,"Jan 12, 2018",3,23
2020-10-24,3,-,-,Over the Moon,Movie,Yes,"Oct 23, 2020",1,8
2020-10-24,4,2,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",15,143
2020-10-24,5,3,-,Rebecca,Movie,Yes,"Oct 21, 2020",3,22
2020-10-24,6,-,-,Barbarians,TV Show,Yes,"Oct 23, 2020",1,5
2020-10-24,7,6,-,"Yes, God, Yes",Movie,,"Oct 22, 2020",2,9
2020-10-24,8,-,7,The Great British Baking Show,TV Show,,"Oct 3, 2015",7,20
2020-10-24,9,5,-,Grand Army,TV Show,Yes,"Oct 16, 2020",4,12
2020-10-24,10,-,-,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",1,1
2020-10-25,1,10,-,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",2,11
2020-10-25,2,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",28,216
2020-10-25,3,3,-,Over the Moon,Movie,Yes,"Oct 23, 2020",2,16
2020-10-25,4,2,-,My Next Guest Needs No Intr…,TV Show,Yes,"Jan 12, 2018",4,30
2020-10-25,5,6,-,Barbarians,TV Show,Yes,"Oct 23, 2020",2,11
2020-10-25,6,5,-,Rebecca,Movie,Yes,"Oct 21, 2020",4,27
2020-10-25,7,4,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",16,147
2020-10-25,8,9,-,Grand Army,TV Show,Yes,"Oct 16, 2020",5,15
2020-10-25,9,-,2,Hubie Halloween,Movie,Yes,"Oct 7, 2020",16,132
2020-10-25,10,7,-,"Yes, God, Yes",Movie,,"Oct 22, 2020",3,10
2020-10-26,1,1,-,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",3,21
2020-10-26,2,3,-,Over the Moon,Movie,Yes,"Oct 23, 2020",3,25
2020-10-26,3,5,-,Barbarians,TV Show,Yes,"Oct 23, 2020",3,19
2020-10-26,4,2,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",29,223
2020-10-26,5,4,-,My Next Guest Needs No Intr…,TV Show,Yes,"Jan 12, 2018",5,36
2020-10-26,6,7,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",17,152
2020-10-26,7,6,-,Rebecca,Movie,Yes,"Oct 21, 2020",5,31
2020-10-26,8,8,-,Grand Army,TV Show,Yes,"Oct 16, 2020",6,18
2020-10-26,9,9,2,Hubie Halloween,Movie,Yes,"Oct 7, 2020",17,134
2020-10-26,10,10,-,"Yes, God, Yes",Movie,,"Oct 22, 2020",4,11
2020-10-27,1,1,-,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",4,31
2020-10-27,2,3,-,Barbarians,TV Show,Yes,"Oct 23, 2020",4,28
2020-10-27,3,2,-,Over the Moon,Movie,Yes,"Oct 23, 2020",4,33
2020-10-27,4,4,2,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",30,230
2020-10-27,5,6,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",18,158
2020-10-27,6,5,-,My Next Guest Needs No Intr…,TV Show,Yes,"Jan 12, 2018",6,41
2020-10-27,7,8,-,Grand Army,TV Show,Yes,"Oct 16, 2020",7,22
2020-10-27,8,-,8,Cocomelon,TV Show,,"Jun 1, 2020",42,89
2020-10-27,9,7,-,Rebecca,Movie,Yes,"Oct 21, 2020",6,33
2020-10-27,10,-,6,Schittâs Creek,TV Show,,"Jan 24, 2017",21,114
2020-10-28,1,1,-,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",5,41
2020-10-28,2,2,-,Barbarians,TV Show,Yes,"Oct 23, 2020",5,37
2020-10-28,3,3,-,Over the Moon,Movie,Yes,"Oct 23, 2020",5,41
2020-10-28,4,-,-,Blood of Zeus,TV Show,Yes,"Oct 27, 2020",1,7
2020-10-28,5,4,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",31,236
2020-10-28,6,5,2,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",19,163
2020-10-28,7,7,10,Grand Army,TV Show,Yes,"Oct 16, 2020",8,26
2020-10-28,8,6,-,My Next Guest Needs No Intr…,TV Show,Yes,"Jan 12, 2018",7,44
2020-10-28,9,8,6,Cocomelon,TV Show,,"Jun 1, 2020",43,91
2020-10-28,10,10,5,Schittâs Creek,TV Show,,"Jan 24, 2017",22,115
2020-10-29,1,-,-,Holidate,Movie,Yes,"Oct 28, 2020",1,10
2020-10-29,2,1,-,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",6,50
2020-10-29,3,4,-,Blood of Zeus,TV Show,Yes,"Oct 27, 2020",2,15
2020-10-29,4,2,-,Barbarians,TV Show,Yes,"Oct 23, 2020",6,44
2020-10-29,5,3,-,Over the Moon,Movie,Yes,"Oct 23, 2020",6,47
2020-10-29,6,6,2,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",20,168
2020-10-29,7,7,8,Grand Army,TV Show,Yes,"Oct 16, 2020",9,30
2020-10-29,8,5,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",32,239
2020-10-29,9,9,10,Cocomelon,TV Show,,"Jun 1, 2020",44,93
2020-10-29,10,8,4,My Next Guest Needs No Intr…,TV Show,Yes,"Jan 12, 2018",8,45
2020-10-30,1,1,-,Holidate,Movie,Yes,"Oct 28, 2020",2,20
2020-10-30,2,2,-,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",7,59
2020-10-30,3,3,-,Blood of Zeus,TV Show,Yes,"Oct 27, 2020",3,23
2020-10-30,4,4,-,Barbarians,TV Show,Yes,"Oct 23, 2020",7,51
2020-10-30,5,5,-,Over the Moon,Movie,Yes,"Oct 23, 2020",7,53
2020-10-30,6,-,-,Secrets of the Saqqara Tomb,Movie,Yes,"Oct 28, 2020",1,5
2020-10-30,7,7,5,Grand Army,TV Show,Yes,"Oct 16, 2020",10,34
2020-10-30,8,6,2,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",21,171
2020-10-30,9,8,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",33,241
2020-10-30,10,9,8,Cocomelon,TV Show,,"Jun 1, 2020",45,94
2020-10-31,1,1,-,Holidate,Movie,Yes,"Oct 28, 2020",3,30
2020-10-31,2,2,10,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",8,68
2020-10-31,3,-,8,The Great British Baking Show,TV Show,,"Oct 3, 2015",8,28
2020-10-31,4,5,3,Over the Moon,Movie,Yes,"Oct 23, 2020",8,60
2020-10-31,5,3,-,Blood of Zeus,TV Show,Yes,"Oct 27, 2020",4,29
2020-10-31,6,6,-,Secrets of the Saqqara Tomb,Movie,Yes,"Oct 28, 2020",2,10
2020-10-31,7,4,6,Barbarians,TV Show,Yes,"Oct 23, 2020",8,55
2020-10-31,8,-,-,Rogue City,Movie,Yes,"Oct 30, 2020",1,3
2020-10-31,9,8,4,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",22,173
2020-10-31,10,-,-,His House,Movie,Yes,"Oct 30, 2020",1,1
2020-11-01,1,1,-,Holidate,Movie,Yes,"Oct 28, 2020",4,40
2020-11-01,2,2,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",9,77
2020-11-01,3,8,-,Rogue City,Movie,Yes,"Oct 30, 2020",2,11
2020-11-01,4,10,-,His House,Movie,Yes,"Oct 30, 2020",2,8
2020-11-01,5,-,9,Hubie Halloween,Movie,Yes,"Oct 7, 2020",18,140
2020-11-01,6,6,-,Secrets of the Saqqara Tomb,Movie,Yes,"Oct 28, 2020",3,15
2020-11-01,7,4,3,Over the Moon,Movie,Yes,"Oct 23, 2020",9,64
2020-11-01,8,9,7,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",23,176
2020-11-01,9,5,-,Blood of Zeus,TV Show,Yes,"Oct 27, 2020",5,31
2020-11-01,10,7,5,Barbarians,TV Show,Yes,"Oct 23, 2020",9,56
2020-11-02,1,1,-,Holidate,Movie,Yes,"Oct 28, 2020",5,50
2020-11-02,2,2,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",10,86
2020-11-02,3,3,-,Rogue City,Movie,Yes,"Oct 30, 2020",3,19
2020-11-02,4,4,-,His House,Movie,Yes,"Oct 30, 2020",3,15
2020-11-02,5,6,-,Secrets of the Saqqara Tomb,Movie,Yes,"Oct 28, 2020",4,21
2020-11-02,6,7,2,Over the Moon,Movie,Yes,"Oct 23, 2020",10,69
2020-11-02,7,8,6,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",24,180
2020-11-02,8,10,3,Barbarians,TV Show,Yes,"Oct 23, 2020",10,59
2020-11-02,9,9,-,Blood of Zeus,TV Show,Yes,"Oct 27, 2020",6,33
2020-11-02,10,5,9,Hubie Halloween,Movie,Yes,"Oct 7, 2020",19,141
2020-11-03,1,2,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",11,96
2020-11-03,2,1,-,Holidate,Movie,Yes,"Oct 28, 2020",6,59
2020-11-03,3,-,-,Knock Knock,Movie,,"Nov 1, 2020",1,8
2020-11-03,4,3,-,Rogue City,Movie,Yes,"Oct 30, 2020",4,26
2020-11-03,5,-,8,Cocomelon,TV Show,,"Jun 1, 2020",46,100
2020-11-03,6,6,3,Over the Moon,Movie,Yes,"Oct 23, 2020",11,74
2020-11-03,7,4,-,His House,Movie,Yes,"Oct 30, 2020",4,19
2020-11-03,8,7,5,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",25,183
2020-11-03,9,-,7,Grand Army,TV Show,Yes,"Oct 16, 2020",11,36
2020-11-03,10,5,-,Secrets of the Saqqara Tomb,Movie,Yes,"Oct 28, 2020",5,22
2020-11-04,1,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",12,106
2020-11-04,2,2,-,Holidate,Movie,Yes,"Oct 28, 2020",7,68
2020-11-04,3,3,-,Knock Knock,Movie,,"Nov 1, 2020",2,16
2020-11-04,4,4,-,Rogue City,Movie,Yes,"Oct 30, 2020",5,33
2020-11-04,5,5,9,Cocomelon,TV Show,,"Jun 1, 2020",47,106
2020-11-04,6,6,3,Over the Moon,Movie,Yes,"Oct 23, 2020",12,79
2020-11-04,7,-,-,Mile 22,Movie,,"Nov 1, 2020",1,4
2020-11-04,8,-,-,Snowden,Movie,,"Nov 1, 2020",1,3
2020-11-04,9,9,7,Grand Army,TV Show,Yes,"Oct 16, 2020",12,38
2020-11-04,10,8,6,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",26,184
2020-11-05,1,1,2,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",13,116
2020-11-05,2,3,-,Knock Knock,Movie,,"Nov 1, 2020",3,25
2020-11-05,3,7,-,Mile 22,Movie,,"Nov 1, 2020",2,12
2020-11-05,4,2,1,Holidate,Movie,Yes,"Oct 28, 2020",8,75
2020-11-05,5,-,-,Easy A,Movie,,"Nov 1, 2020",1,6
2020-11-05,6,8,-,Snowden,Movie,,"Nov 1, 2020",2,8
2020-11-05,7,5,9,Cocomelon,TV Show,,"Jun 1, 2020",48,110
2020-11-05,8,-,-,Chappelleâs Show,TV Show,,"Nov 1, 2020",1,3
2020-11-05,9,4,-,Rogue City,Movie,Yes,"Oct 30, 2020",6,35
2020-11-05,10,6,5,Over the Moon,Movie,Yes,"Oct 23, 2020",13,80
2020-11-06,1,1,2,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",14,126
2020-11-06,2,-,-,Operation Christmas Drop,Movie,Yes,"Nov 5, 2020",1,9
2020-11-06,3,3,-,Mile 22,Movie,,"Nov 1, 2020",3,20
2020-11-06,4,2,-,Knock Knock,Movie,,"Nov 1, 2020",4,32
2020-11-06,5,4,1,Holidate,Movie,Yes,"Oct 28, 2020",9,81
2020-11-06,6,8,-,Chappelleâs Show,TV Show,,"Nov 1, 2020",2,8
2020-11-06,7,5,-,Easy A,Movie,,"Nov 1, 2020",2,10
2020-11-06,8,7,10,Cocomelon,TV Show,,"Jun 1, 2020",49,113
2020-11-06,9,6,-,Snowden,Movie,,"Nov 1, 2020",3,10
2020-11-06,10,-,-,The Impossible,Movie,,"Nov 1, 2020",1,1
2020-11-07,1,1,2,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",15,136
2020-11-07,2,2,-,Operation Christmas Drop,Movie,Yes,"Nov 5, 2020",2,18
2020-11-07,3,10,-,The Impossible,Movie,,"Nov 1, 2020",2,9
2020-11-07,4,3,-,Mile 22,Movie,,"Nov 1, 2020",4,27
2020-11-07,5,4,-,Knock Knock,Movie,,"Nov 1, 2020",5,38
2020-11-07,6,-,3,The Great British Baking Show,TV Show,,"Oct 3, 2015",9,33
2020-11-07,7,6,-,Chappelleâs Show,TV Show,,"Nov 1, 2020",3,12
2020-11-07,8,7,-,Easy A,Movie,,"Nov 1, 2020",3,13
2020-11-07,9,5,1,Holidate,Movie,Yes,"Oct 28, 2020",10,83
2020-11-07,10,8,-,Cocomelon,TV Show,,"Jun 1, 2020",50,114
2020-11-08,1,1,2,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",16,146
2020-11-08,2,2,-,Operation Christmas Drop,Movie,Yes,"Nov 5, 2020",3,27
2020-11-08,3,3,-,The Impossible,Movie,,"Nov 1, 2020",3,17
2020-11-08,4,5,-,Knock Knock,Movie,,"Nov 1, 2020",6,45
2020-11-08,5,4,-,Mile 22,Movie,,"Nov 1, 2020",5,33
2020-11-08,6,6,-,The Great British Baking Show,TV Show,,"Oct 3, 2015",10,38
2020-11-08,7,7,-,Chappelleâs Show,TV Show,,"Nov 1, 2020",4,16
2020-11-08,8,9,1,Holidate,Movie,Yes,"Oct 28, 2020",11,86
2020-11-08,9,8,-,Easy A,Movie,,"Nov 1, 2020",4,15
2020-11-08,10,-,-,Midnight at the Magnolia,Movie,,"Nov 5, 2020",1,1
2020-11-09,1,1,2,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",17,156
2020-11-09,2,3,-,The Impossible,Movie,,"Nov 1, 2020",4,26
2020-11-09,3,2,-,Operation Christmas Drop,Movie,Yes,"Nov 5, 2020",4,35
2020-11-09,4,5,-,Mile 22,Movie,,"Nov 1, 2020",6,40
2020-11-09,5,4,-,Knock Knock,Movie,,"Nov 1, 2020",7,51
2020-11-09,6,7,-,Chappelle's Show,TV Show,,"Nov 1, 2020",5,21
2020-11-09,7,8,1,Holidate,Movie,Yes,"Oct 28, 2020",12,90
2020-11-09,8,9,-,Easy A,Movie,,"Nov 1, 2020",5,18
2020-11-09,9,10,-,Midnight at the Magnolia,Movie,,"Nov 5, 2020",2,3
2020-11-09,10,-,-,Cocomelon,TV Show,,"Jun 1, 2020",51,115
2020-11-10,1,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",18,166
2020-11-10,2,2,-,The Impossible,Movie,,"Nov 1, 2020",5,35
2020-11-10,3,6,-,Chappelle's Show,TV Show,,"Nov 1, 2020",6,29
2020-11-10,4,3,-,Operation Christmas Drop,Movie,Yes,"Nov 5, 2020",5,42
2020-11-10,5,4,-,Mile 22,Movie,,"Nov 1, 2020",7,46
2020-11-10,6,10,5,Cocomelon,TV Show,,"Jun 1, 2020",52,120
2020-11-10,7,5,3,Knock Knock,Movie,,"Nov 1, 2020",8,55
2020-11-10,8,8,-,Easy A,Movie,,"Nov 1, 2020",6,21
2020-11-10,9,9,-,Midnight at the Magnolia,Movie,,"Nov 5, 2020",3,5
2020-11-10,10,7,2,Holidate,Movie,Yes,"Oct 28, 2020",13,91
2020-11-11,1,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",19,176
2020-11-11,2,2,-,The Impossible,Movie,,"Nov 1, 2020",6,44
2020-11-11,3,3,-,Chappelle's Show,TV Show,,"Nov 1, 2020",7,37
2020-11-11,4,5,7,Mile 22,Movie,,"Nov 1, 2020",8,53
2020-11-11,5,-,-,Dash & Lily,TV Show,Yes,"Nov 10, 2020",1,6
2020-11-11,6,4,-,Operation Christmas Drop,Movie,Yes,"Nov 5, 2020",6,47
2020-11-11,7,6,5,Cocomelon,TV Show,,"Jun 1, 2020",53,124
2020-11-11,8,7,3,Knock Knock,Movie,,"Nov 1, 2020",9,58
2020-11-11,9,-,-,Illumination Presents The G…,Movie,,"Jun 5, 2019",1,2
2020-11-11,10,-,-,60 Days In,TV Show,,"Nov 1, 2020",1,1
2020-11-12,1,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",20,186
2020-11-12,2,5,-,Dash & Lily,TV Show,Yes,"Nov 10, 2020",2,15
2020-11-12,3,2,-,The Impossible,Movie,,"Nov 1, 2020",7,52
2020-11-12,4,3,8,Chappelle's Show,TV Show,,"Nov 1, 2020",8,44
2020-11-12,5,4,3,Mile 22,Movie,,"Nov 1, 2020",9,59
2020-11-12,6,-,-,Trial 4,TV Show,Yes,"Nov 11, 2020",1,5
2020-11-12,7,7,7,Cocomelon,TV Show,,"Jun 1, 2020",54,128
2020-11-12,8,6,-,Operation Christmas Drop,Movie,Yes,"Nov 5, 2020",7,50
2020-11-12,9,9,-,Illumination Presents The G…,Movie,,"Jun 5, 2019",2,4
2020-11-12,10,10,-,60 Days In,TV Show,,"Nov 1, 2020",2,2
2020-11-13,1,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",21,196
2020-11-13,2,2,-,Dash & Lily,TV Show,Yes,"Nov 10, 2020",3,24
2020-11-13,3,6,-,Trial 4,TV Show,Yes,"Nov 11, 2020",2,13
2020-11-13,4,3,10,The Impossible,Movie,,"Nov 1, 2020",8,59
2020-11-13,5,4,6,Chappelle's Show,TV Show,,"Nov 1, 2020",9,50
2020-11-13,6,-,-,The Liberator,TV Show,Yes,"Nov 11, 2020",1,5
2020-11-13,7,7,8,Cocomelon,TV Show,,"Jun 1, 2020",55,132
2020-11-13,8,5,3,Mile 22,Movie,,"Nov 1, 2020",10,62
2020-11-13,9,9,-,Illumination Presents The G…,Movie,,"Jun 5, 2019",3,6
2020-11-13,10,10,-,60 Days In,TV Show,,"Nov 1, 2020",3,3
2020-11-14,1,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",22,206
2020-11-14,2,2,-,Dash & Lily,TV Show,Yes,"Nov 10, 2020",4,33
2020-11-14,3,3,-,Trial 4,TV Show,Yes,"Nov 11, 2020",3,21
2020-11-14,4,4,3,The Impossible,Movie,,"Nov 1, 2020",9,66
2020-11-14,5,5,7,Chappelle's Show,TV Show,,"Nov 1, 2020",10,56
2020-11-14,6,6,-,The Liberator,TV Show,Yes,"Nov 11, 2020",2,10
2020-11-14,7,7,10,Cocomelon,TV Show,,"Jun 1, 2020",56,136
2020-11-14,8,8,4,Mile 22,Movie,,"Nov 1, 2020",11,65
2020-11-14,9,9,-,Illumination Presents The G…,Movie,,"Jun 5, 2019",4,8
2020-11-14,10,10,-,60 Days In,TV Show,,"Nov 1, 2020",4,4
2020-11-15,1,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",23,216
2020-11-15,2,-,-,Jingle Jangle: A Christmas …,Movie,Yes,"Nov 13, 2020",1,9
2020-11-15,3,3,-,Trial 4,TV Show,Yes,"Nov 11, 2020",4,29
2020-11-15,4,4,3,The Impossible,Movie,,"Nov 1, 2020",10,73
2020-11-15,5,-,-,American Horror Story,TV Show,,"Sep 15, 2014",1,6
2020-11-15,6,9,-,Illumination Presents The G…,Movie,,"Jun 5, 2019",5,13
2020-11-15,7,2,-,Dash & Lily,TV Show,Yes,"Nov 10, 2020",5,37
2020-11-15,8,-,6,The Great British Baking Show,TV Show,,"Oct 3, 2015",11,41
2020-11-15,9,-,-,The Life Ahead,Movie,Yes,"Nov 13, 2020",1,2
2020-11-15,10,5,7,Chappelle's Show,TV Show,,"Nov 1, 2020",11,57
2020-11-16,1,-,-,The Crown,TV Show,Yes,"Nov 4, 2016",1,10
2020-11-16,2,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",24,225
2020-11-16,3,2,-,Jingle Jangle: A Christmas …,Movie,Yes,"Nov 13, 2020",2,17
2020-11-16,4,6,-,Illumination Presents The G…,Movie,,"Jun 5, 2019",6,20
2020-11-16,5,3,-,Trial 4,TV Show,Yes,"Nov 11, 2020",5,35
2020-11-16,6,5,-,American Horror Story,TV Show,,"Sep 15, 2014",2,11
2020-11-16,7,9,-,The Life Ahead,Movie,Yes,"Nov 13, 2020",2,6
2020-11-16,8,4,2,The Impossible,Movie,,"Nov 1, 2020",11,76
2020-11-16,9,-,10,Cocomelon,TV Show,,"Jun 1, 2020",57,138
2020-11-16,10,7,-,Dash & Lily,TV Show,Yes,"Nov 10, 2020",6,38
2020-11-17,1,1,-,The Crown,TV Show,Yes,"Nov 4, 2016",2,20
2020-11-17,2,2,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",25,234
2020-11-17,3,-,-,Cloudy with a Chance of Mea…,Movie,,"Nov 15, 2020",1,8
2020-11-17,4,3,-,Jingle Jangle: A Christmas …,Movie,Yes,"Nov 13, 2020",3,24
2020-11-17,5,4,-,Illumination Presents The G…,Movie,,"Jun 5, 2019",7,26
2020-11-17,6,9,6,Cocomelon,TV Show,,"Jun 1, 2020",58,143
2020-11-17,7,6,-,American Horror Story,TV Show,,"Sep 15, 2014",3,15
2020-11-17,8,5,-,Trial 4,TV Show,Yes,"Nov 11, 2020",6,38
2020-11-17,9,-,-,Hometown Holiday,Movie,,"Nov 15, 2020",1,2
2020-11-17,10,10,-,Dash & Lily,TV Show,Yes,"Nov 10, 2020",7,39
2020-11-18,1,1,-,The Crown,TV Show,Yes,"Nov 4, 2016",3,30
2020-11-18,2,-,-,Kevin Hart: Zero F**ks Given,Stand-Up Comedy,Yes,"Nov 17, 2020",1,9
2020-11-18,3,2,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",26,242
2020-11-18,4,3,-,Cloudy with a Chance of Mea…,Movie,,"Nov 15, 2020",2,15
2020-11-18,5,-,-,The Boss Baby: Back in Busi…,TV Show,Yes,"Apr 6, 2018",6,20
