Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
D.J. Augustin,PG,33,MIL,27,0,17.8,1.7,5.1,.336,1.2,3.3,.364,0.5,1.8,.286,.453,1.3,1.4,.895,0.4,0.8,1.2,3.0,0.5,0.0,0.8,0.7,5.9
Deni Avdija,SF,20,WAS,22,16,22.9,2.5,6.0,.424,1.2,3.5,.355,1.3,2.5,.518,.527,0.5,0.9,.579,0.5,4.4,4.9,1.6,0.8,0.2,0.8,2.8,6.8
Deandre Ayton,C,22,PHO,27,27,32.1,6.1,10.3,.590,0.1,0.6,.250,5.9,9.7,.611,.597,1.6,2.3,.721,3.7,8.6,12.2,1.8,0.3,1.0,2.1,3.4,13.9
Udoka Azubuike,C,21,UTA,12,0,4.1,0.3,0.6,.571,0.0,0.0,0,0.3,0.6,.571,.571,0.3,0.5,.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0
Dwayne Bacon,SG,25,ORL,29,20,24.9,4.1,9.6,.423,1.1,2.9,.373,3.0,6.8,.444,.478,1.5,1.9,.800,0.4,2.7,3.1,1.0,0.8,0.1,0.7,1.7,10.7
Marvin Bagley III,PF,21,SAC,25,25,24.9,5.1,10.8,.476,1.0,2.8,.371,4.1,8.0,.513,.524,1.5,2.9,.514,2.1,5.3,7.4,0.9,0.5,0.5,1.5,2.5,12.8
LaMelo Ball,PG,19,CHO,28,8,27.7,5.4,12.4,.437,1.8,5.1,.354,3.6,7.3,.495,.510,2.0,2.5,.797,1.5,4.6,6.2,6.1,1.5,0.4,2.7,2.6,14.6
Lonzo Ball,PG,23,NOP,25,25,30.9,5.2,12.2,.424,2.9,7.6,.381,2.3,4.6,.496,.543,0.8,1.1,.741,0.6,3.7,4.3,4.7,1.2,0.5,2.0,2.5,14.0
Mo Bamba,C,22,ORL,13,0,8.7,2.2,4.2,.519,0.3,1.2,.267,1.8,3.0,.615,.556,0.2,0.4,.600,1.2,2.5,3.8,0.3,0.2,0.8,0.3,1.1,4.8
Desmond Bane,SG,22,MEM,20,2,22.8,3.8,7.8,.484,2.1,4.3,.482,1.7,3.5,.486,.616,0.7,0.9,.824,0.5,2.2,2.7,1.6,0.7,0.2,1.2,1.9,10.3
Harrison Barnes,PF,28,SAC,27,27,35.1,5.3,11.0,.480,1.7,4.3,.388,3.6,6.7,.539,.556,3.6,4.3,.843,1.1,5.1,6.2,3.4,0.8,0.2,1.4,1.1,15.8
RJ Barrett,SG,20,NYK,30,30,33.7,6.2,14.6,.428,1.0,3.4,.304,5.2,11.2,.466,.463,3.0,4.0,.742,1.3,4.9,6.2,3.1,0.7,0.2,1.9,2.5,16.5
Will Barton,SF,30,DEN,25,21,29.8,4.4,10.0,.436,1.6,4.0,.404,2.8,6.0,.457,.516,1.3,1.8,.750,0.5,3.2,3.7,3.2,0.8,0.4,1.5,1.8,11.6
Keita Bates-Diop,SF,25,SAS,8,0,3.4,0.0,1.1,.000,0.0,0.5,.000,0.0,0.6,.000,.000,0.6,0.8,.833,0.1,0.3,0.4,0.3,0.1,0.0,0.0,0.0,0.6
Nicolas Batum,SF,32,LAC,27,27,29.9,3.3,6.8,.492,2.1,4.6,.456,1.2,2.1,.569,.648,1.0,1.1,.867,0.9,4.0,4.9,2.3,1.4,0.4,0.7,1.7,9.7
Aron Baynes,C,34,TOR,25,24,18.8,2.4,5.8,.411,0.5,2.2,.222,1.9,3.7,.522,.452,0.3,0.4,.778,1.5,3.9,5.4,1.0,0.3,0.3,0.8,2.5,5.6
Kent Bazemore,SF,31,GSW,27,0,16.6,2.5,4.9,.515,1.0,2.3,.459,1.5,2.6,.563,.621,0.9,1.1,.800,0.5,2.6,3.1,1.6,0.8,0.6,1.0,2.2,7.0
Darius Bazley,PF,20,OKC,28,28,31.1,4.5,11.5,.393,1.5,5.3,.286,3.0,6.3,.483,.458,1.6,2.1,.767,0.5,6.9,7.4,1.8,0.5,0.7,1.8,1.0,12.2
Bradley Beal,SG,27,WAS,24,24,35.3,11.4,24.0,.473,2.5,7.4,.337,8.9,16.6,.534,.525,7.5,8.4,.896,1.4,3.8,5.2,4.7,1.3,0.5,3.1,2.5,32.8
Malik Beasley,SG,24,MIN,29,28,32.8,7.7,17.0,.455,3.4,8.7,.398,4.3,8.3,.515,.557,2.0,2.4,.843,0.9,4.0,4.9,2.5,0.9,0.2,1.7,1.7,20.9
Jordan Bell,C,26,WAS,3,1,16.7,1.7,5.0,.333,0.0,0.7,.000,1.7,4.3,.385,.333,0.0,0.0,0,1.7,3.7,5.3,1.7,0.3,1.0,1.0,1.3,3.3
DeAndre' Bembry,SF,26,TOR,19,0,13.7,1.7,2.8,.611,0.4,0.7,.500,1.4,2.1,.650,.676,0.3,0.6,.545,0.4,1.2,1.6,1.6,0.6,0.3,0.6,1.3,4.2
Dāvis Bertāns,PF,28,WAS,23,3,25.8,3.3,8.8,.381,3.0,7.8,.378,0.4,1.0,.409,.550,1.9,2.3,.827,0.4,2.7,3.1,1.0,0.7,0.3,0.6,2.5,11.5
Patrick Beverley,PG,32,LAC,20,20,24.2,2.7,6.2,.435,1.8,4.0,.443,1.0,2.3,.422,.577,1.1,1.5,.759,1.0,3.2,4.2,2.2,1.0,0.8,0.8,3.4,8.3
Saddiq Bey,SF,21,DET,26,9,20.3,2.9,7.0,.418,1.9,4.7,.413,1.0,2.3,.426,.555,1.5,1.8,.826,0.4,3.2,3.7,1.0,0.5,0.0,0.7,1.3,9.2
Tyler Bey,SF,22,DAL,4,0,3.3,0.5,1.3,.400,0.0,0.0,0,0.5,1.3,.400,.400,0.5,1.0,.500,0.5,0.3,0.8,0.0,0.0,0.3,0.0,0.5,1.5
Khem Birch,C,28,ORL,29,0,21.8,2.5,4.8,.514,0.1,0.4,.250,2.4,4.4,.539,.525,1.6,2.1,.742,2.8,3.2,6.0,1.2,0.7,0.7,0.7,1.7,6.7
Goga Bitadze,C,21,IND,13,0,9.5,1.7,2.9,.579,0.2,0.9,.167,1.5,2.0,.769,.605,0.7,0.9,.750,0.7,1.5,2.2,0.2,0.2,1.1,0.3,1.8,4.2
Bismack Biyombo,C,28,CHO,26,16,22.5,2.7,4.6,.580,0.0,0.0,.000,2.7,4.5,.585,.580,0.8,1.8,.447,2.2,3.6,5.8,1.3,0.2,1.2,0.9,2.3,6.1
Nemanja Bjelica,PF,32,SAC,13,0,16.2,2.3,5.2,.448,0.5,2.0,.269,1.8,3.2,.561,.500,1.8,2.2,.821,0.9,2.8,3.8,2.2,0.0,0.2,1.2,1.8,6.9
Eric Bledsoe,SG,31,NOP,27,26,28.9,4.6,10.5,.437,2.2,5.4,.401,2.4,5.1,.474,.540,1.3,2.0,.648,0.5,3.1,3.6,3.7,0.7,0.3,1.7,1.5,12.7
Keljin Blevins,SF,25,POR,8,0,4.8,0.1,1.1,.111,0.0,0.4,.000,0.1,0.8,.167,.111,0.0,0.0,0,0.0,0.0,0.0,0.5,0.3,0.0,0.4,0.5,0.3
Bogdan Bogdanović,SG,28,ATL,9,2,23.7,3.3,8.7,.385,2.3,6.4,.362,1.0,2.2,.450,.519,0.9,1.0,.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2.0,9.9
Bojan Bogdanović,SF,31,UTA,29,29,30.7,5.0,12.1,.416,2.6,6.6,.387,2.5,5.5,.450,.521,2.6,3.0,.864,0.5,3.5,4.0,2.1,0.4,0.0,1.5,1.5,15.2
Bol Bol,PF,21,DEN,12,2,5.4,0.6,1.3,.438,0.2,0.5,.333,0.4,0.8,.500,.500,0.1,0.2,.500,0.0,0.8,0.8,0.2,0.1,0.3,0.4,0.6,1.4
Marques Bolden,C,22,CLE,6,0,4.8,0.2,0.5,.333,0.0,0.0,0,0.2,0.5,.333,.333,0.8,1.3,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2
Jordan Bone,PG,23,ORL,14,0,14.0,1.6,3.9,.426,0.7,2.3,.313,0.9,1.6,.591,.519,0.0,0.0,0,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0
Isaac Bonga,SF,21,WAS,17,7,13.5,0.8,2.1,.389,0.5,1.3,.409,0.3,0.8,.357,.514,0.1,0.2,.667,0.5,1.8,2.2,0.5,0.2,0.2,0.4,1.6,2.3
Devin Booker,SG,24,PHO,23,23,35.2,9.0,18.2,.492,2.0,5.8,.353,6.9,12.4,.556,.548,4.4,5.3,.829,0.2,3.5,3.7,4.4,0.9,0.3,3.5,3.3,24.4
Chris Boucher,C,28,TOR,28,0,23.4,4.8,9.0,.528,1.6,3.6,.441,3.1,5.4,.587,.617,2.5,3.3,.750,2.0,4.8,6.8,1.0,0.5,2.1,0.7,2.7,13.6
Brian Bowen,SF,22,IND,1,0,5.0,1.0,2.0,.500,0.0,0.0,0,1.0,2.0,.500,.500,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Avery Bradley,SG,30,MIA,10,1,21.1,3.1,6.6,.470,1.6,3.8,.421,1.5,2.8,.536,.591,0.7,0.9,.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5
Tony Bradley,C,23,PHI,10,1,11.7,1.9,3.6,.528,0.0,0.1,.000,1.9,3.5,.543,.528,0.3,0.5,.600,2.1,2.9,5.0,0.6,0.3,0.6,0.1,1.1,4.1
Jarrell Brantley,PF,24,UTA,8,0,2.8,0.4,1.0,.375,0.4,0.8,.500,0.0,0.3,.000,.563,0.0,0.0,0,0.1,0.4,0.5,0.0,0.1,0.1,0.1,0.5,1.1
Ignas Brazdeikis,SF,22,NYK,4,0,1.8,0.0,0.3,.000,0.0,0.0,0,0.0,0.3,.000,.000,0.5,0.5,1.000,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5
Mikal Bridges,SF,24,PHO,27,27,33.3,5.1,10.1,.504,2.0,4.9,.398,3.1,5.1,.604,.601,2.0,2.4,.833,1.4,4.0,5.3,2.1,0.6,1.0,0.7,1.9,14.1
Miles Bridges,PF,22,CHO,28,2,26.7,3.8,8.0,.469,1.3,3.5,.364,2.5,4.5,.552,.549,1.1,1.2,.939,1.3,4.5,5.8,1.9,0.7,0.8,1.8,2.4,9.9
Malcolm Brogdon,PG,28,IND,29,29,36.0,8.1,18.4,.442,2.7,6.7,.395,5.5,11.7,.469,.514,2.7,2.9,.906,0.8,4.1,4.8,6.6,1.3,0.3,2.1,1.9,21.6
Dillon Brooks,SF,25,MEM,24,24,29.2,6.1,15.4,.397,1.9,6.0,.319,4.2,9.4,.447,.459,1.7,2.1,.800,1.0,2.2,3.3,2.6,1.3,0.4,2.3,3.3,15.8
Bruce Brown,PG,24,BRK,26,13,19.2,2.7,4.9,.555,0.2,0.8,.182,2.6,4.1,.632,.570,0.8,1.1,.690,1.3,3.1,4.4,1.0,0.7,0.4,0.8,1.8,6.4
Jaylen Brown,SG,24,BOS,26,26,33.4,9.9,19.5,.506,2.4,5.9,.409,7.5,13.6,.548,.568,3.7,4.8,.768,1.2,4.3,5.5,3.6,1.2,0.6,2.8,3.0,25.9
Moses Brown,C,21,OKC,7,0,4.4,1.0,1.4,.700,0.0,0.0,0,1.0,1.4,.700,.700,1.0,2.0,.500,0.6,1.6,2.1,0.4,0.1,0.6,0.1,0.6,3.0
Sterling Brown,SG,25,HOU,26,1,21.4,2.8,6.2,.450,1.5,3.8,.408,1.2,2.4,.516,.575,0.4,0.4,1.000,0.8,3.1,3.9,1.8,1.0,0.3,0.7,2.0,7.5
Troy Brown Jr.,SF,21,WAS,13,0,15.8,1.7,4.8,.355,0.8,2.8,.306,0.8,2.0,.423,.444,0.5,0.9,.583,0.6,2.8,3.5,1.0,0.2,0.2,0.9,1.8,4.8
Jalen Brunson,PG,24,DAL,24,6,24.1,4.3,8.3,.515,1.1,2.8,.382,3.2,5.5,.583,.580,2.0,2.3,.889,0.2,3.0,3.2,3.6,0.4,0.0,1.2,1.5,11.7
Thomas Bryant,C,23,WAS,10,10,27.1,5.9,9.1,.648,0.9,2.1,.429,5.0,7.0,.714,.698,1.6,2.4,.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
Reggie Bullock,SF,29,NYK,25,25,26.8,3.1,7.6,.411,1.8,4.6,.383,1.4,3.0,.453,.526,0.5,0.6,.813,0.3,3.2,3.5,1.4,0.7,0.2,0.7,2.5,8.5
Trey Burke,PG,28,DAL,27,0,17.3,2.9,6.6,.444,1.3,3.4,.396,1.6,3.2,.494,.545,0.9,1.0,.852,0.1,1.0,1.1,1.6,0.8,0.1,0.6,1.5,8.0
Alec Burks,SG,29,NYK,18,3,25.5,3.6,9.0,.395,2.0,4.9,.409,1.6,4.1,.378,.506,1.9,2.4,.814,0.5,4.1,4.6,2.1,0.8,0.3,1.1,1.7,11.1
Jimmy Butler,SF,31,MIA,16,16,32.9,6.0,13.7,.438,0.3,1.5,.167,5.8,12.2,.472,.447,7.2,8.4,.858,1.8,5.9,7.7,7.4,1.9,0.4,2.1,1.1,19.4
Bruno Caboclo,PF,25,HOU,6,0,6.0,1.3,2.8,.471,0.0,0.8,.000,1.3,2.0,.667,.471,0.2,0.3,.500,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8
Devontae Cacok,PF,24,LAL,1,0,2.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Kentavious Caldwell-Pope,SG,27,LAL,25,25,25.1,3.0,6.7,.446,1.6,3.7,.424,1.4,3.0,.474,.563,0.9,1.1,.852,0.3,1.9,2.2,1.3,0.8,0.3,1.0,1.6,8.5
Facundo Campazzo,PG,29,DEN,25,1,14.0,1.5,3.8,.396,1.0,2.6,.375,0.6,1.3,.438,.521,0.9,1.2,.759,0.2,0.6,0.8,1.9,0.9,0.2,0.7,1.8,4.9
Vlatko Čančar,PF,23,DEN,13,0,3.5,0.2,1.1,.214,0.1,0.6,.125,0.2,0.5,.333,.250,0.1,0.2,.500,0.2,0.7,0.9,0.1,0.3,0.2,0.4,0.2,0.6
Clint Capela,C,26,ATL,25,25,29.3,6.3,10.9,.579,0.0,0.0,0,6.3,10.9,.579,.579,1.6,3.1,.532,4.6,9.4,14.0,1.0,0.8,2.2,1.4,2.3,14.3
Vernon Carey Jr.,C,19,CHO,3,0,2.0,0.3,1.0,.333,0.0,0.3,.000,0.3,0.7,.500,.333,0.3,0.7,.500,0.7,0.3,1.0,0.3,0.0,0.3,0.0,0.0,1.0
Jevon Carter,PG,25,PHO,23,0,11.1,1.1,3.2,.342,0.6,2.1,.286,0.5,1.0,.458,.438,0.1,0.1,1.000,0.1,1.3,1.4,1.1,0.4,0.3,0.2,1.2,2.9
Wendell Carter Jr.,C,21,CHI,16,16,26.6,4.8,8.6,.551,0.3,0.9,.267,4.5,7.7,.585,.565,3.3,4.5,.722,2.2,5.6,7.8,2.2,0.7,0.7,1.9,3.0,13.0
Michael Carter-Williams,SG,29,ORL,10,5,24.6,2.9,8.2,.354,0.2,1.7,.118,2.7,6.5,.415,.366,1.7,2.3,.739,1.8,2.9,4.7,3.0,0.5,0.4,1.6,2.7,7.7
Alex Caruso,PG,26,LAL,22,0,18.7,2.0,4.4,.464,1.0,2.3,.440,1.0,2.1,.489,.577,0.5,0.5,.833,0.5,1.9,2.4,2.3,1.0,0.2,1.1,1.6,5.5
Willie Cauley-Stein,C,27,DAL,26,10,17.5,2.4,3.8,.626,0.0,0.2,.200,2.3,3.6,.649,.631,1.1,1.7,.636,1.3,3.3,4.6,0.8,0.3,0.7,0.5,2.5,5.9
Chris Chiozza,PG,25,BRK,12,0,9.3,1.0,3.4,.293,0.4,1.5,.278,0.6,1.9,.304,.354,0.8,0.9,.818,0.3,0.7,0.9,2.3,0.3,0.3,0.7,0.7,3.2
Marquese Chriss,PF,23,GSW,2,0,13.5,2.5,7.0,.357,0.5,2.5,.200,2.0,4.5,.444,.393,1.0,2.0,.500,1.5,5.0,6.5,1.0,0.0,1.0,1.0,1.5,6.5
Gary Clark,SF,26,ORL,26,11,21.0,1.2,3.9,.294,0.9,3.3,.264,0.3,0.6,.467,.407,0.2,0.3,.857,1.1,2.5,3.6,0.9,0.3,0.2,0.6,1.1,3.4
Brandon Clarke,PF,24,MEM,20,13,27.2,5.6,11.1,.500,0.6,1.8,.306,5.0,9.3,.538,.525,1.3,2.1,.634,1.6,4.0,5.6,1.8,1.2,0.8,0.7,1.7,13.0
Jordan Clarkson,SG,28,UTA,29,0,26.2,6.7,14.8,.453,3.2,8.5,.382,3.4,6.3,.549,.563,1.6,1.7,.958,0.9,3.2,4.1,2.1,1.0,0.2,1.9,1.4,18.2
Amir Coffey,SG,23,LAC,19,0,8.1,1.1,2.1,.525,0.6,1.1,.524,0.5,1.0,.526,.663,0.2,0.5,.333,0.2,0.6,0.8,0.4,0.2,0.0,0.4,0.6,2.9
John Collins,PF,23,ATL,28,28,31.6,7.1,13.0,.547,1.4,3.4,.411,5.7,9.6,.595,.600,2.6,3.0,.867,2.2,5.4,7.6,1.6,0.5,1.0,1.4,3.4,18.2
Mike Conley,PG,33,UTA,23,23,29.3,5.7,12.7,.450,2.8,6.8,.410,2.9,5.9,.496,.560,2.3,2.8,.815,1.0,2.7,3.7,5.8,1.4,0.1,2.0,1.8,16.5
Pat Connaughton,SG,28,MIL,25,0,19.0,2.2,5.1,.438,1.3,3.4,.384,0.9,1.7,.548,.566,0.2,0.3,.625,0.9,2.9,3.8,1.4,0.7,0.5,0.3,1.3,6.0
Quinn Cook,PG,27,LAL,15,0,3.4,0.6,1.4,.429,0.3,0.7,.364,0.3,0.7,.500,.524,0.3,0.3,.800,0.0,0.3,0.3,0.3,0.1,0.0,0.2,0.1,1.7
DeMarcus Cousins,C,30,HOU,25,11,20.2,3.2,8.4,.376,1.6,4.6,.336,1.6,3.8,.426,.469,1.8,2.4,.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3.0,9.6
Robert Covington,PF,30,POR,26,26,31.4,2.7,7.2,.371,1.7,5.1,.333,1.0,2.1,.463,.489,0.6,0.7,.889,0.8,5.4,6.2,1.8,1.6,0.9,1.0,2.6,7.6
Torrey Craig,SF,30,MIL,15,0,11.7,1.1,2.5,.459,0.5,1.2,.444,0.6,1.3,.474,.568,0.1,0.1,.500,0.8,1.8,2.6,0.8,0.5,0.3,0.3,1.5,2.9
Jae Crowder,PF,30,PHO,24,16,27.9,3.4,8.9,.379,2.4,6.9,.345,1.0,2.0,.490,.512,1.2,1.4,.848,0.4,4.8,5.2,2.2,0.9,0.2,0.8,2.0,10.3
Jarrett Culver,SG,21,MIN,16,7,21.2,3.2,6.9,.459,0.5,1.9,.258,2.7,5.0,.538,.495,1.3,2.1,.606,1.6,3.4,5.0,0.9,0.7,0.4,1.3,2.4,8.1
Seth Curry,SG,30,PHI,22,22,29.0,4.6,9.3,.500,2.1,4.4,.479,2.5,4.9,.519,.613,1.8,1.8,.975,0.2,1.7,1.9,2.7,0.8,0.3,1.4,1.7,13.1
Stephen Curry,PG,32,GSW,29,29,34.0,10.0,20.3,.492,5.0,11.8,.425,5.0,8.6,.582,.614,5.0,5.3,.935,0.4,4.9,5.3,6.0,1.2,0.1,3.2,1.9,30.0
Anthony Davis,PF,27,LAL,23,23,32.8,8.9,16.7,.533,0.7,2.5,.293,8.1,14.1,.575,.555,4.0,5.7,.715,2.0,6.3,8.4,3.0,1.3,1.8,2.0,1.8,22.5
Ed Davis,C,31,MIN,19,7,13.9,0.9,2.3,.419,0.0,0.0,0,0.9,2.3,.419,.419,0.4,0.4,.875,2.0,3.1,5.1,1.0,0.5,0.5,0.3,2.6,2.3
Terence Davis,SG,23,TOR,22,2,13.8,2.5,5.8,.438,1.3,3.3,.384,1.3,2.5,.509,.547,0.4,0.5,.900,0.3,1.4,1.6,0.9,0.5,0.1,0.9,1.7,6.8
DeMar DeRozan,PF,31,SAS,25,25,33.4,6.6,13.4,.488,0.6,1.9,.333,5.9,11.5,.514,.512,6.0,6.8,.893,0.8,4.2,5.0,6.9,0.8,0.3,1.6,1.8,19.8
Hamidou Diallo,SG,22,OKC,28,5,24.0,4.7,9.8,.480,0.4,1.4,.289,4.3,8.5,.511,.500,2.7,4.1,.661,1.1,4.3,5.4,2.5,1.0,0.4,1.5,2.5,12.5
Gorgui Dieng,C,31,MEM,19,1,17.7,2.6,4.9,.532,1.1,2.1,.500,1.6,2.8,.556,.638,1.4,1.6,.839,1.4,3.4,4.8,1.4,0.8,0.7,1.1,1.8,7.7
Spencer Dinwiddie,SG,27,BRK,3,3,21.3,2.0,5.3,.375,0.7,2.3,.286,1.3,3.0,.444,.438,2.0,2.0,1.000,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7
Donte DiVincenzo,SG,24,MIL,28,28,26.1,3.7,8.9,.419,2.0,4.9,.401,1.8,4.0,.441,.530,0.5,0.8,.619,1.0,3.4,4.5,2.8,1.2,0.2,1.2,1.5,9.9
Luka Dončić,PG,21,DAL,27,27,35.3,10.0,21.1,.475,2.4,7.2,.335,7.6,14.0,.546,.532,6.6,8.3,.795,0.9,7.7,8.6,9.4,1.0,0.7,4.2,2.2,29.1
Luguentz Dort,SG,21,OKC,27,27,29.6,4.3,10.6,.409,1.9,5.7,.323,2.5,4.9,.511,.497,2.0,2.6,.746,0.7,2.8,3.5,1.4,0.9,0.3,1.5,2.5,12.5
Damyean Dotson,SG,26,CLE,24,6,20.4,3.0,7.2,.410,1.1,3.8,.283,1.9,3.4,.556,.486,0.8,1.1,.692,0.2,1.7,1.8,2.2,0.5,0.1,0.8,0.9,7.8
Devon Dotson,PG,21,CHI,1,0,10.0,2.0,4.0,.500,0.0,0.0,0,2.0,4.0,.500,.500,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
Sekou Doumbouya,PF,20,DET,24,1,13.1,1.5,4.3,.353,0.4,1.6,.256,1.1,2.6,.413,.402,0.7,1.0,.739,0.6,1.8,2.4,0.6,0.4,0.1,0.7,1.5,4.1
PJ Dozier,SG,24,DEN,17,0,19.4,2.6,5.5,.468,0.9,2.2,.405,1.7,3.4,.509,.548,1.1,1.5,.720,0.9,3.2,4.1,1.4,0.5,0.6,0.8,1.7,7.1
Goran Dragić,PG,34,MIA,17,6,26.5,5.2,11.5,.456,1.6,4.6,.359,3.6,6.9,.521,.528,2.2,2.8,.809,0.4,2.6,3.1,5.3,0.5,0.1,3.0,2.6,14.4
Andre Drummond,C,27,CLE,25,25,28.9,7.2,15.2,.474,0.0,0.3,.000,7.2,14.9,.484,.474,3.1,5.2,.597,4.0,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5
Jared Dudley,PF,35,LAL,6,0,3.7,0.2,0.2,1.000,0.2,0.2,1.000,0.0,0.0,0,1.500,0.0,0.0,0,0.2,0.8,1.0,0.2,0.0,0.0,0.0,0.0,0.5
