Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Harrison Barnes,PF,28,SAC,27,27,948,5.4,11.2,.480,1.7,4.4,.388,3.7,6.8,.539,3.7,4.4,.843,1.1,5.3,6.4,3.5,0.8,0.2,1.4,1.2,16.2
RJ Barrett,SG,20,NYK,30,30,1012,6.7,15.5,.428,1.1,3.6,.304,5.5,11.9,.466,3.2,4.3,.742,1.4,5.2,6.6,3.3,0.8,0.2,2.0,2.6,17.6
Will Barton,SF,30,DEN,25,21,744,5.3,12.1,.436,1.9,4.8,.404,3.3,7.3,.457,1.6,2.1,.750,0.6,3.9,4.5,3.9,1.0,0.5,1.8,2.2,14.1
Keita Bates-Diop,SF,25,SAS,8,0,27,0.0,12.0,.000,0.0,5.3,.000,0.0,6.7,.000,6.7,8.0,.833,1.3,2.7,4.0,2.7,1.3,0.0,0.0,0.0,6.7
Nicolas Batum,SF,32,LAC,27,27,806,4.0,8.2,.492,2.5,5.6,.456,1.5,2.6,.569,1.2,1.3,.867,1.1,4.8,5.9,2.8,1.7,0.4,0.8,2.1,11.7
Aron Baynes,C,34,TOR,25,24,470,4.6,11.2,.411,0.9,4.1,.222,3.7,7.0,.522,0.5,0.7,.778,2.8,7.5,10.3,1.9,0.5,0.6,1.5,4.8,10.6
Kent Bazemore,SF,31,GSW,27,0,448,5.5,10.6,.515,2.3,4.9,.459,3.2,5.7,.563,1.9,2.4,.800,1.0,5.7,6.8,3.5,1.8,1.3,2.3,4.8,15.1
Darius Bazley,PF,20,OKC,28,28,872,5.2,13.3,.393,1.7,6.1,.286,3.5,7.3,.483,1.9,2.5,.767,0.6,7.9,8.5,2.1,0.5,0.8,2.0,1.2,14.1
Bradley Beal,SG,27,WAS,24,24,846,11.6,24.6,.473,2.6,7.6,.337,9.1,17.0,.534,7.7,8.6,.896,1.4,3.9,5.3,4.8,1.4,0.5,3.2,2.6,33.4
Malik Beasley,SG,24,MIN,29,28,951,8.5,18.6,.455,3.8,9.5,.398,4.7,9.1,.515,2.2,2.6,.843,1.0,4.4,5.3,2.8,0.9,0.2,1.8,1.9,23.0
Jordan Bell,C,26,WAS,3,1,50,3.6,10.8,.333,0.0,1.4,.000,3.6,9.4,.385,0.0,0.0,0,3.6,7.9,11.5,3.6,0.7,2.2,2.2,2.9,7.2
DeAndre' Bembry,SF,26,TOR,19,0,261,4.6,7.4,.611,1.0,1.9,.500,3.6,5.5,.650,0.8,1.5,.545,1.1,3.0,4.1,4.1,1.7,0.7,1.7,3.3,10.9
Dāvis Bertāns,PF,28,WAS,23,3,593,4.7,12.3,.381,4.1,10.9,.378,0.5,1.3,.409,2.6,3.2,.827,0.6,3.8,4.4,1.4,1.0,0.4,0.8,3.5,16.1
Patrick Beverley,PG,32,LAC,20,20,483,4.0,9.2,.435,2.6,5.9,.443,1.4,3.4,.422,1.6,2.2,.759,1.5,4.8,6.3,3.2,1.5,1.1,1.1,5.0,12.3
Saddiq Bey,SF,21,DET,26,9,529,5.2,12.4,.418,3.4,8.2,.413,1.8,4.2,.426,2.6,3.1,.826,0.7,5.7,6.5,1.7,1.0,0.1,1.3,2.4,16.3
Tyler Bey,SF,22,DAL,4,0,13,5.5,13.8,.400,0.0,0.0,0,5.5,13.8,.400,5.5,11.1,.500,5.5,2.8,8.3,0.0,0.0,2.8,0.0,5.5,16.6
Khem Birch,C,28,ORL,29,0,631,4.1,8.0,.514,0.2,0.7,.250,3.9,7.3,.539,2.6,3.5,.742,4.6,5.3,9.9,1.9,1.1,1.2,1.1,2.7,11.0
Goga Bitadze,C,21,IND,13,0,124,6.4,11.0,.579,0.6,3.5,.167,5.8,7.5,.769,2.6,3.5,.750,2.6,5.8,8.4,0.9,0.9,4.1,1.2,6.7,16.0
Bismack Biyombo,C,28,CHO,26,16,585,4.2,7.3,.580,0.0,0.1,.000,4.2,7.3,.585,1.3,2.9,.447,3.5,5.8,9.3,2.1,0.4,2.0,1.4,3.8,9.8
Nemanja Bjelica,PF,32,SAC,13,0,211,5.1,11.4,.448,1.2,4.4,.269,3.9,7.0,.561,3.9,4.8,.821,2.0,6.3,8.4,4.8,0.0,0.3,2.7,4.1,15.4
Eric Bledsoe,SG,31,NOP,27,26,780,5.7,13.1,.437,2.7,6.8,.401,3.0,6.3,.474,1.6,2.5,.648,0.6,3.8,4.4,4.6,0.8,0.3,2.2,1.8,15.8
Keljin Blevins,SF,25,POR,8,0,38,0.9,8.5,.111,0.0,2.8,.000,0.9,5.7,.167,0.0,0.0,0,0.0,0.0,0.0,3.8,1.9,0.0,2.8,3.8,1.9
Bogdan Bogdanović,SG,28,ATL,9,2,213,5.1,13.2,.385,3.5,9.8,.362,1.5,3.4,.450,1.4,1.5,.889,0.3,5.4,5.7,3.2,0.7,0.2,1.9,3.0,15.0
Bojan Bogdanović,SF,31,UTA,29,29,891,5.9,14.2,.416,3.0,7.7,.387,2.9,6.5,.450,3.1,3.6,.864,0.6,4.1,4.6,2.5,0.5,0.0,1.8,1.8,17.9
Bol Bol,PF,21,DEN,12,2,65,3.9,8.9,.438,1.1,3.3,.333,2.8,5.5,.500,0.6,1.1,.500,0.0,5.0,5.0,1.1,0.6,2.2,2.8,3.9,9.4
Marques Bolden,C,22,CLE,6,0,29,1.2,3.7,.333,0.0,0.0,0,1.2,3.7,.333,6.2,9.9,.625,3.7,3.7,7.4,0.0,2.5,2.5,2.5,0.0,8.7
Jordan Bone,PG,23,ORL,14,0,196,4.2,9.9,.426,1.8,5.9,.313,2.4,4.0,.591,0.0,0.0,0,0.7,3.7,4.4,3.3,0.4,0.0,0.6,2.0,10.3
Isaac Bonga,SF,21,WAS,17,7,230,2.2,5.6,.389,1.4,3.4,.409,0.8,2.2,.357,0.3,0.5,.667,1.3,4.7,5.9,1.4,0.6,0.6,1.1,4.4,6.1
Devin Booker,SG,24,PHO,23,23,810,9.2,18.6,.492,2.1,5.9,.353,7.1,12.7,.556,4.5,5.5,.829,0.2,3.6,3.8,4.5,0.9,0.3,3.6,3.4,24.9
Chris Boucher,C,28,TOR,28,0,654,7.3,13.9,.528,2.5,5.6,.441,4.8,8.3,.587,3.8,5.1,.750,3.0,7.4,10.4,1.6,0.7,3.2,1.0,4.1,20.9
Brian Bowen,SF,22,IND,1,0,5,7.2,14.4,.500,0.0,0.0,0,7.2,14.4,.500,7.2,7.2,1.000,0.0,7.2,7.2,0.0,0.0,0.0,0.0,0.0,21.6
Avery Bradley,SG,30,MIA,10,1,211,5.3,11.3,.470,2.7,6.5,.421,2.6,4.8,.536,1.2,1.5,.778,0.3,2.7,3.1,2.4,1.2,0.2,1.5,4.4,14.5
Tony Bradley,C,23,PHI,10,1,117,5.8,11.1,.528,0.0,0.3,.000,5.8,10.8,.543,0.9,1.5,.600,6.5,8.9,15.4,1.8,0.9,1.8,0.3,3.4,12.6
Jarrell Brantley,PF,24,UTA,8,0,22,4.9,13.1,.375,4.9,9.8,.500,0.0,3.3,.000,0.0,0.0,0,1.6,4.9,6.5,0.0,1.6,1.6,1.6,6.5,14.7
Ignas Brazdeikis,SF,22,NYK,4,0,7,0.0,5.1,.000,0.0,0.0,0,0.0,5.1,.000,10.3,10.3,1.000,5.1,5.1,10.3,5.1,0.0,0.0,5.1,0.0,10.3
Mikal Bridges,SF,24,PHO,27,27,898,5.5,10.9,.504,2.1,5.3,.398,3.4,5.6,.604,2.2,2.6,.833,1.5,4.3,5.8,2.3,0.7,1.0,0.8,2.0,15.3
Miles Bridges,PF,22,CHO,28,2,747,5.1,10.8,.469,1.7,4.8,.364,3.3,6.0,.552,1.5,1.6,.939,1.8,6.0,7.8,2.6,1.0,1.1,2.4,3.3,13.3
Malcolm Brogdon,PG,28,IND,29,29,1045,8.1,18.4,.442,2.7,6.7,.395,5.5,11.7,.469,2.7,2.9,.906,0.8,4.1,4.8,6.5,1.3,0.3,2.1,1.9,21.6
Dillon Brooks,SF,25,MEM,24,24,700,7.6,19.0,.397,2.4,7.4,.319,5.2,11.6,.447,2.1,2.6,.800,1.3,2.7,4.0,3.2,1.6,0.5,2.8,4.1,19.5
Bruce Brown,PG,24,BRK,26,13,498,5.1,9.3,.555,0.3,1.6,.182,4.8,7.7,.632,1.4,2.1,.690,2.4,5.9,8.2,2.0,1.2,0.7,1.6,3.5,12.0
Jaylen Brown,SG,24,BOS,26,26,868,10.7,21.1,.506,2.6,6.4,.409,8.0,14.7,.548,4.0,5.2,.768,1.3,4.7,6.0,3.9,1.3,0.6,3.1,3.2,27.9
Moses Brown,C,21,OKC,7,0,31,8.1,11.6,.700,0.0,0.0,0,8.1,11.6,.700,8.1,16.3,.500,4.6,12.8,17.4,3.5,1.2,4.6,1.2,4.6,24.4
Sterling Brown,SG,25,HOU,26,1,556,4.7,10.4,.450,2.6,6.3,.408,2.1,4.0,.516,0.6,0.6,1.000,1.3,5.2,6.5,3.0,1.6,0.5,1.1,3.4,12.6
Troy Brown Jr.,SF,21,WAS,13,0,205,3.9,10.9,.355,1.9,6.3,.306,1.9,4.6,.423,1.2,2.1,.583,1.4,6.5,7.9,2.3,0.4,0.4,2.1,4.0,10.9
Jalen Brunson,PG,24,DAL,24,6,578,6.4,12.5,.515,1.6,4.2,.382,4.8,8.2,.583,3.0,3.4,.889,0.3,4.4,4.7,5.4,0.6,0.0,1.8,2.2,17.4
Thomas Bryant,C,23,WAS,10,10,271,7.8,12.1,.648,1.2,2.8,.429,6.6,9.3,.714,2.1,3.2,.667,2.4,5.7,8.1,2.0,0.5,1.1,1.5,4.1,19.0
Reggie Bullock,SF,29,NYK,25,25,669,4.2,10.2,.411,2.4,6.2,.383,1.8,4.0,.453,0.7,0.9,.813,0.4,4.3,4.7,1.8,1.0,0.3,1.0,3.3,11.5
Trey Burke,PG,28,DAL,27,0,466,6.1,13.8,.444,2.8,7.0,.396,3.3,6.7,.494,1.8,2.1,.852,0.3,2.0,2.3,3.3,1.6,0.2,1.2,3.1,16.8
Alec Burks,SG,29,NYK,18,3,459,5.0,12.7,.395,2.8,6.9,.409,2.2,5.8,.378,2.7,3.4,.814,0.7,5.8,6.5,3.0,1.2,0.4,1.6,2.4,15.6
Jimmy Butler,SF,31,MIA,16,16,527,6.6,15.0,.438,0.3,1.6,.167,6.3,13.3,.472,7.9,9.2,.858,2.0,6.4,8.4,8.1,2.1,0.4,2.3,1.2,21.2
Bruno Caboclo,PF,25,HOU,6,0,36,8.0,17.0,.471,0.0,5.0,.000,8.0,12.0,.667,1.0,2.0,.500,3.0,11.0,14.0,1.0,0.0,2.0,4.0,6.0,17.0
Devontae Cacok,PF,24,LAL,1,0,2,18.0,18.0,1.000,0.0,0.0,0,18.0,18.0,1.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
Kentavious Caldwell-Pope,SG,27,LAL,25,25,627,4.3,9.6,.446,2.2,5.3,.424,2.1,4.4,.474,1.3,1.6,.852,0.5,2.8,3.2,1.9,1.1,0.5,1.4,2.2,12.2
Facundo Campazzo,PG,29,DEN,25,1,350,3.9,9.9,.396,2.5,6.6,.375,1.4,3.3,.438,2.3,3.0,.759,0.5,1.5,2.1,4.9,2.4,0.4,1.7,4.5,12.5
Vlatko Čančar,PF,23,DEN,13,0,45,2.4,11.2,.214,0.8,6.4,.125,1.6,4.8,.333,0.8,1.6,.500,2.4,7.2,9.6,0.8,3.2,1.6,4.0,2.4,6.4
Clint Capela,C,26,ATL,25,25,732,7.8,13.4,.579,0.0,0.0,0,7.8,13.4,.579,2.0,3.8,.532,5.6,11.6,17.2,1.2,0.9,2.7,1.7,2.8,17.6
Vernon Carey Jr.,C,19,CHO,3,0,6,6.0,18.0,.333,0.0,6.0,.000,6.0,12.0,.500,6.0,12.0,.500,12.0,6.0,18.0,6.0,0.0,6.0,0.0,0.0,18.0
Jevon Carter,PG,25,PHO,23,0,256,3.5,10.3,.342,2.0,6.9,.286,1.5,3.4,.458,0.3,0.3,1.000,0.4,4.1,4.5,3.7,1.4,0.8,0.7,3.8,9.3
Wendell Carter Jr.,C,21,CHI,16,16,425,6.4,11.7,.551,0.3,1.3,.267,6.1,10.4,.585,4.4,6.1,.722,3.0,7.5,10.5,3.0,0.9,0.9,2.6,4.1,17.6
Michael Carter-Williams,SG,29,ORL,10,5,246,4.2,12.0,.354,0.3,2.5,.118,4.0,9.5,.415,2.5,3.4,.739,2.6,4.2,6.9,4.4,0.7,0.6,2.3,4.0,11.3
Alex Caruso,PG,26,LAL,22,0,412,3.9,8.5,.464,1.9,4.4,.440,2.0,4.1,.489,0.9,1.0,.833,1.0,3.7,4.6,4.4,1.9,0.3,2.2,3.1,10.7
Willie Cauley-Stein,C,27,DAL,26,10,454,4.9,7.9,.626,0.1,0.4,.200,4.8,7.5,.649,2.2,3.5,.636,2.6,6.9,9.5,1.6,0.7,1.5,1.1,5.2,12.1
Chris Chiozza,PG,25,BRK,12,0,111,3.9,13.3,.293,1.6,5.8,.278,2.3,7.5,.304,2.9,3.6,.818,1.0,2.6,3.6,9.1,1.3,1.0,2.6,2.6,12.3
Marquese Chriss,PF,23,GSW,2,0,27,6.7,18.7,.357,1.3,6.7,.200,5.3,12.0,.444,2.7,5.3,.500,4.0,13.3,17.3,2.7,0.0,2.7,2.7,4.0,17.3
Gary Clark,SF,26,ORL,26,11,545,2.0,6.7,.294,1.5,5.7,.264,0.5,1.0,.467,0.4,0.5,.857,1.9,4.2,6.1,1.6,0.6,0.3,1.0,1.9,5.9
Brandon Clarke,PF,24,MEM,20,13,543,7.4,14.7,.500,0.7,2.4,.306,6.6,12.3,.538,1.7,2.7,.634,2.1,5.2,7.4,2.4,1.6,1.0,0.9,2.2,17.2
Jordan Clarkson,SG,28,UTA,29,0,760,9.2,20.3,.453,4.5,11.7,.382,4.7,8.6,.549,2.2,2.3,.958,1.3,4.4,5.6,2.9,1.3,0.3,2.6,1.9,25.0
Amir Coffey,SG,23,LAC,19,0,154,4.9,9.4,.525,2.6,4.9,.524,2.3,4.4,.526,0.7,2.1,.333,0.7,2.8,3.5,1.9,0.9,0.0,1.9,2.6,13.1
John Collins,PF,23,ATL,28,28,884,8.1,14.8,.547,1.6,3.9,.411,6.5,11.0,.595,2.9,3.4,.867,2.5,6.1,8.6,1.8,0.5,1.1,1.6,3.9,20.7
Mike Conley,PG,33,UTA,23,23,674,7.0,15.5,.450,3.4,8.3,.410,3.6,7.2,.496,2.8,3.5,.815,1.2,3.3,4.5,7.2,1.7,0.1,2.5,2.2,20.2
Pat Connaughton,SG,28,MIL,25,0,475,4.2,9.7,.438,2.5,6.5,.384,1.7,3.2,.548,0.4,0.6,.625,1.7,5.5,7.2,2.7,1.3,0.9,0.5,2.5,11.4
Quinn Cook,PG,27,LAL,15,0,51,6.4,14.8,.429,2.8,7.8,.364,3.5,7.1,.500,2.8,3.5,.800,0.0,3.5,3.5,3.5,0.7,0.0,2.1,1.4,18.4
DeMarcus Cousins,C,30,HOU,25,11,506,5.6,14.9,.376,2.8,8.3,.336,2.8,6.7,.426,3.1,4.2,.746,2.1,11.5,13.6,4.3,1.5,1.3,2.8,5.3,17.1
Robert Covington,PF,30,POR,26,26,816,3.0,8.2,.371,1.9,5.8,.333,1.1,2.4,.463,0.7,0.8,.889,0.9,6.2,7.1,2.1,1.9,1.1,1.2,3.0,8.7
Torrey Craig,SF,30,MIL,15,0,175,3.5,7.6,.459,1.6,3.7,.444,1.9,3.9,.474,0.2,0.4,.500,2.5,5.6,8.0,2.5,1.6,1.0,1.0,4.7,8.8
Jae Crowder,PF,30,PHO,24,16,670,4.4,11.5,.379,3.1,8.9,.345,1.3,2.6,.490,1.5,1.8,.848,0.5,6.2,6.7,2.8,1.1,0.3,1.0,2.6,13.3
Jarrett Culver,SG,21,MIN,16,7,339,5.4,11.8,.459,0.8,3.3,.258,4.6,8.5,.538,2.1,3.5,.606,2.7,5.8,8.5,1.6,1.2,0.6,2.2,4.0,13.8
Seth Curry,SG,30,PHI,22,22,637,5.8,11.5,.500,2.6,5.4,.479,3.2,6.1,.519,2.2,2.3,.975,0.3,2.1,2.4,3.3,1.0,0.3,1.8,2.1,16.3
Stephen Curry,PG,32,GSW,29,29,987,10.6,21.5,.492,5.3,12.4,.425,5.3,9.1,.582,5.3,5.6,.935,0.5,5.2,5.7,6.4,1.3,0.1,3.4,2.0,31.7
Anthony Davis,PF,27,LAL,23,23,755,9.7,18.3,.533,0.8,2.8,.293,8.9,15.5,.575,4.4,6.2,.715,2.2,7.0,9.2,3.3,1.5,2.0,2.1,2.0,24.7
Ed Davis,C,31,MIN,19,7,264,2.5,5.9,.419,0.0,0.0,0,2.5,5.9,.419,1.0,1.1,.875,5.2,8.0,13.2,2.6,1.4,1.4,0.8,6.7,5.9
Terence Davis,SG,23,TOR,22,2,304,6.6,15.2,.438,3.3,8.6,.384,3.3,6.5,.509,1.1,1.2,.900,0.7,3.6,4.3,2.4,1.4,0.4,2.3,4.5,17.6
DeMar DeRozan,PF,31,SAS,25,25,835,7.1,14.5,.488,0.7,2.1,.333,6.4,12.4,.514,6.5,7.3,.893,0.8,4.6,5.4,7.4,0.8,0.3,1.8,1.9,21.3
Hamidou Diallo,SG,22,OKC,28,5,673,7.1,14.7,.480,0.6,2.0,.289,6.5,12.7,.511,4.1,6.2,.661,1.7,6.4,8.1,3.7,1.6,0.5,2.2,3.8,18.8
Gorgui Dieng,C,31,MEM,19,1,336,5.4,10.1,.532,2.1,4.3,.500,3.2,5.8,.556,2.8,3.3,.839,2.9,6.9,9.7,2.8,1.7,1.4,2.1,3.7,15.6
Spencer Dinwiddie,SG,27,BRK,3,3,64,3.4,9.0,.375,1.1,3.9,.286,2.3,5.1,.444,3.4,3.4,1.000,0.0,7.3,7.3,5.1,1.1,0.6,2.8,2.3,11.3
Donte DiVincenzo,SG,24,MIL,28,28,732,5.1,12.2,.419,2.7,6.7,.401,2.4,5.5,.441,0.6,1.0,.619,1.4,4.7,6.1,3.8,1.7,0.3,1.7,2.1,13.6
Luka Dončić,PG,21,DAL,27,27,954,10.2,21.5,.475,2.5,7.3,.335,7.8,14.2,.546,6.7,8.5,.795,0.9,7.9,8.8,9.6,1.0,0.7,4.3,2.2,29.6
Luguentz Dort,SG,21,OKC,27,27,800,5.3,12.9,.409,2.3,7.0,.323,3.0,5.9,.511,2.4,3.2,.746,0.9,3.4,4.3,1.8,1.1,0.3,1.8,3.1,15.2
Damyean Dotson,SG,26,CLE,24,6,490,5.2,12.7,.410,1.9,6.8,.283,3.3,6.0,.556,1.3,1.9,.692,0.3,2.9,3.2,3.8,0.8,0.2,1.5,1.6,13.7
Devon Dotson,PG,21,CHI,1,0,10,7.2,14.4,.500,0.0,0.0,0,7.2,14.4,.500,0.0,0.0,0,0.0,3.6,3.6,0.0,0.0,0.0,0.0,3.6,14.4
Sekou Doumbouya,PF,20,DET,24,1,314,4.1,11.7,.353,1.1,4.5,.256,3.0,7.2,.413,1.9,2.6,.739,1.7,4.9,6.6,1.6,1.1,0.2,1.8,4.2,11.4
PJ Dozier,SG,24,DEN,17,0,330,4.8,10.3,.468,1.6,4.0,.405,3.2,6.2,.509,2.0,2.7,.720,1.7,5.9,7.6,2.5,1.0,1.1,1.4,3.2,13.2
Goran Dragić,PG,34,MIA,17,6,451,7.1,15.6,.456,2.2,6.2,.359,4.9,9.3,.521,3.0,3.8,.809,0.6,3.6,4.2,7.2,0.7,0.2,4.1,3.6,19.5
Andre Drummond,C,27,CLE,25,25,722,9.0,18.9,.474,0.0,0.4,.000,9.0,18.5,.484,3.8,6.4,.597,5.0,11.8,16.8,3.2,2.0,1.4,4.0,3.4,21.8
Jared Dudley,PF,35,LAL,6,0,22,1.6,1.6,1.000,1.6,1.6,1.000,0.0,0.0,0,0.0,0.0,0,1.6,8.2,9.8,1.6,0.0,0.0,0.0,0.0,4.9
Kevin Durant,PF,32,BRK,19,18,679,10.0,19.0,.524,2.6,6.0,.434,7.4,13.0,.565,6.7,7.7,.869,0.4,7.0,7.4,5.3,0.7,1.4,3.6,2.3,29.2
Anthony Edwards,SG,19,MIN,29,12,817,7.0,18.2,.383,2.3,7.3,.319,4.6,10.8,.427,2.4,3.0,.806,0.8,3.9,4.7,3.0,0.9,0.4,2.0,1.9,18.6
Carsen Edwards,SG,22,BOS,13,1,134,6.4,14.8,.436,2.7,8.1,.333,3.8,6.7,.560,1.9,2.4,.778,0.5,3.0,3.5,1.3,1.1,0.3,0.5,4.3,17.5
CJ Elleby,SF,20,POR,12,0,96,5.2,10.9,.483,1.9,6.8,.278,3.4,4.1,.818,2.3,3.4,.667,1.5,3.0,4.5,1.1,1.1,1.1,1.1,6.0,14.6
Wayne Ellington,SG,33,DET,21,18,481,5.8,12.6,.456,4.3,9.7,.438,1.5,2.9,.513,0.9,1.2,.750,0.5,2.5,3.1,1.8,0.6,0.3,1.0,2.4,16.7
Joel Embiid,C,26,PHI,23,23,748,10.4,19.3,.540,1.3,3.3,.397,9.1,16.1,.569,10.7,12.6,.851,2.1,9.8,11.9,3.4,1.4,1.3,3.8,2.8,32.9
James Ennis,SF,30,ORL,20,19,438,4.2,8.5,.495,1.4,3.1,.447,2.8,5.3,.523,2.1,2.5,.839,1.9,4.3,6.2,2.2,1.6,0.5,1.6,3.6,11.9
