,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
14,Investment Advisory Data Analyst,$37K-$66K (Glassdoor est.),"Investment Advisory Compliance Opportunity in Financial Services

IA Data Analyst

Location: 10 Exchange Place, Jersey City, NJ 07302

INTERNAL APPLICANTS: All qualified internal applicants, irrespective of location, will be considered for all internally posted roles at this time. Compensation range displayed in internal postings is the national average, and compensation decisions will be employee-location based.

Summary:

The Investment Advisory Data Analyst works within the Investment Advisory compliance department as a lead analyst supporting the RIA Deputy Chief Compliance Officer.

Responsibilities:
Forensic Testing Develop ad hoc reports to support forensic testing efforts as part of the annual review required by rule 206(4)-7. Forensic testing will be used to test for previously unidentified issues by:
Gaining additional insight form data or other information or evidence evaluated in new ways from current information sources, and in additional ways from new information sources
Determining whether currently undiscovered circumstances are in fact, present
Exploring uncertainties
Acting on ones instincts and with skepticism, as in asking questions of what if, what about or how do we know
Quality Assurance As an extension of forensic testing, perform quality assurance on integrity of data provided by IT directly to IA compliance, or operational functions where IA Compliance has oversight.
Support Regulatory Inquiries Provide support to regulatory affairs team on regulatory data requests for RIA entities.
Assists with special projects, including creating compliance reports based upon deficiencies and/or recommendations from regulatory inquiries.
Perform Monitoring & Surveillance over business processes and controls
All other duties as assigned
Education Requirements:
Bachelor's degree from a four-year college or university preferred, high school diploma (or equivalent) in combination with significant experience will be considered in lieu of degree. Minimum of high school diploma or equivalent is required.
Basic Requirements:
Two to five years of relevant work experience with a financial institution such as a broker/dealer, registered investment adviser, regulatory agency, or other financial institution.
Proficiency in MS Office and various other business applications
Strong written and verbal communication skills
Ability to operate effectively as part of a project team or individually
Preferred Requirements:
Experience in MS SQL Server, VBA, and Excel macros preferred
Equal Opportunity Employer

Advisor Group is an equal opportunity employer. We celebrate diversity in our workplace and we hire the most qualified candidates without regard for age, ethnicity, gender, gender identity or expression, language differences, nationality or national origin, family or marital status, physical, mental, and developmental abilities (or the perception of a disability), genetic information, race, religion or belief, sexual orientation, skin color, social or economic class, education, work and behavioral styles, political affiliation, military service, caste, or any other characteristic protected by law.

Eligibility

Applicants for employment in the US must have valid work authorization that does not now and/or will not in the future require sponsorship of a visa for employment authorization in the US by Advisor Group.

Unqualified Applications

Advisor Group does not consider applications from candidates who do not meet the minimum qualifications stated in the job posting.

Recruiting Agencies

Advisor Group only accepts candidates from contracted recruiting firms and only for searches approved prior to submissions. Fees will not be paid for unsolicited submissions.",3.4,"Advisor Group
3.4","Jersey City, NJ","Phoenix, AZ",1001 to 5000 employees,2016,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),-1,-1
15,Sustainability Data Analyst,$37K-$66K (Glassdoor est.),"Job Description
Role Description

Sustainability Data Analysts support Project Managers and Directors in a variety of sustainability project work. S/he is expected to work closely with various team members on a number of projects concurrently and meet deadlines with high-quality deliverables. Analysts will have exposure to clients and industry events, with the oversight of Project Managers, Program Managers and Directors.

Project Responsibilities

· Assist Project Managers, Program Managers, and Team Directors on various project types

· Responsibilities include supporting sustainability data tracking, client data outreach and processing, data entry tasks, performance calculations/analytics, GRESB data management, LEED/Arc projects, and other forms of sustainability consulting

· Support the client-service efforts through data collection and data entry, creating graphs and charts, research, and writing and editing reports

· Project work may also include Sustainability Report writing, GRESB, CDP and other corporate reporting support

· Some field work and client interaction

· Active participation in the development of internal company initiatives

· Produce high-quality deliverables in a timely manner

Requisite Experience

· 0-2+ years of professional experience

· Degree, or degree candidate in engineering, data management, environmental studies, sustainability management, or equivalent

· Experience with managing datasets, data collection, and client outreach strongly preferred

· Strong handle of Excel preferred

· Experience SQL, R, and/or Python appreciated

· Excellent communication, time management skills and attention to detail

· Comfortable in a fast-paced environment
Company Description
CodeGreen works with real estate owners, investors and organizations to develop and achieve sustainability and energy management goals. We work with over 500 million square feet of real estate across the country and are national leaders in energy and sustainability consulting to real estate.

From company-wide strategies to system-specific engineering we provide hands-on, data-driven solutions designed to help our clients to save energy, enhance sustainability and improve the bottom line.

CodeGreen provides a terrific, mission-driven culture, collaborative workplace, highly educated and innovative team, and tons of fun while we serve our clients and our mission.",3.6,"CodeGreen Solutions
3.6","New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable,-1,-1
16,Data Analyst,$37K-$66K (Glassdoor est.),"Undertone stands alone among AdTech and ad network businesses in its ability to address marketing objectives through Synchronized Digital Branding and extraordinarily creative treatments. We drive best in class results for clients through Undertones expansive rich media and video capabilities that are expressed across multiple channels and platforms, matching the consumer journey.

Undertones Data Management Service (UDMS) is a big data, cloud-based data-warehouse, dashboard and reporting environment. Do you want to help enable a data-driven organization? This is your opportunity to join a mission critical team, at an innovative company in an industry just beginning to harness the power of data.

As member of the Undertones UDMS Team, the Data Analyst drives value by providing provocative, differentiating analytics and insights. This position will support a wide variety of business intelligence efforts across Undertone while working in a highly collaborative manner within multiple large, cloud-based data sources to identify insights and spearhead our next generation product offerings. Most importantly, you should love the data, working with data, finding the nuance that leads to key differentiation for the business and our customers. This is a high visibility analytics and consulting position requiring daily interaction with business users, data scientists, engineers and key stakeholders.

Job Responsibilities:
Work with business teams to understand their analytical needs, including identifying critical metrics and KPIs
Use analytical and problem-solving skills to deliver actionable insights to relevant decision makers
Develop rich interactive visualizations integrating various reporting components from multiple data sources
Use SQL, Tableau and other technologies to pull data from different backend systems and product meaningful information and visualizations
Take complicated problems and build simple frameworks
Work directly with users and management to gather requirements, provide status updates, and build good relationships and rapport
Profile and Experience:
A minimum of 1 year of a full-time data analytics experience, ideally in an Ad-tech company
A minimum of a Bachelors degree in Engineering, Mathematics, Business, or related field
Expert SQL coding skills against large data sets
Strong analytical skills, including the ability to mine data in order to draw meaningful conclusions
Strong oral and written communications skills
Knowledge of Business Intelligence tools such as Tableau
Powered by JazzHR",3.8,"Undertone
3.8","New York, NY","New York, NY",201 to 500 employees,2001,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"DoubleClick, Specific Media, Collective",True
17,Clinical Data Analyst,$37K-$66K (Glassdoor est.),"About Us:

NYSTEC is a non-profit technology consulting company, advising agencies, organizations, institutions, and businesses since 1996. Were independent and vendor-neutral so we have our clients best interests at heart. At NYSTEC, we know that we succeed when individuals and teams flourish personally and professionally, so our benefits and perks support this mindset. Are you ready to contribute to our engaged workforce and deliver the NYSTEC Experience?

About the Role:

As a Clinical Data Analyst, you will collaborate with team members to conceptualize, deliver, and support our clients through todays ever-changing landscape. NYSTEC is considered a trusted advisor, partner of choice and employer of choice. We believe every interaction is an opportunity to deliver exceptional service that empowers client success!

Serving as a Clinical Data Analyst, your day-to-day role as a NYSTEC consultant be providing analytical expertise to evaluate health information exchange organizations across New York State. Candidates will have the option to be based in our New York City or Albany office.

Key Responsibilities
Analyze the quality of clinical data from electronic health records and their conformance to national standards to elucidate areas of data quality improvement
Assess policies, processes, and technical solutions that facilitate the exchange of high-quality data, to inform statewide policy and program decision-makers
About You:

Required Qualifications
Proficiency in SQL
Strong knowledge of relational database principles
Proven experience analyzing large data sets, preferably in the healthcare industry.
Strong communication, documentation, critical thinking, and analytical skills
Ability to manage and develop key relationships with colleagues and clients through collaborative thinking and a strong customer focus
Ability to work independently and develop solutions to complex problems as part of a strategic team
Must be proficient with Microsoft Office
Preferred/Desired Qualifications
Experience with national data standards such as HL7, as well as coding systems (e.g., LOINC, ICD-10)
Fluency in Python (preferably Pandas and Numpy), knowledge of non-relational databases and/or knowledge of JSON
Familiarity with health information exchange and/or EHR messaging standards
Education and Experience
A minimum of a bachelors degree with at least 1 year of related experience in a technical, scientific, or related discipline is required. An equivalent combination of advanced education, training, and experience will be considered. Preference given to candidates with a graduate degree in health informatics, public health, statistics, computer science.
If youre an effective communicator who enjoys working in complex and collaborative environments, utilizing your critical thinking and research skills to develop solutions for clients, providing support to customers, and have the required education, experience and skills, we want to hear from you.

It is NYSTEC's policy to provide equal employment opportunity (EEO) to all individuals, regardless of actual or perceived race, color, creed, religion, sex or gender (including pregnancy, childbirth and related medical conditions), gender identity or gender expression (including transgender status), age, national origin, ancestry, citizenship status, physical or mental disability, protected medical condition as defined by applicable state or local law, genetic information, military service and veteran status, sexual orientation, marital status, , or any other characteristic protected by local, state, or federal law and ordinances. NYSTEC is strongly committed to this policy and believes in the concept and spirit of the law.

Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future.

Learn More About NYSTEC www.nystec.com",3.8,"NYSTEC
3.8","New York, NY","Rome, NY",51 to 200 employees,1996,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),"KPMG, Accenture, Deloitte",-1
18,DATA PROGRAMMER/ANALYST,$37K-$66K (Glassdoor est.),"Company Description

EDUCATION DEVELOPMENT CENTER (EDC)

EDC is one of the world’s leading nonprofit research and development firms. EDC designs, implements, and evaluates programs to improve education, health, and economic opportunity worldwide. Collaborating with both public and private partners, we strive for a world where all people are empowered to live healthy, productive lives.

The Center for Children and Technology (CCT) is a research and development center within EDC and is based in New York City. We conduct basic, applied, and casual and formative research, working in collaboration with educational, corporate, government and research institutions. We also design and develop prototype software and instructional resources that support engaged, active learning.

EDC is committed to diversity in the workplace.

Job Description

The Center for Children and Technology in EDC’s US Division has an opening for a part-time, temporary data analyst, reporting to the lead researcher, in the New York office.

EDC|CCT is seeking a part time, temporary data analyst to support analyses of a study using large-scale data. The study’s focus is to explore middle school mathematics learning in order to identify ways to meet the needs of struggling mathematics students. This opening is ideal for a graduate student or other individual interested in gaining research experience that leverages large-scale data. This position is based in New York City and requires that the analysis be conducted on-site.

EDC casual employees generally work as needed. This position will offer an average of 10 hours/week from approximately January 2020 to May 2020, with a possibility of extension. The actual hours per week and duration will vary depending on phase and needs of the project and will likely be more in the first month of the project and less in later months. A casual position receives statutory benefits of Social Security contributions, Medicare contributions, unemployment insurance, worker’s compensation insurance and sick leave. A casual position ends when work is complete.

ESSENTIAL FUNCTIONS

The person in this position is expected to communicate clearly and courteously; to develop and maintain positive relationships with clients, consultants, collaborators, co-workers, field sites, and funders; and to work respectfully with EDC colleagues. The job requires adherence to EDC policies & procedures.

Under management and guidance, the data analyst provides support in extracting, cleaning and analyzing large datasets (25gb+). Specific responsibilities include:

• Assist lead research associate with data extraction of large data sets

• Develop scripts to clean and manipulate large data sets, including merging and aggregating data and splitting large files into chunks for data analysis

• Develop scripts to conduct basic descriptive data analyses, possibly including aggregating analyses across chunked files

• Document and share analytic approach with colleagues so that they can replicate the processes

• Provide solutions in reducing memory use of analyzing large datasets

Qualifications

This position requires educational achievement; excellent writing skills; demonstrable initiative, creativity, and flexibility; ability to work independently and effectively in groups; and strong interpersonal & organizational skills. Specific requirements:

• Degree required: Bachelors: Computer Science, Statistics, or other related field

• Degree preferred: Masters: Computer Science, Statistics, or other related field

• 1-3 years of experience programming and analyzing data in research or industry

• Thorough understanding of data cleaning and analyzing large-scale data

• Experience in at least one programming language used for very large datasets (Python, Java, etc)

• Experience in mining large data sets in a team setting

• Strong organizational skills and problem solving skills

• Excellent oral and written communication skills

• Conduct analyses and meet with colleagues on-site at the New York office

Additional Information

All your information will be kept confidential according to EEO guidelines.",3.9,"Education Development Center, Inc.
3.9","New York, NY","Waltham, MA",501 to 1000 employees,1958,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),-1,-1
19,Data Analyst,$37K-$66K (Glassdoor est.),"About Us

At Teachers Pay Teachers (TpT), we're unlocking the power of educator-created content. More than 85% of U.S. teachers come to TpT every year to get teacher-tested, engaging, and rigorous materials. What began as a humble exchange for teachers looking to share lesson plans has since exploded into a massive online marketplace where teachers have created 4 million resources for all aspects of PreK-12 education. More than six million educators worldwide (including teachers, administrators, and parents) have downloaded TpT resources more than a billion times. According to Fast Company, in 2019, Teachers Pay Teachers is one of the top 50 Most Innovative Companies in the world! If you haven't heard of TpT yet and want to learn more, just ask a teacher.

Who we are looking for

We're a team of good people doing great things. We listen first. We love our work. And we are all teachers and learners in whatever we do. We believe that productivity is never an accident. It's the result of a commitment to excellence, intelligent planning, passionate teamwork, and focused effort. We want every day to be fun and to matter.

Role Description

As a Data Analyst, you will support the adoption of business intelligence tools across teams, foster a culture of insightful analysis and crisp reporting, and become a trusted business partner within the organization.

You know and love working with data and analytics tools and can use your technical skills, business acumen, and creativity to solve unique business problems. Reporting to the Analytics Manager, you'll work closely with business, marketing, data science, engineering, and product teams to develop a deep understanding of TpT's business and drive strategy and action through high quality, timely analysis.

Responsibilities
Analyze: surface actionable insights and opportunities from complex data; leverage quantitative and qualitative data to understand ecosystems, user behaviors, and long-term trends
Collaborate: partner with marketing, product, customer experience, and engineering to translate business issues into testable hypotheses with defined KPIs; ensure metrics used to track the business and measure results are consistent and the most relevant to inform decision-making across the organization
Communicate: report on the state of the business and make data accessible through objective data-driven stories that influence and enable stakeholders; establish shared vision across the company for data-driven practices
Enable: build dynamic and rich dashboards and reporting solutions to support company initiatives and strategic planning; educate other teams at TpT on analysis best practices and how to self-serve data needs; leverage Jira to prioritize projects and requests
Requirements
2+ years of analytics experience at a software technology company
Experience designing, leading and executing analysis
Ability to visualize data in additive ways
Comfortable with large, complex relational databases (both transactional and clickstream)
Excellent communication skills
Experience in creating, optimizing, and automating reports and dashboards
Highly organized & able to prioritize effectively
Experience working cross-functionally
Experience with SQL
Extra Credit
Experience with an online marketplace
Experience with attribution modeling
Experience with aspects of our BI tech stack: BigQuery, Looker, Heap, Optimizely
Experience with Python and/or R
Statistical skills (e.g., confidence intervals and forecasting)
Experience with ML
Extracurriculars
Parental leave for both mothers and fathers to be able to take some quality time in bonding with their new addition to their family
Comprehensive Medical & Dental Benefits
Mother's Room
Quiet Room
Company Events (Bring Your Child to Work Day, Field Day, Camp TpT, Hackathons, etc.,)
Here at TpT we value Diversity & Inclusion and encourage people to bring their most authentic selves to work. We cultivate an environment where people are recognized and celebrated for their individuality.

Any TpT applicant who requires reasonable accommodations during the interview process should contact the TpT People Ops Team (accommodations@teacherspayteachers.com) to make the need for an accommodation known.

Finally, if you're a California resident, California law requires that we provide you notice about the collection and use of your personal information. We encourage you to read it carefully. You can find our full notice here.",4.9,"Teachers Pay Teachers
4.9","New York, NY","New York, NY",51 to 200 employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1
20,"Product Analyst, Data Science",$37K-$66K (Glassdoor est.),"Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; San Bruno, CA, USA; New York, NY, USA

Minimum qualifications:
BA/BS degree or equivalent practical experience.
3 years of experience working with statistical packages (e.g. R, SAS, Stata, MATLAB, etc.).
Experience articulating product questions, pulling data from datasets (SQL) and using statistics to arrive at an answer.
Preferred qualifications:
BA/BS or Master's degree in a quantitative field such as; Statistics, Computer Science, Engineering, Mathematics, Data Sciences.
Experience in scripting with SQL, extracting large sets of data, and design of ETL flows.
Experience in an inter-disciplinary/cross-functional field.
Interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation.
Ability to translate analysis results into business recommendations, and excellent written and verbal communication skills.
Distinctive problem solving skills and impeccable business judgment.
About the job


Product Analysts provide quantitative analysis, market expertise and a strategic perspective to our partners throughout the organization. As a data-loving member of the team, you'll serve as an analytics expert for your partners, using numbers to help them make better decisions. You will weave stories with meaningful insight from data. You'll make key recommendations for your fellow Googlers in Engineering and Product Management.

As a Product Analyst, you relish tallying up the numbers one minute and communicating your findings to a team leader the next. You can see different angles of a product or business opportunity, and you know how to connect the dots and interact with people in various roles and functions. You will work to effectively turn business questions into data analysis, and provide meaningful recommendations on strategy.
Responsibilities
Conduct data analysis to make business recommendations (e.g. cost-benefit, invest-divest, forecasting, impact analysis).
Deliver effective presentations of findings and recommendations to multiple levels of stakeholders, creating visual displays of quantitative information.
Develop and automate reports, iteratively build and prototype dashboards to provide insights at scale, solving for business priorities.
Collaborate with cross-functional stakeholders to formulate and complete full cycle analysis that includes data gathering, analysis, ongoing scaled deliverables and presentations.
Help Google to focus on key decisions to improve products and services.

Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form.",4.4,"Google
4.4","New York, NY","Mountain View, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),"Microsoft, Apple, Facebook",-1
21,Data Science Analyst,$37K-$66K (Glassdoor est.),"Job Description
Our client, a music streaming service located in Lower Manhattan is currently seeking a Data Science Analyst for a 6 month+ contract role.

**Please note - this position will be remote indefinitely until the threat of COVID passes**

What you’ll do:
Design, analyze, and interpret the results of experiments
Define, evaluate, dashboard and monitor key metrics, understanding root causes of changes
Work closely with the team including data engineering to build lasting solutions to our data modeling
Required Qualifications
2+ years professional experience as a data scientist
Coding skills in R, Python, or SQL and experience creating dashboards in Tableau
Experience working with setting up, validating, and measuring A/B tests and hypothesis testing with product/engineering organizations.
#ZipSPG",-1.0,MUSIC & Entertainment,"New York, NY","Marina del Rey, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1
22,Data Analyst - Intex Developer,$37K-$66K (Glassdoor est.),"Data Analyst - Intex Developer


New York

Apply now

Refer someone

Bring your hands-on software development experience to our Credits Market team in New York.

In this highly visible role, you will use your strong Python programming skills to work alongside other senior developers to build data services and integrate them with Excel models for our front office. A knowledge of Intext software applications would be very useful for this role, but not a pre-requisite for application.

Critical to success in this role is 3 years or more of hands-on development experience with data analytics and creating and streamlining data libraries specializing in credit loan models (RMBS, CLO, ABS, student loans etc.). You will also need to be comfortable working in both Linux and Windows and have an understanding of modern system architectures.

To be successful you will need to possess:
a Degree in quantitative field (math, engineering, computer science)
strong technical acumen with Python and Intex in Microsoft and Linux environments
experience collaborating with other developers on non-trivial projects in a fast-paced setting
If you're ready to start your career, please apply now.

Commodities and Global Markets provides clients with an integrated, end-to-end offering across global markets including equities, fixed income, foreign exchange and commodities.

Find out more about Macquarie at www.macquarie.com/about

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, colour, religion, sex, sexual orientation, national origin, age, disability, protected veteran status, genetic information, marital status, gender identity or any other impermissible criterion or circumstance. Macquarie also takes affirmative action in support of its policy to hire and advance in employment of individuals who are minorities, women, protected veterans, and individuals with disabilities.

If you're ready to start your career, please apply now.

About Commodities and Global Markets

Commodities and Global Markets provides clients with an integrated, end-to-end offering across global markets including equities, fixed income, foreign exchange and commodities.

Our commitment to Diversity and Inclusion

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, colour, religion, sex, sexual orientation, national origin, age, disability, protected veteran status, genetic information, marital status, gender identity or any other impermissible criterion or circumstance. Macquarie also takes affirmative action in support of its policy to hire and advance in employment of individuals who are minorities, women, protected veterans, and individuals with disabilities.

We recognise that flexibility comes in a variety of forms. Talk to us about what flexibility you need.

*LI-AMERICAS",3.3,"Macquarie Group
3.3","New York, NY","Sydney, Australia",10000+ employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),"Goldman Sachs, Commonwealth Bank of Australia, Deutsche Bank",-1
23,Data Analyst,$37K-$66K (Glassdoor est.),"Haven Life is an insurtech innovator at MassMutual that offers a new way to get life insurance online that's actually simple.

We combine the culture of a startup with the stability and backing of a Fortune 500 company to create an environment that's truly unique.

Our diverse team is comprised of smart, collaborative people who think big, execute quickly and don't take themselves too seriously. We're located in New York's Flatiron District and in case you're wondering, yes, we provide free snacks. Cold brew too.

If you're creative, professional and kind, we'd love to hear from you.

ABOUT THIS ROLE:

We are looking for an individual with an enduring curiosity about data and with an interest in evolving best practices and tools. In collaboration with other team members, you will help shape the vision, planning, and execution of Haven technology and product innovation. You will:
Partner closely with product managers, engineers, designers, marketing, insurance experts, and other team members to improve customer experience and enhance our business.
Interpret data, analyze results using statistical techniques and provide ongoing analysis to various business areas within the Haven Life team.
Identify, analyze, and interpret trends or patterns in complex data sets
Inform, influence, and support product in making data driven decisions.
Identify data needs and gaps, and work with developers to devise solutions in data gathering, ingestion, and modeling.
Acquire data from primary or secondary data sources
Work closely with management to prioritize business and information needs
Ad hoc support for key business needs or requests.
REQUIREMENTS
BS/BA Required
Minimum 1+ years of experience in a Data Analyst role
Comfortable using BI tools to analyze and manipulate data, such as SQL, Tableau, and Qlik
Strong skills in data extraction, cleaning, analysis and visualization (e.g. SQL, Python, R)
Excellent written and verbal communication skills; Ability to present and communicate findings in a clear manner to a variety of audiences.
Strong work ethic, intellectual curiosity and attention to detail.
PREFERRED REQUIREMENTS
3-5 years of experience in a Data Analytics role
Strong background working with coding languages Python/R
Qualified applicants must be authorized to work in the US without sponsorship
Must be able to work full time from our Manhattan office
BENEFITS

We pay competitive base salaries and we reward performance. Our salary structure is commensurate with experience. In addition, you'll be eligible to participate in our comprehensive benefits program including medical insurance and 401(K).

Andiamo is an Equal Opportunity Employer

Andiamo provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Andiamo complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

All qualified candidates are encouraged to apply by submitting their resume as an MS word document including a cover letter with a summary of relevant qualifications, highlighting clearly any special or relevant experience.",3.5,"Andiamo
3.5","New York, NY","Warren, MI",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),-1,-1
24,Entry Level / Jr. Data Analyst,$37K-$66K (Glassdoor est.),"Dash Technologies is an industry leading software solutions providers as well as an IT training provider for over a decade now.

Job Description

Eligibility Criteria
Bachelor's or master’s degree in Computer Science or related subject.
Candidates who are authorized to work in US.
0-1 years’ experience of Data Analyst
Required Skills
Candidate having Analytical skills with core experience
Role involves developing queries from MySQL.
Knowledge of SQL, Excel or similar applications is mandatory.
Expertise in MySQL & related querying languages.
Expertise in Excel and advance excel skills
Should have experience in Reporting and business analytics.
Must have experience in MSBI (SSIS, SSRS, SSAS).
SQL server and Data Warehousing
Very strong experience in TSQL
SQL Store procedures,
Data analysis
Extensive experience to perform Data Analysis Activities
Designs Data Architectures
Responsibilities
Write efficient T-SQL.
ETL using Bulk Insert, SSIS.
Performance Tuning and Optimization using native monitoring and troubleshooting tools.
Job Types: Full-time, Contract

Pay: $30.00 - $45.00 per hour

Schedule:
Monday to Friday",3.8,"Dash Technologies Inc
3.8","New York, NY","Columbus, OH",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,-1
25,Data Analyst,$37K-$66K (Glassdoor est.),"Data Analyst (Decision Science)

Hearst is an American mass media and business information conglomerate. It owns a wide variety of newspapers, magazines, television channels, and television stations, including the San Francisco Chronicle, the Houston Chronicle, Cosmopolitan, Esquire, 50% of cable network A+E, and 20% of the sports broadcaster ESPN.

Are you looking for a great opportunity to grow in your profession as a decision scientist?

Do you want to be part of a lean team that is helping lead the evolution of local news?

At Hearst you will have the chance to make a data driven impact by forming strong partnerships with marketing, editorial, product, ad operation and executive leadership teams.

You will be working with traffic, subscriptions, advertising, and email data and have the opportunity to work in Python, R, Big Query SQL, Looker, PowerBI and more!

Role
Clean, prepare and explain datasets, use advanced analytics to identify key trends, size up opportunities, and then work closely with business leaders to turn those opportunities into action.
Work with the latest analytic tools to perform advanced analysis and discover insights.
Create iterative and highly reproducible analytic scripting to show ongoing improvement in data visuals and analytical techniques.
Partner closely with data scientist to extract learnings from latest prediction models.
Streamline automation to help us scale and ensure ongoing data integrity.
Qualifications
Demonstrated comfort working autonomously in Python/R, particularly working with dataframes.
2+ years' experience in a data analytics role.
Degree/Advanced degree in a technical/mathematical program preferred.
Strong interpersonal and communication skills, experience building presentations.
Passion for problem solving and data exploration.
Experience in statistical methods a huge plus.
SQL knowledge
Must be hungry to take on a highly technical role and make a clear business impact.
NA",4.0,"Hearst Communications
4.0","New York, NY","San Francisco, CA",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1
26,Data + Business Intelligence Analyst,$37K-$66K (Glassdoor est.),"We are building Duolingo's newly formed FP&A / Strategic Finance team as our revenue grows rapidly. We are looking for a data & business intelligence analyst who is hungry to help set up the foundational data elements of the finance team. You will serve as the bridge between the finance and data science teams and serve as the enabler of the strategic finance analyses. The successful candidate for this position has prior experience in data intensive roles and understands fundamental drivers of a business. This role will initially report to the Head of FP&A / Strategic Finance and will play an instrumental role in building the financial future of the company.

Duolingo is the most popular language learning application in the world, with over 300 million users and hundreds of billions of data points. We are passionate about educating our users, making fact-based decisions, and finding elegant solutions to complex problems. While we take our mission to heart, we don't take ourselves too seriously; we are creative, and we have fun at work everyday. If this sounds like you, then come help us build the next-generation learning company!

Responsibilities
Build intuitive and readable dashboards using visualization tools (e.g., Tableau, Plotly, Data Studio) and extract actionable insights
Partner with our data science team to develop data pipelines, scalable reporting packages, and assist with statistical methods to drive business results
Act as a thought partner in the selection of the company's key performance indicators (KPI), craft its definitions, and track the progress against those target metrics
Dissect multiple sources of data in a format applicable for strategic financial analyses
Perform data quality assessments and make recommendations for improvements
Influence bottoms-up data model design and develop your own data solutions as needed
Bridge analytics and finance, speaking both languages
Requirements
Minimum of a Bachelor's degree in Computer Science, Statistics, Mathematics, Engineering, Economics or related field
2-5 years of experience in a data visualization, data scientist, or data analyst role
Expertise using SQL to extract, clean, and transform data in large, complex, nested, databases
Proficiency with data visualization tools such as Tableau or Data Studio for full-stack data analysis, insight synthesis and presentation
Strong ability to condense complex concepts and analysis into clear and concise takeaways that drive action.
Excellent written and verbal communication skills with meticulous attention to detail.
Demonstrated strong intellectual curiosity
Able to relocate to or work in our New York City office
Bonus Points
Experience with digital subscription and in-app purchase mobile businesses with millions of users
Experience at a high growth company that has undertaken an IPO
Expertise using Python or R to perform statistical analysis and modeling
An impressive Duolingo XP or streak!",5.0,"Duolingo
5.0","New York, NY","Pittsburgh, PA",201 to 500 employees,2011,Company - Private,Internet,Information Technology,$10 to $25 million (USD),-1,-1
