age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality,fame_score
38,1968, complications from drug abuse,January,2006, punk rock singer (Rich Kids on LSD),Jason Sears,American,4
78,1928, U,February,2006, politician,Ronald B. Cameron,American,
78,1928,,February,2006, British Conservative Member of Parliament,John Woollam,former,
82,1924, and radio host,February,2006, actor (Grandpa Munster on The Munsters) Green Party political candidate restaurateur,Al Lewis,American,15
79,1927,,February,2006, amyotrophic lateral sclerosis (Lou Gehrig's Disease),Joe McGuff,American,1
96,1910,,February,2006, judge on the U,Max Rosenn,American,5
76,1930, murdered,February,2006, TV writer director (Curious George animated films),Alan Shalleck,American,4
59,1947,,February,2006, computer scientist,Gilles Kahn,French,
80,1926, Alzheimer's disease,February,2006, American football player (Pittsburgh Steelers) and member of the Pro Football Hall of Fame,Ernie Stautner,Bavarian-born,
68,1938,,February,2006, Prime Minister of Serbia (1994â€“2000),Mirko Marjanovic,Serbian,
81,1925, complications from aspiration pneumonia and lung cancer,February,2006, actor (The Andy Griffith Show Three's Company),Don Knotts,American,16
80,1926, poor health,February,2006, Wu Professor of Chinese Studies Princeton University (1980â€“1994) creator of the 15 volume The Cambridge History of China,Denis Twitchett,Gordon,
81,1925, complications from cancer,February,2006, actor (Gunsmoke McCloud),Dennis Weaver,American,15
83,1923, natural causes,February,2006, actor (Kolchak: The Night Stalker A Christmas Story),Darren McGavin,American,13
89,1917,,March,2006, former Democratic lieutenant governor of New Mexico (1963 â€” 1966),Mack Easley,American,1
83,1923, prostate cancer,March,2006, politician former Democratic United States Representative from Michigan (1973â€“1977),Richard Vander Veen,American,4
89,1917,,March,2006, Bishop of La Crosse (1983â€“1994),John Joseph Paul,American,4
45,1961, stroke complications,March,2006, baseball player (Minnesota Twins) and member of the MLB Hall of Fame,Kirby Puckett,American,36
79,1927,,March,2006, college football coach (Oklahoma State University),Floyd Gass,American,1
88,1918,,March,2006, former Democratic United States Representative from California (1956â€“1978),John Joseph McFall,American,3
93,1913, cancer,March,2006, photographer film director (Shaft),Gordon Parks,American,62
81,1925,,March,2006, actor (Once Upon a Mattress) [70],Joseph Bova,American,2
67,1939,,March,2006, novelist and founding editor of TriQuarterly,Charles Newman (author),American,7
80,1926, chronic obstructive pulmonary disease,March,2006, actress (Plaza Suite Cocoon),Maureen Stapleton,American,12
63,1943, plane crash,March,2006, game show host (Press Your Luck),Peter Tomarken,American,7
87,1919, heart failure,March,2006, Prime Minister of Greece (1980â€“1981),Georgios Rallis,former,11
86,1920, cancer,March,2006, of Pennsylvania House of Representatives (first African-American Speaker in any U.S. state government),K. Leroy Irvis,Speaker,1
92,1914,,March,2006, (Australia) politician [109],Sir Wallace Rae,Queensland,3
80,1926, and World War II veteran,March,2006, actor (Zorro) fencer,Britt Lomond,American,2
82,1924,,March,2006, Labour MP for Bedford (1966â€“1970) [130],Brian Parkyn,British,
87,1919, (Dream Baby) for Roy Orbison et al,March,2006, country-western songwriter,Cindy Walker,American,17
89,1917,,March,2006, film director (Tora! Tora! Tora! 20000 Leagues Under the Sea Soylent Green) [148],Richard Fleischer,American,5
76,1930, heart attack,March,2006, country music star (Hee Haw),Buck Owens,American,30
61,1945, cerebral hemorrhage [153],March,2006, politician,Anil Biswas (politician),Indian,
77,1929,,March,2006, television producer (Dark Shadows The Winds of War),Dan Curtis,American,6
75,1931,,March,2006, Minister of Labour (1990â€“1991) and of Transport (2000â€“2002),Carlos Cat,Uruguayan,2
78,1928, [176],March,2006, four time chief minister and defence minister of India during Indian Emergency (1975â€“77). [175],Bansi Lal,Haryana's,1
84,1922, the General Secretary (1987â€“2000) and Vice-Chairman of the Cricket Society (2000â€“2001) [180],March,2006, administrator,Eric Budd,English,
85,1921,,March,2006, author and screenwriter (What Ever Happened to Baby Jane? Hushâ€_ Hush Sweet Charlotte),Henry Farrell,American,
80,1926, USA,March,2006," country singer/songwriter (""Don't Let Me Cross Over"" ""Just Over the Line"") longtime companion of William Little guitarist (Even Keel) of California",Penny Jay,American,
93,1913, National Champion (1954) [60],April,2006, cyclist,Hermann Schild,German,2
81,1925, complications from brain haemorrhage,April,2006, film director (I Am Curious (Yellow)),Vilgot SjÃ¶man,Swedish,7
88,1918,,April,2006, (The Prime of Miss Jean Brodie),Dame Muriel Spark,British,26
40,1966, [93],April,2006, noble epilepsy,Lord Eliot (Jago Eliot),English,11
93,1913,,April,2006, author (The Taking of Pelham One Two Three) under the pseudonym of John Godey,Morton Freedgood,American,1
50,1956, Lou Gehrig's disease,April,2006, television producer and director (The Shield),Scott Brazil,American,
88,1918,,April,2006, actor (As the World Turns),Henderson Forsythe,American,4
89,1917,,April,2006, Physician to the Queen (1973-1981),Sir Richard Bayliss,British,3
89,1917,,April,2006, California State Senator and former Los Angeles police chief (1969â€“1978),Ed Davis,American,5
84,1922,,April,2006, actress (The Third Man),Alida Valli,Italian,12
84,1922,,April,2006, television writer and producer (The Love Boat Love American Style),Harvey Bullock,American,1
93,1913,,April,2006, footballer (Hibernian F,Willie Finnigan,Scottish,1
64,1942,,April,2006," TV and film actress (""The Adventures of William Tell"")",Jennifer Jayne,British,2
91,1915, one of the largest Hassidic Jewish groups in the world,April,2006, Hasidic rebbe of Satmar,Grand Rabbi Moshe Teitelbaum (Satmar),Hungarian-born,14
89,1917, stroke,April,2006, Canadian urban activist and author (The Death and Life of Great American Cities),Jane Jacobs,American-born,110
42,1964,,April,2006, former Major League Baseball pitcher (injuries due to a fall) [180],Russ Swan,American,4
97,1909, natural causes,April,2006, economist and author (The Affluent Society),John Kenneth Galbraith,American,84
105,1901,,April,2006, First World War veteran [207],William (Bill) Roberts,British,
65,1941,,May,2006, saxophonist (Johnny & the Hurricanes) [7],Johnny Paris,American,3
88,1918, pulmonary hypertension,May,2006, theater actress director and teacher,Alejandra Boero,Argentine,
48,1958, Canadian Broadcasting Corporation (CBC) broadcaster,May,2006, television journalist,Lorne Saxberg,Canadian,3
62,1944, heart attack,May,2006, television journalist (60 Minutes),Richard Carleton,Australian,12
68,1938, pancreatic cancer,May,2006, voice actress and actress and tokusatsu legend (Kyoryu Sentai Zyuranger Mighty Morphin' Power Rangers etc.),Machiko Soga,Japanese,1
87,1919, pneumonia,May,2006, football player (College Hall of Fame with Texas A&M) and state legislator,John Kimbrough,American,1
73,1933,,May,2006, MHR for Division of Swan (1969â€“1975),Adrian Bennett,Australian,2
94,1912,,May,2006, film writer and director (The Quatermass Xperiment Casino Royale) [56],Val Guest,British,11
85,1921, stroke,May,2006, actor (Tom Corbett Space Cadet),Frankie Thomas,American,4
92,1914,,May,2006, scriptwriter (Bedtime for Bonzo),Ted Berkman,American,
76,1930, complications of cancer,May,2006, actress/soprano (Man of La Mancha),Joan Diener,American,
76,1930, complications of cancer,May,2006, actress/soprano (Man of La Mancha),Joan Diener,American,
93,1913,,May,2006, head football coach at University of Virginia (1965â€“1970),George Blackburn,American,2
66,1940,,May,2006, author (Fat Girl - A True Story),Judith Moore,American,
84,1922,,May,2006, NSW MLC (1984â€“1995),Beryl Evans,Australian,1
49,1957, suspected heart attack [108],May,2006, former NFL football player (Cincinnati Bengals),Dan Ross,American,7
95,1911,,May,2006, Broadway producer and writer (Guys and Dolls),Cy Feuer,American,6
37,1969,,May,2006, former drummer (Built to Spill),"James Andrew ""Andy"" Capps",American,19
77,1929,,May,2006, actor (Tora! Tora! Tora!),Takahiro Tamura,Japanese,
91,1915, prostate cancer,May,2006, Academy Awards-winning art director (To Kill a Mockingbird The Sting),Henry Bumstead,American,1
86,1920, lung ailments,May,2006, Congressman for Connecticut 3rd District (1959âˆ’1981),Robert Giaimo,American,
64,1942, engineer for Digital Equipment,May,2006, early video game designer (Spacewar!),Alan Kotok,American,47
84,1922, cancer,May,2006, tennis player winner at Wimbledon (1949) and the U.S. Open (1942),Ted Schroeder,American,4
67,1939, mesothelioma,May,2006, actor (The Breakfast Club),Paul Gleason,American,6
77,1929,,May,2006, comic book artist and cartoonist (Space Ghost Jonny Quest),Alex Toth,American,30
82,1924, complications from renal failure,May,2006, historian,FermÃ_n ChÃ¡vez,Argentine,
79,1927, liver cancer,May,2006, film director (Black Rain) two-time winner of the Palme d'Or,Shohei Imamura,Japanese,8
84,1922, father of folk singer Maddy Prior,June,2006, television scriptwriter (Z-Cars Howards' Way The Charmer),Allan Prior,British,
87,1919,,June,2006, director of American Bandstand (1952â€“1969),Edward Yates,American,
46,1960,,June,2006, footballer (Tranmere Rovers),John Kerr,British,3
59,1947, malignant hypertension leading to kidney failure,June,2006," musician (""You Are So Beautiful"" ""Nothing from Nothing"") known for his work with the Beatles",Billy Preston,American,22
74,1932,,June,2006, cancer (see [42]),Terry McCann,American,5
95,1911, brother of Otto Preminger,June,2006, American Hollywood talent agent and producer (M*A*S*H),Ingo Preminger,Austrian-born,1
42,1964, bladder cancer,June,2006, professional wrestler for the World Wrestling Federation,John Tenta (aka Earthquake),Canadian,28
65,1941,,June,2006, comic book artist and co-founder of Rip Off Press,Jack Jackson (nom de plume Jaxon),American,6
43,1963, heart attack [107],June,2006, comedian member of Casseta & Planeta,ClÃ¡udio Besserman Vianna (Bussunda),Brazilian,
86,1920, emphysema and heart disease,June,2006, character actor (Sands of Iwo Jima Invaders from Mars),Arthur Franz,American,3
71,1935, cause unknown,June,2006, politician leader of the Agrarian Party and former president of the Altai Republic (2002â€“2006),Mikhail Lapshin,Russian,
77,1929,,June,2006, film director in Hollywood (â€œThe Night of the Following Dayâ€ù â€œLes Grandes Moyensâ€ù etc,Hubert Cornfield,Turkish,
99,1907, natural causes,June,2006, film director (Mr. Skeffington The Young Philadelphians),Vincent Sherman,American,7
81,1925,,June,2006, Dean of Jersey (1985â€“1993),Basil O'Ferrall,Irish,5
70,1936,,June,2006, rules footballer (North Melbourne),Tom Pelly,Australian,4
83,1923, complications of stroke,June,2006, television producer (Charlie's Angels Starsky and Hutch Beverly Hills 90210),Aaron Spelling,American,23
68,1938,,July,2006, Prime Minister of Japan (1996â€“1998),Ryutaro Hashimoto,Japanese,14
90,1916,000 French Resistance fighters,July,2006, Special Operations Executive (SOE) agent led 30,Francis Cammaerts,British,1
55,1951, suicide by gunshot,July,2006, actor (As the World Turns),Benjamin Hendrickson,American,3
32,1974, suicide,July,2006, film director,Juan Pablo Rebella,Uruguayan,2
80,1926, stroke,July,2006, actress (Bewitched) and motocross racer,Kasey Rogers,American,8
79,1927, cancer,July,2006, politician President of Lebanon (1989â€“98),Elias Hrawi,Lebanese,18
93,1913, died in his sleep,July,2006, politician Mayor of Milwaukee (1948â€“1960) and last Socialist Party of America mayor of a major city,Frank P. Zeidler,American,18
97,1909,,July,2006, novelist (Kanthapura),Raja Rao,Indian,8
68,1938,,July,2006," singer (""Ain't Misbehavin'"")",Tommy Bruce,British,5
69,1937,,July,2006, baseball player (All-American Girls Professional Baseball League),Phyllis Baker,American,4
90,1916,,July,2006, Tony and Emmy Award-winning actor (Doc Hollywood First Monday in October),Barnard Hughes,American,2
89,1917, stroke,July,2006, actor (Sahara The Enemy Below),Kurt Kreuger,Swiss-German,2
64,1942,,July,2006, actress (Django Ten Thousand Dollars for a Massacre) and model,Loredana Nusciak,Italian,2
73,1933, pancreatic cancer,July,2006, actor,Raul Cortez,Brazilian,
89,1917,,July,2006, Saturday Review theater critic and editor of Best Plays (1960â€“1964),Henry Hewes,American,2
85,1921, heart and kidney failure,July,2006, actor Emmy Award-winning (Heaven Can Wait While You Were Sleeping),Jack Warden,American,10
83,1923, sculptor and writer,July,2006, painter,Ugo Attardi,Italian,1
92,1914,,July,2006, Marxist economist and historian,Charles Bettelheim,French,
89,1917,,July,2006, character actor (Thing From Another World),Robert Cornthwaite,American,2
77,1929, Lord Mayor of Dublin (1975â€“1976) and senator,July,2006, politician,Paddy Dunne,Irish,5
73,1933, prostate cancer,July,2006, longtime Democratic leader of Queens NY former US Representative (1985â€“99),Thomas J. Manton,American,2
86,1920,,July,2006, government minister,Rolf Arthur Hansen,Norwegian,1
87,1919, hydrocephalus,July,2006, academic president of The Ohio State University (1972â€“1981) fired football coach Woody Hayes,Harold Enarson,American,2
86,1920,,July,2006, member of the United States House of Representatives (1982â€“1992),James Olin,American,4
75,1931, cancer,August,2006, politician prime minister of Hesse (1976â€“1987),Holger BÃ¶rner,German,2
64,1942, cancer,August,2006, filmmaker and director (Il Bacio di Tosca),Daniel Schmid,Swiss,3
77,1929,,August,2006, former President of the Queensland National Party (1970â€“1990),Sir Robert Sparkes,Australian,1
89,1917,,August,2006, Olympic field hockey player (1948),Rafael Ruiz,Spanish,1
71,1935,,August,2006, (1981â€“1998),Alice Ilchman,American,1
89,1917,,August,2006, Speaker of the New York State Assembly (1959â€“1964),Joseph Carlino,American,
90,1916, stroke,August,2006, National Boxing Association middleweight champion (1938â€“1939),Al Hostak,American,1
31,1975, suicide,August,2006, lead guitarist and vocalist (Dissection) convicted of felony murder,Jon NÃ¶dtveidt,Swedish,7
49,1957, amyotrophic lateral sclerosis,August,2006, boxer first Thai Olympic medal winner (bronze 1976) World Boxing Council champion,Payao Poontarat,Thai,3
57,1949, complications from leukemia,August,2006, character actor (The Godfather Part II City Slickers),Bruno Kirby,American,2
93,1913, complications from hernia surgery,August,2006, President (1954â€“1989),Alfredo Stroessner,Paraguayan,32
59,1947,,August,2006, rugby union player (1967â€“1970),Ken Goodall,Irish,
82,1924, discovered cause of sickle cell anemia,August,2006, American molecular biologist (MIT),Vernon Ingram,German-born,3
87,1919,,August,2006, film producer (Super Fly),Sig Shore,American,1
84,1922,,August,2006, American professor of economics (Columbia University),Jacob Mincer,Polish-born,4
75,1931,,August,2006, film director,Giuseppe Moccia,Italian,2
94,1912, natural causes,August,2006, Pulitzer Prize-winning photographer (Raising the Flag on Iwo Jima),Joe Rosenthal,American,12
75,1931, heart attack,August,2006, Labor politician Victorian Minister for Sport (1982â€“1992) Australian rules football player,Neil Trezise,Australian,6
60,1946, cancer,August,2006, politician (KrF) Minister of Education (1997â€“2000),Jon Lilletun,Norwegian,
89,1917,,August,2006, test cricketer (1949â€“1953),Geff Noblet,Australian,3
55,1951, lymphoma,August,2006, drummer (The Knack),Bruce Gary,American,
90,1916,,August,2006, Provost of Wakefield (1972â€“1982),John Lister,British,9
56,1950, heart attack,August,2006, news anchor (CNN),Jay Young,American,1
66,1940,,August,2006, actor (Live and Let Die),Earl Jolly Brown,American,1
91,1915,,August,2006, journalist and politician,Herbert Hupka,German,
65,1941, heart attack,August,2006, actor,Viktor Pavlov,Russian,
75,1931,,August,2006, chairman of Granada Television (1987â€“1992),David Plowright,British,3
89,1917,,August,2006, baseball player (Cincinnati Reds New York Giants),Gene Thompson,American,
88,1918,,August,2006, President (1987â€“1997),Noor Hassanali,Trinidadian,8
84,1922, co-creator of The Outer Limits,August,2006, screenwriter (Psycho),Joseph Stefano,American,2
82,1924, Chairman of the CDU,August,2006, President of the Bundestag,Rainer Barzel,German,1
65,1941, car crash,August,2006, football coach (Dnipro Dnipropetrovsk),Yevhen Kucherevskyi,Ukrainian,
75,1931, cancer,August,2006, Archbishop of Mariana,Luciano Mendes de Almeida,Brazilian,
37,1969, complications of diabetic coma,August,2006, guitarist (Terrorizer Napalm Death),Jesse Pintado,American,1
80,1926, heart failure,August,2006, actress (The Great Gildersleeve),Mary Lee Robb Cline,American,1
56,1950,,August,2006, drummer (Gong Hatfield and the North),Pip Pyle,British,3
87,1919, pneumonia,August,2006, Governor of Hawaii (1957â€“1962),William F. Quinn,American,10
84,1922,,August,2006, author (The Last Angry Man) and screenwriter (Holocaust),Gerald Green,American,
90,1916,,August,2006, American actor (Blackboard Jungle Cimarron),Glenn Ford,Canadian-born,23
93,1913,,August,2006, baseball player (Boston Red Sox),Charlie Wagner,American,1
66,1940, heart attack,September,2006, wrestler and coach (Oklahoma State University),Tommy Chesbro,American,
68,1938, heart failure,September,2006, football player (San Francisco 49ers),Monty Stickles,American,
77,1929, Parkinson's disease,September,2006, comedian and footballer (Doncaster Rovers),Charlie Williams,British,11
69,1937,,September,2006, ethnologist and archaeologist,FranÃ§oise Claustre,French,
91,1915, heart failure,September,2006, actress,Annemarie Wendl,German,
38,1968, suicide,September,2006, writer film producer and director (Man Bites Dog),RÃ©my Belvaux,Belgian,7
86,1920,,September,2006, film director,TamÃ¡s FejÃ©r,Hungarian,
44,1962, stingray barb to the chest,September,2006, naturalist (The Crocodile Hunter),Steve Irwin,Australian,113
26,1980, suicide by hanging,September,2006, African jazz saxophonist Best Newcomer at South African Music Awards (2002),Moses Khumalo,South,1
66,1940, cancer,September,2006, television presenter (Holiday),Anne Gregg,British,5
83,1923,,September,2006, comics artist (James Bond),John McLusky,British,1
89,1917, after long illness,September,2006, finance columnist (Boston Globe) husband of Beverly Sills,Peter Greenough,American,
89,1917, heart attack,September,2006, television journalist (NBC and CBS),Gordon Manning,American,
76,1930, President of the Chichester Festival Theatre,September,2006, politician MP for Arundel (1974â€“1997),Sir Michael Marshall,British,1
77,1929,,September,2006, painter,Efraim Allsalu,Estonian,
78,1928,,September,2006, Medical Officer to the Queen (1976â€“1993),Sir Norman Blacklock,British,
74,1932,,September,2006, Ambassador to Italy (1989â€“1992),Sir Stephen Egerton,British,2
74,1932,,September,2006, controller of the BBC in Northern Ireland (1979â€“1989),James Hawthorne,British,3
71,1935, pulmonary fibrosis,September,2006, Governor of Montana (1973â€“1981),Thomas Lee Judge,American,5
87,1919,,September,2006, character actor (As Time Goes By),Frank Middlemass,British,8
80,1926, stroke,September,2006, college football coach (University of Georgia Georgia Southern University),Erk Russell,American,2
79,1927, cancer,September,2006, screenwriter (The Fearless Vampire Killers The Name of the Rose),GÃ©rard Brach,French,1
84,1922, complications from Alzheimer's disease,September,2006, Representative for California (1973â€“1983),Clair Burgener,American,2
27,1979, ARVC,September,2006, footballer (Hinckley United ),Matt Gadsby,British,9
71,1935,,September,2006, Representative for Oklahoma (1975â€“1979),Ted Risenhoover,American,4
76,1930, heart failure,September,2006, actor (Murphy Brown),Pat Corley,American,3
88,1918,,September,2006, author (The Desperate Hours),Joseph Hayes,American,
85,1921,,September,2006, first president of the European Patent Office (1977â€“1985),Johannes Bob van Benthem,Dutch,6
65,1941, cancer,September,2006, football player (Pittsburgh Steelers),Bill Saul,American,
66,1940,,September,2006, football player (Chester City),Brian Biggins,English,1
25,1981, suicide by gunshot,September,2006, school shooter (Dawson College shooting),Kimveer Gill,Canadian,13
73,1933, esophageal cancer,September,2006, Governor of Texas (1991â€“1995),Ann Richards,American,32
58,1948, brain cancer,September,2006, journalist and presenter,Paulo Marques,Brazilian,
91,1915, pancreatic cancer,September,2006, television actor (Search for Tomorrow),Terry O'Sullivan,American,1
84,1922,,September,2006, television presenter (Tomorrow's World),Raymond Baxter,British,4
78,1928,,September,2006, professor of psychology (University of Minnesota),David T. Lykken,American,7
19,1987, plane crash,September,2006, actor (Greetings from Tucson),Pablo Santos,Mexican,1
83,1923, heart attack,September,2006, Minister for Foreign Affairs (1985â€“1991) and Minister for Social Affairs (1982â€“1985),Sten Andersson,Swedish,2
81,1925,,September,2006, four-time Stanley Cup winner (Montreal Canadiens),Floyd Curry,Canadian,
81,1925,,September,2006, Major League Baseball player (Brooklyn Dodgers),Jack Banta,American,
66,1940,,September,2006, footballer (Manchester City),George Heslop,English,
58,1948,,September,2006, anime voice actor (Sailor Moon Dragon Ball),Kazuyuki Sogabe,Japanese,
81,1925,,September,2006, Governor of Massachusetts (1979â€“1983),Edward J. King,American,7
77,1929,,September,2006, actress (Donovan's Reef Do I Hear a Waltz? The Jackie Gleason Show),Elizabeth Allen,American,3
77,1929, pneumonia,September,2006, saxophonist and vocalist (The Champs),Danny Flores,American,6
47,1959, cancer,September,2006, rules football player (Richmond St Kilda),Terry Smith,Australian,2
65,1941,,September,2006, professor of women's studies (Concordia University),Lillian Robinson,American,3
83,1923,,September,2006, college football coach (Michigan State University),Muddy Waters,American,2
60,1946, heart attack,September,2006, bassist and vocalist (Bad Company King Crimson),Boz Burrell,British,22
86,1920,,September,2006, television writer and Emmy Award-nominated producer (The F,Charles Larson,American,2
56,1950,,September,2006, basketball player,Carla Benschop,Dutch,5
84,1922, chest infection,September,2006, Academy Award-winning film score composer (The Bridge on the River Kwai),Sir Malcolm Arnold,British,8
88,1918, cancer,September,2006, Deputy Premier of New South Wales (1965â€“1975),Sir Charles Cutler,Australian,4
49,1957,,September,2006, artist and screenwriter(Without You I'm Nothing),John S. Boskovich,American,1
86,1920, heart failure and pneumonia,September,2006, Republican congressman for Virginia (1953â€“1975),Joel Broyhill,American,4
56,1950, heart attack,September,2006, actor president of Actors' Equity Association (2000â€“2006),Patrick Quinn,American,2
85,1921,,September,2006, author (Seventeenth Summer),Maureen Daly,American,6
96,1910,,September,2006, First Hierarch of the Russian Orthodox Church Outside Russia (1985â€“2001),Metropolitan Vitaly Ustinov,Russian,
77,1929,,September,2006, inventor of SandmÃ_nnchen children's television character,Gerhard Behrendt,German,
86,1920, emphysema,September,2006, radio broadcaster and television host (The $64000 Challenge),Ralph Story,American,3
30,1976, heart failure,September,2006, singer,Jan Werner Danielsen,Norwegian,3
92,1914,,September,2006, MP for Hunter (1960â€“1980),Bert James,Australian,3
73,1933, leukemia,September,2006, oil and mining entrepreneur,Adolf H. Lundin,Swedish,2
99,1907,,September,2006, ballet dancer,Pino Mlakar,Slovenian,
78,1928,,September,2006, novelist,AndrÃ© Schwarz-Bart,French,3
79,1927, melanoma,September,2006, writer of Hungarian descent,AndrÃ¡s SÃ_tÅ‘,Romanian,4
74,1932,,October,2006, film director (Jacob the Liar),Frank Beyer,German,7
82,1924, second wife of President Fulgencio Batista,October,2006, First Lady (1952â€“1959),Marta Fernandez Miranda de Batista,Cuban,2
68,1938, car accident,October,2006, Republican Representative for Idaho (1995â€“2001),Helen Chenoweth-Hage,American,17
59,1947, complications from pneumonia and multiple sclerosis,October,2006, actress (Cleopatra Jones),Tamara Dobson,American,5
85,1921,,October,2006, Major League Baseball player (Cincinnati Reds),Clyde Vollmer,American,2
80,1926, writer and film director,October,2006, actor,Riccardo Pazzaglia,Italian,1
78,1928, cousin of Huey Long,October,2006, Democratic Representative for Louisiana (1964â€“1972),Speedy O. Long,American,10
75,1931, silver medalist in the 200m at the 1952 Olympics,October,2006, athlete,Bertha Brouwer,Dutch,1
66,1940,,October,2006, film director,Eduardo Mignogna,Argentinian,
25,1981, car accident,October,2006, news reporter (24 Oras),Danifel Campilan,Filipino,7
85,1921,,October,2006, Catholic bishop,Pavol Hnilica,Slovak,4
93,1913,,October,2006, archaeologist specializing in Hittitology,Sedat Alp,Turkish,
75,1931, stroke,October,2006, transsexual singer,Coccinelle,French,6
80,1926,,October,2006, Minister of State for Housing and Local Government (1974â€“1979),Reg Freeson,British,
60,1946, composer and lyricist,October,2006, singer,Marek Grechuta,Polish,22
73,1933, heart attack,October,2006, politician and diplomat (Interior Minister 1969â€“1976),Mario Moya Palencia,Mexican,
82,1924,,October,2006, CEO of Novell (1982â€“1994),Raymond Noorda,American,9
68,1938, prostate cancer,October,2006, Emmy-winning television comedy writer (Tracey Ullman Dick Van Dyke),Jerry Belson,American,4
100,1906,,October,2006, won 1980 Sahitya Akademi Award (Kristubhagavatam),P. C. Devassia,Indian,1
76,1930,,October,2006, Secretary-General of the General Synod of the Church of England (1972â€“1990) [74],Sir Derek Pattinson,British,8
72,1934,,October,2006, Attorney General of Ontario (1985â€“1990),Ian Scott,Canadian,3
86,1920,,October,2006, Conservative MP for St Albans (1959â€“1983),Sir Victor Goodhew,British,
34,1972, victim of the 2006 New York City plane crash,October,2006, baseball pitcher (New York Yankees),Cory Lidle,American,16
96,1910,,October,2006, judge and Vice-Chancellor of the Supreme Court (1982â€“1985),Sir Robert Megarry,British,7
88,1918,,October,2006, baseball player and coach (Boston College),Eddie Pellagrini,American,
91,1915,,October,2006, racing driver,EugÃ¨ne Martin,French,2
86,1920, heart failure,October,2006, film director (The Battle of Algiers),Gillo Pontecorvo,Italian,5
87,1919,,October,2006, Virginia (1992â€“1994),Mason Andrews,American,6
84,1922,,October,2006, Prefect of the Pontifical Household (1986â€“1998),Dino Monduzzi,Italian,
69,1937, lung cancer,October,2006," singer (""Before the Next Teardrop Falls"")",Freddy Fender,American,13
69,1937, pulmonary embolism,October,2006, first openly gay congressman represented Massachusetts (1973â€“1997),Gerry Studds,American,12
86,1920,,October,2006, actor (Callan Scott of the Antarctic),Derek Bond,British,3
69,1937, lung cancer,October,2006, politician Fianna FÃ¡il TD for Dublin South (1977â€“1987) MEP for Leinster (1984â€“2004),Niall Andrews,Irish,2
88,1918,,October,2006, Labour MP for Sheffield Hillsborough (1974â€“1992),Martin Flannery,British,2
70,1936, complications from heart surgery,October,2006, president (2000â€“2001),ValentÃ_n Paniagua,Peruvian,3
88,1918,,October,2006, football player (Philadelphia Eagles),Ernie Steele,American,4
90,1916, natural causes,October,2006, athlete first Italian female 1936 Olympic champion (80m hurdles),Trebisonda Valla,Italian,5
82,1924,,October,2006, actor (The City of Lost Children),Daniel Emilfork,French,4
48,1958, metastatic breast cancer,October,2006, graphic author (Cancer Made Me a Shallower Person),Miriam Engelberg,American,5
82,1924,,October,2006, goalkeeper for PSV Eindhoven (1942â€“1957 1959) and The Netherlands (1953â€“1954),Lieuwe Steiger,Dutch,
87,1919, stroke,October,2006, president of the International Ski Federation (1951â€“1998) International Olympic Committee whistleblower,Marc Hodler,Swiss,3
77,1929, brain hemorrhage,October,2006, cardinal Prefect of the Apostolic Signatura (1999â€“2004),Mario Francesco Pompedda,Italian,
