Year,Laureate_Id,Firstname,Lastname,Category,Gender,Prize_Share,Motivation,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country
1919,588,Carl,Spitteler,literature,male,1,"""in special appreciation of his epic <I>Olympian Spring</I>""",1845-04-24,Switzerland,Liestal,CH,29-12-1924,Switzerland,Lucerne,CH,,,
1920,25,Charles Edouard,Guillaume,physics,male,1,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",1861-02-15,Switzerland,Fleurier,CH,13-06-1938,France,Sèvres,FR,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France
1920,178,Walther,Nernst,chemistry,male,1,"""in recognition of his work in thermochemistry""",1864-06-25,Prussia (now Poland),Briesen (now Wąbrzeźno),PL,18-11-1941,Germany,Muskau,DE,Berlin University,Berlin,Germany
1920,310,August,Krogh,medicine,male,1,"""for his discovery of the capillary motor regulating mechanism""",1874-11-15,Denmark,Grenå,DK,13-09-1949,Denmark,Copenhagen,DK,Copenhagen University,Copenhagen,Denmark
1920,484,Léon,Bourgeois,peace,male,1,"""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations""",1851-05-21,France,Paris,FR,29-09-1925,France,Épernay,FR,,,
1920,589,Knut,Hamsun,literature,male,1,"""for his monumental work <I>Growth of the Soil</I>""",1859-08-04,Norway,Lom,NO,19-02-1952,Norway,Grimstad,NO,,,
1921,590,Anatole,France,literature,male,1,"""in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament""",1844-04-16,France,Paris,FR,12-10-1924,France,Saint-Cyr-sur-Loire,FR,,,
1921,485,Hjalmar,Branting,peace,male,2,"""for their lifelong contributions to the cause of peace and organized internationalism""",1860-11-23,Sweden,Stockholm,SE,24-02-1925,Sweden,Stockholm,SE,,,
1921,26,Albert,Einstein,physics,male,1,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""",1879-03-14,Germany,Ulm,DE,18-04-1955,USA,Princeton NJ,US,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany
1921,179,Frederick,Soddy,chemistry,male,1,"""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes""",1877-09-02,United Kingdom,Eastbourne,GB,22-09-1956,United Kingdom,Brighton,GB,University of Oxford,Oxford,United Kingdom
1921,486,Christian,Lange,peace,male,2,"""for their lifelong contributions to the cause of peace and organized internationalism""",1869-09-17,Norway,Stavanger,NO,11-12-1938,Norway,Oslo,NO,,,
1922,27,Niels,Bohr,physics,male,1,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",1885-10-07,Denmark,Copenhagen,DK,18-11-1962,Denmark,Copenhagen,DK,Copenhagen University,Copenhagen,Denmark
1922,487,Fridtjof,Nansen,peace,male,1,"""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees""",1861-10-10,Norway,Kristiania (now Oslo),NO,13-05-1930,Norway,Oslo,NO,,,
1922,180,Francis W.,Aston,chemistry,male,1,"""for his discovery by means of his mass spectrograph of isotopes in a large number of non-radioactive elements and for his enunciation of the whole-number rule""",1877-09-01,United Kingdom,Harborne,GB,20-11-1945,United Kingdom,Cambridge,GB,University of Cambridge,Cambridge,United Kingdom
1922,312,Otto,Meyerhof,medicine,male,2,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""",1884-04-12,Germany,Hanover,DE,06-10-1951,USA,Philadelphia PA,US,Kiel University,Kiel,Germany
1922,592,Jacinto,Benavente,literature,male,1,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",1866-08-12,Spain,Madrid,ES,14-07-1954,Spain,Madrid,ES,,,
1922,311,Archibald V.,Hill,medicine,male,2,"""for his discovery relating to the production of heat in the muscle""",1886-09-26,United Kingdom,Bristol,GB,03-06-1977,United Kingdom,Cambridge,GB,London University,London,United Kingdom
1923,313,Frederick G.,Banting,medicine,male,2,"""for the discovery of insulin""",1891-11-14,Canada,Alliston,CA,21-02-1941,Canada,Newfoundland,CA,University of Toronto,Toronto,Canada
1923,314,John,Macleod,medicine,male,2,"""for the discovery of insulin""",1876-09-06,Scotland,Cluny,GB,16-03-1935,Scotland,Aberdeen,GB,University of Toronto,Toronto,Canada
1923,28,Robert A.,Millikan,physics,male,1,"""for his work on the elementary charge of electricity and on the photoelectric effect""",1868-03-22,USA,Morrison IL,US,19-12-1953,USA,San Marino CA,US,California Institute of Technology (Caltech),Pasadena CA,USA
1923,181,Fritz,Pregl,chemistry,male,1,"""for his invention of the method of micro-analysis of organic substances""",1869-09-03,Austria-Hungary (now Slovenia),Laibach (now Ljubljana),SI,13-12-1930,Austria,Graz,AT,Graz University,Graz,Austria
1923,593,William Butler,Yeats,literature,male,1,"""for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation""",1865-06-13,Ireland,Dublin,IE,28-01-1939,France,Roquebrune-Cap-Martin,FR,,,
1924,594,Wladyslaw,Reymont,literature,male,1,"""for his great national epic <I>The Peasants</I>""",1867-05-07,Russian Empire (now Poland),Kobiele Wielkie,PL,05-12-1925,Poland,Warsaw,PL,,,
