BeerID,Name,URL,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount,UserId
31,Heineken Lager Clone,/homebrew/recipe/view/209608/heineken-lager-clone,Premium American Lager,124,48,1.049,1.008,5.41,24.28,3.3,60,90,1.039,75,2.5,Specific Gravity,All Grain,1.5,11,N/A,N/A,40623
32,Mosaic IPA,/homebrew/recipe/view/191545/mosaic-ipa,American IPA,7,18.93,1.074,1.018,7.24,0,7.68,22.71,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,35054
33,New England IPA,/homebrew/recipe/view/425217/new-england-ipa,American IPA,7,19.87,1.071,1.018,6.93,68.91,6.82,28.39,60,1.05,72,1.5,Specific Gravity,All Grain,1,20,N/A,N/A,25649
34,Tree House Julius Clone,/homebrew/recipe/view/401540/tree-house-julius-clone,American IPA,7,20.82,1.065,1.018,6.26,89.61,6.93,28.39,60,1.045,70,1.32,Specific Gravity,All Grain,0.5,20.56,N/A,N/A,
35,Breck Vanilla Porter Clone,/homebrew/recipe/view/189477/breck-vanilla-porter-clone,Robust Porter,129,22.71,1.053,1.012,5.38,0,46.1,31.95,60,N/A,72,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
36,The Devil is in the Details (Duvel Clone)...,/homebrew/recipe/view/61925/the-devil-is-in-the-details-duvel-clone-,Belgian Golden Strong Ale,23,41.64,1.069,1.005,8.4,40.71,3.11,49.21,90,1.058,80,1.5,Specific Gravity,All Grain,1,17.78,Force Carb,30 PSI,15241
37,Cascade Pale Ale,/homebrew/recipe/view/3984/cascade-pale-ale,American Pale Ale,10,20.82,1.049,1.009,5.24,40.86,3.79,26.5,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
38,Brewdog Punk IPA clone,/homebrew/recipe/view/272331/brewdog-punk-ipa-clone,American IPA,7,46,13.9618,3.4853,5.65,37.62,4.96,55,90,11.8,75,3.3,Plato,All Grain,1,18,Force carb,N/A,
39,Rochefort 8 Clone,/homebrew/recipe/view/188995/rochefort-8-clone,N/A,111,18.93,1.079,1.019,7.9,0,29.4,24.26,60,N/A,65,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
40,Trillium Inspired Pale Ale Clone,/homebrew/recipe/view/322780/trillium-inspired-pale-ale-clone,Double IPA,56,20.82,1.07,1.015,7.22,78.14,5.67,26.5,60,1.05,60,1.3,Specific Gravity,All Grain,1,17.78,Forced Carbonation,N/A,50283
41,Mango Blonde Ale v2.2,/homebrew/recipe/view/318315/mango-blonde-ale-v2-2,Blonde Ale,30,22.71,1.043,1.007,4.7,19.68,3.82,28.16,90,1.035,75,N/A,Specific Gravity,BIAB,N/A,16.67,N/A,N/A,56565
42,Strawberry Blonde Ale,/homebrew/recipe/view/29831/strawberry-blonde-ale,Blonde Ale,30,18.93,1.06,1.016,5.83,27.15,5.18,13.25,60,N/A,35,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
43,Vanilla Caramel Cream Ale,/homebrew/recipe/view/5314/vanilla-caramel-cream-ale,Cream Ale,45,18.93,1.055,1.014,5.43,33.67,10.08,15.14,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
44,Coors Light Clone,/homebrew/recipe/view/20756/coors-light-clone,Light American Lager,100,20.82,1.036,1.008,3.7,29.37,2.83,11.36,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
45,Samuel Adams - Boston Lager Clone,/homebrew/recipe/view/97267/samuel-adams-boston-lager-clone,German Pilsner (Pils),81,20.82,1.05,1.013,4.93,43.66,9.89,13.25,60,1.079,70,N/A,Specific Gravity,Partial Mash,1.5,10,DME boiled in 2 cups water,6.50 oz,20681
46,Caribou Slobber (All Grain),/homebrew/recipe/view/26901/caribou-slobber-all-grain-,American Brown Ale,6,22.71,1.056,1.014,5.57,35.32,20.59,30.28,60,1.042,80,N/A,Specific Gravity,BIAB,1,19.44,N/A,N/A,5889
47,Bakke Brygg Havrestout 20 l,/homebrew/recipe/view/83229/bakke-brygg-havrestout-20-l,Oatmeal Stout,114,20,1.059,1.019,5.21,37.34,42.09,24,90,1.049,75,N/A,Specific Gravity,All Grain,N/A,19,Sukkerlake,5 g sukker/l,18325
48,Southern Tier Crème Brûlée Clone,/homebrew/recipe/view/5267/,Specialty Beer,145,20.82,1.096,1.024,9.48,112.51,40,11.36,60,N/A,30,N/A,Specific Gravity,extract,N/A,N/A,Corn Sugar,118 grams,1116
49,Nugget Nectar Clone,/homebrew/recipe/view/189197/nugget-nectar-clone,American Amber Ale,4,18.93,1.075,1.009,7.5,0,8.48,22.71,90,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
50,Bakke Brygg Kölsch 20 l,/homebrew/recipe/view/129004/,Kölsch,94,20,1.046,1.009,4.84,23.22,2.85,25,90,1.037,73,N/A,Specific Gravity,BIAB,1.25,16,N/A,N/A,18325
51,Kronenbourg Blanc clone (Été dans un verre...,/homebrew/recipe/view/182011/,Witbier,175,18.93,1.051,1.012,5.22,18.67,3.67,27.78,60,1.035,68,1.25,Specific Gravity,All Grain,0.75,20,N/A,N/A,13114
52,Simple Citra IPA - One Gallon,/homebrew/recipe/view/231072/simple-citra-ipa-one-gallon,American IPA,7,3.79,1.058,1.011,6.1,37.06,11.45,5.68,60,1.039,55,1.5,Specific Gravity,All Grain,0.35,18.33,N/A,N/A,45128
53,Hoegaarden Clone,/homebrew/recipe/view/217598/hoegaarden-clone,Weizen/Weissbier,170,20.82,1.052,1.013,5.18,13.5,4.05,28.39,60,1.038,70,1.5,Specific Gravity,All Grain,N/A,21.11,N/A,N/A,
54,Holy Water - Trappist Single,/homebrew/recipe/view/373804/holy-water-trappist-single,Trappist Single,165,21,1.053,1.012,5.39,35.13,3.6,29,90,1.039,75,5.154,Specific Gravity,All Grain,N/A,20,N/A,N/A,5560
55,Blood Orange IPA Clone,/homebrew/recipe/view/210070/blood-orange-ipa-clone,American IPA,7,19.87,1.064,1.015,6.47,56.62,8.23,29.34,60,1.043,70,1.35,Specific Gravity,All Grain,N/A,21.11,N/A,N/A,
56,Biermuncher's Centennial Blonde,/homebrew/recipe/view/16156/biermuncher-s-centennial-blonde,Blonde Ale,30,20.82,1.041,1.011,3.83,21.02,3.73,24.61,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,Corn Sugar,4.1 oz,
57,Julius | Tree House Brewing (approximation) ...,/homebrew/recipe/view/492893/julius-tree-house-brewing-approximation-braumeister-20l,American IPA,7,21,1.067,1.015,6.81,69.73,5.59,25,70,1.053,73,N/A,Specific Gravity,BIAB,0.75,20,N/A,N/A,54364
58,Bert's Boneyard RPM IPA Clone,/homebrew/recipe/view/192014/bert-s-boneyard-rpm-ipa-clone,American IPA,7,18.93,1.068,1.016,6.76,0,6.81,18.93,60,N/A,75,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
59,Bakke Brygg Imperial Stout 20 L,/homebrew/recipe/view/83233/bakke-brygg-imperial-stout-20-l,Russian Imperial Stout,132,20,1.098,1.025,9.67,69.25,50,24,90,1.082,65,N/A,Specific Gravity,All Grain,1,18,Sukkerlake,5 5 g sukker/L,18325
60,Red Trolley Clone,/homebrew/recipe/view/15348/red-trolley-clone,American Amber Ale,4,20.82,1.06,1.016,5.71,17.56,29.6,27.44,60,1.045,75,N/A,Specific Gravity,All Grain,1.25,20,corn sugar,5 oz,365
61,New England IPA,/homebrew/recipe/view/310952/new-england-ipa,American IPA,7,21.77,1.066,1.018,6.31,92.1,4.82,26.5,60,1.054,75,1.5,Specific Gravity,All Grain,N/A,18.89,N/A,N/A,
62,West coast ipa,/homebrew/recipe/view/2742/west-coast-ipa,American IPA,7,18.93,1.062,1.016,6.13,66,6.97,22.71,60,1.052,51,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
63,Founders Porter clone,/homebrew/recipe/view/28418/founders-porter-clone,Robust Porter,129,20.82,1.062,1.015,6.06,34.61,40,26.5,90,1.048,70,1.5,Specific Gravity,All Grain,N/A,19.44,N/A,N/A,1051
64,Dreaded Jake Porter - Robust Porter,/homebrew/recipe/view/51292/dreaded-jake-porter-robust-porter,Robust Porter,129,49.21,1.063,1.015,6.32,36.3,33.24,49.21,60,1.063,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,14477
65,Bavarian Hefeweizen,/homebrew/recipe/view/9004/bavarian-hefeweizen,Weizen/Weissbier,170,19.87,1.044,1.011,4.45,12.35,3.65,27.44,90,1.032,65,N/A,Specific Gravity,BIAB,0.75,16.67,N/A,N/A,993
66,Milkshake Style IPA Clone,/homebrew/recipe/view/437443/milkshake-style-ipa-clone,American IPA,7,22.71,1.078,1.025,7.05,60.66,7.06,26.5,60,1.061,70,N/A,Specific Gravity,BIAB,0.5,21.11,N/A,N/A,
67,Siddhartha of Suburbia Saison,/homebrew/recipe/view/7442/siddhartha-of-suburbia-saison,Saison,134,20.82,1.072,1.013,7.66,31.43,6.24,26.5,60,1.056,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1186
68,Oatmeal Cookie Ale,/homebrew/recipe/view/189258/oatmeal-cookie-ale,American Brown Ale,6,11.73,1.056,1.014,5.53,0,18.8,15.07,90,N/A,73,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
69,Clone - Firestone Wookey Jack - Black Rye IP...,/homebrew/recipe/view/33362/clone-firestone-wookey-jack-black-rye-ipa,Specialty IPA: Black IPA,148,37.85,1.085,1.027,7.62,71.13,39.95,45.42,90,1.071,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,8348
70,Paulaner clone,/homebrew/recipe/view/10085/paulaner-clone,Weizen/Weissbier,170,140.06,1.05,1.013,4.82,15.47,6.79,147.63,60,1.047,63,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1164
71,Classic German Hefe Weissbier,/homebrew/recipe/view/189065/classic-german-hefe-weissbier,Weizen/Weissbier,170,18.93,1.056,1.014,5.5,0,3.99,18.93,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
72,Hazy Juicy IPA,/homebrew/recipe/view/448502/hazy-juicy-ipa,American IPA,7,22.71,1.062,1.012,6.51,121.43,4.26,26.5,60,1.053,70,1.5,Specific Gravity,All Grain,N/A,17.22,N/A,N/A,
73,Nutella Stout,/homebrew/recipe/view/6549/nutella-stout,Sweet Stout,162,19.87,1.054,1.015,5.11,31.84,35.08,15.14,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,1279
74,Syntax Error IPA II,/homebrew/recipe/view/227462/syntax-error-ipa-ii,American IPA,7,42,1.068,1.013,7.2,105.67,7.77,52,60,1.055,68,2,Specific Gravity,All Grain,N/A,19,N/A,N/A,
75,1664 Blanc Clone,/homebrew/recipe/view/254306/1664-blanc-clone,Witbier,175,25,1.057,1.012,5.87,23.21,3.11,35,90,1.041,83,4.69,Specific Gravity,All Grain,0.75,N/A,N/A,N/A,
76,Founders Brewing Co. - Dirty Bastard Clone...,/homebrew/recipe/view/119712/founders-brewing-co-dirty-bastard-clone,Strong Scotch Ale,160,20.82,1.087,1.022,8.56,85.74,24.85,13.25,60,1.137,75,N/A,Specific Gravity,All Grain,0.5,20,Corn Sugar,N/A,20681
77,Belgian Wit,/homebrew/recipe/view/906/belgian-wit,Witbier,175,20.82,1.05,1.013,4.85,20.08,3.33,28.39,90,1.037,75,N/A,Specific Gravity,All Grain,0.75,N/A,N/A,N/A,
78,Pliny the Younger Clone,/homebrew/recipe/view/76598/pliny-the-younger-clone,Imperial IPA,86,22.71,1.102,1.023,10.34,136.21,6.34,30.28,90,1.076,80,2,Specific Gravity,All Grain,0.75,16.67,N/A,N/A,5889
79,Belgian Strong Pale - La Chouffe,/homebrew/recipe/view/80009/belgian-strong-pale-la-chouffe,Belgian Golden Strong Ale,23,18.93,1.07,1.008,8.14,31.39,4.28,25.97,90,1.051,70,1.33,Specific Gravity,All Grain,N/A,20,force carb,19 psi @  50f,
80,Bill's Double Chocolate Milk Stout,/homebrew/recipe/view/180328/bill-s-double-chocolate-milk-stout,Sweet Stout,162,20.82,1.066,1.021,5.87,37.61,41.27,24.61,60,1.056,65,1.25,Specific Gravity,All Grain,0.5,N/A,N/A,N/A,18590
81,Fat Head's Headhunter IPA Clone,/homebrew/recipe/view/110195/fat-head-s-headhunter-ipa-clone,American IPA,7,41.64,1.072,1.014,7.52,87.48,7.3,49.21,90,1.061,65,1.3,Specific Gravity,All Grain,0.75,20,Force Carb,12 psi,15241
82,Orange Mohawk (Shock top clone),/homebrew/recipe/view/97252/orange-mohawk-shock-top-clone-,Witbier,175,41.64,1.052,1.013,5.22,16.79,4.31,49.21,90,1.044,73,1.5,Specific Gravity,All Grain,0.5,20,N/A,N/A,15241
83,Jamil's Tripel,/homebrew/recipe/view/23709/jamil-s-tripel,Belgian Tripel,26,19.87,1.092,1.017,9.85,36.65,5.14,25.55,90,1.072,70,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,993
84,Chocolate Imperial Stout,/homebrew/recipe/view/1647/chocolate-imperial-stout,American Stout,12,20.82,1.096,1.026,9.16,33.18,40,18.93,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,453
85,Green Flash West Coast IPA Clone,/homebrew/recipe/view/189480/green-flash-west-coast-ipa-clone,American IPA,7,22.71,1.072,1.016,7.27,0,9.3,28.39,60,N/A,65,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
86,Leffe Blonde Clone v2,/homebrew/recipe/view/73402/leffe-blonde-clone-v2,Belgian Pale Ale,24,18.93,1.07,1.02,6.47,23.28,5.93,7.57,60,1.174,50,N/A,Specific Gravity,extract,0.35,21.11,N/A,N/A,19124
87,Easy Imperial IPA (Double IPA),/homebrew/recipe/view/141526/easy-imperial-ipa-double-ipa-,Imperial IPA,86,20.82,1.079,1.014,8.51,120.63,8.08,27.63,60,1.059,75,1.5,Specific Gravity,All Grain,1.25,18.89,N/A,N/A,26578
88,Zatarain's Root Beer - Non-Alcoholic  keg in...,/homebrew/recipe/view/21783/zatarain-s-root-beer-non-alcoholic-keg-instructions,N/A,111,18.93,1.046,1.013,4.27,0,3.99,11.36,0,1.077,100,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,993
89,Bakke Brygg Tsjekkisk Pilsner 25 l,/homebrew/recipe/view/134325/bakke-brygg-tsjekkisk-pilsner-25-l,Bohemian Pilsener,31,25,1.05,1.013,4.88,40.51,3.5,30,90,1.042,72,N/A,Specific Gravity,All Grain,N/A,10,Sukkerlake,6 g sukker/l,18325
90,Summer Citra Kölsch (a successful experimen...,/homebrew/recipe/view/9886/,Kölsch,94,20.82,1.049,1.012,4.84,25.23,3.79,28.39,90,N/A,68,N/A,Specific Gravity,All Grain,N/A,N/A,Dextrose,3oz,
91,Shiner Bock,/homebrew/recipe/view/45045/shiner-bock,Dark American Lager,52,20.82,1.043,1.011,4.14,13.22,17.67,28.39,90,N/A,85,N/A,Specific Gravity,All Grain,1.75,12.22,N/A,N/A,10445
92,Bakke Brygg Pale Ale 5 l,/homebrew/recipe/view/76834/bakke-brygg-pale-ale-5-l,American Pale Ale,10,5,1.054,1.011,5.61,40.55,5.66,7,60,1.038,72,N/A,Specific Gravity,All Grain,N/A,18,Sukkerlake,6 g sukker/l,18325
93,The Headless Horsemen Imperial Pumpkin Ale...,/homebrew/recipe/view/19297/the-headless-horsemen-imperial-pumpkin-ale,Holiday/Winter Special Spiced Beer,85,18.93,1.083,1.02,8.36,101.71,15.51,11.36,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
94,Dry Irish Stout: Guinness Clone,/homebrew/recipe/view/142280/dry-irish-stout-guinness-clone,Dry Stout,58,45.42,1.044,1.01,4.39,38.47,31.4,53,60,1.038,80,1.5,Specific Gravity,All Grain,1,18.89,N/A,N/A,5889
95,Kronenbourg 1664 Blanc klone,/homebrew/recipe/view/244064/kronenbourg-1664-blanc-klone,Witbier,175,23,1.052,1.011,5.36,18.92,3.26,29,90,1.041,75,5,Specific Gravity,All Grain,1,18,Sukker,8,
96,Jumpin' Jalapeño Saison,/homebrew/recipe/view/15676/,Saison,134,3.79,1.056,1.012,5.73,26.51,9.94,4.73,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,2824
97,NEIPA,/homebrew/recipe/view/361507/neipa,American IPA,7,24.61,1.058,1.015,5.73,42.52,5.6,28.39,60,1.05,65,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
98,Belgian Saison - Farmhouse Style Ale,/homebrew/recipe/view/25071/belgian-saison-farmhouse-style-ale,Saison,134,18.93,1.055,1.014,5.43,16.73,2.84,15.14,60,1.069,70,N/A,Specific Gravity,Partial Mash,N/A,N/A,Sugar,3/4 cup,390
99,Cigar City Jai Alai Clone,/homebrew/recipe/view/94372/cigar-city-jai-alai-clone,Imperial IPA,86,20.82,1.075,1.019,7.89,97.11,11.3,28.39,75,1.055,70,1.33,Specific Gravity,All Grain,0.35,18.33,N/A,N/A,14793
100,Cold Smoke Clone,/homebrew/recipe/view/3616/cold-smoke-clone,Strong Scotch Ale,160,18.93,1.066,1.019,6.18,19,19.42,13.25,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
101,Rochefort 10 clone,/homebrew/recipe/view/83669/rochefort-10-clone,Belgian Dark Strong Ale,21,19,1.096,1.01,11.3,27,20.93,22,90,1.062,74,2.75,Specific Gravity,All Grain,0.75,22,N/A,N/A,
102,Elvis juice v2.0,/homebrew/recipe/view/348867/elvis-juice-v2-0,American IPA,7,20,1.059,1.01,6.45,32.49,6.76,25,60,1.047,70,N/A,Specific Gravity,All Grain,N/A,19,N/A,N/A,
103,Bud Light Clone,/homebrew/recipe/view/96572/bud-light-clone,Light American Lager,100,18.93,1.04,1.009,4.11,16.34,2.1,5.68,60,1.134,50,N/A,Specific Gravity,extract,N/A,18.33,N/A,N/A,18665
104,White House Honey Ale (Official Recipe),/homebrew/recipe/view/17371/white-house-honey-ale-official-recipe-,American Amber Ale,4,20.82,1.06,1.017,5.63,27.73,8.87,11.36,50,N/A,30,N/A,Specific Gravity,extract,N/A,N/A,Dextrose,3/4 Cup,
105,Seizoen Pompoen  (Pumpkin Saison),/homebrew/recipe/view/189062/seizoen-pompoen-pumpkin-saison-,Saison,134,18.93,1.062,1.007,7.2,0,13,24.68,60,N/A,72,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
106,Chocolate Peanut Butter Oatmeal Stout,/homebrew/recipe/view/109747/chocolate-peanut-butter-oatmeal-stout,Oatmeal Stout,114,20.82,1.069,1.02,6.39,34.93,40,28.39,60,1.051,70,1.25,Specific Gravity,All Grain,0.35,20,N/A,N/A,345
107,Weg Farmhouse Ale,/homebrew/recipe/view/11819/weg-farmhouse-ale,Saison,134,45.42,1.051,1.012,5.19,32.59,5.63,53,60,1.044,65,N/A,Specific Gravity,All Grain,0.75,21.11,N/A,N/A,2125
108,Nelson Sauvin SMaSH,/homebrew/recipe/view/54124/nelson-sauvin-smash,American Pale Ale,10,18.93,1.053,1.015,5.03,44.04,3.59,22.71,60,N/A,72,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,737
109,Traditional German Hefeweizen,/homebrew/recipe/view/14478/traditional-german-hefeweizen,Weizen/Weissbier,170,45.42,1.051,1.012,5.13,8.74,3.66,53,90,N/A,72,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,380
