Color,VehicleModel,VehicleDesc,ModelYear,VehicleType,DateStolen,Location
White,Elddis,RIVIERA 482,2003,Caravan,13/10/2021,Canterbury
Blue,Yamaha,XTZ660BG,1995,Roadbike,21/03/2022,Tasman
Green,Kawasaki,NINJA,1999,Roadbike,15/02/2022,Bay of Plenty
Silver,Trailer,PRESCOTT,2021,Trailer - Heavy,6/02/2022,Bay of Plenty
Yellow,Trailer,BRIFORD,2000,Trailer - Heavy,5/03/2022,Counties/Manukau
Silver,Trailer,ASD JETSKI,2021,Boat Trailer,21/02/2022,Auckland City
Yellow,Trailer,BRIFORD 8X4'6COVERED,1997,Trailer,5/11/2021,Eastern
Black,Trailer,HOMEBUILT,2021,Trailer,6/03/2022,Auckland City
Red,Trailer,OLEARY,1983,Trailer,2/01/2022,Central
Silver,Trailer,TRAILERWORLD 9X5 HSB,2021,Trailer,26/03/2022,Waitemata
Silver,Trailer,SINGLE AXLE,2018,Trailer,10/10/2021,Auckland City
Yellow,Honda,TODAY 50,2008,Moped,19/12/2021,Bay of Plenty
Black,Trailer,IFOR WILLIAMS,2018,Trailer,6/01/2022,Bay of Plenty
Silver,Trailer,PRESCOTT,2014,Trailer,24/03/2022,Bay of Plenty
Silver,Trailer,SPORTLINE,2014,Boat Trailer,21/10/2021,Eastern
Blue,Ford,FOCUS,2006,Hatchback,13/11/2021,Eastern
Silver,Trailer,TILTING FLAT DECK,2014,Trailer - Heavy,8/11/2021,Eastern
Silver,Trailer,PMTRAILER,2014,Trailer,24/01/2022,Canterbury
Silver,Hoskings,BOAT TRAILER,2014,Boat Trailer,4/04/2022,Waikato
Silver,Trailer,TRAYLA,2014,Trailer,24/02/2022,Central
Silver,Trailer,ELITE,2014,Trailer,4/02/2022,Counties/Manukau
Silver,Trailer,ELITE 7X4,2014,Trailer,14/01/2022,Canterbury
White,Oxford,PIONEER,1969,Caravan,27/11/2021,Bay of Plenty
White,BMW,323I,2007,Saloon,23/03/2022,Counties/Manukau
Silver,Trailer,7 X 4 STD,2015,Trailer,5/01/2022,Waitemata
Grey,Trailer,HOMEBUILT,2011,Trailer,2/04/2022,Waitemata
Silver,Trailer,ENDURO,2015,Boat Trailer,6/01/2022,Bay of Plenty
Silver,Trailer,TRAYLA,2015,Trailer,28/02/2022,Central
Silver,Trailer,ELITE 8X5,2015,Trailer,14/01/2022,Canterbury
Silver,Trailer,COMPASS D105,2015,Trailer,18/10/2021,Waitemata
Silver,Trailer,DOMESTIC TRAILER,2015,Trailer,16/03/2022,Waikato
White,Trailer,TANK,1998,Trailer - Heavy,18/01/2022,Bay of Plenty
Silver,Audi,ALLROAD,2015,Stationwagon,3/04/2022,Wellington
Silver,Trailer,ELITE 8X4,2015,Trailer,4/01/2022,Canterbury
Silver,Vespa,PIAGGIO,2001,Roadbike,6/12/2021,Auckland City
Silver,Trailer,HELMACK 8X5,2015,Trailer,19/01/2022,Canterbury
Yellow,Trailer,LOCAL,1984,Trailer,21/03/2022,Auckland City
Silver,Trailer,SINGLE AXLE,2015,Trailer,1/03/2022,Waikato
Silver,Trailer,BOAT,2008,Boat Trailer,22/02/2022,Bay of Plenty
Blue,Trailer,HOMEBUILT,1990,Trailer,20/01/2022,Bay of Plenty
Silver,Trailer,PRESCOTT,2000,Trailer,8/03/2022,Bay of Plenty
Silver,Homebuilt,TRAILER,1996,Trailer,24/03/2022,Auckland City
Silver,Trailer,COMPASS-C85,2018,Trailer,18/03/2022,Auckland City
Silver,Titan,DOMESTIC TRAILER,2018,Trailer,28/12/2021,Counties/Manukau
Silver,Custombuilt,TANDEM,1985,Trailer,13/01/2022,Counties/Manukau
Red,Honda,VT,2005,Roadbike,19/03/2022,Counties/Manukau
Blue,Honda,CBR,2000,Roadbike,31/01/2022,Canterbury
Black,Trailer,HOMEBUILT,2022,Trailer,14/02/2022,Counties/Manukau
Grey,Trailer,JETSKI ACTION LAB,2021,Boat Trailer,30/12/2021,Waikato
Silver,Trailer,HOMEBUILT,2000,Trailer,29/01/2022,Central
Black,Homebuilt,TRAILER,2022,Trailer,12/03/2022,Bay of Plenty
White,Trailer,MARTIN ENGINEERING,1998,Trailer,28/03/2022,Counties/Manukau
Silver,Trailer,TUFF,2018,Trailer,22/11/2021,Bay of Plenty
Brown,Trailer,LOCAL,1977,Trailer,3/12/2021,Bay of Plenty
Silver,Trailer,8X4 TRAYLA,2018,Trailer - Heavy,1/02/2022,Central
Blue,Trailer,HOMEMADE,1980,Trailer,20/03/2022,Tasman
White,Trailer,NYMIC,2018,Trailer - Heavy,3/04/2022,Canterbury
Silver,Trailer,TRAILER,2022,Trailer,9/02/2022,Auckland City
Grey,Trailer,TANDEM,2019,Trailer,23/02/2022,Wellington
Silver,Trailer,COMPASS-D116K,2022,Trailer,15/03/2022,Central
Red,Harley Davidson,FXSTDI,2004,Roadbike,16/01/2022,Counties/Manukau
Grey,Trailer,LOCAL,1967,Trailer,19/10/2021,Canterbury
White,Caravan,SWIFT CHARISMA 230,2006,Caravan,27/02/2022,Waitemata
Silver,Trailer,TANK,2018,Trailer,29/03/2022,Canterbury
Red,Massey,FERGUSSON,2007,Tractor,23/01/2022,Waikato
Silver,Trailer,BST85,2022,Trailer,15/03/2022,Wellington
Black,Suzuki,LS650P,2003,Roadbike,3/12/2021,Northland
Black,Trojan,JET SKI,2022,Boat Trailer,19/03/2022,Waitemata
Silver,Trailer,VULCAN,2022,Trailer,4/03/2022,Counties/Manukau
Brown,Oxford,,1971,Caravan,20/12/2021,Waitemata
Grey,Homebuilt,EZ LOADER STABI CRAF,1989,Boat Trailer,12/10/2021,Canterbury
Silver,Trailer,MCLAY,2017,Boat Trailer,19/03/2022,Eastern
Silver,Trailer,ENSOL TANKER,2019,Trailer,28/02/2022,Central
Red,Kawasaki,EX,2008,Roadbike,2/04/2022,Counties/Manukau
Red,Moped,HYOSUNG SB49M,2008,Moped,29/01/2022,Counties/Manukau
Grey,Trailer,BRIFORD,1996,Trailer,13/03/2022,Canterbury
Silver,Trailer,REID,2000,Boat Trailer,3/02/2022,Auckland City
White,Homebuilt,15X7,1994,Boat Trailer,1/01/2022,Canterbury
Grey,Trailer,KEA,1998,Trailer,16/11/2021,Tasman
Grey,Trailer,ROADCHIEF,2019,Trailer,20/01/2022,Northland
Orange,KTM,EXC,2002,Roadbike,13/02/2022,Northland
Silver,Trailer,JOBMATE,2019,Trailer,13/03/2022,Bay of Plenty
Silver,Trailer,ENSOL TANKER,2022,Trailer,1/04/2022,Central
Silver,Trailer,BRAKED TANDEM,2019,Trailer,17/12/2021,Bay of Plenty
Grey,Trailer,HARENG,1980,Trailer,31/12/2021,Waikato
Silver,Trailer,HOMEBUILT,2019,Trailer,13/03/2022,Southern
Silver,Titan,DOMESTIC TRAILER,2019,Trailer,29/10/2021,Waitemata
Green,Trailer,HOMEMADE,1962,Trailer,16/02/2022,Canterbury
White,Trailer,SPACEE 2000,1997,Trailer,16/11/2021,Central
Silver,Briford,8X4 TANDEM TIPPER,2018,Trailer,18/03/2022,Canterbury
Silver,Factory Built,BRENT SMITH TRAILERS,2019,Trailer,30/12/2021,Wellington
Silver,Trailer,TASMAN8X5TB,2019,Trailer,10/10/2021,Tasman
Silver,Trailer,MAKZ,2019,Boat Trailer,14/12/2021,Wellington
Silver,Pinto,ENCLOSED TRAILER,2019,Trailer,19/10/2021,Waitemata
Silver,Trailer,ELITE 8X4,2019,Trailer,28/02/2022,Canterbury
Silver,Trailer,TRANSPORTER,2019,Trailer - Heavy,27/12/2021,Eastern
Grey,Trailer,DOMESTIC,2019,Trailer,9/03/2022,Waitemata
Silver,Factory Built,DOMESTIC TRAILER,2015,Trailer,21/03/2022,Northland
Silver,Briford,TRAILER 8X4,2015,Trailer - Heavy,8/12/2021,Auckland City
White,Caravan,XPLORE 452,2008,Caravan,26/12/2021,Bay of Plenty
Silver,Pinto,BRAKED TANDEM,2015,Trailer,18/02/2022,Waikato
Silver,Trailer,HOBBS,2015,Trailer,12/11/2021,Eastern
Silver,Trailer,WILPRO,2015,Trailer,22/11/2021,Bay of Plenty
Silver,Briford,TRAILER,2015,Trailer - Heavy,24/01/2022,Counties/Manukau
Silver,Briford,TRAILER,2015,Trailer - Heavy,8/03/2022,Auckland City
Silver,Briford,OTHER COMMERCIAL TRA,2015,Trailer - Heavy,6/01/2022,Canterbury
Silver,Trailer,SINGLE AXLE 7X4,2015,Trailer,19/02/2022,Canterbury
White,Sprite,ALPINE  4T2A,2007,Caravan,29/01/2022,Wellington
Silver,Trailer,FACTORY BUILT,2015,Trailer,10/01/2022,Central
Blue,Nissan,SKYLINE,1989,Saloon,3/02/2022,Wellington
Silver,Trailer,YAMAHA VXR,2015,Boat Trailer,10/11/2021,Canterbury
Silver,Briford,TRAILER,2015,Trailer - Heavy,12/10/2021,Wellington
Silver,Trailer,ROADLINE,2015,Trailer,30/10/2021,Northland
Silver,Trailer,TRAYLA,2015,Trailer,13/01/2022,Wellington
Silver,Briford,TRAILER,2015,Trailer - Heavy,31/12/2021,Waikato
Silver,Briford,TRAILER,2015,Trailer - Heavy,8/12/2021,Counties/Manukau
Red,Classic,HALF VISTA,1972,Caravan,16/03/2022,Bay of Plenty
White,Trailer,CANTERBURY FABRICAT,2015,Trailer - Heavy,8/03/2022,Central
Silver,Trailer,4.5M FLATDECK,2015,Trailer,28/01/2022,Waikato
Orange,KTM,SFX,2020,Trail Bike,8/11/2021,Canterbury
Silver,Trailer,ELITE 8X4,2016,Trailer,30/03/2022,Canterbury
Silver,Trailer,ROADCHIEF 8X5,2019,Trailer,24/03/2022,Southern
Silver,Trailer,LOCAL,1998,Trailer,25/12/2021,Central
Silver,Trailer,BOAT,2012,Boat Trailer,22/12/2021,Waitemata
Silver,Trailer,MM INDUSTRIES,2019,Trailer - Heavy,11/10/2021,Waitemata
Silver,Kea,KC85E,2019,Trailer,1/04/2022,Bay of Plenty
Silver,Kea,KC106AB,2019,Trailer,29/03/2022,Waikato
Silver,Trailer,BOAT TRAILER,2019,Boat Trailer,12/02/2022,Counties/Manukau
,,,0,,14/03/2022,Counties/Manukau
Silver,Kea,CAGE,2019,Trailer - Heavy,24/11/2021,Waikato
Cream,Vespa,SPORTIQUE,1963,Moped,7/12/2021,Southern
Silver,Briford,5X4,2019,Trailer,2/11/2021,Canterbury
Silver,Trailer,CTDIG,2019,Trailer,22/11/2021,Bay of Plenty
Yellow,Suzuki,DR-Z400,2005,Roadbike,12/10/2021,Canterbury
Grey,Rhino,DOMESTIC TRAILER,2019,Trailer,28/10/2021,Northland
Blue,Homebuilt,TRAILER,1990,Trailer,19/03/2022,Wellington
Grey,Trailer,HOMEMADE,1981,Trailer,16/02/2022,Counties/Manukau
Silver,Trailer,TRAYLA,2019,Trailer,4/02/2022,Central
Silver,Bricon,357J,2019,Boat Trailer,16/12/2021,Waitemata
Silver,Trailer,SMASH PALACE,2019,Trailer,7/03/2022,Canterbury
White,Trailer,BRIFORD 5X4 SHUTTLE,1996,Trailer,31/10/2021,Canterbury
Silver,Trailer,DIAMOND,2019,Trailer,19/01/2022,Central
Silver,Kea,K844XA,2019,Trailer,2/04/2022,Waikato
Silver,Trailer,TUFF,2019,Trailer,1/11/2021,Counties/Manukau
White,Trailer,DMW,2006,Caravan,7/12/2021,Auckland City
Silver,Briford,TRAILER,2015,Trailer - Heavy,8/03/2022,Waitemata
Green,Trailer,HOMEMADE,1979,Trailer,2/12/2021,Canterbury
Silver,Trailer,CABLE DRUM,2019,Trailer - Heavy,13/03/2022,Tasman
Silver,Trailer,LOCAL,1999,Trailer,2/02/2022,Auckland City
Silver,Trailer,KING,1998,Trailer,19/02/2022,Central
Grey,Trailer,HOME BUILT,2001,Trailer,14/10/2021,Southern
Silver,Trailer,IFOR WILLIAMS,2019,Trailer - Heavy,7/01/2022,Northland
Orange,Trailer,LOCAL,1977,Trailer,25/10/2021,Bay of Plenty
Red,Triumph,SPEEDTRIPLE,2004,Roadbike,10/02/2022,Central
Grey,Trailer,DOLY,2019,Trailer,29/11/2021,Central
Grey,Trailer,SINGLE AXLE,2019,Trailer,15/12/2021,Canterbury
Black,Suzuki,GN250,2005,Roadbike,2/04/2022,Counties/Manukau
White,Honda,XL250,1985,Roadbike,27/03/2022,Wellington
Grey,Trailer,ROOFLINE,2019,Trailer,14/02/2022,Tasman
Silver,Trailer,T D ENGINEERING,2019,Trailer,17/03/2022,Central
Silver,Trailer,TRADETESTED 7 X 4,2015,Trailer,12/10/2021,Waitemata
Silver,Trailer,VULCAN,2015,Trailer,1/11/2021,Waitemata
Grey,Trailer,HOME MADE,2016,Trailer,1/03/2022,Wellington
White,Anglo,CARAVAN,1976,Caravan,1/12/2021,Waitemata
Silver,Reid,TRAILER,2015,Trailer - Heavy,11/10/2021,Waitemata
Silver,Lochiel,DOMESTIC TRAILER,2015,Trailer,3/04/2022,Southern
Silver,Briford,TRAILER 8X4,2008,Trailer,10/02/2022,Waitemata
Blue,Trailer,SLOAN,1985,Trailer - Heavy,22/02/2022,Waikato
Silver,Titan,7X4,2015,Trailer,23/12/2021,Counties/Manukau
Grey,Trailer,HOMEBUILT,2002,Trailer,31/01/2022,Canterbury
Silver,Trailer,DOMESTIC,2016,Trailer,22/11/2021,Northland
Black,Trailer,JETSKI,2000,Boat Trailer,25/12/2021,Waikato
Silver,Trailer,TANDEM,2016,Trailer,4/04/2022,Central
White,Trailer,FURN,2016,Trailer - Heavy,17/01/2022,Bay of Plenty
Silver,Lochiel,3X2 PLATFORM,2016,Trailer,27/02/2022,Southern
Silver,Trailer,HOMEBUILT,2019,Trailer,26/01/2022,Central
Silver,Trailer,GORILLA,2019,Trailer,25/01/2022,Canterbury
Grey,Suzuki,UZ,2007,Roadbike,18/12/2021,Auckland City
Grey,Homebuilt,TRAILER,1990,Trailer,10/02/2022,Canterbury
Blue,Classic,DIPLOMAT,1979,Caravan,28/01/2022,Central
Silver,Trailer,LOCAL,1976,Trailer - Heavy,22/01/2022,Central
Red,Homebuilt,TRAILER,1987,Trailer,5/03/2022,Southern
Silver,Titan,DOMESTIC TRAILER,2019,Trailer,3/03/2022,Waitemata
Silver,Trailer,HOMEMADE,2019,Trailer,6/12/2021,Central
Blue,Piaggio,MOTORCYCLE,1998,Moped,6/11/2021,Auckland City
Silver,Suzuki,GSX250,2003,Roadbike,30/12/2021,Bay of Plenty
Black,Suzuki,VL800,2009,Roadbike,31/03/2022,Waitemata
Grey,Trailer,DOMESTIC TRAILER,2002,Trailer,29/12/2021,Counties/Manukau
Black,BMW,335i,2009,,22/02/2022,Waitemata
Silver,Briford,8X5 TANDEM,2019,Trailer,9/01/2022,Canterbury
Silver,Trailer,KEA,2016,Trailer,14/10/2021,Auckland City
Silver,Trailer,TANDEM,2019,Trailer,16/02/2022,Canterbury
Black,Suzuki,VL800,2007,Roadbike,17/01/2022,Waitemata
Silver,Homebuilt,O'LEARY 1 AXLE,1977,Trailer,2/03/2022,Central
Silver,Trailer,DOMESTIC TRAILER,2001,Trailer,13/01/2022,Central
Silver,Trailer,HOMEBUILT,2019,Boat Trailer,15/12/2021,Auckland City
Silver,Trailer,BOAT,2019,Boat Trailer,31/01/2022,Northland
Black,Trailer,HOMEBUILT,2019,Trailer,17/11/2021,Central
Silver,Buffalo,8X5 TANDEM TRAILER,2019,Trailer,18/10/2021,Canterbury
Silver,Trailer,BOAT,2019,Boat Trailer,4/03/2022,Waitemata
Silver,Trailer,M J SINGLE AXLE,2019,Trailer,24/01/2022,Canterbury
Black,Homebuilt,DOMESTIC TRAILER,2019,Trailer,6/01/2022,Counties/Manukau
White,Trailer,HOMEBUILT,1940,Trailer,26/11/2021,Southern
Silver,Factory Built,DOMESTIC TRAILER,2019,Trailer,21/03/2022,Wellington
Silver,Trailer,ROADCHIEF,2019,Trailer - Heavy,24/10/2021,Bay of Plenty
Silver,Trailer,K64SE,1997,Trailer,4/11/2021,Tasman
Silver,Trailer,O'LEARY,1997,Trailer,4/04/2022,Central
Silver,Trailer,LOCAL,2001,Boat Trailer,15/03/2022,Northland
Silver,Trailer,CONCEPT,2017,Trailer,28/10/2021,Central
Silver,Titan,DOMESTIC TRAILER,2019,Trailer,25/03/2022,Wellington
Silver,Homebuilt,BOAT TRAILER,2019,Boat Trailer,29/10/2021,Counties/Manukau
Grey,Yamaha,YZF-R6T,2005,Roadbike,17/02/2022,Waitemata
Silver,Factory Built,TRAILUX TRAILER,2019,Trailer,31/03/2022,Wellington
Silver,Trailer,ELITE 8X4,2016,Trailer,4/02/2022,Canterbury
Silver,Trailer,UTILITY,2016,Trailer,22/03/2022,Waitemata
Silver,Trailer,GT TRAILER,2016,Trailer - Heavy,29/10/2021,Canterbury
White,Veteran,710,2016,Caravan,28/03/2022,Waikato
Silver,Titan,8X5 SINGLE,2016,Trailer,23/03/2022,Waitemata
Silver,Homebuilt,HOME BUILD,2016,Trailer,7/12/2021,Canterbury
Blue,Homebuilt,TRAILER,2004,Trailer,20/03/2022,Canterbury
Silver,Trailer,COMPASS C85,2016,Trailer,11/12/2021,Waikato
Silver,Briford,TRAILER,2016,Trailer - Heavy,7/12/2021,Counties/Manukau
Silver,Briford,TRAILER,2016,Trailer,14/01/2022,Canterbury
Silver,Trailer,GT TRAILER,2016,Trailer - Heavy,29/10/2021,Auckland City
White,Homebuilt,TRAILER,1960,Trailer,1/01/2022,Canterbury
Grey,Trailer,MAINLINE TANKER,2013,Trailer - Heavy,8/11/2021,Waitemata
Grey,Custombuilt,TBS,2016,Trailer - Heavy,12/10/2021,Waitemata
Silver,Trailer,GOUGH ENGINEERING,2016,Trailer,25/03/2022,Waikato
Silver,Briford,TRAILER,2016,Trailer - Heavy,8/11/2021,Counties/Manukau
Silver,Trailer,COMPASS KH85T,2016,Trailer,23/02/2022,Counties/Manukau
Grey,Briford,6X4,2016,Trailer,1/12/2021,Auckland City
Silver,Trailer,ELITE 8X4,2016,Trailer,30/01/2022,Canterbury
Blue,Mazda,LANTIS,1993,Saloon,14/02/2022,Waikato
Silver,Trailer,TUFF,2016,Trailer,1/11/2021,Waitemata
Silver,Briford,TRAILER,2016,Trailer - Heavy,15/11/2021,Counties/Manukau
Silver,Briford,OTHER COMMERCIAL TRA,2016,Trailer - Heavy,8/03/2022,Bay of Plenty
Silver,Briford,OTHER COMMERCIAL TRA,2016,Trailer - Heavy,17/01/2022,Waikato
Silver,Trailer,AAA375 AAKRON,2016,Boat Trailer,29/01/2022,Counties/Manukau
White,Caravan,LUNA DELTA,2007,Caravan,24/03/2022,Wellington
Silver,Trailer,VULCAN,2016,Trailer,31/10/2021,Waitemata
Silver,Trailer,TUFF,2016,Trailer,28/10/2021,Bay of Plenty
Grey,Custombuilt,4,2016,Boat Trailer,22/10/2021,Canterbury
Blue,Trailer,FLATDECK,2010,Trailer - Heavy,8/11/2021,Canterbury
Silver,Briford,TRAILER 8X4,2016,Trailer,25/11/2021,Counties/Manukau
Blue,Suzuki,GSX 750,2005,Roadbike,26/03/2022,Counties/Manukau
Silver,Briford,8X4,2019,Trailer,16/02/2022,Canterbury
Silver,Voyager,JII,1998,Boat Trailer,5/01/2022,Bay of Plenty
Silver,Trailer,HOSKING,2000,Boat Trailer,26/12/2021,Auckland City
Grey,Trailer,SPORTLINE 610 HT,2019,Boat Trailer,30/03/2022,Waikato
Red,Aprilia,PEGASO,1998,Roadbike,5/04/2022,Southern
Blue,Yamaha,CV50 JOG,2007,Moped,26/10/2021,Counties/Manukau
,,,0,,9/10/2021,Eastern
Brown,Homebuilt,,1972,Caravan,11/11/2021,Canterbury
Green,Trailer,HANSA CHIPPER,2019,Trailer,2/02/2022,Waikato
Black,Suzuki,GSX600F,2007,Roadbike,2/03/2022,Northland
Silver,Kea,KEA MX4,2020,Trailer,2/12/2021,Waitemata
Grey,Briford,SINGLE AXLE,1985,Trailer,5/02/2022,Canterbury
Orange,Suzuki,GSX,2008,Roadbike,13/03/2022,Waitemata
Silver,Trailer,AFC JETSKI,2020,Boat Trailer,15/11/2021,Wellington
Red,Domett,RSKF1F27.9,1977,Trailer,4/11/2021,Counties/Manukau
Silver,Trailer,ASD JETSKI,2020,Boat Trailer,4/01/2022,Waitemata
White,Bailey,PEGEANT S7 LOIRE,2009,Caravan,19/12/2021,Waitemata
Grey,Trailer,JETSKI,2020,Boat Trailer,2/04/2022,Northland
Red,Kawasaki,ZL 900,1986,Roadbike,30/11/2021,Northland
Silver,Trailer,JETSKI,2020,Boat Trailer,30/03/2022,Waikato
Silver,Trailer,BRI-INN,2020,Trailer,7/03/2022,Canterbury
Grey,Homebuilt,LOCAL,1989,Trailer,22/03/2022,Waikato
Grey,Trailer,JEYSKI ACTION LAB,2019,Boat Trailer,20/01/2022,Auckland City
Silver,Custombuilt,AUCKLAND,2020,Boat Trailer,8/10/2021,Counties/Manukau
Red,Hyosung,GV,2006,Roadbike,1/03/2022,Eastern
Grey,Trailer,HOMEMADE,2020,Boat Trailer,10/01/2022,Waikato
Silver,Briford,OTHER COMMERCIAL TRA,2016,Trailer - Heavy,7/12/2021,Auckland City
White,Caravan,CHEVRON 1300,1977,Caravan,26/02/2022,Bay of Plenty
Grey,Trailer,HOMEMADE,1981,Trailer,12/11/2021,Central
Silver,Trailer,DOMESTIC,2020,Trailer,3/02/2022,Waitemata
Silver,Trailer,DOMESTIC TRAILER,2020,Trailer,1/11/2021,Central
Silver,Trailer,ELITE 8X4,2020,Trailer,14/12/2021,Canterbury
Grey,Trailer,FUTURA,2020,Trailer,13/01/2022,Auckland City
Silver,Trailer,DMW,2020,Boat Trailer,21/11/2021,Waitemata
Silver,Trailer,TUFF,2020,Trailer,13/12/2021,Central
White,Crusader,560,2010,Caravan,30/11/2021,Canterbury
Red,Suzuki,GN125H,2008,Roadbike,20/01/2022,Tasman
Grey,Trailer,DOMESTIC TRAILER,1996,Trailer,16/01/2022,Eastern
Silver,Kea,K85S,2020,Trailer,2/04/2022,Bay of Plenty
Black,Suzuki,GS,2005,Roadbike,6/03/2022,Waitemata
Silver,Trailer,DOMESTIC TRAILER,2012,Trailer,19/10/2021,Central
Grey,Trailer,8X5,2020,Trailer,10/10/2021,Tasman
Silver,Pinto,11X5,2012,Trailer,20/12/2021,Canterbury
Silver,Trailer,DOMESTIC,2016,Trailer,30/03/2022,Auckland City
Silver,Factory Built,BRENT SMITH TRAILERS,2016,Trailer,5/04/2022,Wellington
Silver,Titan,8X5,2016,Trailer,19/10/2021,Bay of Plenty
Silver,Briford,8X4,2016,Trailer,8/11/2021,Canterbury
Silver,Homebuilt,TRAILERWAY,2016,Trailer,10/03/2022,Counties/Manukau
Silver,Reid,TRAILER,2016,Boat Trailer,14/12/2021,Waitemata
White,Toyota,REGIUS,2001,Light Van,29/10/2021,Auckland City
Silver,Briford,9X4 6 TANDEM,2016,Trailer,17/03/2022,Wellington
Silver,Trailer,GT,2016,Trailer - Heavy,1/02/2022,Auckland City
Silver,Trailer,GT TRAILER,2016,Trailer - Heavy,7/03/2022,Bay of Plenty
Green,Trailer,DOMESTIC,2016,Trailer,9/01/2022,Northland
Black,Trailer,HOMEMADE,2007,Trailer,7/10/2021,Waikato
Silver,Trailer,DOMESTIC TRAILER,2016,Trailer,14/03/2022,Canterbury
White,Caravan,BESSACARR CAMEO 625,2005,Caravan,31/10/2021,Waitemata
Silver,Trailer,TRAILER PRO,2016,Trailer,5/04/2022,Canterbury
Silver,Trailer,8X4,2016,Trailer,2/04/2022,Canterbury
Silver,Briford,8X4 TANDEM,2016,Trailer,31/03/2022,Canterbury
White,Swift,BARNWELL ARCHWAY,2002,Caravan,25/12/2021,Central
Black,Trailer,HOMEMADE,2016,Trailer,4/03/2022,Wellington
